Name:  ALHA 77005
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Shergottite
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77005
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample (USNM 
sample No. ALHA 77005.38).
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None
25.044    1.8789
24.924    1.7913
24.805    1.8686
24.686    1.7251
24.569    1.7969
24.454    1.8662
24.339    1.8528
24.225    1.9238
24.112    1.9224
24.001    1.6899
23.890    1.5283
23.781    1.5188
23.672    1.5005
23.564    1.4868
23.458    1.5100
23.352    1.3804
23.247    1.4053
23.144    1.3686
23.041    1.2187
22.939    1.1270
22.838    1.1318
22.738    1.1206
22.638    1.0757
22.540    1.0198
22.442    0.9932
22.345    0.9966
22.250    0.9885
22.154    1.0078
22.060    1.0864
21.967    1.0193
21.874    1.0264
21.782    1.0659
21.691    1.0864
21.601    1.0623
21.511    1.1338
21.422    1.1926
21.334    1.1941
21.247    1.1587
21.160    1.1062
21.074    1.0847
20.988    1.1584
20.904    1.2324
20.820    1.2839
20.737    1.3298
20.654    1.3435
20.572    1.4143
20.491    1.5044
20.410    1.5232
20.330    1.5444
20.251    1.6208
20.172    1.6470
20.094    1.5730
20.016    1.5696
19.939    1.6340
19.863    1.6255
19.787    1.6218
19.712    1.6528
19.637    1.6738
19.563    1.6667
19.489    1.6501
19.416    1.6719
19.344    1.7371
19.272    1.7483
19.201    1.7346
19.130    1.7163
19.059    1.7317
18.990    1.7351
18.920    1.6584
18.851    1.6262
18.783    1.6406
18.715    1.6682
18.648    1.6919
18.581    1.6577
18.515    1.6248
18.449    1.6326
18.384    1.5749
18.319    1.4565
18.254    1.4348
18.190    1.4658
18.126    1.4512
18.063    1.4158
18.001    1.3733
17.938    1.3201
17.876    1.2676
17.815    1.2620
17.754    1.2344
17.693    1.1838
17.633    1.1853
17.573    1.1606
17.514    1.1436
17.455    1.1345
17.396    1.0862
17.338    1.0481
17.280    1.0349
17.223    1.0288
17.166    1.0220
17.109    1.0195
17.053    1.0300
16.997    1.0056
16.942    0.9932
16.886    1.0164
16.832    1.0408
16.777    1.0498
16.723    1.0496
16.669    1.0220
16.616    1.0264
16.563    1.0498
16.510    1.0662
16.458    1.0669
16.406    1.0520
16.354    1.0642
16.302    1.0935
16.251    1.0920
16.200    1.0652
16.150    1.0461
16.100    1.0388
16.050    1.0530
16.000    1.0217
15.951    0.9905
15.902    0.9746
15.854    0.9587
15.805    0.9556
15.757    0.9280
15.710    0.8955
15.662    0.8662
15.615    0.8423
15.568    0.8062
15.521    0.7749
15.475    0.7812
15.429    0.8135
15.383    0.8296
15.338    0.8000
15.292    0.7766
15.248    0.8235
15.203    0.8760
15.158    0.8445
15.114    0.8325
15.070    0.8652
15.027    0.8687
14.983    0.8892
14.940    0.9145
14.897    0.9307
14.854    0.9656
14.812    0.9814
14.770    0.9902
14.728    1.0078
14.686    1.0522
14.645    1.0815
14.603    1.1006
14.562    1.1401
