Name:  Alais
Type:  Stony Meteorites
Class:  Carbonaceous chondrite
Subclass:  CI
Particle Size:  0-75 micrometers
Sample No.:  24
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite seen to fall in France in 1806.  Museum National d'Historie 
Naturelle sample no. 24.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None
25.044    0.0994
24.924    0.1580
24.805    0.2170
24.686    0.2661
24.569    0.2988
24.454    0.3132
24.339    0.3127
24.225    0.3040
24.112    0.2939
24.001    0.2878
23.890    0.2886
23.781    0.2952
23.672    0.3059
23.564    0.3176
23.458    0.3289
23.352    0.3391
23.247    0.3491
23.144    0.3589
23.041    0.3689
22.939    0.3777
22.838    0.3838
22.738    0.3865
22.638    0.3850
22.540    0.3804
22.442    0.3743
22.345    0.3684
22.250    0.3630
22.154    0.3586
22.060    0.3535
21.967    0.3472
21.874    0.3386
21.782    0.3281
21.691    0.3176
21.601    0.3086
21.511    0.3032
21.422    0.3027
21.334    0.3071
21.247    0.3145
21.160    0.3223
21.074    0.3276
20.988    0.3284
20.904    0.3235
20.820    0.3132
20.737    0.2996
20.654    0.2847
20.572    0.2705
20.491    0.2585
20.410    0.2493
20.330    0.2424
20.251    0.2368
20.172    0.2319
20.094    0.2275
20.016    0.2246
19.939    0.2231
19.863    0.2239
19.787    0.2268
19.712    0.2310
19.637    0.2349
19.563    0.2366
19.489    0.2346
19.416    0.2285
19.344    0.2180
19.272    0.2048
19.201    0.1907
19.130    0.1777
19.059    0.1680
18.990    0.1621
18.920    0.1606
18.851    0.1631
18.783    0.1685
18.715    0.1760
18.648    0.1843
18.581    0.1934
18.515    0.2026
18.449    0.2114
18.384    0.2195
18.319    0.2261
18.254    0.2307
18.190    0.2332
18.126    0.2334
18.063    0.2314
18.001    0.2280
17.938    0.2239
17.876    0.2195
17.815    0.2158
17.754    0.2131
17.693    0.2119
17.633    0.2122
17.573    0.2139
17.514    0.2168
17.455    0.2205
17.396    0.2244
17.338    0.2283
17.280    0.2312
17.223    0.2324
17.166    0.2317
17.109    0.2290
17.053    0.2246
16.997    0.2187
16.942    0.2129
16.886    0.2070
16.832    0.2024
16.777    0.1985
16.723    0.1956
16.669    0.1926
16.616    0.1892
16.563    0.1853
16.510    0.1809
16.458    0.1765
16.406    0.1731
16.354    0.1714
16.302    0.1714
16.251    0.1731
16.200    0.1758
16.150    0.1785
16.100    0.1802
16.050    0.1807
16.000    0.1799
15.951    0.1782
15.902    0.1760
15.854    0.1743
15.805    0.1733
15.757    0.1729
15.710    0.1731
15.662    0.1736
15.615    0.1741
15.568    0.1746
15.521    0.1750
15.475    0.1755
15.429    0.1768
15.383    0.1782
15.338    0.1804
15.292    0.1826
15.248    0.1846
15.203    0.1863
15.158    0.1873
15.114    0.1880
15.070    0.1885
15.027    0.1892
14.983    0.1902
14.940    0.1914
14.897    0.1921
14.854    0.1929
14.812    0.1936
14.770    0.1946
14.728    0.1963
14.686    0.1987
14.645    0.2017
14.603    0.2043
14.562    0.2058
14.521    0.2051
14.481    0.2019
14.441    0.1968
14.400    0.1907
14.361    0.1851
14.321    0.1814
14.281    0.1804
14.242    0.1829
14.203    0.1880
14.164    0.1951
14.126    0.2034
14.087    0.2117
14.049    0.2192
14.011    0.2253
13.973    0.2302
13.936    0.2332
13.899    0.2351
13.861    0.2363
13.824    0.2371
13.788    0.2385
13.751    0.2407
13.715    0.2437
13.679    0.2476
13.643    0.2515
13.607    0.2554
13.571    0.2585
13.536    0.2612
13.500    0.2642
13.465    0.2681
13.430    0.2737
13.396    0.2820
13.361    0.2922
13.327    0.3037
13.293    0.3154
13.259    0.3264
13.225    0.3354
13.191    0.3428
13.158    0.3486
13.124    0.3538
13.091    0.3584
13.058    0.3623
13.026    0.3652
12.993    0.3667
12.960    0.3660
12.928    0.3635
12.896    0.3601
12.864    0.3567
12.832    0.3547
12.800    0.3552
12.769    0.3582
12.737    0.3633
12.706    0.3699
12.675    0.3767
12.644    0.3835
12.614    0.3896
12.583    0.3948
12.552    0.3987
12.522    0.4019
12.492    0.4038
12.462    0.4053
12.432    0.4062
12.402    0.4075
12.373    0.4102
12.343    0.4143
12.314    0.4204
12.285    0.4285
12.256    0.4373
12.227    0.4463
12.198    0.4541
12.169    0.4602
12.141    0.4648
12.113    0.4675
12.084    0.4695
12.056    0.4707
12.028    0.4722
12.000    0.4736
11.973    0.4753
11.945    0.4780
11.918    0.4814
11.890    0.4858
11.863    0.4910
11.836    0.4971
11.809    0.5034
11.782    0.5098
11.755    0.5154
11.729    0.5203
11.702    0.5237
11.676    0.5261
11.650    0.5271
11.624    0.5266
11.598    0.5244
11.572    0.5205
11.546    0.5149
11.520    0.5078
11.495    0.5000
11.469    0.4919
11.444    0.4849
11.419    0.4792
11.394    0.4758
11.369    0.4744
