Name:  ALH 83102
Type:  Stony Meteorites
Class:  Carbonaceous chondrite
Subclass:  CM2
Particle Size:  0-75 micrometers
Sample No.:  ALH 83102
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1983..  Smithsonian sample USNM No. 
ALH 83102.45.
Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None
25.044    0.7842
24.924    0.7424
24.805    0.7021
24.686    0.6775
24.569    0.6728
24.454    0.6838
24.339    0.7004
24.225    0.7129
24.112    0.7185
24.001    0.7209
23.890    0.7258
23.781    0.7336
23.672    0.7412
23.564    0.7456
23.458    0.7441
23.352    0.7366
23.247    0.7244
23.144    0.7139
23.041    0.7119
22.939    0.7197
22.838    0.7346
22.738    0.7541
22.638    0.7754
22.540    0.7944
22.442    0.8069
22.345    0.8120
22.250    0.8123
22.154    0.8081
22.060    0.8000
21.967    0.7908
21.874    0.7827
21.782    0.7773
21.691    0.7734
21.601    0.7710
21.511    0.7678
21.422    0.7620
21.334    0.7512
21.247    0.7373
21.160    0.7234
21.074    0.7124
20.988    0.7063
20.904    0.7048
20.820    0.7061
20.737    0.7061
20.654    0.7017
20.572    0.6916
20.491    0.6770
20.410    0.6589
20.330    0.6394
20.251    0.6213
20.172    0.6050
20.094    0.5906
20.016    0.5771
19.939    0.5635
19.863    0.5496
19.787    0.5349
19.712    0.5208
19.637    0.5076
19.563    0.4954
19.489    0.4836
19.416    0.4709
19.344    0.4548
19.272    0.4348
19.201    0.4114
19.130    0.3862
19.059    0.3618
18.990    0.3416
18.920    0.3279
18.851    0.3203
18.783    0.3166
18.715    0.3147
18.648    0.3123
18.581    0.3074
18.515    0.3010
18.449    0.2959
18.384    0.2942
18.319    0.2966
18.254    0.3027
18.190    0.3110
18.126    0.3198
18.063    0.3264
18.001    0.3298
17.938    0.3308
17.876    0.3296
17.815    0.3269
17.754    0.3242
17.693    0.3232
17.633    0.3254
17.573    0.3303
17.514    0.3372
17.455    0.3447
17.396    0.3516
17.338    0.3564
17.280    0.3591
17.223    0.3611
17.166    0.3635
17.109    0.3672
17.053    0.3716
16.997    0.3765
16.942    0.3813
16.886    0.3855
16.832    0.3884
16.777    0.3904
16.723    0.3918
16.669    0.3928
16.616    0.3928
16.563    0.3928
16.510    0.3933
16.458    0.3948
16.406    0.3975
16.354    0.4009
16.302    0.4043
16.251    0.4065
16.200    0.4062
16.150    0.4038
16.100    0.4006
16.050    0.3982
16.000    0.3975
15.951    0.3992
15.902    0.4028
15.854    0.4070
15.805    0.4099
15.757    0.4104
15.710    0.4080
15.662    0.4021
15.615    0.3945
15.568    0.3875
15.521    0.3828
15.475    0.3816
15.429    0.3835
15.383    0.3865
15.338    0.3879
15.292    0.3853
15.248    0.3774
15.203    0.3655
15.158    0.3520
15.114    0.3398
15.070    0.3311
15.027    0.3257
14.983    0.3225
14.940    0.3201
14.897    0.3164
14.854    0.3113
14.812    0.3044
14.770    0.2979
14.728    0.2917
14.686    0.2866
14.645    0.2822
14.603    0.2781
14.562    0.2734
14.521    0.2686
14.481    0.2637
14.441    0.2598
14.400    0.2581
14.361    0.2583
14.321    0.2603
14.281    0.2634
14.242    0.2661
14.203    0.2681
14.164    0.2688
14.126    0.2686
14.087    0.2683
14.049    0.2688
14.011    0.2708
13.973    0.2739
13.936    0.2773
13.899    0.2810
13.861    0.2847
13.824    0.2878
13.788    0.2908
13.751    0.2935
13.715    0.2961
13.679    0.2986
13.643    0.3010
13.607    0.3042
13.571    0.3091
13.536    0.3162
13.500    0.3250
13.465    0.3347
13.430    0.3435
13.396    0.3506
13.361    0.3555
13.327    0.3591
13.293    0.3625
13.259    0.3662
13.225    0.3696
13.191    0.3723
13.158    0.3733
13.124    0.3735
13.091    0.3748
13.058    0.3787
13.026    0.3867
12.993    0.3977
12.960    0.4106
12.928    0.4229
12.896    0.4324
12.864    0.4399
12.832    0.4456
12.800    0.4509
12.769    0.4563
12.737    0.4624
12.706    0.4690
12.675    0.4758
12.644    0.4829
12.614    0.4895
12.583    0.4951
12.552    0.5007
12.522    0.5059
12.492    0.5120
12.462    0.5198
12.432    0.5295
12.402    0.5410
12.373    0.5530
12.343    0.5647
12.314    0.5754
12.285    0.5847
12.256    0.5928
12.227    0.5999
12.198    0.6069
12.169    0.6135
12.141    0.6199
12.113    0.6255
12.084    0.6301
12.056    0.6340
12.028    0.6372
12.000    0.6404
11.973    0.6440
11.945    0.6484
11.918    0.6538
11.890    0.6597
11.863    0.6655
11.836    0.6711
11.809    0.6768
11.782    0.6824
11.755    0.6882
11.729    0.6943
11.702    0.6999
11.676    0.7048
11.650    0.7078
11.624    0.7090
11.598    0.7078
11.572    0.7051
11.546    0.7009
11.520    0.6963
11.495    0.6909
11.469    0.6855
11.444    0.6812
11.419    0.6780
11.394    0.6768
