Name:  ALHA 77003
Type:  Stony Meteorites
Class:  Carbonaceous chondrite
Subclass:  CO3
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77003
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Sample supplied by Tom Jones.

Description:  None.





Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional information:  None
25.044    0.7617
24.924    0.7524
24.805    0.7417
24.686    0.7263
24.569    0.7170
24.454    0.7222
24.339    0.7275
24.225    0.7312
24.112    0.7358
24.001    0.7363
23.890    0.7222
23.781    0.7009
23.672    0.6855
23.564    0.6755
23.458    0.6667
23.352    0.6611
23.247    0.6602
23.144    0.6562
23.041    0.6506
22.939    0.6562
22.838    0.6753
22.738    0.6892
22.638    0.6929
22.540    0.6912
22.442    0.6855
22.345    0.6763
22.250    0.6675
22.154    0.6702
22.060    0.6821
21.967    0.6902
21.874    0.6926
21.782    0.6936
21.691    0.6948
21.601    0.6968
21.511    0.6997
21.422    0.7087
21.334    0.7192
21.247    0.7266
21.160    0.7307
21.074    0.7341
20.988    0.7366
20.904    0.7341
20.820    0.7253
20.737    0.7141
20.654    0.6995
20.572    0.6843
20.491    0.6758
20.410    0.6792
20.330    0.6926
20.251    0.7083
20.172    0.7190
20.094    0.7241
20.016    0.7234
19.939    0.7195
19.863    0.7139
19.787    0.7122
19.712    0.7156
19.637    0.7207
19.563    0.7266
19.489    0.7341
19.416    0.7429
19.344    0.7485
19.272    0.7458
19.201    0.7371
19.130    0.7251
19.059    0.7104
18.990    0.6978
18.920    0.6890
18.851    0.6831
18.783    0.6763
18.715    0.6677
18.648    0.6587
18.581    0.6477
18.515    0.6353
18.449    0.6250
18.384    0.6182
18.319    0.6130
18.254    0.6121
18.190    0.6155
18.126    0.6199
18.063    0.6199
18.001    0.6160
17.938    0.6108
17.876    0.6033
17.815    0.5937
17.754    0.5881
17.693    0.5886
17.633    0.5959
17.573    0.6091
17.514    0.6265
17.455    0.6460
17.396    0.6616
17.338    0.6694
17.280    0.6697
17.223    0.6633
17.166    0.6538
17.109    0.6426
17.053    0.6301
16.997    0.6177
16.942    0.6055
16.886    0.5942
16.832    0.5840
16.777    0.5752
16.723    0.5691
16.669    0.5654
16.616    0.5613
16.563    0.5557
16.510    0.5515
16.458    0.5503
16.406    0.5515
16.354    0.5562
16.302    0.5637
16.251    0.5732
16.200    0.5820
16.150    0.5898
16.100    0.6006
16.050    0.6135
16.000    0.6274
15.951    0.6414
15.902    0.6523
15.854    0.6584
15.805    0.6599
15.757    0.6592
15.710    0.6592
15.662    0.6597
15.615    0.6624
15.568    0.6680
15.521    0.6750
15.475    0.6812
15.429    0.6870
15.383    0.6938
15.338    0.7021
15.292    0.7124
15.248    0.7253
15.203    0.7424
15.158    0.7629
15.114    0.7842
15.070    0.8040
15.027    0.8218
14.983    0.8369
14.940    0.8484
14.897    0.8557
14.854    0.8608
14.812    0.8660
14.770    0.8716
14.728    0.8789
14.686    0.8896
14.645    0.9041
14.603    0.9226
14.562    0.9431
14.521    0.9641
14.481    0.9868
14.441    1.0120
14.400    1.0398
14.361    1.0688
14.321    1.0986
14.281    1.1284
14.242    1.1565
14.203    1.1804
14.164    1.2017
14.126    1.2219
14.087    1.2407
14.049    1.2556
14.011    1.2651
13.973    1.2683
13.936    1.2649
13.899    1.2556
13.861    1.2451
13.824    1.2395
13.788    1.2429
13.751    1.2554
13.715    1.2749
13.679    1.2991
13.643    1.3254
13.607    1.3523
13.571    1.3826
13.536    1.4211
13.500    1.4687
13.465    1.5237
13.430    1.5830
13.396    1.6428
13.361    1.6982
13.327    1.7473
13.293    1.7903
13.259    1.8281
13.225    1.8621
13.191    1.8935
13.158    1.9248
13.124    1.9560
13.091    1.9871
13.058    2.0176
13.026    2.0466
12.993    2.0723
12.960    2.0940
12.928    2.1111
12.896    2.1238
12.864    2.1335
12.832    2.1416
12.800    2.1477
12.769    2.1516
12.737    2.1518
12.706    2.1477
12.675    2.1384
12.644    2.1250
12.614    2.1103
12.583    2.0957
12.552    2.0793
12.522    2.0610
12.492    2.0398
12.462    2.0142
12.432    1.9844
12.402    1.9502
12.373    1.9128
12.343    1.8721
12.314    1.8269
12.285    1.7769
12.256    1.7195
12.227    1.6545
12.198    1.5825
12.169    1.5034
12.141    1.4180
12.113    1.3279
12.084    1.2351
12.056    1.1426
12.028    1.0549
12.000    0.9802
11.973    0.9268
11.945    0.8970
11.918    0.8906
11.890    0.9019
11.863    0.9207
11.836    0.9382
11.809    0.9487
11.782    0.9517
11.755    0.9487
11.729    0.9414
11.702    0.9326
11.676    0.9250
11.650    0.9194
11.624    0.9148
11.598    0.9097
11.572    0.9033
11.546    0.8950
11.520    0.8835
11.495    0.8718
11.469    0.8618
11.444    0.8545
11.419    0.8486
11.394    0.8406
11.369    0.8291
