Name: Fossiliferous Limestone 
Type:  Rocks
Class:  Sedimentary
Subclass: Limestone
Particle Size:  500 - 1500 Micrometers
Sample No.:  limestone.1
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 355,  from the Hunt and Salisbury Collection at 
the U.S. Geological Survey, Denver, Co.
Description: Sample consists of a homogeneous microcrystalline 
carbonate matrix, with scattered flecks of reddish brown material 
and abundant fossils (primarily small bivalves) with recrystallized 
calcite. Some bivalves still show laminar structure. Very minor 
quartz was also noted in this section.

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4
Number of X Values:  2844
Additional Information:  None 
14.011    1.7906
13.973    1.3437
13.936    1.2604
13.899    1.4434
13.861    1.6994
13.824    1.9595
13.788    2.0746
13.751    2.1210
13.715    2.3985
13.679    2.5201
13.643    2.5064
13.607    2.4998
13.571    2.5888
13.536    2.7234
13.500    2.7967
13.465    2.8293
13.430    2.8680
13.396    2.8965
13.361    2.9003
13.327    2.9694
13.293    3.0393
13.259    2.9594
13.225    2.9307
13.191    2.9780
13.158    2.9878
13.124    2.8673
13.091    2.8278
13.058    2.8699
13.025    2.8336
12.993    2.7931
12.960    2.8065
12.928    2.8144
12.896    2.8003
12.864    2.8235
12.832    2.8103
12.800    2.8417
12.769    2.8505
12.738    2.8792
12.706    2.8706
12.675    2.8447
12.644    2.8783
12.614    2.9565
12.583    2.9783
12.552    2.9118
12.522    2.8744
12.492    2.9359
12.462    2.9616
12.432    2.9752
12.402    3.0350
12.373    3.0833
12.343    3.1111
12.314    3.1629
12.285    3.1548
12.256    3.1397
12.227    3.1747
12.198    3.2472
12.169    3.2371
12.141    3.2058
12.113    3.2252
12.084    3.2350
12.056    3.2562
12.028    3.2458
12.000    3.3022
11.973    3.3510
11.945    3.3183
11.918    3.3489
11.890    3.3802
11.863    3.3678
11.836    3.2888
11.809    3.0905
11.782    2.9618
11.756    3.1732
11.729    3.4326
11.702    3.6580
11.676    3.7977
11.650    3.9288
11.624    4.1074
11.598    4.2590
11.572    4.3875
11.546    4.4636
11.520    4.4540
11.495    4.4074
11.469    4.5327
11.444    4.8258
11.419    5.1890
11.394    5.6219
11.369    6.0960
11.344    6.3989
11.319    6.7428
11.294    7.8878
11.270    9.5598
11.246   10.0613
11.221    9.4064
11.197    8.6927
11.173    8.2245
11.149    7.8352
11.125    7.4340
11.101    7.0648
11.077    6.7103
11.054    6.4374
11.030    6.1757
11.007    5.9182
10.983    5.7252
10.960    5.5709
10.937    5.4728
10.914    5.4194
10.891    5.3173
10.868    5.2753
10.845    5.1940
10.823    5.0931
10.800    5.0029
10.778    4.8969
10.756    4.8059
10.733    4.7169
10.711    4.6419
10.689    4.5684
10.667    4.5356
10.645    4.5151
