Name: Fossiliferous Limestone 
Type:  Rocks
Class:  Sedimentary
Subclass: Limestone
Particle Size:  0 - 75 Micrometers
Sample No.:  limestone.1
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 355,  from the Hunt and Salisbury Collection at 
the U.S. Geological Survey, Denver, Co.
Description: Sample consists of a homogeneous microcrystalline 
carbonate matrix, with scattered flecks of reddish brown material 
and abundant fossils (primarily small bivalves) with recrystallized 
calcite. Some bivalves still show laminar structure. Very minor 
quartz was also noted in this section.

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4
Number of X Values:  2844
Additional Information:  None 
14.983   19.2400
14.940   19.8670
14.897   20.1240
14.854   20.1580
14.812   20.1160
14.770   20.1610
14.728   20.2450
14.686   20.3710
14.645   20.4940
14.603   20.4410
14.562   20.0330
14.521   19.3710
14.481   18.7850
14.441   18.2770
14.400   17.7290
14.361   17.2490
14.321   16.6950
14.281   15.8670
14.242   14.5180
14.203   12.4850
14.164    9.8980
14.126    7.1263
14.087    4.5211
14.049    2.5008
14.011    1.4391
13.973    1.6932
13.936    3.1906
13.899    5.5100
13.861    8.1642
13.824   10.7640
13.788   12.9310
13.751   14.5200
13.715   15.6490
13.679   16.5460
13.643   17.3470
13.607   18.0470
13.571   18.6440
13.536   19.1740
13.500   19.6110
13.465   19.9610
13.430   20.2260
13.396   20.4310
13.361   20.5970
13.327   20.7030
13.293   20.7640
13.259   20.8100
13.225   20.8100
13.191   20.7570
13.158   20.6290
13.124   20.4140
13.091   20.1050
13.058   19.7130
13.026   19.2640
12.993   18.7940
12.960   18.3020
12.928   17.8220
12.896   17.4080
12.864   17.1470
12.832   17.1010
12.800   17.2990
12.769   17.6940
12.737   18.1770
12.706   18.6120
12.675   18.9140
12.644   19.0340
12.614   18.9730
12.583   18.7330
12.552   18.4160
12.522   18.1990
12.492   18.2760
12.462   18.7740
12.432   19.6920
12.402   20.8900
12.373   22.1780
12.343   23.3400
12.314   24.2840
12.285   25.0060
12.256   25.5630
12.227   26.0040
12.198   26.3480
12.169   26.5860
12.141   26.7710
12.113   26.9050
12.084   27.0170
12.056   27.1100
12.028   27.1890
12.000   27.2450
11.973   27.3170
11.945   27.4590
11.918   27.5920
11.890   26.5000
11.863   23.5520
11.836   20.3410
11.809   18.2010
11.782   17.4800
11.755   18.1830
11.729   20.0580
11.702   22.2430
11.676   22.9380
11.650   21.5900
11.624   19.5440
11.598   17.2090
11.572   14.3870
11.546   11.2750
11.520    8.3016
11.495    5.8370
11.469    4.1445
11.444    3.3164
11.419    3.1797
11.394    3.2614
11.369    3.2550
11.344    3.6882
11.319    5.2346
11.294    7.8668
11.270   11.1970
11.245   14.7260
11.221   17.8440
11.197   19.9810
11.173   20.9580
