Name: Limestone
Type:  Rocks
Class:  Sedimentary
Subclass: Limestone
Particle Size:  0 - 75 Micrometers
Sample No.:  limestone.3
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 381,  The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a very clean fine-grained to microcrystalline 
carbonate with little, if any, trace of clay.  There is, however, a trace 
of opaque material present.



Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4
Number of X Values:  2844
Additional Information:  None
14.983   16.3460
14.940   16.8230
14.897   17.5130
14.854   18.3180
14.812   18.4170
14.770   18.6950
14.728   18.6010
14.686   18.6360
14.645   18.8390
14.603   18.9790
14.562   19.0900
14.521   19.6360
14.481   19.6430
14.441   19.5210
14.400   19.7470
14.361   19.8620
14.321   19.7900
14.281   19.5880
14.242   18.9710
14.203   18.4680
14.164   18.1400
14.126   17.5660
14.087   16.4130
14.049   14.9440
14.011   13.4830
13.973   11.9650
13.936   10.2900
13.899    8.5604
13.861    6.6545
13.824    4.8429
13.788    3.3514
13.751    2.2829
13.715    1.6923
13.679    1.3953
13.643    1.3361
13.607    2.1626
13.571    4.0867
13.536    6.6500
13.500    9.5316
13.465   12.3100
13.430   14.8040
13.396   17.1650
13.361   19.4050
13.327   21.5640
13.293   23.5500
13.259   25.3070
13.225   26.9260
13.191   28.3840
13.158   29.5990
13.124   30.6810
13.091   31.6650
13.058   32.5790
13.026   33.3180
12.993   34.0050
12.960   34.5880
12.928   34.9440
12.896   35.2020
12.864   35.4400
12.832   35.6320
12.800   35.8840
12.769   36.1590
12.737   36.4530
12.706   36.7890
12.675   37.1260
12.644   37.3770
12.614   37.6280
12.583   37.7920
12.552   37.9190
12.522   38.0180
12.492   38.2300
12.462   38.4870
12.432   38.7760
12.402   39.0350
12.373   39.1890
12.343   39.2560
12.314   39.3810
12.285   39.4580
12.256   39.5100
12.227   39.5480
12.198   39.5770
12.169   39.5140
12.141   39.4370
12.113   39.3000
12.084   39.2320
12.056   39.1120
12.028   38.9100
12.000   38.6660
11.973   38.3960
11.945   37.9760
11.918   37.5310
11.890   36.8770
11.863   35.9660
11.836   34.4760
11.809   31.8880
11.782   27.2100
11.755   19.9070
11.729   13.0130
11.702   15.5080
11.676   22.6030
11.650   24.5420
11.624   23.2670
11.598   20.8950
11.572   17.9340
11.546   14.5660
11.520   11.2890
11.495    8.4093
11.469    6.4577
11.444    5.4603
11.419    5.1919
11.394    5.2654
11.369    5.7172
11.344    6.2846
11.319    6.9103
11.294    7.6288
11.270    8.6807
11.245   10.3020
11.221   12.7750
11.197   16.3710
11.173   21.2320
11.149   26.4060
11.125   29.9020
11.101   30.9830
11.077   31.1070
11.054   31.1520
11.030   31.2590
