Name: Lithographic Limestone 
Type:  Rocks
Class:  Sedimentary
Subclass: Limestone
Particle Size:  0 - 75 Micrometers
Sample No.:  limestone.5
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 356,  The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: The sample is a homogeneous microcrystalline carbonate 
with scattered flecks of a reddish brown (Fe-rich ?) material, which 
sometimes occurs as discontinuous bands throughout the section.



Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values:  2868
Additional Information:  None 
14.983   21.7450
14.940   21.8160
14.897   21.8880
14.854   22.0540
14.812   22.3650
14.770   22.7140
14.728   22.9880
14.686   23.1400
14.645   23.1190
14.603   22.9250
14.562   22.5630
14.521   22.1050
14.481   21.6380
14.441   21.1730
14.400   20.6700
14.361   20.0720
14.321   19.2500
14.281   18.0400
14.242   16.2660
14.203   13.8630
14.164   10.9380
14.126    7.7647
14.087    4.7910
14.049    2.5647
14.011    1.5537
13.973    2.0075
13.936    3.8826
13.899    6.8655
13.861   10.4600
13.824   14.1280
13.788   17.4470
13.751   20.1890
13.715   22.3090
13.679   23.8920
13.643   25.0770
13.607   25.9950
13.571   26.7260
13.536   27.3040
13.500   27.7410
13.465   28.0430
13.430   28.2190
13.396   28.2930
13.361   28.2910
13.327   28.2360
13.293   28.1510
13.259   28.0510
13.225   27.9420
13.191   27.8190
13.158   27.6590
13.124   27.4460
13.091   27.1700
13.058   26.8320
13.026   26.4510
12.993   26.0580
12.960   25.6940
12.928   25.3900
12.896   25.1640
12.864   25.0250
12.832   24.9810
12.800   25.0340
12.769   25.1710
12.737   25.3730
12.706   25.6070
12.675   25.8260
12.644   25.9790
12.614   26.0390
12.583   26.0260
12.552   26.0000
12.522   26.0440
12.492   26.2260
12.462   26.5810
12.432   27.0840
12.402   27.6600
12.373   28.2240
12.343   28.7210
12.314   29.1370
12.285   29.4860
12.256   29.7910
12.227   30.0750
12.198   30.3410
12.169   30.5790
12.141   30.7760
12.113   30.9340
12.084   31.0630
12.056   31.1560
12.028   31.2300
12.000   31.4130
11.973   31.6740
11.945   31.5460
11.918   30.5340
11.890   28.4850
11.863   25.6260
11.836   22.5020
11.809   19.9480
11.782   18.9260
11.755   19.6570
11.729   21.2720
11.702   22.7570
11.676   23.4080
11.650   22.8080
11.624   20.8800
11.598   17.9690
11.572   14.6860
11.546   11.4580
11.520    8.4536
11.495    5.9455
11.469    4.1789
11.444    3.1073
11.419    2.5143
11.394    2.2893
11.369    2.4887
11.344    3.3026
11.319    4.9641
11.294    7.6174
11.270   11.1080
11.245   14.8690
11.221   18.2370
11.197   20.8090
11.173   22.4590
11.149   23.2840
11.125   23.5240
11.101   23.4550
