Name: Arkosic Sandstone 
Type:  Rocks
Class:  Sedimentary
Subclass: Sandstone 
Particle Size:  500 - 1500 Micrometers
Sample No.:  sandstone.1
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 362,  The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: Sample is moderately sorted fine medium-grained rock 
with slight porosity. Well-rounded to subrounded quartz grains have 
fluid inclusions and ferruginous staining, and are cemented with 
overgrowths of chalcedony. A trace of microcline and regions of 
concentrated carbonaceous granules and/or opaques on the grains 
are present. Secondary carbonate crystallites exist in some pores.
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112
Last X Value:  0.4
Number of X Values: 2844
Additional Information:  None
14.011    2.4548
13.973    2.5149
13.936    2.5655
13.899    2.5971
13.861    2.6364
13.824    2.6768
13.788    2.7206
13.751    2.7316
13.715    2.7450
13.679    2.7845
13.643    2.8412
13.607    2.8969
13.571    2.9369
13.536    2.9747
13.500    3.0070
13.465    3.0338
13.430    3.0902
13.396    3.1727
13.361    3.2508
13.327    3.3161
13.293    3.3812
13.259    3.4343
13.225    3.5044
13.191    3.5915
13.158    3.6850
13.124    3.8090
13.091    3.9633
13.058    4.1370
13.025    4.3521
12.993    4.6097
12.960    4.9318
12.928    5.2826
12.896    5.6070
12.864    5.8694
12.832    6.0154
12.800    5.9793
12.769    5.7472
12.738    5.3802
12.706    5.0009
12.675    4.7217
12.644    4.6122
12.614    4.6713
12.583    4.8399
12.552    5.0170
12.522    5.0835
12.492    4.9505
12.462    4.5677
12.432    3.9441
12.402    3.1766
12.373    2.3871
12.343    1.6997
12.314    1.2293
12.285    1.0185
12.256    1.0024
12.227    1.0798
12.198    1.1802
12.169    1.2808
12.141    1.3789
12.113    1.4672
12.084    1.5648
12.056    1.6631
12.028    1.7495
12.000    1.8274
11.973    1.8964
11.945    1.9567
11.918    2.0126
11.890    2.0545
11.863    2.0988
11.836    2.1497
11.809    2.2048
11.782    2.2708
11.756    2.3363
11.729    2.3894
11.702    2.4359
11.676    2.4811
11.650    2.5299
11.624    2.5811
11.598    2.6251
11.572    2.6678
11.546    2.7093
11.520    2.7407
11.495    2.7667
11.469    2.8067
11.444    2.8524
11.419    2.8909
11.394    2.9276
11.369    2.9577
11.344    2.9833
11.319    3.0104
11.294    3.0314
11.270    3.0537
11.246    3.0711
11.221    3.0881
11.197    3.1055
11.173    3.1194
11.149    3.1419
11.125    3.1780
11.101    3.2144
11.077    3.2396
11.054    3.2512
11.030    3.2690
11.007    3.2884
10.983    3.3221
10.960    3.3633
10.937    3.4049
10.914    3.4429
10.891    3.4584
10.868    3.4496
10.845    3.4470
10.823    3.4524
10.800    3.4712
10.778    3.4953
10.756    3.5298
10.733    3.5671
10.711    3.5965
10.689    3.6242
10.667    3.6628
10.645    3.7059
10.623    3.7530
10.602    3.7950
10.580    3.8370
10.558    3.8752
10.537    3.9114
10.515    3.9535
10.494    3.9970
10.473    4.0377
10.452    4.0850
10.431    4.1403
10.410    4.2045
10.389    4.2638
10.368    4.3245
10.348    4.3904
10.327    4.4492
10.307    4.5013
10.286    4.5584
10.266    4.6200
10.245    4.6887
10.225    4.7586
10.205    4.8296
10.185    4.8882
10.165    4.9378
10.145    4.9961
10.125    5.0672
10.106    5.1412
10.086    5.2210
10.066    5.3039
10.047    5.3814
10.027    5.4416
10.008    5.4905
 9.989    5.5469
 9.970    5.6335
 9.950    5.7452
 9.931    5.8735
 9.912    6.0123
 9.893    6.1570
 9.875    6.2915
 9.856    6.4049
 9.837    6.5111
 9.819    6.6326
 9.800    6.7626
 9.781    6.9018
 9.763    7.0600
 9.745    7.2433
 9.726    7.4275
 9.708    7.6141
 9.690    7.8077
 9.672    8.0005
 9.654    8.1964
 9.636    8.3967
 9.618    8.6135
 9.600    8.8539
 9.582    9.1116
 9.565    9.3997
 9.547    9.7117
 9.530   10.0538
 9.512   10.4537
 9.495   10.9097
 9.477   11.4305
 9.460   12.0514
 9.443   12.8072
 9.426   13.7202
 9.409   14.7746
 9.392   15.9465
