Name:  Black Shale 
Type:  Rocks
Class:  Sedimentary
Subclass:  Shale 
Particle Size:  500 - 1500 Micrometers
File Name:  shale.4
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 385,  The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is very similar to shale.6, but with more clay in the 
matrix and fewer forams (mostly uniserial, some biserial and 
plani/trocho spiral types). There is possibly more quartz than 
carbonate in the groundmass, while again both opaques and 
carbonaceous material are present here.

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112
Last X Value:  0.4
Number of X Values: 2844
Additional Information:  None
14.011    1.9806
13.973    1.9822
13.936    2.0007
13.899    2.0344
13.861    2.0751
13.824    2.1119
13.788    2.1378
13.751    2.1514
13.715    2.1572
13.679    2.1622
13.643    2.1731
13.607    2.1927
13.571    2.2203
13.536    2.2516
13.500    2.2815
13.465    2.3062
13.430    2.3242
13.396    2.3366
13.361    2.3449
13.327    2.3521
13.293    2.3600
13.259    2.3705
13.225    2.3854
13.191    2.4062
13.158    2.4342
13.124    2.4696
13.091    2.5096
13.058    2.5488
13.025    2.5823
12.993    2.6036
12.960    2.6084
12.928    2.5952
12.896    2.5649
12.864    2.5212
12.832    2.4713
12.800    2.4230
12.769    2.3849
12.738    2.3634
12.706    2.3589
12.675    2.3658
12.644    2.3732
12.614    2.3682
12.583    2.3404
12.552    2.2852
12.522    2.2060
12.492    2.1127
12.462    2.0191
12.432    1.9387
12.402    1.8808
12.373    1.8499
12.343    1.8445
12.314    1.8597
12.285    1.8894
12.256    1.9275
12.227    1.9686
12.198    2.0105
12.169    2.0497
12.141    2.0842
12.113    2.1122
12.084    2.1346
12.056    2.1542
12.028    2.1746
12.000    2.2000
11.973    2.2322
11.945    2.2711
11.918    2.3134
11.890    2.3555
11.863    2.3945
11.836    2.4304
11.809    2.4646
11.782    2.4995
11.756    2.5378
11.729    2.5813
11.702    2.6333
11.676    2.6943
11.650    2.7649
11.624    2.8421
11.598    2.9175
11.572    2.9785
11.546    3.0104
11.520    3.0024
11.495    2.9534
11.469    2.8728
11.444    2.7805
11.419    2.7012
11.394    2.6577
11.369    2.6620
11.344    2.7136
11.319    2.7991
11.294    2.8972
11.270    2.9865
11.246    3.0502
11.221    3.0821
11.197    3.0843
11.173    3.0656
11.149    3.0371
11.125    3.0074
11.101    2.9812
11.077    2.9586
11.054    2.9390
11.030    2.9199
11.007    2.9005
10.983    2.8819
10.960    2.8648
10.937    2.8510
10.914    2.8397
10.891    2.8311
10.868    2.8253
10.845    2.8230
10.823    2.8245
10.800    2.8301
10.778    2.8396
10.756    2.8500
10.733    2.8592
10.711    2.8653
10.689    2.8699
10.667    2.8744
10.645    2.8831
10.623    2.8982
10.602    2.9206
10.580    2.9493
10.558    2.9823
10.537    3.0175
10.515    3.0532
10.494    3.0884
10.473    3.1228
10.452    3.1563
10.431    3.1878
10.410    3.2166
10.389    3.2421
10.368    3.2647
10.348    3.2843
10.327    3.3017
10.307    3.3175
10.286    3.3321
10.266    3.3453
10.245    3.3575
10.225    3.3689
10.205    3.3805
10.185    3.3910
10.165    3.4013
10.145    3.4113
10.125    3.4219
10.106    3.4326
10.086    3.4443
10.066    3.4568
10.047    3.4695
10.027    3.4812
10.008    3.4922
 9.989    3.5044
 9.970    3.5190
 9.950    3.5374
 9.931    3.5595
 9.912    3.5845
 9.893    3.6113
 9.875    3.6379
 9.856    3.6644
 9.837    3.6920
 9.819    3.7207
 9.800    3.7504
 9.781    3.7809
 9.763    3.8131
 9.745    3.8461
 9.726    3.8815
 9.708    3.9193
 9.690    3.9597
 9.672    4.0004
 9.654    4.0387
 9.636    4.0729
 9.618    4.1031
 9.600    4.1293
 9.582    4.1530
 9.565    4.1743
 9.547    4.1922
 9.530    4.2047
 9.512    4.2107
 9.495    4.2121
 9.477    4.2145
 9.460    4.2260
 9.443    4.2552
 9.426    4.3086
 9.409    4.3878
 9.392    4.4885
 9.375    4.6016
 9.358    4.7160
 9.341    4.8203
 9.324    4.9048
 9.307    4.9636
 9.291    4.9961
 9.274    5.0051
 9.257    4.9953
 9.241    4.9732
 9.225    4.9460
 9.208    4.9184
 9.192    4.8940
 9.175    4.8734
 9.159    4.8560
 9.143    4.8409
 9.127    4.8256
 9.111    4.8089
 9.095    4.7904
 9.079    4.7705
 9.063    4.7500
 9.047    4.7292
 9.032    4.7093
 9.016    4.6899
 9.000    4.6715
 8.985    4.6535
 8.969    4.6366
 8.954    4.6210
 8.938    4.6074
 8.923    4.5959
 8.908    4.5866
 8.892    4.5796
 8.877    4.5748
 8.862    4.5729
 8.847    4.5734
 8.832    4.5758
 8.817    4.5790
 8.802    4.5808
 8.787    4.5808
 8.772    4.5790
 8.757    4.5746
 8.742    4.5647
 8.727    4.5447
 8.713    4.5069
 8.698    4.4435
 8.684    4.3531
 8.669    4.2432
 8.655    4.1315
 8.640    4.0408
 8.626    3.9934
 8.612    4.0018
 8.597    4.0645
 8.583    4.1669
 8.569    4.2865
 8.555    4.4021
 8.541    4.4980
 8.527    4.5687
 8.513    4.6165
 8.499    4.6485
 8.485    4.6724
 8.471    4.6942
 8.457    4.7181
 8.443    4.7466
 8.430    4.7815
 8.416    4.8235
 8.402    4.8731
 8.389    4.9320
 8.375    4.9998
 8.361    5.0773
 8.348    5.1658
 8.335    5.2655
 8.321    5.3773
 8.308    5.5005
 8.295    5.6357
 8.281    5.7819
 8.268    5.9386
 8.255    6.1039
 8.242    6.2743
 8.229    6.4439
 8.216    6.6054
 8.203    6.7513
 8.190    6.8738
 8.177    6.9672
 8.164    7.0282
 8.151    7.0564
 8.138    7.0562
 8.126    7.0328
 8.113    6.9942
 8.100    6.9485
 8.088    6.9025
 8.075    6.8617
 8.062    6.8296
 8.050    6.8092
 8.037    6.8014
 8.025    6.8054
 8.013    6.8182
 8.000    6.8339
 7.988    6.8459
 7.976    6.8469
 7.963    6.8328
 7.951    6.8028
 7.939    6.7604
 7.927    6.7116
 7.915    6.6635
 7.903    6.6220
 7.891    6.5894
 7.879    6.5654
 7.867    6.5488
 7.855    6.5367
 7.843    6.5289
 7.831    6.5262
 7.819    6.5317
 7.808    6.5491
 7.796    6.5803
 7.784    6.6238
 7.772    6.6760
 7.761    6.7301
 7.749    6.7798
 7.737    6.8205
 7.726    6.8492
 7.715    6.8662
 7.703    6.8731
 7.692    6.8710
 7.680    6.8607
 7.669    6.8423
 7.657    6.8162
 7.646    6.7841
 7.635    6.7495
 7.624    6.7169
 7.613    6.6909
 7.601    6.6753
 7.590    6.6724
 7.579    6.6817
 7.568    6.7004
 7.557    6.7246
 7.546    6.7501
 7.535    6.7734
 7.524    6.7908
 7.513    6.8004
 7.502    6.8028
 7.492    6.7980
 7.481    6.7885
 7.470    6.7757
 7.459    6.7621
 7.449    6.7475
 7.438    6.7322
 7.427    6.7157
 7.417    6.6968
 7.406    6.6726
 7.395    6.6404
 7.385    6.5963
 7.374    6.5367
