Name: Shale (Arenaceous)
Type:  Rocks
Class:  Sedimentary
Subclass: Shale 
Particle Size:  0 - 75 Micrometers
Sample No.:  shale.1
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 387,  The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: A well-sorted sample, consisting of medium fine-grained 
subangular to subrounded quartz grains set in an abundant matrix of 
yellowish-brown clay (kaolinite and/or illite?). The quartz grains 
contain numerous fluid inclusions, and there are trace amounts of 
plagioclase, tourmaline (schorlite), microcline, and opaques.

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112
Last X Value:  0.4
Number of X Values: 2844
Additional Information:  None
14.983    2.0186
14.940    1.9073
14.897    1.7378
14.854    1.5523
14.812    1.4169
14.770    1.4098
14.728    1.4801
14.686    1.5232
14.645    1.4917
14.603    1.4064
14.562    1.2895
14.521    1.1706
14.481    1.0751
14.441    1.0202
14.400    0.9913
14.361    0.9764
14.321    0.9714
14.281    0.9908
14.242    1.0515
14.203    1.1590
14.164    1.3127
14.126    1.4924
14.087    1.6819
14.049    1.8803
14.011    2.0688
13.973    2.2341
13.936    2.3788
13.899    2.5126
13.861    2.6417
13.824    2.7530
13.788    2.8420
13.751    2.9138
13.715    2.9585
13.679    2.9716
13.643    2.9593
13.607    2.9330
13.571    2.8958
13.536    2.8423
13.500    2.7715
13.465    2.6879
13.430    2.5953
13.396    2.5012
13.361    2.4179
13.327    2.3570
13.293    2.3243
13.259    2.3168
13.225    2.3267
13.191    2.3461
13.158    2.3693
13.124    2.3907
13.091    2.4065
13.058    2.4091
13.026    2.3888
12.993    2.3355
12.960    2.2457
12.928    2.1242
12.896    1.9821
12.864    1.8339
12.832    1.6992
12.800    1.5926
12.769    1.5187
12.737    1.4803
12.706    1.4723
12.675    1.4820
12.644    1.4929
12.614    1.4858
12.583    1.4548
12.552    1.3979
12.522    1.3169
12.492    1.2284
12.462    1.1526
12.432    1.1062
12.402    1.1040
12.373    1.1561
12.343    1.2660
12.314    1.4237
12.285    1.6134
12.256    1.8240
12.227    2.0409
12.198    2.2533
12.169    2.4589
12.141    2.6578
12.113    2.8475
12.084    3.0270
12.056    3.1987
12.028    3.3659
12.000    3.5319
11.973    3.6991
11.945    3.8670
11.918    4.0346
11.890    4.1995
11.863    4.3591
11.836    4.5123
11.809    4.6572
11.782    4.7915
11.755    4.9063
11.729    4.9930
11.702    5.0510
11.676    5.0792
11.650    5.0818
11.624    5.0671
11.598    5.0387
11.572    4.9961
11.546    4.9352
11.520    4.8569
11.495    4.7628
11.469    4.6525
11.444    4.5381
11.419    4.4315
11.394    4.3361
11.369    4.2506
11.344    4.1722
11.319    4.0981
11.294    4.0211
11.270    3.9328
11.245    3.8303
11.221    3.7109
11.197    3.5724
11.173    3.4146
11.149    3.2430
11.125    3.0634
11.101    2.8804
11.077    2.7004
11.054    2.5273
11.030    2.3644
11.007    2.2142
10.983    2.0804
10.960    1.9722
10.937    1.8924
10.914    1.8379
10.891    1.8083
10.868    1.8005
10.846    1.8086
10.823    1.8247
10.800    1.8450
10.778    1.8713
10.755    1.8990
10.733    1.9187
10.711    1.9255
10.689    1.9222
10.667    1.9151
10.645    1.9104
10.623    1.9177
10.602    1.9492
10.580    2.0075
10.558    2.0833
10.537    2.1688
10.516    2.2585
10.494    2.3442
10.473    2.4153
10.452    2.4690
10.431    2.5079
10.410    2.5337
10.389    2.5465
10.368    2.5541
10.348    2.5638
10.327    2.5749
10.306    2.5837
10.286    2.5905
10.266    2.5927
10.245    2.5872
10.225    2.5716
10.205    2.5493
10.185    2.5247
10.165    2.5001
10.145    2.4766
10.125    2.4572
10.106    2.4392
10.086    2.4236
10.066    2.4089
10.047    2.3961
10.027    2.3876
10.008    2.3836
 9.989    2.3836
 9.970    2.3847
 9.950    2.3821
 9.931    2.3743
 9.912    2.3570
 9.893    2.3288
 9.875    2.2940
 9.856    2.2599
 9.837    2.2360
 9.819    2.2308
 9.800    2.2498
 9.781    2.2933
 9.763    2.3532
 9.745    2.4188
 9.726    2.4823
 9.708    2.5382
 9.690    2.5844
 9.672    2.6220
 9.654    2.6516
 9.636    2.6777
 9.618    2.7042
 9.600    2.7321
 9.582    2.7622
 9.565    2.7961
 9.547    2.8330
 9.530    2.8707
 9.512    2.9053
 9.495    2.9420
 9.477    2.9865
 9.460    3.0365
 9.443    3.0902
 9.426    3.1478
 9.409    3.2053
 9.392    3.2600
 9.375    3.3112
 9.358    3.3628
 9.341    3.4123
 9.324    3.4495
 9.307    3.4689
 9.291    3.4689
 9.274    3.4483
 9.257    3.4128
 9.241    3.3687
 9.225    3.3218
 9.208    3.2688
 9.192    3.2062
 9.175    3.1364
 9.159    3.0616
 9.143    2.9855
 9.127    2.9143
 9.111    2.8484
 9.095    2.7857
 9.079    2.7165
 9.063    2.6400
 9.047    2.5626
 9.032    2.4889
 9.016    2.4274
 9.000    2.3904
 8.985    2.3864
 8.969    2.4188
 8.954    2.4809
 8.938    2.5661
 8.923    2.6642
 8.908    2.7589
 8.892    2.8366
 8.877    2.8937
 8.862    2.9294
 8.847    2.9465
 8.832    2.9474
 8.817    2.9394
 8.802    2.9266
 8.787    2.9088
 8.772    2.8877
 8.757    2.8681
 8.742    2.8472
 8.727    2.8198
 8.713    2.7826
 8.698    2.7345
 8.684    2.6689
 8.669    2.5829
 8.655    2.4882
 8.640    2.4051
 8.626    2.3483
 8.612    2.3307
 8.597    2.3592
 8.583    2.4276
 8.569    2.5133
 8.555    2.5957
