Name: Argillaceous Shale  
Type:  Rocks
Class:  Sedimentary
Subclass: Shale 
Particle Size:  0 - 75 Micrometers
Sample No.:  shale.7
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 386,  The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: Sample contains microcrystalline brownish clay, quartz, 
and some carbonate, with discontinuous and irregular bands of 
hematite(?). There are fine-grained angular to subangular quartz 
grains throughout the sample, with regions of more concentrated 
grains rimmed by the opaque phase.

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None
14.983    1.7742
14.940    1.6996
14.897    1.6741
14.854    1.7250
14.812    1.8564
14.770    2.0406
14.728    2.2299
14.686    2.3762
14.645    2.4454
14.603    2.4181
14.562    2.2957
14.521    2.1055
14.481    1.8914
14.441    1.7003
14.400    1.5734
14.361    1.5381
14.321    1.5985
14.281    1.7335
14.242    1.9068
14.203    2.0828
14.164    2.2365
14.126    2.3584
14.087    2.4534
14.049    2.5358
14.011    2.6180
13.973    2.7035
13.936    2.7866
13.899    2.8584
13.861    2.9107
13.824    2.9431
13.788    2.9626
13.751    2.9808
13.715    3.0078
13.679    3.0492
13.643    3.1030
13.607    3.1629
13.571    3.2207
13.536    3.2714
13.500    3.3126
13.465    3.3450
13.430    3.3697
13.396    3.3872
13.361    3.3978
13.327    3.4011
13.293    3.3971
13.259    3.3877
13.225    3.3739
13.191    3.3566
13.158    3.3341
13.124    3.3022
13.091    3.2550
13.058    3.1864
13.026    3.0909
12.993    2.9685
12.960    2.8240
12.928    2.6680
12.896    2.5147
12.864    2.3793
12.832    2.2734
12.800    2.2024
12.769    2.1638
12.737    2.1482
12.706    2.1420
12.675    2.1313
12.644    2.1060
12.614    2.0610
12.583    1.9975
12.552    1.9232
12.522    1.8491
12.492    1.7884
12.462    1.7539
12.432    1.7562
12.402    1.8017
12.373    1.8914
12.343    2.0210
12.314    2.1808
12.285    2.3577
12.256    2.5387
12.227    2.7106
12.198    2.8645
12.169    2.9952
12.141    3.1006
12.113    3.1833
12.084    3.2482
12.056    3.3043
12.028    3.3614
12.000    3.4279
11.973    3.5091
11.945    3.6050
11.918    3.7114
11.890    3.8205
11.863    3.9262
11.836    4.0247
11.809    4.1180
11.782    4.2111
11.755    4.3105
11.729    4.4192
11.702    4.5364
11.676    4.6549
11.650    4.7617
11.624    4.8393
11.598    4.8689
11.572    4.8339
11.546    4.7252
11.520    4.5459
11.495    4.3162
11.469    4.0699
11.444    3.8492
11.419    3.6903
11.394    3.6157
11.369    3.6256
11.344    3.7014
11.319    3.8111
11.294    3.9210
11.270    4.0053
11.245    4.0496
11.221    4.0503
11.197    4.0107
11.173    3.9373
11.149    3.8376
11.125    3.7182
11.101    3.5847
11.077    3.4440
11.054    3.3031
11.030    3.1686
11.007    3.0471
10.983    2.9436
10.960    2.8619
10.937    2.8034
10.914    2.7665
10.891    2.7485
10.868    2.7459
10.846    2.7539
10.823    2.7684
10.800    2.7857
10.778    2.8030
10.755    2.8179
10.733    2.8292
10.711    2.8371
10.689    2.8420
10.667    2.8458
10.645    2.8494
10.623    2.8539
10.602    2.8593
10.580    2.8645
10.558    2.8683
10.537    2.8685
10.516    2.8636
10.494    2.8517
10.473    2.8323
10.452    2.8058
10.431    2.7724
10.410    2.7338
10.389    2.6916
10.368    2.6478
10.348    2.6031
10.327    2.5595
10.306    2.5183
10.286    2.4814
10.266    2.4496
10.245    2.4240
10.225    2.4039
10.205    2.3876
10.185    2.3715
10.165    2.3530
10.145    2.3310
10.125    2.3063
10.106    2.2820
10.086    2.2623
10.066    2.2500
10.047    2.2462
10.027    2.2493
10.008    2.2554
 9.989    2.2616
 9.970    2.2654
 9.950    2.2666
 9.931    2.2663
 9.912    2.2670
 9.893    2.2708
 9.875    2.2791
 9.856    2.2924
 9.837    2.3104
 9.819    2.3319
 9.800    2.3544
 9.781    2.3757
 9.763    2.3940
 9.745    2.4094
 9.726    2.4236
 9.708    2.4399
 9.690    2.4608
 9.672    2.4868
 9.654    2.5171
 9.636    2.5479
 9.618    2.5756
 9.600    2.5981
 9.582    2.6156
 9.565    2.6308
 9.547    2.6474
 9.530    2.6692
 9.512    2.6978
 9.495    2.7326
 9.477    2.7722
 9.460    2.8138
 9.443    2.8562
 9.426    2.8998
 9.409    2.9465
 9.392    2.9986
 9.375    3.0563
 9.358    3.1170
 9.341    3.1750
 9.324    3.2238
 9.307    3.2567
 9.291    3.2704
 9.274    3.2650
 9.257    3.2453
 9.241    3.2167
 9.225    3.1856
 9.208    3.1563
 9.192    3.1305
 9.175    3.1077
 9.159    3.0852
 9.143    3.0623
 9.127    3.0388
 9.111    3.0163
 9.095    2.9971
 9.079    2.9834
 9.063    2.9758
 9.047    2.9725
 9.032    2.9706
 9.016    2.9678
 9.000    2.9626
 8.985    2.9555
 8.969    2.9486
 8.954    2.9441
 8.938    2.9439
 8.923    2.9476
 8.908    2.9545
 8.892    2.9628
 8.877    2.9713
 8.862    2.9794
 8.847    2.9858
 8.832    2.9905
 8.817    2.9922
 8.802    2.9903
 8.787    2.9846
 8.772    2.9761
 8.757    2.9661
 8.742    2.9543
 8.727    2.9401
 8.713    2.9195
 8.698    2.8896
 8.684    2.8489
 8.669    2.8001
 8.655    2.7513
 8.640    2.7139
 8.626    2.6995
 8.612    2.7153
 8.597    2.7617
 8.583    2.8316
 8.569    2.9133
 8.555    2.9943
 8.541    3.0642
 8.527    3.1191
