Name: Siltstone
Type:  Rocks
Class:  Sedimentary
Subclass: Siltstone 
Particle Size:  0 - 75 Micrometers
Sample No.:  siltstone.1
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 455,  The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This is a very fine-grained, lineated/laminated sample 
consisting of brownish clay and very fine quartz particles (about 
equal amounts), along with tiny slivers of another phase (feldspar?). 
There are abundant small flecks and discontinuous lenses of 
carbonaceous and opaque material present as well.

Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112
Last X Value:  0.4
Number of X Values: 2844
Additional Information:  None
14.983    1.9814
14.940    2.0269
14.897    2.1046
14.854    2.1998
14.812    2.2895
14.770    2.3530
14.728    2.3814
14.686    2.3812
14.645    2.3727
14.603    2.3788
14.562    2.4139
14.521    2.4769
14.481    2.5519
14.441    2.6168
14.400    2.6514
14.361    2.6478
14.321    2.6123
14.281    2.5607
14.242    2.5095
14.203    2.4705
14.164    2.4432
14.126    2.4188
14.087    2.3831
14.049    2.3248
14.011    2.2386
13.973    2.1278
13.936    2.0018
13.899    1.8744
13.861    1.7591
13.824    1.6662
13.788    1.6028
13.751    1.5703
13.715    1.5658
13.679    1.5822
13.643    1.6103
13.607    1.6407
13.571    1.6653
13.536    1.6804
13.500    1.6857
13.465    1.6845
13.430    1.6816
13.396    1.6816
13.361    1.6868
13.327    1.6958
13.293    1.7058
13.259    1.7112
13.225    1.7093
13.191    1.6989
13.158    1.6826
13.124    1.6655
13.091    1.6534
13.058    1.6518
13.026    1.6615
12.993    1.6812
12.960    1.7060
12.928    1.7306
12.896    1.7489
12.864    1.7574
12.832    1.7548
12.800    1.7425
12.769    1.7247
12.737    1.7084
12.706    1.7025
12.675    1.7169
12.644    1.7617
12.614    1.8455
12.583    1.9746
12.552    2.1522
12.522    2.3783
12.492    2.6502
12.462    2.9628
12.432    3.3081
12.402    3.6766
12.373    4.0569
12.343    4.4377
12.314    4.8078
12.285    5.1578
12.256    5.4816
12.227    5.7750
12.198    6.0379
12.169    6.2714
12.141    6.4779
12.113    6.6604
12.084    6.8212
12.056    6.9619
12.028    7.0846
12.000    7.1907
11.973    7.2816
11.945    7.3588
11.918    7.4223
11.890    7.4713
11.863    7.5037
11.836    7.5172
11.809    7.5106
11.782    7.4831
11.755    7.4365
11.729    7.3735
11.702    7.2987
11.676    7.2172
11.650    7.1343
11.624    7.0547
11.598    6.9818
11.572    6.9172
11.546    6.8608
11.520    6.8115
11.495    6.7672
11.469    6.7277
11.444    6.6924
11.419    6.6626
11.394    6.6389
11.369    6.6209
11.344    6.6060
11.319    6.5899
11.294    6.5671
11.270    6.5323
11.245    6.4812
11.221    6.4118
11.197    6.3242
11.173    6.2204
11.149    6.1030
11.125    5.9758
11.101    5.8430
11.077    5.7080
