Name: Limestone-Siltstone 
Type:  Rocks
Class:  Sedimentary
Subclass: Siltstone 
Particle Size:  0 - 75 Micrometers
Sample No.:  siltstone.2
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 352,  The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This sample contains a microcrystalline groundmass or 
matrix of quartz, carbonate, and possibly some clay. There are 
irregular regions of larger anhedra of carbonate and quartz, with 
some grains of muscovite, glauconite, and green biotite.


Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112
Last X Value:  0.4
Number of X Values: 2844
Additional Information:  None
14.983    1.8327
14.940    1.7899
14.897    1.7738
14.854    1.8050
14.812    1.8957
14.770    2.0335
14.728    2.1830
14.686    2.3153
14.645    2.4148
14.603    2.4669
14.562    2.4494
14.521    2.3518
14.481    2.1851
14.441    1.9800
14.400    1.7887
14.361    1.6710
14.321    1.6726
14.281    1.8069
14.242    2.0499
14.203    2.3535
14.164    2.6665
14.126    2.9493
14.087    3.1835
14.049    3.3680
14.011    3.5084
13.973    3.6122
13.936    3.6839
13.899    3.7277
13.861    3.7483
13.824    3.7507
13.788    3.7417
13.751    3.7277
13.715    3.7111
13.679    3.6915
13.643    3.6664
13.607    3.6342
13.571    3.5949
13.536    3.5480
13.500    3.4975
13.465    3.4516
13.430    3.4196
13.396    3.4111
13.361    3.4350
13.327    3.4973
13.293    3.6001
13.259    3.7396
13.225    3.9091
13.191    4.0967
13.158    4.2823
13.124    4.4401
13.091    4.5419
13.058    4.5625
13.026    4.4867
12.993    4.3157
12.960    4.0709
12.928    3.7881
12.896    3.5094
12.864    3.2709
12.832    3.0961
12.800    2.9912
12.769    2.9443
12.737    2.9320
12.706    2.9268
12.675    2.9050
12.644    2.8503
12.614    2.7572
12.583    2.6310
12.552    2.4866
12.522    2.3447
12.492    2.2270
12.462    2.1522
12.432    2.1332
12.402    2.1728
12.373    2.2614
12.343    2.3817
12.314    2.5126
12.285    2.6350
12.256    2.7359
12.227    2.8127
12.198    2.8712
12.169    2.9228
12.141    2.9803
12.113    3.0537
12.084    3.1485
12.056    3.2645
12.028    3.3976
12.000    3.5437
11.973    3.6995
11.945    3.8613
11.918    4.0261
11.890    4.1890
11.863    4.3432
11.836    4.4803
11.809    4.5940
11.782    4.6816
11.755    4.7448
11.729    4.7868
11.702    4.8104
11.676    4.8171
11.650    4.8057
11.624    4.7749
11.598    4.7247
11.572    4.6582
11.546    4.5812
11.520    4.4986
11.495    4.4152
11.469    4.3342
11.444    4.2575
11.419    4.1864
11.394    4.1234
11.369    4.0713
11.344    4.0318
11.319    4.0036
11.294    3.9828
11.270    3.9607
11.245    3.9278
11.221    3.8757
11.197    3.8004
11.173    3.7033
11.149    3.5894
11.125    3.4675
11.101    3.3472
11.077    3.2351
11.054    3.1373
