Name: Travertine 
Type:  Rocks
Class:  Sedimentary
Subclass: Travertine 
Particle Size:  0 - 75 Micrometers
Sample No.:  travertine.1
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 357,  The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: A predominantly microcrystalline carbonate with vugs 
or pores often filled with larger carbonate crystals. These vugs are 
usually rimmed by hematitic material which also occurs as irregular 
bands throughout the sample.


Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831
Last X Value:  0.4
Number of X Values: 2868
Additional Information:  None
14.983   17.6770
14.983   17.9210
14.940   18.2760
14.897   18.6450
14.854   18.9420
14.812   19.1040
14.770   19.1360
14.728   19.1370
14.686   19.1220
14.645   19.0400
14.603   18.8950
14.562   18.7280
14.521   18.4990
14.481   18.1410
14.441   17.6290
14.400   16.9330
14.361   15.9440
14.321   14.5600
14.281   12.7630
14.242   10.6160
14.203    8.2447
14.164    5.8489
14.126    3.6886
14.087    2.0629
14.049    1.2364
14.011    1.3728
13.973    2.5124
13.936    4.5537
13.899    7.2444
13.861   10.2090
13.824   13.0670
13.788   15.5530
13.751   17.5470
13.715   19.0560
13.679   20.1780
13.643   21.0450
13.607   21.7520
13.571   22.3380
13.536   22.8060
13.500   23.1590
13.465   23.4090
13.430   23.5700
13.396   23.6730
13.361   23.7380
13.327   23.7760
13.293   23.7880
13.259   23.7660
13.225   23.7040
13.191   23.5930
13.158   23.4420
13.124   23.2710
13.091   23.0960
13.058   22.9290
13.026   22.7790
12.993   22.6490
12.960   22.5410
12.928   22.4520
12.896   22.3930
12.864   22.3800
12.832   22.4280
12.800   22.5470
12.769   22.7280
12.737   22.9500
12.706   23.1870
12.675   23.4080
12.644   23.5950
12.614   23.7580
12.583   23.9240
12.552   24.1180
12.522   24.3500
12.492   24.6120
12.462   24.8820
12.432   25.1320
12.402   25.3480
12.373   25.5350
12.343   25.7140
12.314   25.9020
12.285   26.1090
12.256   26.3340
12.227   26.5600
12.198   26.7720
12.169   26.9530
12.141   27.0920
12.113   27.1750
12.084   27.1920
12.056   27.1540
12.028   27.1660
12.000   27.2180
11.973   26.9630
11.945   26.0130
11.918   24.2450
11.890   21.8430
11.863   19.2560
11.836   17.1580
11.809   16.3150
11.782   16.9110
11.755   18.2450
11.729   19.4580
11.702   19.9500
11.676   19.3830
11.650   17.7180
11.624   15.2660
11.598   12.5480
11.572    9.9325
11.546    7.5528
11.520    5.5929
11.495    4.2184
11.469    3.3862
11.444    2.9311
11.419    2.7845
11.394    3.0230
11.369    3.8208
11.344    5.3710
11.319    7.7830
11.294   10.9140
11.270   14.2850
