Name:  Brown sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2410
Owner:  JHU
Wavelength range:  All
Origin:  Llano Co., Tx. via USDA Soil Conservation service.

Description:  The parent material is granitic rock from level or 
undulating plains.  Brown sandy loam (fine, mixed, thermic udic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2410a.txt
14.011    2.0520
13.973    2.0413
13.936    1.9094
13.899    1.9766
13.861    2.0522
13.824    2.0984
13.788    2.1201
13.751    2.1460
13.715    2.1626
13.679    2.1582
13.643    2.1477
13.607    2.1873
13.571    2.1995
13.536    2.1894
13.500    2.1943
13.465    2.1956
13.430    2.2368
13.396    2.3015
13.361    2.2480
13.327    2.2158
13.293    2.2724
13.259    2.3037
13.225    2.3259
13.191    2.3760
13.158    2.3418
13.124    2.3245
13.091    2.3447
13.058    2.4094
13.025    2.4346
12.993    2.4353
12.960    2.4365
12.928    2.4631
12.896    2.5720
12.864    2.6477
12.832    2.6370
12.800    2.6435
12.769    2.5532
12.738    2.4070
12.706    2.2353
12.675    2.1521
12.644    2.0879
12.614    2.0862
12.583    2.1731
12.552    2.2712
12.522    2.3124
12.492    2.2768
12.462    2.1816
12.432    2.0488
12.402    1.8455
12.373    1.6457
12.343    1.5178
12.314    1.4668
12.285    1.4944
12.256    1.5435
12.227    1.6335
12.198    1.7585
12.169    1.7827
12.141    1.7976
12.113    1.9065
12.084    2.0298
12.056    2.1284
12.028    2.1897
12.000    2.2270
11.973    2.3276
11.945    2.4087
11.918    2.5178
11.890    2.5940
11.863    2.6333
11.836    2.6604
11.809    2.7085
11.782    2.7717
11.756    2.8184
11.729    2.8323
11.702    2.8684
11.676    2.9287
11.650    2.9714
11.624    2.9636
11.598    2.9372
11.572    2.9072
11.546    2.9150
11.520    2.8982
11.495    2.9177
11.469    2.9409
11.444    2.9617
11.419    2.9814
11.394    3.0090
11.369    3.0146
11.344    3.0156
11.319    3.0059
11.294    3.0632
11.270    3.1238
11.246    3.1326
11.221    3.0691
11.197    3.0505
11.173    3.0654
11.149    3.0933
11.125    3.0767
11.101    3.0549
11.077    3.0561
11.054    3.0244
11.030    2.9866
11.007    3.0095
10.983    2.9753
10.960    2.9238
10.937    2.9263
10.914    2.9382
10.891    2.9392
10.868    2.9756
10.845    2.9582
10.823    2.9651
10.800    2.9785
10.778    3.0127
10.756    3.0268
10.733    3.0217
10.711    3.0132
10.689    3.0322
10.667    3.0583
10.645    3.0940
10.623    3.1211
10.602    3.1184
10.580    3.1113
10.558    3.1250
10.537    3.1499
10.515    3.1980
10.494    3.2158
10.473    3.2319
10.452    3.2471
10.431    3.3008
10.410    3.3249
10.389    3.3281
10.368    3.3686
10.348    3.3913
10.327    3.4065
10.307    3.4770
10.286    3.5139
10.266    3.5393
10.245    3.5903
10.225    3.6650
10.205    3.7014
10.185    3.7473
10.165    3.8176
10.145    3.9133
10.125    3.9722
10.106    4.0393
10.086    4.0933
10.066    4.1999
10.047    4.3247
10.027    4.3860
10.008    4.4082
 9.989    4.4307
 9.970    4.4787
 9.950    4.6401
 9.931    4.7092
 9.912    4.7046
 9.893    4.7151
 9.875    4.7474
 9.856    4.7392
 9.837    4.7444
 9.819    4.8193
 9.800    4.9070
 9.781    4.9424
 9.763    4.9814
 9.745    5.0740
 9.726    5.1743
 9.708    5.2480
 9.690    5.3472
 9.672    5.4470
 9.654    5.5234
 9.636    5.5676
 9.618    5.6179
 9.600    5.6528
 9.582    5.7639
 9.565    5.8618
 9.547    5.9158
 9.530    5.9929
 9.512    6.0769
 9.495    6.1631
 9.477    6.2610
 9.460    6.3948
 9.443    6.5575
 9.426    6.6977
 9.409    6.8174
 9.392    7.0322
 9.375    7.3154
 9.358    7.5227
 9.341    7.6982
 9.324    7.8606
 9.307    7.9638
 9.291    7.9858
 9.274    8.0068
 9.257    7.9773
 9.241    7.9468
 9.225    7.9106
 9.208    7.9038
 9.192    7.8989
 9.175    7.8496
 9.159    7.7961
 9.143    7.7483
 9.127    7.6716
 9.111    7.6284
 9.095    7.5703
 9.079    7.4931
 9.063    7.4167
 9.047    7.3457
 9.032    7.3130
 9.016    7.3362
 9.000    7.3371
 8.985    7.2573
 8.969    7.2109
 8.954    7.3120
 8.938    7.3884
 8.923    7.3950
 8.908    7.4619
 8.892    7.5593
 8.877    7.6118
 8.862    7.6155
 8.847    7.6484
 8.832    7.6521
 8.817    7.6075
 8.802    7.6247
 8.787    7.6169
 8.772    7.5718
 8.757    7.5520
 8.742    7.5359
 8.727    7.5224
 8.713    7.5215
 8.698    7.4199
 8.684    7.2541
 8.669    7.0356
 8.655    6.6809
 8.640    6.3201
 8.626    6.2014
 8.612    6.3996
 8.597    6.7875
 8.583    7.1294
 8.569    7.3650
 8.555    7.5010
 8.541    7.6262
 8.527    7.7593
 8.513    7.7993
 8.499    7.8313
 8.485    7.9211
 8.471    7.9551
 8.457    7.9824
 8.443    8.0266
 8.430    8.0984
 8.416    8.1191
 8.402    8.1120
 8.389    8.1833
 8.375    8.2605
 8.361    8.2805
 8.348    8.3220
 8.335    8.3542
 8.321    8.3894
 8.308    8.4350
 8.295    8.5115
 8.281    8.5632
 8.268    8.5666
 8.255    8.6274
 8.242    8.7163
 8.229    8.7192
 8.216    8.6682
 8.203    8.5849
 8.190    8.4770
 8.177    8.3235
 8.164    8.0937
 8.151    7.8181
 8.138    7.5119
 8.126    7.1391
 8.113    6.7807
 8.100    6.4336
 8.088    6.1067
 8.075    5.8066
 8.062    5.5244
 8.050    5.2561
 8.037    4.9692
 8.025    4.7095
 8.013    4.5498
 8.000    4.3799
 7.988    4.1960
 7.976    3.9863
 7.963    3.7842
 7.951    3.6311
 7.939    3.4753
 7.927    3.2776
 7.915    3.1067
 7.903    2.9739
 7.891    2.8357
 7.879    2.6882
 7.867    2.5957
 7.855    2.5247
 7.843    2.4167
 7.831    2.3054
 7.819    2.2349
 7.808    2.1809
 7.796    2.1311
 7.784    2.1003
 7.772    2.0940
 7.761    2.0593
 7.749    2.0364
 7.737    2.0002
 7.726    1.9443
 7.715    1.9072
 7.703    1.8948
 7.692    1.8415
 7.680    1.8154
 7.669    1.8149
 7.657    1.8035
 7.646    1.7720
 7.635    1.7165
 7.624    1.6516
 7.613    1.6472
 7.601    1.6421
 7.590    1.6008
 7.579    1.5786
 7.568    1.5676
 7.557    1.5544
 7.546    1.5662
 7.535    1.5398
 7.524    1.5478
 7.513    1.5278
 7.502    1.4915
 7.492    1.4927
 7.481    1.4866
 7.470    1.4695
 7.459    1.4731
 7.449    1.4932
 7.438    1.4932
 7.427    1.4770
 7.417    1.4397
 7.406    1.4138
 7.395    1.4353
 7.385    1.4582
 7.374    1.4553
 7.364    1.4561
 7.353    1.4529
 7.343    1.4185
 7.333    1.4172
 7.322    1.4314
 7.312    1.4111
 7.302    1.4211
 7.291    1.4499
 7.281    1.4451
 7.271    1.4456
 7.261    1.4800
 7.251    1.4856
 7.240    1.4834
 7.230    1.4751
 7.220    1.4631
 7.210    1.4851
 7.200    1.5081
 7.190    1.5164
 7.180    1.5027
 7.170    1.5107
 7.160    1.5295
 7.151    1.5505
 7.141    1.5496
 7.131    1.5626
 7.121    1.5998
 7.111    1.6118
 7.102    1.6169
 7.092    1.5884
 7.082    1.5776
 7.072    1.5879
 7.063    1.5896
 7.053    1.5730
 7.044    1.5854
 7.034    1.6333
 7.025    1.6565
 7.015    1.6792
 7.006    1.6836
 6.996    1.6836
 6.987    1.6916
 6.977    1.7388
 6.968    1.7165
 6.959    1.7078
 6.949    1.7544
 6.940    1.7847
 6.931    1.8098
 6.921    1.8523
 6.912    1.8684
 6.903    1.8621
 6.894    1.8784
 6.885    1.9006
 6.875    1.8867
 6.866    1.8516
 6.857    1.8840
 6.848    1.9341
 6.839    1.9556
 6.830    1.9644
 6.821    1.9631
 6.812    1.9924
 6.803    2.0615
 6.794    2.0715
 6.785    2.0437
 6.777    2.0852
 6.768    2.1211
 6.759    2.1411
 6.750    2.1362
 6.741    2.1409
 6.733    2.1733
 6.724    2.1926
 6.715    2.1599
 6.707    2.1438
 6.698    2.1799
 6.689    2.2053
 6.681    2.2153
 6.672    2.2407
 6.663    2.2729
 6.655    2.2859
 6.646    2.2519
 6.638    2.1860
 6.629    2.2170
 6.621    2.2383
 6.612    2.2373
 6.604    2.2649
 6.596    2.2668
 6.587    2.2412
 6.579    2.1804
 6.571    2.1377
 6.562    2.1816
 6.554    2.2241
 6.546    2.2039
 6.537    2.2082
 6.529    2.2136
 6.521    2.2363
 6.513    2.3057
 6.505    2.2942
 6.496    2.2280
 6.488    2.2397
 6.480    2.2810
 6.472    2.3401
 6.464    2.3948
 6.456    2.3997
 6.448    2.3730
 6.440    2.3606
 6.432    2.3660
 6.424    2.3118
 6.416    2.2187
 6.408    2.2449
 6.400    2.3315
 6.392    2.3198
 6.384    2.2932
 6.377    2.2612
 6.369    2.2205
 6.361    2.2331
 6.353    2.1799
 6.345    2.0959
 6.338    2.1099
 6.330    2.1335
 6.322    2.1074
 6.314    2.0642
 6.307    2.0410
 6.299    2.0173
 6.291    1.9739
 6.284    1.9463
 6.276    1.9287
 6.269    1.9260
 6.261    1.9111
 6.253    1.8894
 6.246    1.8706
 6.239    1.8342
 6.231    1.7917
 6.223    1.7634
 6.216    1.7546
 6.209    1.7219
 6.201    1.7036
 6.194    1.7244
 6.186    1.7151
 6.179    1.7043
 6.172    1.6833
 6.164    1.6599
 6.157    1.6909
 6.150    1.7053
 6.142    1.7024
 6.135    1.7214
 6.128    1.7300
 6.121    1.7141
 6.113    1.6863
 6.106    1.7297
 6.099    1.7766
 6.092    1.7871
 6.085    1.7922
 6.078    1.7820
 6.070    1.8000
 6.063    1.8640
 6.056    1.8518
 6.049    1.7942
 6.042    1.8481
 6.035    1.9299
 6.028    1.9600
 6.021    1.9685
 6.014    1.9841
 6.007    2.0281
 6.000    2.0515
 5.993    2.0461
 5.986    2.0745
 5.979    2.1311
 5.973    2.1623
 5.966    2.1787
 5.959    2.2117
 5.952    2.2385
 5.945    2.2629
 5.938    2.2388
 5.931    2.2778
 5.925    2.3977
 5.918    2.4812
 5.911    2.5395
 5.904    2.5826
 5.898    2.5923
 5.891    2.6814
 5.884    2.7353
 5.878    2.8135
 5.871    2.9651
 5.864    3.0207
 5.858    3.1079
 5.851    3.1982
 5.845    3.2832
 5.838    3.3369
 5.831    3.3472
 5.825    3.3721
 5.818    3.4646
 5.812    3.5857
 5.805    3.6687
 5.799    3.7190
 5.792    3.8157
 5.786    3.8701
 5.779    3.9280
 5.773    3.9392
 5.767    3.9077
 5.760    4.0327
 5.754    4.1572
