Name:  Brown to dark brown silt loam
Type:  Soils
Class:  Entisol
Subclass:  Ustifluvent
Particle Size:  see additional information
Sample No.:  82P2230
Owner:  JHU
Wavelength range:  All
Origin:  Near Bait Radam, Yemen via USDA Soil Conservation service.

Description:  Parent material: alluvium.  Brown to dark brown silt 
loam (fine-loamy, mixed-calcareous, isothermic typic ustifluvent).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2230a.txt
14.983    1.6128
14.940    1.6038
14.897    1.6042
14.854    1.6130
14.812    1.6267
14.770    1.6426
14.728    1.6597
14.686    1.6763
14.645    1.6907
14.603    1.6992
14.562    1.6970
14.521    1.6785
14.481    1.6416
14.441    1.5879
14.400    1.5247
14.361    1.4634
14.321    1.4167
14.281    1.3948
14.242    1.4016
14.203    1.4343
14.164    1.4832
14.126    1.5366
14.087    1.5835
14.049    1.6165
14.011    1.6348
13.973    1.6406
13.936    1.6396
13.899    1.6360
13.861    1.6318
13.824    1.6277
13.788    1.6226
13.751    1.6165
13.715    1.6103
13.679    1.6060
13.643    1.6060
13.607    1.6106
13.571    1.6194
13.536    1.6304
13.500    1.6406
13.465    1.6489
13.430    1.6553
13.396    1.6616
13.361    1.6697
13.327    1.6814
13.293    1.6956
13.259    1.7095
13.225    1.7183
13.191    1.7183
13.158    1.7080
13.124    1.6902
13.091    1.6709
13.058    1.6580
13.026    1.6567
12.993    1.6697
12.960    1.6931
12.928    1.7205
12.896    1.7436
12.864    1.7563
12.832    1.7576
12.800    1.7500
12.769    1.7410
12.737    1.7373
12.706    1.7436
12.675    1.7605
12.644    1.7834
12.614    1.8052
12.583    1.8174
12.552    1.8140
12.522    1.7935
12.492    1.7573
12.462    1.7114
12.432    1.6631
12.402    1.6199
12.373    1.5872
12.343    1.5686
12.314    1.5662
12.285    1.5786
12.256    1.6038
12.227    1.6387
12.198    1.6799
12.169    1.7241
12.141    1.7700
12.113    1.8166
12.084    1.8647
12.056    1.9133
12.028    1.9612
12.000    2.0054
11.973    2.0430
11.945    2.0710
11.918    2.0891
11.890    2.0979
11.863    2.1018
11.836    2.1047
11.809    2.1106
11.782    2.1226
11.755    2.1411
11.729    2.1645
11.702    2.1907
11.676    2.2168
11.650    2.2402
11.624    2.2590
11.598    2.2717
11.572    2.2788
11.546    2.2817
11.520    2.2832
11.495    2.2856
11.469    2.2927
11.444    2.3052
11.419    2.3223
11.394    2.3430
11.369    2.3640
11.344    2.3831
11.319    2.3999
11.294    2.4148
11.270    2.4287
11.245    2.4434
11.221    2.4592
11.197    2.4763
11.173    2.4949
11.149    2.5139
11.125    2.5342
11.101    2.5544
11.077    2.5740
11.054    2.5903
11.030    2.5998
11.007    2.5994
10.983    2.5867
10.960    2.5618
10.937    2.5283
10.914    2.4917
10.891    2.4597
10.868    2.4390
10.846    2.4353
10.823    2.4512
10.800    2.4846
10.778    2.5305
10.755    2.5810
10.733    2.6277
10.711    2.6636
10.689    2.6853
10.667    2.6941
10.645    2.6951
10.623    2.6955
10.602    2.7031
10.580    2.7234
10.558    2.7588
10.537    2.8083
10.516    2.8682
10.494    2.9326
10.473    2.9968
10.452    3.0566
10.431    3.1101
10.410    3.1577
10.389    3.2009
10.368    3.2432
10.348    3.2873
10.327    3.3362
10.306    3.3921
10.286    3.4578
10.266    3.5342
10.245    3.6221
10.225    3.7195
10.205    3.8240
10.185    3.9326
10.165    4.0420
10.145    4.1506
10.125    4.2580
10.106    4.3657
10.086    4.4744
10.066    4.5854
10.047    4.6980
10.027    4.8098
10.008    4.9187
 9.989    5.0220
 9.970    5.1179
 9.950    5.2063
 9.931    5.2881
 9.912    5.3655
 9.893    5.4407
 9.875    5.5151
 9.856    5.5911
 9.837    5.6699
 9.819    5.7532
 9.800    5.8430
 9.781    5.9431
 9.763    6.0556
 9.745    6.1821
 9.726    6.3210
 9.708    6.4687
 9.690    6.6180
 9.672    6.7630
 9.654    6.8980
 9.636    7.0210
 9.618    7.1300
 9.600    7.2290
 9.582    7.3170
 9.565    7.3950
 9.547    7.4590
 9.530    7.5060
 9.512    7.5310
 9.495    7.5300
 9.477    7.5030
 9.460    7.4530
 9.443    7.3800
 9.426    7.2890
 9.409    7.1820
 9.392    7.0620
 9.375    6.9290
 9.358    6.7870
 9.341    6.6360
 9.324    6.4817
 9.307    6.3269
 9.291    6.1758
 9.274    6.0320
 9.257    5.8970
 9.241    5.7707
 9.225    5.6526
 9.208    5.5412
 9.192    5.4355
 9.175    5.3352
 9.159    5.2407
 9.143    5.1526
 9.127    5.0713
 9.111    4.9961
 9.095    4.9267
 9.079    4.8616
 9.063    4.8000
 9.047    4.7432
 9.032    4.6926
 9.016    4.6523
 9.000    4.6262
 8.985    4.6174
 8.969    4.6272
 8.954    4.6543
 8.938    4.6943
 8.923    4.7402
 8.908    4.7849
 8.892    4.8210
 8.877    4.8432
 8.862    4.8486
 8.847    4.8374
 8.832    4.8122
 8.817    4.7773
 8.802    4.7380
 8.787    4.6985
 8.772    4.6604
 8.757    4.6221
 8.742    4.5791
 8.727    4.5239
 8.713    4.4504
 8.698    4.3557
 8.684    4.2446
 8.669    4.1274
 8.655    4.0220
 8.640    3.9448
 8.626    3.9089
 8.612    3.9187
 8.597    3.9683
 8.583    4.0439
 8.569    4.1287
 8.555    4.2053
 8.541    4.2617
 8.527    4.2922
 8.513    4.2978
 8.499    4.2851
 8.485    4.2627
 8.471    4.2400
 8.457    4.2246
 8.443    4.2217
 8.430    4.2319
 8.416    4.2532
 8.402    4.2825
 8.389    4.3159
 8.375    4.3508
 8.361    4.3867
 8.348    4.4233
 8.335    4.4612
 8.321    4.4993
 8.308    4.5373
 8.295    4.5735
 8.281    4.6067
 8.268    4.6357
 8.255    4.6594
 8.242    4.6763
 8.229    4.6831
 8.216    4.6763
 8.203    4.6511
 8.190    4.6035
 8.177    4.5322
 8.164    4.4382
 8.151    4.3257
 8.138    4.1997
 8.126    4.0664
 8.113    3.9302
 8.100    3.7949
 8.088    3.6628
 8.075    3.5356
 8.062    3.4136
 8.050    3.2981
 8.037    3.1894
 8.025    3.0879
 8.013    2.9944
 8.000    2.9082
 7.988    2.8291
 7.976    2.7559
 7.963    2.6880
 7.951    2.6240
 7.939    2.5632
 7.927    2.5044
 7.915    2.4477
 7.903    2.3938
 7.891    2.3445
 7.879    2.3013
 7.867    2.2664
 7.855    2.2407
 7.843    2.2246
 7.831    2.2168
 7.819    2.2153
 7.808    2.2178
 7.796    2.2214
 7.784    2.2239
 7.772    2.2239
 7.761    2.2217
 7.749    2.2180
 7.737    2.2143
 7.726    2.2112
 7.715    2.2085
 7.703    2.2053
 7.692    2.2007
 7.680    2.1938
 7.669    2.1853
 7.657    2.1768
 7.646    2.1694
 7.635    2.1660
 7.624    2.1672
 7.613    2.1728
 7.601    2.1811
 7.590    2.1907
 7.579    2.2009
 7.568    2.2107
 7.557    2.2205
 7.546    2.2302
 7.535    2.2400
 7.524    2.2490
 7.513    2.2561
 7.502    2.2595
 7.492    2.2588
 7.481    2.2546
 7.470    2.2488
 7.459    2.2429
 7.449    2.2397
 7.438    2.2395
 7.427    2.2422
 7.417    2.2458
 7.406    2.2485
 7.395    2.2490
 7.385    2.2478
 7.374    2.2454
 7.364    2.2439
 7.353    2.2451
 7.343    2.2498
 7.333    2.2581
 7.322    2.2685
 7.312    2.2795
 7.302    2.2903
 7.291    2.3008
 7.281    2.3113
 7.271    2.3232
 7.261    2.3376
 7.251    2.3547
 7.240    2.3730
 7.230    2.3906
 7.220    2.4043
 7.210    2.4119
 7.200    2.4128
 7.190    2.4080
 7.180    2.4001
 7.170    2.3928
 7.160    2.3899
 7.151    2.3931
 7.141    2.4040
 7.131    2.4206
 7.121    2.4409
 7.111    2.4619
 7.102    2.4795
 7.092    2.4922
 7.082    2.4990
 7.072    2.5005
 7.063    2.4988
 7.053    2.4961
 7.044    2.4946
 7.034    2.4961
 7.025    2.5010
 7.015    2.5090
 7.006    2.5195
 6.996    2.5317
 6.987    2.5454
 6.977    2.5608
 6.968    2.5791
 6.959    2.6006
 6.949    2.6262
 6.940    2.6548
 6.931    2.6843
 6.921    2.7119
 6.912    2.7339
 6.903    2.7478
 6.894    2.7534
 6.885    2.7534
 6.875    2.7517
 6.866    2.7534
 6.857    2.7622
 6.848    2.7781
 6.839    2.7996
 6.830    2.8227
 6.821    2.8437
 6.812    2.8608
 6.803    2.8760
 6.794    2.8911
 6.785    2.9092
 6.777    2.9316
 6.768    2.9565
 6.759    2.9792
 6.750    2.9954
 6.741    3.0015
 6.733    2.9980
 6.724    2.9885
 6.715    2.9785
 6.707    2.9729
 6.698    2.9739
 6.689    2.9802
 6.681    2.9890
 6.672    2.9956
 6.663    2.9976
 6.655    2.9941
 6.646    2.9873
 6.638    2.9795
 6.629    2.9729
 6.621    2.9665
 6.612    2.9597
 6.604    2.9504
 6.596    2.9380
 6.587    2.9246
 6.579    2.9133
 6.571    2.9082
 6.562    2.9121
 6.554    2.9233
 6.546    2.9387
 6.537    2.9526
 6.529    2.9602
 6.521    2.9604
 6.513    2.9560
 6.505    2.9526
 6.496    2.9556
 6.488    2.9680
 6.480    2.9875
 6.472    3.0071
 6.464    3.0176
 6.456    3.0117
 6.448    2.9873
 6.440    2.9487
 6.432    2.9053
 6.424    2.8672
 6.416    2.8420
 6.408    2.8315
 6.400    2.8313
 6.392    2.8325
 6.384    2.8269
 6.377    2.8091
 6.369    2.7778
 6.361    2.7371
 6.353    2.6921
 6.345    2.6489
 6.338    2.6099
 6.330    2.5754
 6.322    2.5444
 6.314    2.5137
 6.307    2.4805
 6.299    2.4436
 6.291    2.4018
 6.284    2.3555
 6.276    2.3052
 6.269    2.2522
 6.261    2.1982
 6.253    2.1443
 6.246    2.0918
 6.239    2.0405
 6.231    1.9902
 6.223    1.9402
 6.216    1.8899
 6.209    1.8386
 6.201    1.7878
 6.194    1.7395
 6.186    1.6960
 6.179    1.6587
 6.172    1.6279
 6.164    1.6028
 6.157    1.5811
 6.150    1.5601
 6.142    1.5388
 6.135    1.5176
 6.128    1.4978
 6.121    1.4822
 6.113    1.4714
 6.106    1.4663
 6.099    1.4648
 6.092    1.4651
 6.085    1.4646
 6.078    1.4626
 6.070    1.4604
 6.063    1.4597
 6.056    1.4626
 6.049    1.4707
 6.042    1.4836
 6.035    1.5010
 6.028    1.5207
 6.021    1.5420
 6.014    1.5642
