Name:  Gray/dark brown extremely stoney coarse sandy 
Type:  Soils
Class:  Inceptisol
Subclass:  Cryumbrept
Particle Size:  see additional information
Sample No.:  87P3855
Owner:  JHU
Wavelength range:  All
Origin:  Lake Co., Co. via USDA Soil Conservation service.

Description:  Dark grayish brown and very dark brown extremely stoney 
coarse sandy loam (loamy skeletal, mixed, pergelic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P3855a.txt
14.011    1.9641
13.973    2.0002
13.936    2.0259
13.899    2.0410
13.861    2.0530
13.824    2.0693
13.788    2.0925
13.751    2.1189
13.715    2.1404
13.679    2.1550
13.643    2.1648
13.607    2.1665
13.571    2.1609
13.536    2.1501
13.500    2.1370
13.465    2.1240
13.430    2.1167
13.396    2.1213
13.361    2.1374
13.327    2.1577
13.293    2.1768
13.259    2.1916
13.225    2.2041
13.191    2.2131
13.158    2.2263
13.124    2.2517
13.091    2.2891
13.058    2.3347
13.025    2.3877
12.993    2.4485
12.960    2.5139
12.928    2.5752
12.896    2.6291
12.864    2.6702
12.832    2.6892
12.800    2.6794
12.769    2.6445
12.738    2.5962
12.706    2.5476
12.675    2.5095
12.644    2.4951
12.614    2.5076
12.583    2.5386
12.552    2.5752
12.522    2.6008
12.492    2.6020
12.462    2.5698
12.432    2.5015
12.402    2.4092
12.373    2.3122
12.343    2.2310
12.314    2.1814
12.285    2.1702
12.256    2.1909
12.227    2.2312
12.198    2.2773
12.169    2.3237
12.141    2.3699
12.113    2.4192
12.084    2.4741
12.056    2.5337
12.028    2.5923
12.000    2.6448
11.973    2.6924
11.945    2.7393
11.918    2.7891
11.890    2.8450
11.863    2.9065
11.836    2.9719
11.809    3.0356
11.782    3.0898
11.756    3.1333
11.729    3.1650
11.702    3.1858
11.676    3.1987
11.650    3.2085
11.624    3.2214
11.598    3.2371
11.572    3.2534
11.546    3.2693
11.520    3.2839
11.495    3.2954
11.469    3.3030
11.444    3.3066
11.419    3.3091
11.394    3.3108
11.369    3.3135
11.344    3.3176
11.319    3.3225
11.294    3.3269
11.270    3.3281
11.246    3.3252
11.221    3.3210
11.197    3.3186
11.173    3.3205
11.149    3.3254
11.125    3.3315
11.101    3.3381
11.077    3.3418
11.054    3.3389
11.030    3.3313
11.007    3.3218
10.983    3.3115
10.960    3.3015
10.937    3.2942
10.914    3.2927
10.891    3.2949
10.868    3.2964
10.845    3.2981
10.823    3.2993
10.800    3.3005
10.778    3.3032
10.756    3.3096
10.733    3.3215
10.711    3.3408
10.689    3.3664
10.667    3.3977
10.645    3.4331
10.623    3.4717
10.602    3.5117
10.580    3.5503
10.558    3.5869
10.537    3.6225
10.515    3.6597
10.494    3.6982
10.473    3.7361
10.452    3.7739
10.431    3.8118
10.410    3.8494
10.389    3.8877
10.368    3.9275
10.348    3.9722
10.327    4.0198
10.307    4.0664
10.286    4.1108
10.266    4.1533
10.245    4.1951
10.225    4.2361
10.205    4.2761
10.185    4.3166
10.165    4.3586
10.145    4.4009
10.125    4.4404
10.106    4.4795
10.086    4.5210
