Name:  Dark yellowish brown micaceous loam
Type:  Soils
Class:  Inceptisol
Subclass:  Dystrochrept
Particle Size:  see additional information
Sample No.:  88P2535
Owner:  JHU
Wavelength range:  All
Origin: Howard Co., Md. via USDA Soil Conservation service.

Description:  The parent material is schist and phyllite.  Dark 
yellowish brown micaceous loam (coarse-loamy, micaceous, mesic typic), 
from piedmonts.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  88P2535a.txt
14.011    1.6401
13.973    1.6606
13.936    1.6929
13.899    1.7112
13.861    1.7312
13.824    1.7722
13.788    1.8201
13.751    1.8376
13.715    1.8447
13.679    1.8662
13.643    1.8831
13.607    1.8752
13.571    1.8701
13.536    1.8706
13.500    1.8562
13.465    1.8425
13.430    1.8442
13.396    1.8567
13.361    1.8538
13.327    1.8457
13.293    1.8603
13.259    1.8599
13.225    1.8433
13.191    1.8469
13.158    1.8789
13.124    1.9111
13.091    1.9319
13.058    1.9582
13.025    1.9929
12.993    2.0181
12.960    2.0637
12.928    2.1472
12.896    2.2402
12.864    2.3076
12.832    2.3391
12.800    2.3240
12.769    2.2627
12.738    2.1692
12.706    2.0867
12.675    2.0435
12.644    2.0334
12.614    2.0579
12.583    2.1006
12.552    2.1394
12.522    2.1594
12.492    2.1379
12.462    2.0759
12.432    1.9687
12.402    1.8462
12.373    1.7327
12.343    1.6477
12.314    1.6057
12.285    1.6211
12.256    1.6802
12.227    1.7617
12.198    1.8474
12.169    1.9338
12.141    2.0002
12.113    2.0447
12.084    2.0803
12.056    2.1289
12.028    2.1819
12.000    2.2419
11.973    2.3098
11.945    2.3718
11.918    2.4204
11.890    2.4670
11.863    2.5242
11.836    2.5906
11.809    2.6623
11.782    2.7427
11.756    2.8210
11.729    2.8862
11.702    2.9355
11.676    2.9585
11.650    2.9629
11.624    2.9700
11.598    2.9961
11.572    3.0295
11.546    3.0598
11.520    3.0810
11.495    3.0896
11.469    3.0813
11.444    3.0627
11.419    3.0613
11.394    3.0669
11.369    3.0740
11.344    3.0872
11.319    3.0945
11.294    3.0998
11.270    3.1179
11.246    3.1413
11.221    3.1672
11.197    3.1797
11.173    3.1736
11.149    3.1606
11.125    3.1409
11.101    3.1235
11.077    3.1155
11.054    3.1111
11.030    3.1064
11.007    3.0869
10.983    3.0525
10.960    3.0171
10.937    2.9822
10.914    2.9419
10.891    2.9016
10.868    2.8745
10.845    2.8616
10.823    2.8491
10.800    2.8318
10.778    2.8184
10.756    2.8186
10.733    2.8281
10.711    2.8520
10.689    2.8928
10.667    2.9299
10.645    2.9497
10.623    2.9553
10.602    2.9560
10.580    2.9836
10.558    3.0366
10.537    3.1072
10.515    3.1885
10.494    3.2693
10.473    3.3430
10.452    3.4075
10.431    3.4604
10.410    3.5229
10.389    3.5847
10.368    3.6433
10.348    3.7019
10.327    3.7602
10.307    3.8091
10.286    3.8594
10.266    3.9116
10.245    3.9614
10.225    4.0117
10.205    4.0705
10.185    4.1301
10.165    4.1902
10.145    4.2353
10.125    4.2854
10.106    4.3367
10.086    4.3982
