Name:  Dark brown fine sandy loam 
Type:  Soils
Class:  Inceptisol
Subclass:  Haplumbrept
Particle Size:  see additional information
Sample No.:  86P4561
Owner:  JHU
Wavelength range:  All
Origin:  Haywood Co. NC. via USDA Soil Conservation service.

Description:  Dark brown fine sandy loam (sandy-skeletal, mixed, 
mesic Fluventic haplumbrept).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  86P4561a.txt
14.011    1.5186
13.973    1.5566
13.936    1.5720
13.899    1.5886
13.861    1.6008
13.824    1.5889
13.788    1.5688
13.751    1.5691
13.715    1.5820
13.679    1.5986
13.643    1.6165
13.607    1.6401
13.571    1.6533
13.536    1.6565
13.500    1.6560
13.465    1.6558
13.430    1.6538
13.396    1.6526
13.361    1.6553
13.327    1.6589
13.293    1.6653
13.259    1.6755
13.225    1.6833
13.191    1.6860
13.158    1.6877
13.124    1.6946
13.091    1.7009
13.058    1.7229
13.025    1.7600
12.993    1.8015
12.960    1.8518
12.928    1.9138
12.896    1.9853
12.864    2.0576
12.832    2.1118
12.800    2.1367
12.769    2.1211
12.738    2.0671
12.706    1.9919
12.675    1.9250
12.644    1.8850
12.614    1.8938
12.583    1.9397
12.552    1.9968
12.522    2.0415
12.492    2.0525
12.462    2.0098
12.432    1.9238
12.402    1.8096
12.373    1.6934
12.343    1.5915
12.314    1.5232
12.285    1.5002
12.256    1.5178
12.227    1.5540
12.198    1.6006
12.169    1.6494
12.141    1.6960
12.113    1.7314
12.084    1.7583
12.056    1.7864
12.028    1.8081
12.000    1.8232
11.973    1.8418
11.945    1.8735
11.918    1.9233
11.890    1.9724
11.863    2.0222
11.836    2.0713
11.809    2.1094
11.782    2.1404
11.756    2.1697
11.729    2.2007
11.702    2.2329
11.676    2.2678
11.650    2.3066
11.624    2.3430
11.598    2.3772
11.572    2.3984
11.546    2.4187
11.520    2.4390
11.495    2.4558
11.469    2.4800
11.444    2.5081
11.419    2.5349
11.394    2.5598
11.369    2.5737
11.344    2.5884
11.319    2.6018
11.294    2.6125
11.270    2.6211
11.245    2.6294
11.221    2.6428
11.197    2.6655
11.173    2.6926
11.149    2.7175
11.125    2.7368
11.101    2.7573
11.077    2.7690
11.054    2.7727
11.030    2.7734
11.007    2.7661
10.983    2.7524
10.960    2.7380
10.937    2.7214
10.914    2.7107
10.891    2.6975
10.868    2.6912
10.845    2.6902
10.823    2.6894
10.800    2.6877
10.778    2.6899
10.756    2.6926
10.733    2.6987
10.711    2.7046
10.689    2.7148
10.667    2.7297
10.645    2.7488
10.623    2.7656
10.602    2.7837
10.580    2.8096
10.558    2.8469
10.537    2.8960
10.515    2.9551
10.494    3.0183
10.473    3.0823
10.452    3.1399
10.431    3.1909
10.410    3.2385
10.389    3.2849
10.368    3.3308
10.348    3.3750
10.327    3.4138
10.307    3.4492
10.286    3.4829
10.266    3.5173
10.245    3.5508
10.225    3.5830
10.205    3.6111
10.185    3.6394
10.165    3.6704
10.145    3.6982
10.125    3.7204
10.106    3.7429
10.086    3.7656
10.066    3.7805
