Name:  Pale brown dry silty clay loam
Type:  Soils
Class:  Inceptisol
Subclass:  Ustocrept
Particle Size:  see additional information
Sample No.:  82P2671
Owner:  JHU
Wavelength range:  All
Origin:  Diar Alla Experiment Station.  Jordon, via USDA Soil Conservation 
service
Description:  Parent material is irrigated cropland.  Pale brown dry silty clay loam 
(fine, illitic calcareous hyperthermic fluventic).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  82P2671a.txt
14.940    1.5522
14.940    1.5522
14.897    1.5439
14.854    1.5493
14.812    1.5649
14.770    1.5857
14.728    1.6064
14.686    1.6243
14.645    1.6370
14.603    1.6443
14.562    1.6445
14.521    1.6343
14.481    1.6125
14.441    1.5813
14.400    1.5466
14.361    1.5159
14.321    1.4956
14.281    1.4897
14.242    1.4951
14.203    1.5029
14.164    1.5029
14.126    1.4890
14.087    1.4604
14.049    1.4248
14.011    1.3953
13.973    1.3872
13.936    1.4104
13.899    1.4646
13.861    1.5405
13.824    1.6204
13.788    1.6863
13.751    1.7258
13.715    1.7373
13.679    1.7288
13.643    1.7131
13.607    1.7031
13.571    1.7051
13.536    1.7185
13.500    1.7371
13.465    1.7551
13.430    1.7683
13.396    1.7766
13.361    1.7837
13.327    1.7925
13.293    1.8042
13.259    1.8193
13.225    1.8376
13.191    1.8581
13.158    1.8799
13.124    1.9028
13.091    1.9246
13.058    1.9409
13.026    1.9497
12.993    1.9507
12.960    1.9492
12.928    1.9504
12.896    1.9614
12.864    1.9849
12.832    2.0166
12.800    2.0466
12.769    2.0642
12.737    2.0618
12.706    2.0386
12.675    1.9998
12.644    1.9560
12.614    1.9172
12.583    1.8884
12.552    1.8682
12.522    1.8528
12.492    1.8357
12.462    1.8127
12.432    1.7832
12.402    1.7524
12.373    1.7263
12.343    1.7104
12.314    1.7095
12.285    1.7239
12.256    1.7510
12.227    1.7849
12.198    1.8213
12.169    1.8560
12.141    1.8870
12.113    1.9148
12.084    1.9438
12.056    1.9790
12.028    2.0229
12.000    2.0759
11.973    2.1340
11.945    2.1894
11.918    2.2319
11.890    2.2556
11.863    2.2615
11.836    2.2566
11.809    2.2522
11.782    2.2600
11.755    2.2869
11.729    2.3325
11.702    2.3889
11.676    2.4482
11.650    2.5039
11.624    2.5530
11.598    2.5957
11.572    2.6330
11.546    2.6636
11.520    2.6802
11.495    2.6760
11.469    2.6457
11.444    2.5918
11.419    2.5232
11.394    2.4560
11.369    2.4058
11.344    2.3823
11.319    2.3860
11.294    2.4075
11.270    2.4333
11.245    2.4502
11.221    2.4487
11.197    2.4282
11.173    2.3928
11.149    2.3506
11.125    2.3083
11.101    2.2698
11.077    2.2363
11.054    2.2060
11.030    2.1782
11.007    2.1538
10.983    2.1365
10.960    2.1304
10.937    2.1389
10.914    2.1594
10.891    2.1865
10.868    2.2112
10.846    2.2239
10.823    2.2195
10.800    2.1995
10.778    2.1699
10.755    2.1401
10.733    2.1182
10.711    2.1099
10.689    2.1160
10.667    2.1328
10.645    2.1558
10.623    2.1807
10.602    2.2046
10.580    2.2261
