Name: 62231.15
Type: Soil
Class: Lunar
Subclass: Highlands
Particle Size: Fine
Sample No.: 62231.15
Owner: JHU
Wavelength range: IR
Origin: Apollo 16 landing site via the NASA Lunar Sample Repository at Johnson 
Space Center, Houston, TX.
Description:  Chemistry is not available for this extra sample, but it appears 
to be one of the relatively less aluminous soils at the Apollo 16 site from its 
spectrum (i.e., it resembles suite 16b samples, such as 67941, 61241, and 68501), but 
has a very great exposure age (Is/FeO=91).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.011
Last X Value:  2.079
Number of X Values:  2124
Additional information:  None
14.011    0.7479
13.973    0.7538
13.936    0.7000
13.899    0.7270
13.861    0.7341
13.824    0.8121
13.788    0.7913
13.751    0.8450
13.715    0.8566
13.679    0.8409
13.643    0.8705
13.607    0.9468
13.571    0.9324
13.536    0.9361
13.500    0.9869
13.465    1.0029
13.430    0.9986
13.396    1.0275
13.361    1.0808
13.327    1.0976
13.293    1.0897
13.259    1.1030
13.225    1.1234
13.191    1.1148
13.158    1.0969
13.124    1.1033
13.091    1.0965
13.058    1.1375
13.026    1.1503
12.993    1.1603
12.960    1.1819
12.928    1.1929
12.896    1.2295
12.864    1.2742
12.832    1.2986
12.800    1.3540
12.769    1.4295
12.737    1.5134
12.706    1.5714
12.675    1.6514
12.644    1.7196
12.614    1.7887
12.583    1.8552
12.552    1.9089
12.522    1.9337
12.492    1.9986
12.462    2.0608
12.432    2.0918
12.402    2.1246
12.373    2.1898
12.343    2.2405
12.314    2.2842
12.285    2.3020
12.256    2.3190
12.227    2.3235
12.198    2.3170
12.169    2.3247
12.141    2.3114
12.113    2.3087
12.084    2.3050
12.056    2.2856
12.028    2.2908
12.000    2.2594
11.973    2.2292
11.945    2.2322
11.918    2.2259
11.890    2.2180
11.863    2.1858
11.836    2.1863
11.809    2.2232
11.782    2.2246
11.755    2.2218
11.729    2.1888
11.702    2.1806
11.676    2.2007
11.650    2.2150
11.624    2.2152
11.598    2.2130
11.572    2.1962
11.546    2.2091
11.520    2.2299
11.495    2.2053
11.469    2.2000
11.444    2.2275
11.419    2.2557
11.394    2.2545
11.369    2.2299
11.344    2.2165
11.319    2.2215
11.294    2.2068
11.270    2.2001
11.245    2.2129
11.221    2.2462
11.197    2.2487
11.173    2.2225
11.149    2.2190
11.125    2.2308
11.101    2.2123
11.077    2.2144
11.054    2.2434
11.030    2.2199
11.007    2.2095
10.983    2.2206
10.960    2.2617
10.937    2.2725
10.914    2.2719
10.891    2.2614
10.868    2.2649
10.846    2.2722
10.823    2.2718
10.800    2.2816
10.778    2.2988
10.755    2.2758
10.733    2.2498
10.711    2.2386
10.689    2.2313
10.667    2.2117
10.645    2.2036
10.623    2.1586
10.602    2.1352
10.580    2.1344
10.558    2.1258
10.537    2.1048
10.516    2.0992
10.494    2.0816
10.473    2.0392
10.452    1.9918
10.431    1.9648
10.410    1.9393
10.389    1.9204
10.368    1.8540
10.348    1.8284
10.327    1.8252
10.306    1.7761
10.286    1.7339
10.266    1.7017
10.245    1.6586
10.225    1.6535
10.205    1.6208
10.185    1.6109
10.165    1.6010
10.145    1.6000
10.125    1.5975
10.106    1.5896
10.086    1.5400
10.066    1.4988
10.047    1.4705
10.027    1.4876
10.008    1.4806
 9.989    1.4664
 9.970    1.4510
 9.950    1.4337
 9.931    1.4404
 9.912    1.4351
 9.893    1.4162
 9.875    1.4154
 9.856    1.4093
 9.837    1.4218
 9.819    1.4209
 9.800    1.4045
 9.781    1.3809
 9.763    1.4135
 9.745    1.4358
 9.726    1.4079
 9.708    1.3869
 9.690    1.3817
 9.672    1.3553
 9.654    1.3157
 9.636    1.2931
 9.618    1.3196
 9.600    1.3107
 9.582    1.2961
 9.565    1.2845
 9.547    1.2407
 9.530    1.2156
 9.512    1.2177
 9.495    1.2035
 9.477    1.1928
 9.460    1.1732
 9.443    1.1521
 9.426    1.1308
 9.409    1.1381
 9.392    1.1280
 9.375    1.0963
 9.358    1.0857
 9.341    1.1016
 9.324    1.1105
 9.307    1.1177
 9.291    1.1256
 9.274    1.1310
 9.257    1.1283
 9.241    1.1135
 9.225    1.1069
 9.208    1.1268
 9.192    1.1322
 9.175    1.1347
 9.159    1.1682
 9.143    1.1815
 9.127    1.1571
 9.111    1.1869
 9.095    1.1553
 9.079    1.1466
 9.063    1.1814
 9.047    1.1859
 9.032    1.1683
 9.016    1.1525
 9.000    1.1406
 8.985    1.1424
 8.969    1.1588
 8.954    1.1490
 8.938    1.1112
 8.923    1.1204
 8.908    1.1255
 8.892    1.1259
 8.877    1.0984
 8.862    1.0781
 8.847    1.0850
 8.832    1.1016
 8.817    1.0987
 8.802    1.0944
 8.787    1.1085
 8.772    1.1000
 8.757    1.0922
 8.742    1.0998
 8.727    1.1031
 8.713    1.1042
 8.698    1.1030
 8.684    1.0749
 8.669    1.0468
 8.655    1.0583
 8.640    1.0608
 8.626    1.0410
 8.612    1.0118
 8.597    0.9695
 8.583    0.9374
 8.569    0.9515
 8.555    0.9456
 8.541    0.9253
 8.527    0.9087
 8.513    0.8838
 8.499    0.8449
 8.485    0.8121
 8.471    0.7884
 8.457    0.7706
 8.443    0.7625
 8.430    0.7397
 8.416    0.6827
 8.402    0.6345
 8.389    0.6101
 8.375    0.5930
 8.361    0.5776
 8.348    0.5464
 8.335    0.5037
 8.321    0.4727
 8.308    0.4585
 8.295    0.4593
 8.281    0.4479
 8.268    0.4099
 8.255    0.3935
 8.242    0.4028
 8.229    0.4132
 8.216    0.4117
 8.203    0.4048
 8.190    0.4123
 8.177    0.4168
 8.164    0.4207
 8.151    0.4270
 8.138    0.4622
 8.126    0.4831
 8.113    0.4872
 8.100    0.5363
 8.088    0.5892
 8.075    0.5960
 8.062    0.6234
 8.050    0.6684
 8.037    0.7004
 8.025    0.7365
 8.013    0.8047
 8.000    0.8606
 7.988    0.9031
 7.976    0.9603
 7.963    1.0258
 7.951    1.0864
 7.939    1.1490
 7.927    1.1963
 7.915    1.2715
 7.903    1.3626
 7.891    1.4332
 7.879    1.5024
 7.867    1.5846
 7.855    1.6751
 7.843    1.7531
 7.831    1.8194
 7.819    1.8968
 7.808    1.9847
 7.796    2.0673
 7.784    2.1398
 7.772    2.2422
 7.761    2.3451
 7.749    2.4071
 7.737    2.4899
 7.726    2.6058
 7.715    2.7035
 7.703    2.7883
 7.692    2.8780
 7.680    2.9783
 7.669    3.0833
 7.657    3.1807
 7.646    3.2495
 7.635    3.3321
 7.624    3.4332
 7.613    3.5407
 7.601    3.6369
 7.590    3.7343
 7.579    3.8183
 7.568    3.9024
 7.557    4.0208
 7.546    4.1044
 7.535    4.1737
 7.524    4.2796
 7.513    4.3939
 7.502    4.4782
 7.492    4.5483
 7.481    4.6570
 7.470    4.7698
 7.459    4.8672
 7.449    4.9522
 7.438    5.0370
 7.427    5.1361
 7.417    5.2346
 7.406    5.3144
 7.395    5.3953
 7.385    5.5060
 7.374    5.5979
 7.364    5.6845
 7.353    5.7722
 7.343    5.8584
 7.333    5.9634
 7.322    6.0692
 7.312    6.1505
 7.302    6.2273
 7.291    6.3141
 7.281    6.3864
 7.271    6.4714
 7.261    6.5410
 7.251    6.6117
 7.240    6.7040
 7.230    6.7875
 7.220    6.8725
 7.210    6.9477
 7.200    7.0142
 7.190    7.0799
 7.180    7.1625
 7.170    7.2422
 7.160    7.3252
 7.151    7.4034
 7.141    7.4685
 7.131    7.5266
 7.121    7.5841
 7.111    7.6633
 7.102    7.7245
 7.092    7.7920
 7.082    7.8643
 7.072    7.9285
 7.063    7.9867
 7.053    8.0617
 7.044    8.1459
 7.034    8.1906
 7.025    8.2495
 7.015    8.3052
 7.006    8.3573
 6.996    8.4404
 6.987    8.5102
 6.977    8.5602
 6.968    8.5994
 6.959    8.6516
 6.949    8.7100
 6.940    8.7797
 6.931    8.8287
 6.921    8.8632
 6.912    8.8835
 6.903    8.9404
 6.894    9.0149
 6.885    9.0617
 6.875    9.1052
 6.866    9.1464
 6.857    9.1665
 6.848    9.2105
 6.839    9.2425
 6.830    9.2626
 6.821    9.2991
 6.812    9.3506
 6.803    9.3959
 6.794    9.4316
 6.785    9.4668
 6.777    9.5095
 6.768    9.5523
 6.759    9.5943
 6.750    9.6516
 6.741    9.6682
 6.733    9.6785
 6.724    9.7287
 6.715    9.7718
 6.707    9.7824
 6.698    9.7956
 6.689    9.8132
 6.681    9.8503
 6.672    9.8710
 6.663    9.8844
 6.655    9.9171
 6.646    9.9418
 6.638    9.9637
 6.629    9.9909
 6.621   10.0230
 6.612   10.0510
 6.604   10.0990
 6.596   10.1330
 6.587   10.1640
 6.579   10.1970
 6.571   10.2310
 6.562   10.2680
 6.554   10.3190
 6.546   10.3540
 6.537   10.3870
 6.529   10.4300
 6.521   10.4710
 6.513   10.4990
 6.505   10.5340
 6.496   10.5650
 6.488   10.6040
 6.480   10.6200
 6.472   10.6430
 6.464   10.7070
 6.456   10.7660
 6.448   10.8040
 6.440   10.8290
 6.432   10.8460
 6.424   10.8780
 6.416   10.8930
 6.408   10.9010
 6.400   10.9140
 6.392   10.9140
 6.384   10.9220
 6.377   10.9490
 6.369   10.9350
 6.361   10.9340
 6.353   10.9530
 6.345   10.9620
 6.338   10.9910
 6.330   11.0030
 6.322   10.9920
 6.314   11.0110
 6.307   11.0320
 6.299   11.0560
 6.291   11.0730
 6.284   11.0990
 6.276   11.1330
 6.269   11.1620
 6.261   11.1860
 6.253   11.2090
 6.246   11.2090
 6.239   11.2140
 6.231   11.2550
 6.223   11.2800
 6.216   11.2860
 6.209   11.3010
 6.201   11.3280
 6.194   11.3430
 6.186   11.3600
 6.179   11.3700
 6.172   11.3750
 6.164   11.4000
 6.157   11.4330
 6.150   11.4610
 6.142   11.4790
 6.135   11.5010
 6.128   11.5250
 6.121   11.5700
 6.113   11.6200
 6.106   11.6310
 6.099   11.6480
 6.092   11.6790
 6.085   11.6920
 6.078   11.7070
 6.070   11.7480
 6.063   11.7620
 6.056   11.7980
 6.049   11.8340
 6.042   11.8430
 6.035   11.8740
 6.028   11.9110
 6.021   11.9720
 6.014   12.0310
 6.007   12.0850
 6.000   12.1500
 5.993   12.2300
 5.986   12.3300
 5.979   12.4100
 5.973   12.4840
 5.966   12.5610
 5.959   12.6510
 5.952   12.7520
 5.945   12.8560
 5.938   12.9570
 5.931   13.0310
 5.925   13.1020
 5.918   13.1940
 5.911   13.2990
 5.904   13.3950
 5.898   13.5010
 5.891   13.5790
 5.884   13.6660
 5.878   13.7610
 5.871   13.8400
 5.864   13.9360
 5.858   14.0360
 5.851   14.1090
 5.845   14.1820
 5.838   14.2720
 5.831   14.3790
 5.825   14.4890
 5.818   14.5770
 5.812   14.6520
 5.805   14.7250
 5.799   14.8070
 5.792   14.9150
 5.786   14.9950
 5.779   15.0580
 5.773   15.1330
 5.767   15.2140
 5.760   15.2820
 5.754   15.3530
 5.747   15.4080
 5.741   15.4780
 5.735   15.5550
 5.728   15.5930
 5.722   15.6140
 5.716   15.6750
 5.709   15.7410
 5.703   15.7750
 5.697   15.7920
 5.691   15.8240
 5.684   15.8750
 5.678   15.9050
 5.672   15.9370
 5.666   15.9750
 5.660   16.0240
 5.653   16.0760
 5.647   16.1340
 5.641   16.1950
 5.635   16.2290
 5.629   16.2760
 5.623   16.3410
 5.617   16.4080
 5.611   16.4520
 5.604   16.4980
 5.598   16.5560
 5.592   16.5940
 5.586   16.6260
 5.580   16.6670
 5.574   16.7130
 5.568   16.7340
 5.562   16.7410
 5.556   16.7700
 5.551   16.8000
 5.545   16.8040
 5.539   16.8060
 5.533   16.8130
 5.527   16.8120
 5.521   16.7980
 5.515   16.8000
 5.509   16.8110
 5.503   16.8050
 5.497   16.7960
 5.492   16.8060
 5.486   16.8290
 5.480   16.8440
 5.474   16.8390
 5.468   16.8380
 5.463   16.8590
 5.457   16.8880
 5.451   16.9270
 5.446   16.9640
 5.440   16.9780
 5.434   17.0050
 5.428   17.0610
 5.423   17.1210
 5.417   17.1610
 5.411   17.2080
 5.406   17.2850
 5.400   17.3570
 5.394   17.4100
 5.389   17.4670
 5.383   17.5330
 5.378   17.6190
 5.372   17.7000
 5.367   17.7540
 5.361   17.8200
 5.356   17.8750
 5.350   17.9360
 5.345   18.0070
 5.339   18.0630
 5.333   18.1090
 5.328   18.1390
 5.322   18.1750
 5.317   18.2340
 5.312   18.2990
 5.306   18.3610
 5.301   18.4150
 5.295   18.4790
 5.290   18.5470
 5.285   18.6040
 5.279   18.6600
 5.274   18.7200
 5.268   18.7810
 5.263   18.8660
 5.258   18.9440
 5.252   19.0070
 5.247   19.0720
 5.242   19.1220
 5.237   19.2000
 5.231   19.2800
 5.226   19.3520
 5.221   19.4130
 5.215   19.4790
 5.210   19.5460
 5.205   19.6270
 5.200   19.7030
 5.194   19.7620
 5.189   19.8350
 5.184   19.9120
 5.179   19.9800
 5.174   20.0600
 5.169   20.1390
 5.164   20.2140
 5.158   20.2950
 5.153   20.3860
 5.148   20.4830
 5.143   20.5750
 5.138   20.6590
 5.133   20.7500
 5.128   20.8390
 5.123   20.9270
 5.118   21.0190
 5.113   21.0920
 5.107   21.1640
 5.103   21.2600
 5.098   21.3380
 5.093   21.3960
 5.088   21.4620
 5.082   21.5450
 5.077   21.6030
 5.073   21.6760
 5.068   21.7510
 5.063   21.8290
 5.058   21.9060
 5.053   21.9860
 5.048   22.0770
 5.043   22.1660
 5.038   22.2460
 5.033   22.3100
 5.028   22.3920
 5.023   22.4850
 5.019   22.5670
 5.014   22.6580
 5.009   22.7420
 5.004   22.8140
 4.999   22.9060
 4.994   22.9920
 4.990   23.0680
 4.985   23.1480
 4.980   23.2150
 4.975   23.2930
 4.970   23.3750
 4.966   23.4580
 4.961   23.5510
 4.956   23.6500
 4.951   23.7110
 4.947   23.7640
 4.942   23.8560
 4.937   23.9410
 4.933   24.0120
 4.928   24.0930
 4.923   24.1950
 4.919   24.2720
 4.914   24.3420
 4.909   24.4200
 4.905   24.4920
 4.900   24.5710
 4.895   24.6380
 4.891   24.7140
 4.886   24.7950
 4.882   24.8550
 4.877   24.9270
 4.872   25.0090
 4.868   25.0820
 4.863   25.1630
 4.859   25.2300
 4.854   25.3120
 4.849   25.3940
 4.845   25.4620
 4.840   25.5170
 4.836   25.5760
 4.832   25.6470
 4.827   25.7240
 4.822   25.8060
 4.818   25.8540
 4.814   25.9150
 4.809   25.9910
 4.805   26.0560
 4.800   26.1040
 4.796   26.1590
 4.791   26.2160
 4.787   26.2630
 4.782   26.3220
 4.778   26.3880
 4.774   26.4540
 4.769   26.4970
 4.765   26.5560
 4.761   26.6190
 4.756   26.6710
 4.752   26.7340
 4.747   26.7860
 4.743   26.8510
 4.739   26.9080
 4.734   26.9700
 4.730   27.0520
 4.726   27.1200
 4.721   27.1900
 4.717   27.2560
 4.713   27.3210
 4.709   27.3860
 4.704   27.4400
 4.700   27.5050
 4.696   27.5840
 4.691   27.6660
 4.687   27.7200
 4.683   27.7600
 4.679   27.8290
 4.675   27.8870
 4.670   27.9390
 4.666   27.9950
 4.662   28.0520
 4.658   28.1080
 4.654   28.1630
 4.649   28.2350
 4.645   28.3030
 4.641   28.3670
 4.637   28.4500
 4.633   28.5320
 4.629   28.6060
 4.625   28.6710
 4.620   28.7380
 4.616   28.8250
 4.612   28.9140
 4.608   28.9740
 4.604   29.0370
 4.600   29.0970
 4.596   29.1580
 4.592   29.2330
 4.588   29.3040
 4.584   29.3650
 4.580   29.4160
 4.576   29.4640
