Name: 64801.34
Type: Soil
Class: Lunar
Subclass: Highlands
Particle Size: Fine
Sample No.: 64801.34
Owner: JHU
Wavelength range: IR
Origin: Apollo 16 landing site via the NASA Lunar Sample Repository at Johnson 
Space Center, Houston, TX.
Description:  This sample is one of a suite of relatively more aluminous soils 
at the Apollo 16 site, and has the oldest exposure age of the four soils of that 
suite (Is/FeO=78).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.011
Last X Value:  2.079
Number of X Values:  2124
Additional information:  None
14.011    0.6361
13.973    0.6554
13.936    0.6353
13.899    0.7086
13.861    0.8081
13.824    0.8003
13.788    0.6989
13.751    0.7249
13.715    0.7855
13.679    0.7981
13.643    0.8634
13.607    0.8876
13.571    0.8464
13.536    0.8587
13.500    0.9093
13.465    0.9132
13.430    0.9431
13.396    0.9646
13.361    0.9891
13.327    0.9520
13.293    0.9696
13.259    1.0031
13.225    1.0201
13.191    1.0114
13.158    1.0133
13.124    1.0199
13.091    0.9960
13.058    1.0234
13.026    1.0751
12.993    1.0810
12.960    1.1238
12.928    1.1363
12.896    1.1641
12.864    1.1929
12.832    1.2177
12.800    1.2572
12.769    1.3401
12.737    1.4215
12.706    1.4815
12.675    1.5612
12.644    1.6319
12.614    1.6752
12.583    1.7234
12.552    1.7959
12.522    1.8666
12.492    1.8906
12.462    1.9215
12.432    1.9943
12.402    2.0765
12.373    2.1058
12.343    2.1381
12.314    2.1508
12.285    2.1444
12.256    2.1633
12.227    2.2069
12.198    2.2069
12.169    2.1822
12.141    2.1752
12.113    2.1695
12.084    2.1523
12.056    2.1389
12.028    2.1173
12.000    2.1027
11.973    2.0911
11.945    2.0806
11.918    2.0506
11.890    2.0478
11.863    2.0501
11.836    2.0482
11.809    2.0382
11.782    2.0333
11.755    2.0266
11.729    2.0169
11.702    2.0113
11.676    2.0149
11.650    2.0154
11.624    2.0121
11.598    2.0174
11.572    2.0175
11.546    2.0218
11.520    2.0193
11.495    2.0020
11.469    1.9832
11.444    1.9956
11.419    2.0222
11.394    1.9918
11.369    1.9900
11.344    1.9882
11.319    1.9878
11.294    1.9772
11.270    1.9770
11.245    1.9703
11.221    1.9735
11.197    1.9739
11.173    1.9827
11.149    1.9825
11.125    1.9727
11.101    1.9548
11.077    1.9457
11.054    1.9559
11.030    1.9615
11.007    1.9493
10.983    1.9571
10.960    1.9608
10.937    1.9563
10.914    1.9638
10.891    1.9791
10.868    1.9833
10.846    1.9881
10.823    1.9778
10.800    1.9692
10.778    1.9711
10.755    1.9703
10.733    1.9413
10.711    1.9225
10.689    1.9288
10.667    1.9074
10.645    1.8941
10.623    1.8633
10.602    1.8319
10.580    1.8343
10.558    1.8223
10.537    1.7968
10.516    1.7939
10.494    1.7891
10.473    1.7592
10.452    1.7278
10.431    1.6884
10.410    1.6634
10.389    1.6440
10.368    1.5998
10.348    1.5669
10.327    1.5682
10.306    1.5426
10.286    1.5076
10.266    1.4807
10.245    1.4659
10.225    1.4297
10.205    1.4069
10.185    1.3957
10.165    1.3960
10.145    1.3822
10.125    1.3861
10.106    1.3715
10.086    1.3382
10.066    1.3243
10.047    1.3191
10.027    1.3276
10.008    1.3012
 9.989    1.2719
 9.970    1.2767
 9.950    1.2504
 9.931    1.2395
 9.912    1.2444
 9.893    1.2467
 9.875    1.2350
 9.856    1.2391
 9.837    1.2330
 9.819    1.2426
 9.800    1.2572
