Name: 67701.36
Type: Soil
Class: Lunar
Subclass: Highlands
Particle Size: Fine
Sample No.: 67701.36
Owner: JHU
Wavelength range: IR
Origin: Apollo 16 landing site via the NASA Lunar Sample Repository at Johnson 
Space Center, Houston, TX.
Description:  This sample is one of a suite of relatively more aluminous and 
lower iron and titanium soils at the Apollo 16 site, and has an intermediate exposure 
age of the four soils of that suite (Is/FeO=37).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.011
Last X Value:  2.079
Number of X Values:  2124
Additional information:  None
14.011    0.8758
13.973    0.8317
13.936    0.8672
13.899    0.9480
13.861    0.8718
13.824    0.8045
13.788    0.8236
13.751    0.8684
13.715    0.9061
13.679    0.8850
13.643    0.9089
13.607    0.9712
13.571    1.0259
13.536    0.9897
13.500    1.0338
13.465    1.0878
13.430    1.1209
13.396    1.1233
13.361    1.1832
13.327    1.1694
13.293    1.1495
13.259    1.1060
13.225    1.1207
13.191    1.0965
13.158    1.0696
13.124    1.0469
13.091    1.0776
13.058    1.1448
13.026    1.1688
12.993    1.1804
12.960    1.2165
12.928    1.2233
12.896    1.2952
12.864    1.3419
12.832    1.3858
12.800    1.4874
12.769    1.6452
12.737    1.8221
12.706    1.9541
12.675    2.0614
12.644    2.2145
12.614    2.3265
12.583    2.4472
12.552    2.5624
12.522    2.6847
12.492    2.7793
12.462    2.8349
12.432    2.9363
12.402    3.0447
12.373    3.1021
12.343    3.1593
12.314    3.1941
12.285    3.2160
12.256    3.2259
12.227    3.2394
12.198    3.2046
12.169    3.1762
12.141    3.1529
12.113    3.1331
12.084    3.0835
12.056    3.0326
12.028    2.9976
12.000    2.9689
11.973    2.9100
11.945    2.8866
11.918    2.8857
11.890    2.8669
11.863    2.8151
11.836    2.7959
11.809    2.7922
11.782    2.7688
11.755    2.7531
11.729    2.7278
11.702    2.6848
11.676    2.6915
11.650    2.7034
11.624    2.6919
11.598    2.6793
11.572    2.6658
11.546    2.6539
11.520    2.6471
11.495    2.6325
11.469    2.6147
11.444    2.5996
11.419    2.6066
11.394    2.5777
11.369    2.5509
11.344    2.5113
11.319    2.5076
11.294    2.5015
11.270    2.4899
11.245    2.4662
11.221    2.4769
11.197    2.4735
11.173    2.4539
11.149    2.4531
11.125    2.4738
11.101    2.4860
11.077    2.4847
11.054    2.4786
11.030    2.4838
11.007    2.4794
10.983    2.4949
10.960    2.5023
10.937    2.4958
10.914    2.5073
10.891    2.5217
10.868    2.5543
10.846    2.5917
10.823    2.5779
10.800    2.5878
10.778    2.5868
10.755    2.5647
10.733    2.5299
10.711    2.5264
10.689    2.5064
10.667    2.4703
10.645    2.4629
10.623    2.4364
10.602    2.4107
10.580    2.3945
10.558    2.3704
10.537    2.3538
10.516    2.3227
10.494    2.2829
10.473    2.2502
10.452    2.2278
10.431    2.1853
10.410    2.1382
10.389    2.0828
10.368    2.0184
10.348    1.9740
10.327    1.9449
10.306    1.8969
10.286    1.8297
10.266    1.7889
10.245    1.7592
10.225    1.7101
10.205    1.6819
10.185    1.6825
10.165    1.6707
10.145    1.6536
10.125    1.6574
10.106    1.6257
10.086    1.5888
10.066    1.5448
10.047    1.5237
10.027    1.5237
10.008    1.5177
 9.989    1.5089
 9.970    1.5105
 9.950    1.4960
 9.931    1.4765
 9.912    1.4645
 9.893    1.4825
 9.875    1.4755
 9.856    1.4579
 9.837    1.4545
 9.819    1.4798
 9.800    1.4877
 9.781    1.4567
 9.763    1.4557
 9.745    1.4771
 9.726    1.4678
 9.708    1.4517
 9.690    1.4417
 9.672    1.4190
 9.654    1.3628
 9.636    1.3489
 9.618    1.3459
 9.600    1.3276
 9.582    1.2967
 9.565    1.2646
 9.547    1.2251
 9.530    1.1842
 9.512    1.1749
 9.495    1.1784
 9.477    1.1402
 9.460    1.1130
 9.443    1.1206
 9.426    1.0977
 9.409    1.0832
 9.392    1.0793
 9.375    1.0726
 9.358    1.0858
 9.341    1.0949
 9.324    1.0867
 9.307    1.0893
 9.291    1.0934
 9.274    1.0946
 9.257    1.0970
 9.241    1.0801
 9.225    1.1076
 9.208    1.1360
 9.192    1.1420
 9.175    1.1705
 9.159    1.2284
 9.143    1.2556
 9.127    1.2615
 9.111    1.2559
 9.095    1.2456
 9.079    1.2510
 9.063    1.2975
 9.047    1.3155
 9.032    1.2978
 9.016    1.2859
 9.000    1.2921
 8.985    1.2842
 8.969    1.2798
 8.954    1.2790
 8.938    1.2526
 8.923    1.2565
 8.908    1.2699
 8.892    1.2836
 8.877    1.2964
 8.862    1.2797
 8.847    1.2627
 8.832    1.2803
 8.817    1.2944
 8.802    1.2898
 8.787    1.3053
 8.772    1.3099
 8.757    1.3245
 8.742    1.3250
 8.727    1.3393
 8.713    1.3700
 8.698    1.3608
 8.684    1.3316
 8.669    1.3317
 8.655    1.3317
 8.640    1.3364
 8.626    1.3316
 8.612    1.3143
 8.597    1.2883
 8.583    1.2405
 8.569    1.2345
 8.555    1.2327
 8.541    1.2066
 8.527    1.1806
 8.513    1.1495
 8.499    1.1164
 8.485    1.0878
 8.471    1.0771
 8.457    1.0531
 8.443    1.0221
 8.430    0.9670
 8.416    0.9054
 8.402    0.8653
 8.389    0.8428
 8.375    0.8073
 8.361    0.7751
 8.348    0.7246
 8.335    0.6810
 8.321    0.6534
 8.308    0.6128
 8.295    0.5903
 8.281    0.5798
 8.268    0.5316
 8.255    0.5115
 8.242    0.4990
 8.229    0.4879
 8.216    0.4857
 8.203    0.4837
 8.190    0.4802
 8.177    0.4666
 8.164    0.4698
 8.151    0.4959
 8.138    0.5044
 8.126    0.5168
 8.113    0.5177
 8.100    0.5494
 8.088    0.5626
 8.075    0.5718
 8.062    0.6105
 8.050    0.6526
 8.037    0.6804
 8.025    0.7237
 8.013    0.7622
 8.000    0.7945
 7.988    0.8542
 7.976    0.9124
 7.963    0.9625
 7.951    0.9958
 7.939    1.0210
 7.927    1.0756
 7.915    1.1557
 7.903    1.2154
 7.891    1.2745
 7.879    1.3404
 7.867    1.4093
 7.855    1.4869
 7.843    1.5568
 7.831    1.6211
 7.819    1.6812
 7.808    1.7537
 7.796    1.8389
 7.784    1.9241
 7.772    2.0162
 7.761    2.0896
 7.749    2.1395
 7.737    2.2214
 7.726    2.3129
 7.715    2.3972
 7.703    2.4843
 7.692    2.5839
