Name: 67941.72
Type: Soil
Class: Lunar
Subclass: Highlands
Particle Size: Fine
Sample No.: 67941.72
Owner: JHU
Wavelength range: IR
Origin: Apollo 16 landing site via the NASA Lunar Sample Repository at Johnson 
Space Center, Houston, TX.
Description:  This sample is one of a suite of relatively less aluminous soils 
at the Apollo 16 site, and has the least exposure age of the three soils of that suite 
(Is/FeO=29).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.011
Last X Value:  2.079
Number of X Values:  2124
Additional information:  None
14.011    0.8824
13.973    0.9089
13.936    0.8999
13.899    0.9681
13.861    1.0084
13.824    1.0470
13.788    1.0264
13.751    1.0344
13.715    1.0190
13.679    1.0109
13.643    1.0090
13.607    1.0375
13.571    1.0737
13.536    1.0770
13.500    1.0948
13.465    1.1109
13.430    1.1322
13.396    1.1781
13.361    1.2430
13.327    1.2357
13.293    1.2447
13.259    1.2459
13.225    1.2521
13.191    1.2328
13.158    1.2243
13.124    1.2227
13.091    1.2203
13.058    1.2542
13.026    1.2693
12.993    1.2788
12.960    1.3300
12.928    1.3624
12.896    1.4043
12.864    1.4370
12.832    1.4678
12.800    1.5454
12.769    1.6676
12.737    1.8041
12.706    1.9083
12.675    2.0084
12.644    2.1034
12.614    2.1825
12.583    2.2663
12.552    2.3596
12.522    2.4416
12.492    2.5126
12.462    2.5697
12.432    2.6502
12.402    2.7386
12.373    2.8027
12.343    2.8591
12.314    2.8986
12.285    2.9029
12.256    2.9014
12.227    2.9029
12.198    2.8849
12.169    2.8614
12.141    2.8394
12.113    2.8288
12.084    2.8087
12.056    2.7783
12.028    2.7636
12.000    2.7350
11.973    2.6924
11.945    2.6779
11.918    2.6576
11.890    2.6343
11.863    2.6126
11.836    2.6175
11.809    2.6262
11.782    2.6239
11.755    2.6282
11.729    2.6166
11.702    2.6031
11.676    2.6165
11.650    2.6426
11.624    2.6609
11.598    2.6738
11.572    2.6762
11.546    2.6985
11.520    2.7194
11.495    2.7262
11.469    2.7388
11.444    2.7513
11.419    2.7771
11.394    2.7769
11.369    2.7546
11.344    2.7416
11.319    2.7515
11.294    2.7492
11.270    2.7620
11.245    2.7793
11.221    2.7949
11.197    2.7871
11.173    2.7786
11.149    2.7821
11.125    2.7809
11.101    2.7617
11.077    2.7534
11.054    2.7726
11.030    2.7814
11.007    2.7871
10.983    2.8067
10.960    2.8319
10.937    2.8503
10.914    2.8695
10.891    2.8832
10.868    2.9014
10.846    2.9249
10.823    2.9320
10.800    2.9386
10.778    2.9403
10.755    2.9187
10.733    2.8847
10.711    2.8787
10.689    2.8733
10.667    2.8430
10.645    2.8212
10.623    2.7814
10.602    2.7476
10.580    2.7269
10.558    2.6956
10.537    2.6729
10.516    2.6538
10.494    2.6163
10.473    2.5702
10.452    2.5285
10.431    2.4802
10.410    2.4292
10.389    2.3879
10.368    2.3227
10.348    2.2650
10.327    2.2389
10.306    2.1967
10.286    2.1420
10.266    2.0982
10.245    2.0539
10.225    2.0163
10.205    1.9876
10.185    1.9684
10.165    1.9502
10.145    1.9410
10.125    1.9378
10.106    1.9159
