Name: 10084.1939
Type: Soil
Class: Lunar
Subclass: Maria
Particle Size: Fine
Sample No.: 10084.1939
Owner: JHU
Wavelength range: IR
Origin: Apollo 11 landing site via the NASA Lunar Sample Repository at Johnson 
Space Center, Houston, TX.
Description:  This is the only sample from the Apollo 11 mare site.  This sample 
has a large exposure age (Is/FeO=78).




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.011
Last X Value:  2.079
Number of X Values:  2124
Additional information:  None.
14.011    1.4886
13.973    1.4341
13.936    1.3963
13.899    1.4841
13.861    1.4664
13.824    1.3966
13.788    1.3128
13.751    1.3826
13.715    1.3645
13.679    1.4047
13.643    1.4111
13.607    1.4458
13.571    1.4348
13.536    1.4274
13.500    1.4342
13.465    1.4486
13.430    1.4275
13.396    1.4585
13.361    1.4889
13.327    1.4546
13.293    1.4278
13.259    1.4401
13.225    1.4244
13.191    1.4234
13.158    1.4210
13.124    1.4287
13.091    1.4628
13.058    1.4998
13.026    1.4656
12.993    1.4642
12.960    1.5236
12.928    1.5490
12.896    1.5727
12.864    1.5777
12.832    1.5271
12.800    1.5310
12.769    1.6062
12.737    1.6801
12.706    1.7146
12.675    1.7557
12.644    1.7405
12.614    1.7678
12.583    1.8052
12.552    1.8485
12.522    1.8738
12.492    1.8951
12.462    1.9036
12.432    1.9355
12.402    1.9642
12.373    2.0053
12.343    2.0384
12.314    2.0476
12.285    2.0473
12.256    2.0719
12.227    2.0994
12.198    2.1165
12.169    2.0969
12.141    2.0921
12.113    2.1111
12.084    2.1287
12.056    2.1211
12.028    2.1238
12.000    2.0959
11.973    2.0716
11.945    2.0786
11.918    2.1134
11.890    2.1091
11.863    2.1015
11.836    2.1279
11.809    2.1373
11.782    2.1349
11.755    2.1471
11.729    2.1466
11.702    2.1654
11.676    2.1663
11.650    2.1650
11.624    2.1821
11.598    2.2007
11.572    2.1901
11.546    2.2131
11.520    2.2085
11.495    2.2060
11.469    2.2231
11.444    2.2308
11.419    2.2462
11.394    2.2396
11.369    2.2163
11.344    2.2062
11.319    2.2122
11.294    2.2011
11.270    2.2001
11.245    2.2106
11.221    2.2221
11.197    2.2185
11.173    2.1995
11.149    2.2028
11.125    2.1948
11.101    2.1703
11.077    2.1564
11.054    2.1896
11.030    2.1948
11.007    2.1799
10.983    2.1764
10.960    2.1888
10.937    2.1813
10.914    2.1782
10.891    2.1816
10.868    2.1966
10.846    2.1939
10.823    2.1836
10.800    2.1859
10.778    2.1853
10.755    2.1607
10.733    2.1493
10.711    2.1582
10.689    2.1691
10.667    2.1420
10.645    2.1385
10.623    2.1192
10.602    2.1100
10.580    2.1128
10.558    2.0996
10.537    2.0826
10.516    2.0865
10.494    2.0687
10.473    2.0507
10.452    2.0416
10.431    2.0394
10.410    2.0265
10.389    2.0352
10.368    2.0107
10.348    1.9775
10.327    1.9604
10.306    1.9476
10.286    1.9344
10.266    1.9212
10.245    1.8863
10.225    1.8716
10.205    1.8781
10.185    1.8724
10.165    1.8588
10.145    1.8679
10.125    1.8777
10.106    1.8787
10.086    1.8537
10.066    1.8197
10.047    1.7955
10.027    1.8228
10.008    1.8341
 9.989    1.7959
 9.970    1.7679
 9.950    1.7756
 9.931    1.7795
 9.912    1.7973
 9.893    1.8226
 9.875    1.8074
 9.856    1.7754
 9.837    1.7578
 9.819    1.7407
 9.800    1.7651
 9.781    1.7721
 9.763    1.7442
 9.745    1.7448
 9.726    1.7576
 9.708    1.7567
 9.690    1.7508
 9.672    1.7212
 9.654    1.6934
 9.636    1.7163
 9.618    1.7375
 9.600    1.7135
 9.582    1.7341
 9.565    1.7212
 9.547    1.7114
 9.530    1.7145
 9.512    1.7253
 9.495    1.7382
 9.477    1.7213
 9.460    1.7213
 9.443    1.7392
 9.426    1.7429
 9.409    1.7571
 9.392    1.7349
 9.375    1.7271
 9.358    1.7244
 9.341    1.7392
 9.324    1.7392
 9.307    1.7273
 9.291    1.7192
 9.274    1.7361
 9.257    1.7395
 9.241    1.7246
 9.225    1.6995
 9.208    1.7146
 9.192    1.7217
 9.175    1.7172
 9.159    1.7292
 9.143    1.7243
 9.127    1.6841
 9.111    1.6689
 9.095    1.6205
 9.079    1.5901
 9.063    1.6294
 9.047    1.6306
 9.032    1.5786
 9.016    1.5476
 9.000    1.5251
 8.985    1.5034
 8.969    1.4643
 8.954    1.4428
 8.938    1.4089
 8.923    1.3995
 8.908    1.3568
 8.892    1.3267
 8.877    1.3017
 8.862    1.2715
 8.847    1.2389
 8.832    1.2458
 8.817    1.2278
 8.802    1.1800
 8.787    1.1510
 8.772    1.1602
 8.757    1.1538
 8.742    1.1450
 8.727    1.1435
 8.713    1.1394
 8.698    1.1451
 8.684    1.1202
 8.669    1.0928
 8.655    1.1088
 8.640    1.1082
 8.626    1.0883
 8.612    1.0837
 8.597    1.0996
 8.583    1.0796
 8.569    1.0811
 8.555    1.0823
 8.541    1.0767
 8.527    1.0821
 8.513    1.0732
 8.499    1.0711
 8.485    1.0895
 8.471    1.0969
 8.457    1.0874
 8.443    1.0919
 8.430    1.0884
 8.416    1.0686
 8.402    1.0762
 8.389    1.1076
