Name: 12030.135
Type: Soil
Class: Lunar
Subclass: Maria
Particle Size: Fine
Sample No.: 12030.135
Owner: JHU
Wavelength range: IR
Origin: Apollo 12 landing site via the NASA Lunar Sample Repository at Johnson 
Space Center, Houston, TX.
Description:  This sample is one of a suite of soils of similar chemistry, but 
different exposure ages, from the Apollo 12 mare site.  This sample has the 
lowest exposure age of the three soils of that suite (Is/FeO=14).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.011
Last X Value:  2.079
Number of X Values:  2124
Additional information:  None
14.011    1.2485
13.973    1.2275
13.936    1.1594
13.899    1.2155
13.861    1.2775
13.824    1.2918
13.788    1.2535
13.751    1.2399
13.715    1.2305
13.679    1.2198
13.643    1.2831
13.607    1.3262
13.571    1.3498
13.536    1.3539
13.500    1.3830
13.465    1.3682
13.430    1.3933
13.396    1.4123
13.361    1.4602
13.327    1.4233
13.293    1.4308
13.259    1.4538
13.225    1.5121
13.191    1.5330
13.158    1.5601
13.124    1.5544
13.091    1.5547
13.058    1.6048
13.026    1.6206
12.993    1.6206
12.960    1.7082
12.928    1.7287
12.896    1.7438
12.864    1.7658
12.832    1.7849
12.800    1.8056
12.769    1.8662
12.737    1.9274
12.706    1.9760
12.675    2.0237
12.644    2.0474
12.614    2.0797
12.583    2.1395
12.552    2.2019
12.522    2.2479
12.492    2.2751
12.462    2.3159
12.432    2.3743
12.402    2.4403
12.373    2.4837
12.343    2.5242
12.314    2.5746
12.285    2.6178
12.256    2.6271
12.227    2.6410
12.198    2.6372
12.169    2.6427
12.141    2.6144
12.113    2.5929
12.084    2.5876
12.056    2.5880
12.028    2.5585
12.000    2.5157
11.973    2.4876
11.945    2.5139
11.918    2.4880
11.890    2.4602
11.863    2.4636
11.836    2.5043
11.809    2.5208
11.782    2.5106
11.755    2.5118
11.729    2.4987
11.702    2.4803
11.676    2.5155
11.650    2.5299
11.624    2.5285
11.598    2.5422
11.572    2.5428
11.546    2.5563
11.520    2.5939
11.495    2.5878
11.469    2.5898
11.444    2.6158
11.419    2.6442
11.394    2.6300
11.369    2.5983
11.344    2.5620
11.319    2.5753
11.294    2.5512
11.270    2.5200
11.245    2.4973
11.221    2.5164
11.197    2.4850
11.173    2.4229
11.149    2.3980
11.125    2.3983
11.101    2.3649
11.077    2.3331
11.054    2.3200
11.030    2.3031
11.007    2.2941
10.983    2.3098
10.960    2.3122
10.937    2.3228
10.914    2.3274
10.891    2.3440
10.868    2.3667
10.846    2.3826
10.823    2.3774
10.800    2.3826
10.778    2.3811
10.755    2.3551
10.733    2.3283
10.711    2.3419
10.689    2.3359
10.667    2.3253
10.645    2.3105
10.623    2.2688
10.602    2.2365
10.580    2.2302
10.558    2.2046
10.537    2.1956
10.516    2.1904
10.494    2.1697
10.473    2.1451
10.452    2.1428
10.431    2.1291
10.410    2.1251
10.389    2.1216
10.368    2.0977
10.348    2.0680
10.327    2.0474
10.306    2.0072
10.286    1.9868
10.266    1.9842
10.245    1.9775
10.225    1.9532
10.205    1.9354
10.185    1.9171
10.165    1.9188
10.145    1.9382
10.125    1.9549
10.106    1.9489
10.086    1.9443
10.066    1.9331
10.047    1.9359
10.027    1.9411
10.008    1.9292
 9.989    1.9009
 9.970    1.9062
 9.950    1.9252
 9.931    1.9352
 9.912    1.9226
 9.893    1.9224
 9.875    1.9283
 9.856    1.9297
 9.837    1.9226
 9.819    1.9213
 9.800    1.9340
 9.781    1.9426
 9.763    1.9439
 9.745    1.9698
 9.726    1.9511
 9.708    1.9417
 9.690    1.9404
 9.672    1.9316
 9.654    1.8977
 9.636    1.9115
 9.618    1.9289
 9.600    1.9088
 9.582    1.9092
 9.565    1.9250
 9.547    1.9293
 9.530    1.9482
 9.512    1.9531
 9.495    1.9393
 9.477    1.9308
 9.460    1.9436
 9.443    1.9538
 9.426    1.9406
 9.409    1.9280
 9.392    1.9331
 9.375    1.9417
 9.358    1.9660
 9.341    1.9713
 9.324    1.9707
 9.307    1.9662
 9.291    1.9669
 9.274    1.9702
 9.257    2.0129
 9.241    2.0115
 9.225    1.9985
 9.208    2.0317
 9.192    2.0448
 9.175    2.0287
 9.159    2.0377
 9.143    2.0253
 9.127    2.0328
 9.111    2.0149
 9.095    1.9500
 9.079    1.9172
 9.063    1.9491
 9.047    1.9481
 9.032    1.9096
 9.016    1.8699
 9.000    1.8353
 8.985    1.7895
 8.969    1.7384
 8.954    1.6856
 8.938    1.6453
 8.923    1.6222
 8.908    1.5591
 8.892    1.5101
 8.877    1.4826
 8.862    1.4370
 8.847    1.3977
 8.832    1.3868
 8.817    1.3604
 8.802    1.3173
 8.787    1.3041
 8.772    1.2792
 8.757    1.2622
 8.742    1.2497
 8.727    1.2641
 8.713    1.2598
 8.698    1.2309
 8.684    1.2149
 8.669    1.2170
 8.655    1.2138
 8.640    1.2124
 8.626    1.2029
 8.612    1.2104
 8.597    1.1958
 8.583    1.1447
 8.569    1.1539
 8.555    1.1665
 8.541    1.1617
 8.527    1.1776
 8.513    1.1585
 8.499    1.1536
 8.485    1.1624
 8.471    1.1727
 8.457    1.1610
 8.443    1.1531
 8.430    1.1472
 8.416    1.1173
 8.402    1.1245
 8.389    1.1456
 8.375    1.1449
 8.361    1.1573
 8.348    1.1619
 8.335    1.1796
 8.321    1.2168
 8.308    1.2274
 8.295    1.2507
 8.281    1.2946
 8.268    1.2831
 8.255    1.2989
 8.242    1.3362
 8.229    1.3642
 8.216    1.4011
 8.203    1.4509
 8.190    1.4737
 8.177    1.4944
 8.164    1.5253
 8.151    1.5712
 8.138    1.6244
 8.126    1.6653
 8.113    1.7040
 8.100    1.7657
 8.088    1.8186
 8.075    1.8699
 8.062    1.9363
 8.050    2.0124
 8.037    2.0619
 8.025    2.1463
 8.013    2.2418
 8.000    2.3214
 7.988    2.4014
 7.976    2.5018
 7.963    2.6045
 7.951    2.6916
 7.939    2.7715
 7.927    2.8781
 7.915    2.9844
 7.903    3.0793
 7.891    3.1829
 7.879    3.2949
 7.867    3.3826
 7.855    3.4797
 7.843    3.5770
 7.831    3.6639
 7.819    3.7600
 7.808    3.8498
 7.796    3.9467
 7.784    4.0511
 7.772    4.1548
 7.761    4.2515
 7.749    4.3168
 7.737    4.3967
 7.726    4.5107
 7.715    4.6256
 7.703    4.7267
 7.692    4.8273
 7.680    4.9044
 7.669    5.0005
 7.657    5.0986
 7.646    5.1675
 7.635    5.2468
 7.624    5.3387
 7.613    5.4311
 7.601    5.5222
 7.590    5.6184
 7.579    5.6937
 7.568    5.7663
 7.557    5.8713
 7.546    5.9500
 7.535    6.0408
 7.524    6.1366
 7.513    6.2276
 7.502    6.2998
 7.492    6.3805
 7.481    6.4825
 7.470    6.5774
 7.459    6.6560
 7.449    6.7508
 7.438    6.8201
 7.427    6.9079
 7.417    7.0024
 7.406    7.0878
 7.395    7.1595
 7.385    7.2498
 7.374    7.3405
 7.364    7.4121
 7.353    7.4877
 7.343    7.5837
 7.333    7.6614
 7.322    7.7304
 7.312    7.8042
 7.302    7.8829
 7.291    7.9608
 7.281    8.0312
 7.271    8.1075
 7.261    8.1757
 7.251    8.2429
 7.240    8.3144
 7.230    8.3751
 7.220    8.4459
 7.210    8.5057
 7.200    8.5676
 7.190    8.6250
 7.180    8.6862
 7.170    8.7688
 7.160    8.8563
 7.151    8.9037
 7.141    8.9396
 7.131    8.9788
 7.121    9.0411
 7.111    9.1126
 7.102    9.1739
 7.092    9.2313
 7.082    9.3001
 7.072    9.3554
 7.063    9.3998
 7.053    9.4778
 7.044    9.5749
 7.034    9.5925
 7.025    9.6267
 7.015    9.6845
 7.006    9.7368
 6.996    9.8103
 6.987    9.8808
 6.977    9.9257
 6.968    9.9827
 6.959   10.0240
 6.949   10.0380
 6.940   10.0900
 6.931   10.1480
 6.921   10.1960
 6.912   10.2540
 6.903   10.3150
 6.894   10.3730
 6.885   10.4120
 6.875   10.4840
 6.866   10.5670
 6.857   10.5620
 6.848   10.5630
 6.839   10.6040
 6.830   10.6490
 6.821   10.6640
 6.812   10.6950
 6.803   10.7470
 6.794   10.7900
 6.785   10.8140
 6.777   10.8120
 6.768   10.8210
 6.759   10.8350
 6.750   10.8700
 6.741   10.8650
 6.733   10.8570
 6.724   10.8850
 6.715   10.9050
 6.707   10.8960
 6.698   10.8890
 6.689   10.9010
 6.681   10.9310
 6.672   10.9300
 6.663   10.9250
 6.655   10.9260
 6.646   10.9570
 6.638   10.9960
 6.629   10.9690
 6.621   10.9450
 6.612   10.9590
 6.604   10.9670
 6.596   10.9870
 6.587   11.0070
 6.579   11.0240
 6.571   11.0430
