Name: 14141.146
Type: Soil
Class: Lunar
Subclass: Transitional
Particle Size: Fine
Sample No.: 14141.146
Owner: JHU
Wavelength range: IR
Origin: Apollo 14 landing site via the NASA Lunar Sample Repository at Johnson 
Space Center, Houston, TX.
Description:  This sample is one of a suite of soils at the Apollo 14 site 
representing major element chemistry transitional between the highlands and 
maria.  It has the least exposure age of the three soils of that suite 
((Is/FeO=6).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.011
Last X Value:  2.079
Number of X Values:  2124
Additional information:  None
14.011    0.8762
13.973    0.8384
13.936    0.8699
13.899    0.9296
13.861    0.9183
13.824    0.9765
13.788    0.9120
13.751    0.9590
13.715    0.9968
13.679    1.0933
13.643    1.0962
13.607    1.1437
13.571    1.1710
13.536    1.1686
13.500    1.1893
13.465    1.2362
13.430    1.2074
13.396    1.2529
13.361    1.3288
13.327    1.3461
13.293    1.2991
13.259    1.2659
13.225    1.3126
13.191    1.3770
13.158    1.3723
13.124    1.3598
13.091    1.3598
13.058    1.4118
13.026    1.4158
12.993    1.4428
12.960    1.4961
12.928    1.5587
12.896    1.5729
12.864    1.5763
12.832    1.5687
12.800    1.6025
12.769    1.6862
12.737    1.8127
12.706    1.8688
12.675    1.9359
12.644    1.9913
12.614    2.0394
12.583    2.0651
12.552    2.1423
12.522    2.2148
12.492    2.2683
12.462    2.3086
12.432    2.4170
12.402    2.5117
12.373    2.5340
12.343    2.5503
12.314    2.6226
12.285    2.6582
12.256    2.6790
12.227    2.6868
12.198    2.6728
12.169    2.6499
12.141    2.6658
12.113    2.6704
12.084    2.6562
12.056    2.6331
12.028    2.6535
12.000    2.6322
11.973    2.6059
11.945    2.6082
11.918    2.6156
11.890    2.6014
11.863    2.5993
11.836    2.6046
11.809    2.6140
11.782    2.6093
11.755    2.6232
11.729    2.5935
11.702    2.5810
11.676    2.5963
11.650    2.6132
11.624    2.6293
11.598    2.6515
11.572    2.6267
11.546    2.6307
11.520    2.6326
11.495    2.6310
11.469    2.6266
11.444    2.6502
11.419    2.6795
11.394    2.6679
11.369    2.6123
11.344    2.5901
11.319    2.5691
11.294    2.5519
11.270    2.5206
11.245    2.5073
11.221    2.4913
11.197    2.4604
11.173    2.4102
11.149    2.3861
11.125    2.3726
11.101    2.3438
11.077    2.3117
11.054    2.3168
11.030    2.3153
11.007    2.3312
10.983    2.3321
10.960    2.3460
10.937    2.3630
10.914    2.3744
10.891    2.3797
10.868    2.4160
10.846    2.4406
10.823    2.4399
10.800    2.4337
10.778    2.4430
10.755    2.4270
10.733    2.4072
10.711    2.4032
10.689    2.3986
10.667    2.3879
10.645    2.3845
10.623    2.3410
10.602    2.3310
10.580    2.3243
10.558    2.2914
10.537    2.2700
10.516    2.2768
10.494    2.2551
10.473    2.2377
10.452    2.2115
10.431    2.1825
10.410    2.1466
10.389    2.1267
10.368    2.0798
10.348    2.0366
10.327    2.0254
10.306    2.0226
10.286    1.9814
10.266    1.9545
10.245    1.9292
10.225    1.9035
10.205    1.8653
10.185    1.8711
10.165    1.8849
10.145    1.9127
10.125    1.9251
10.106    1.9061
10.086    1.8616
10.066    1.8408
10.047    1.8371
10.027    1.8618
10.008    1.8619
 9.989    1.8405
 9.970    1.8377
 9.950    1.8324
 9.931    1.8026
 9.912    1.8148
 9.893    1.8281
 9.875    1.8089
 9.856    1.8233
 9.837    1.8408
 9.819    1.8252
 9.800    1.8391
 9.781    1.8354
 9.763    1.8611
