Name: 14259.61
Type: Soil
Class: Lunar
Subclass: Transitional
Particle Size: Fine
Sample No.: 14259.61
Owner: JHU
Wavelength range: IR
Origin: Apollo 14 landing site via the NASA Lunar Sample Repository at Johnson 
Space Center, Houston, TX.
Description: The Apollo 14 site represents major element chemistry transitional 
between the highlands and maria.  This sample is an additional sample to the 
suite of soils  from this site selected to represent different exposure ages of 
the same basic soil.  The exposure age of this soil is very great (Is/FeO=85).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.011
Last X Value:  2.079
Number of X Values:  2124
Additional information:  None
14.011    1.0732
13.973    1.0854
13.936    1.0854
13.899    1.1554
13.861    1.0983
13.824    1.1336
13.788    1.0222
13.751    1.0224
13.715    1.0812
13.679    1.1477
13.643    1.1149
13.607    1.1230
13.571    1.1489
13.536    1.1709
13.500    1.1977
13.465    1.1711
13.430    1.1225
13.396    1.1464
13.361    1.1975
13.327    1.1672
13.293    1.1805
13.259    1.2294
13.225    1.2298
13.191    1.2655
13.158    1.2851
13.124    1.2673
13.091    1.2391
13.058    1.3143
13.026    1.3449
12.993    1.3345
12.960    1.3563
12.928    1.3627
12.896    1.3748
12.864    1.3992
12.832    1.3892
12.800    1.4001
12.769    1.4379
12.737    1.5220
12.706    1.5359
12.675    1.5633
12.644    1.5948
12.614    1.6185
12.583    1.6417
12.552    1.6863
12.522    1.7271
12.492    1.7556
12.462    1.7509
12.432    1.7917
12.402    1.8425
12.373    1.8777
12.343    1.9086
12.314    1.9460
12.285    1.9566
12.256    1.9730
12.227    1.9948
12.198    2.0008
12.169    1.9830
12.141    1.9898
12.113    2.0087
12.084    2.0106
12.056    1.9926
12.028    1.9969
12.000    1.9894
11.973    1.9817
11.945    1.9419
11.918    1.9399
11.890    1.9384
11.863    1.9299
11.836    1.9251
11.809    1.9305
11.782    1.9296
11.755    1.9442
11.729    1.9398
11.702    1.9184
11.676    1.9291
11.650    1.9534
11.624    1.9476
11.598    1.9598
11.572    1.9418
11.546    1.9527
11.520    1.9618
11.495    1.9617
11.469    1.9603
11.444    1.9698
11.419    1.9819
11.394    1.9750
11.369    1.9555
11.344    1.9506
11.319    1.9427
11.294    1.9140
11.270    1.9126
11.245    1.9215
11.221    1.9179
11.197    1.9115
11.173    1.8942
11.149    1.8973
11.125    1.8974
11.101    1.8579
11.077    1.8375
11.054    1.8619
11.030    1.8557
11.007    1.8358
10.983    1.8462
10.960    1.8757
10.937    1.8656
10.914    1.8839
10.891    1.8814
10.868    1.8794
10.846    1.8800
10.823    1.8789
10.800    1.8877
10.778    1.8999
10.755    1.8813
10.733    1.8611
10.711    1.8556
10.689    1.8616
10.667    1.8540
10.645    1.8591
10.623    1.8375
10.602    1.8146
10.580    1.8166
10.558    1.7909
10.537    1.7687
10.516    1.7724
10.494    1.7562
10.473    1.7437
10.452    1.7154
10.431    1.7051
10.410    1.6906
10.389    1.6896
10.368    1.6745
10.348    1.6550
10.327    1.6696
10.306    1.6771
10.286    1.6447
10.266    1.6343
10.245    1.6209
10.225    1.6067
10.205    1.5876
10.185    1.5844
10.165    1.5917
10.145    1.5925
10.125    1.5870
10.106    1.5867
10.086    1.5645
10.066    1.5247
10.047    1.5164
10.027    1.5327
10.008    1.5206
 9.989    1.5200
 9.970    1.5320
 9.950    1.5089
 9.931    1.4996
 9.912    1.5284
 9.893    1.5128
 9.875    1.4965
 9.856    1.5059
 9.837    1.5152
 9.819    1.4960
 9.800    1.4927
 9.781    1.4927
 9.763    1.4919
 9.745    1.5085
 9.726    1.4991
 9.708    1.4753
 9.690    1.4735
 9.672    1.4654
 9.654    1.4434
 9.636    1.4634
 9.618    1.5013
 9.600    1.4858
 9.582    1.4942
 9.565    1.4867
 9.547    1.4637
 9.530    1.4654
 9.512    1.4732
 9.495    1.4547
 9.477    1.4703
 9.460    1.4725
 9.443    1.4430
 9.426    1.4324
 9.409    1.4410
 9.392    1.4036
 9.375    1.3890
 9.358    1.4037
 9.341    1.4085
 9.324    1.3978
 9.307    1.3889
 9.291    1.3770
 9.274    1.3756
 9.257    1.3707
 9.241    1.3343
 9.225    1.3192
 9.208    1.3336
 9.192    1.3223
 9.175    1.3395
 9.159    1.3412
 9.143    1.2986
 9.127    1.2762
 9.111    1.2775
 9.095    1.2368
 9.079    1.2312
 9.063    1.2609
 9.047    1.2491
 9.032    1.2238
 9.016    1.1885
 9.000    1.1546
 8.985    1.1318
 8.969    1.1100
 8.954    1.1069
 8.938    1.0821
 8.923    1.0722
 8.908    1.0501
 8.892    1.0400
 8.877    1.0170
 8.862    0.9810
 8.847    0.9375
 8.832    0.9515
 8.817    0.9456
 8.802    0.9038
 8.787    0.8918
 8.772    0.9040
 8.757    0.8878
 8.742    0.8670
 8.727    0.8658
 8.713    0.8745
 8.698    0.8687
 8.684    0.8318
 8.669    0.8092
 8.655    0.8232
 8.640    0.8254
 8.626    0.8085
 8.612    0.7805
 8.597    0.7538
 8.583    0.7139
 8.569    0.7220
 8.555    0.7238
 8.541    0.7207
 8.527    0.6993
 8.513    0.6870
 8.499    0.6633
 8.485    0.6600
 8.471    0.6621
 8.457    0.6526
 8.443    0.6364
 8.430    0.6142
 8.416    0.5934
 8.402    0.5962
 8.389    0.5800
 8.375    0.5712
 8.361    0.5708
 8.348    0.5644
 8.335    0.5515
 8.321    0.5592
 8.308    0.5561
 8.295    0.5650
 8.281    0.5590
 8.268    0.5386
 8.255    0.5344
 8.242    0.5351
 8.229    0.5446
 8.216    0.5639
 8.203    0.5808
 8.190    0.5908
 8.177    0.5723
 8.164    0.5830
 8.151    0.6171
 8.138    0.6523
 8.126    0.6636
 8.113    0.6763
 8.100    0.7232
 8.088    0.7732
 8.075    0.8154
 8.062    0.8618
 8.050    0.8937
 8.037    0.9335
 8.025    0.9842
 8.013    1.0488
 8.000    1.0942
 7.988    1.1708
 7.976    1.2570
 7.963    1.3276
 7.951    1.3923
 7.939    1.4513
 7.927    1.5147
 7.915    1.6075
 7.903    1.7036
 7.891    1.7970
 7.879    1.8816
 7.867    1.9657
 7.855    2.0571
 7.843    2.1402
 7.831    2.2210
 7.819    2.3104
 7.808    2.4069
 7.796    2.5089
 7.784    2.6055
 7.772    2.6986
 7.761    2.7996
 7.749    2.8828
 7.737    2.9594
 7.726    3.0703
 7.715    3.1885
 7.703    3.2731
 7.692    3.3664
 7.680    3.4800
 7.669    3.5717
 7.657    3.6689
 7.646    3.7534
 7.635    3.8319
 7.624    3.9290
 7.613    4.0496
 7.601    4.1559
 7.590    4.2537
 7.579    4.3405
 7.568    4.4220
 7.557    4.5323
 7.546    4.6325
 7.535    4.7255
 7.524    4.8240
 7.513    4.9069
 7.502    4.9993
 7.492    5.0937
 7.481    5.2025
 7.470    5.2982
 7.459    5.3759
 7.449    5.4711
 7.438    5.5556
 7.427    5.6516
 7.417    5.7672
 7.406    5.8497
 7.395    5.9248
 7.385    6.0182
 7.374    6.1173
 7.364    6.1967
 7.353    6.2605
 7.343    6.3379
 7.333    6.4362
 7.322    6.5309
 7.312    6.6338
 7.302    6.7155
 7.291    6.7901
 7.281    6.8549
 7.271    6.9388
 7.261    7.0136
 7.251    7.0912
 7.240    7.1790
 7.230    7.2564
 7.220    7.3303
 7.210    7.4029
 7.200    7.4625
 7.190    7.5310
 7.180    7.6022
 7.170    7.6742
 7.160    7.7606
 7.151    7.8399
 7.141    7.8786
 7.131    7.9293
 7.121    7.9980
 7.111    8.0751
 7.102    8.1444
 7.092    8.2032
 7.082    8.2558
 7.072    8.3111
 7.063    8.3743
 7.053    8.4672
 7.044    8.5570
 7.034    8.5827
 7.025    8.6159
 7.015    8.6664
 7.006    8.7361
 6.996    8.8195
 6.987    8.8623
 6.977    8.9212
 6.968    8.9949
 6.959    9.0578
 6.949    9.0849
 6.940    9.1432
 6.931    9.1953
 6.921    9.2493
 6.912    9.2934
 6.903    9.3506
 6.894    9.4115
 6.885    9.4513
 6.875    9.5151
 6.866    9.6069
 6.857    9.6230
 6.848    9.6434
 6.839    9.6862
 6.830    9.7220
 6.821    9.7541
 6.812    9.8075
 6.803    9.8557
 6.794    9.8933
 6.785    9.9280
 6.777    9.9508
 6.768    9.9721
 6.759   10.0100
 6.750   10.0460
 6.741   10.0580
 6.733   10.0870
 6.724   10.1460
 6.715   10.1780
 6.707   10.1960
 6.698   10.2160
 6.689   10.2420
 6.681   10.2680
 6.672   10.2720
 6.663   10.2750
 6.655   10.3180
 6.646   10.3840
 6.638   10.4370
 6.629   10.4070
 6.621   10.3910
 6.612   10.4200
 6.604   10.4370
 6.596   10.4730
 6.587   10.5130
 6.579   10.5510
 6.571   10.5780
 6.562   10.5810
 6.554   10.6150
 6.546   10.6170
 6.537   10.6420
 6.529   10.6780
 6.521   10.7170
 6.513   10.7330
 6.505   10.7860
 6.496   10.8680
 6.488   10.8910
 6.480   10.8700
 6.472   10.8690
 6.464   10.8840
 6.456   10.9060
 6.448   10.9350
 6.440   10.9570
 6.432   10.9700
 6.424   11.0080
 6.416   11.0740
 6.408   11.0630
 6.400   10.9980
 6.392   10.9830
 6.384   10.9990
 6.377   11.0210
 6.369   11.0300
 6.361   11.0150
 6.353   11.0180
 6.345   11.0470
 6.338   11.0350
 6.330   11.0110
 6.322   11.0020
 6.314   11.0220
 6.307   11.0270
 6.299   11.0260
 6.291   11.0380
 6.284   11.0460
 6.276   11.0460
 6.269   11.0630
 6.261   11.0790
 6.253   11.0820
 6.246   11.0780
 6.239   11.0970
 6.231   11.1260
 6.223   11.1450
 6.216   11.1320
 6.209   11.1380
 6.201   11.1760
 6.194   11.2130
 6.186   11.2650
 6.179   11.2690
 6.172   11.2600
 6.164   11.2940
 6.157   11.3370
 6.150   11.3660
