Name:  Vary dark grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Agriudoll
Particle Size:  see additional information
Sample No.:  87P757
Owner:  JHU
Wavelength range:  All
Origin:  Jefferson Co., Tn. via USDA Soil Conservation service.

Description: Parent material is alluvium from mixed material.  Very dark 
grayish brown loam, (fine-loamy, mixed, thermic typic).  
Physiography: flood plain in hills.



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P757a.txt
14.011    2.0200
13.974    2.0911
13.936    2.1518
13.899    2.1999
13.861    2.2329
13.824    2.2519
13.788    2.2612
13.751    2.2671
13.715    2.2734
13.679    2.2847
13.643    2.3022
13.607    2.3247
13.571    2.3479
13.536    2.3684
13.500    2.3843
13.465    2.3943
13.430    2.3974
13.396    2.3955
13.361    2.3906
13.327    2.3862
13.293    2.3833
13.259    2.3843
13.225    2.3887
13.191    2.3928
13.158    2.3935
13.124    2.3909
13.091    2.3860
13.058    2.3831
13.025    2.3877
12.993    2.4058
12.960    2.4382
12.928    2.4800
12.896    2.5203
12.864    2.5466
12.832    2.5459
12.800    2.5093
12.769    2.4382
12.738    2.3440
12.706    2.2458
12.675    2.1641
12.644    2.1155
12.614    2.1067
12.583    2.1299
12.552    2.1648
12.522    2.1841
12.492    2.1628
12.462    2.0850
12.432    1.9524
12.402    1.7852
12.373    1.6152
12.343    1.4768
12.314    1.3936
12.285    1.3740
12.256    1.4102
12.227    1.4836
12.198    1.5749
12.169    1.6707
12.141    1.7659
12.113    1.8613
12.084    1.9576
12.056    2.0537
12.028    2.1472
12.000    2.2351
11.973    2.3174
11.945    2.3970
11.918    2.4795
11.890    2.5688
11.863    2.6645
11.836    2.7615
11.809    2.8535
11.782    2.9348
11.756    3.0022
11.729    3.0549
11.702    3.0959
11.676    3.1291
11.650    3.1572
11.624    3.1807
11.598    3.1992
11.572    3.2129
11.546    3.2212
11.520    3.2248
11.495    3.2258
11.469    3.2263
11.444    3.2263
11.419    3.2246
11.394    3.2192
11.369    3.2085
11.344    3.1926
11.319    3.1731
11.294    3.1536
11.270    3.1372
11.246    3.1247
11.221    3.1142
11.197    3.1028
11.173    3.0847
11.149    3.0564
11.125    3.0168
11.101    2.9674
11.077    2.9128
11.054    2.8584
11.030    2.8096
11.007    2.7705
10.983    2.7414
10.960    2.7219
10.937    2.7109
10.914    2.7074
10.891    2.7109
10.868    2.7207
10.845    2.7363
