Name:  Very dark grayish brown loam
Type:  Soils
Class:  Mollisol
Subclass:  Cryoboroll
Particle Size:  see additional information
Sample No.:  87P4453
Owner:  JHU
Wavelength range:  All
Origin:  Wayne Co., Utah, via USDA Soil Conservation service.

Description:  Very dark grayish brown loam, (loamy-skeletal, mixed, typic).  
Physiography: plateaus or tablelands.




Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P4453a.txt
14.011    1.4458
13.973    1.4604
13.936    1.4492
13.899    1.4380
13.861    1.4341
13.824    1.4463
13.788    1.4622
13.751    1.4866
13.715    1.4963
13.679    1.4980
13.643    1.5010
13.607    1.5266
13.571    1.5559
13.536    1.5723
13.500    1.5796
13.465    1.5859
13.430    1.5747
13.396    1.5618
13.361    1.5574
13.327    1.5696
13.293    1.5769
13.259    1.5815
13.225    1.6028
13.191    1.6228
13.158    1.6294
13.124    1.6348
13.091    1.6313
13.058    1.6267
13.025    1.6230
12.993    1.6392
12.960    1.6753
12.928    1.7092
12.896    1.7371
12.864    1.7581
12.832    1.7595
12.800    1.7522
12.769    1.7363
12.738    1.7100
12.706    1.6775
12.675    1.6509
12.644    1.6401
12.614    1.6523
12.583    1.6702
12.552    1.6912
12.522    1.6987
12.492    1.6838
12.462    1.6528
12.432    1.6208
12.402    1.6035
12.373    1.6062
12.343    1.6140
12.314    1.6311
12.285    1.6558
12.256    1.6914
12.227    1.7371
12.198    1.7937
12.169    1.8520
12.141    1.9036
12.113    1.9438
12.084    1.9785
12.056    2.0049
12.028    2.0364
12.000    2.0747
11.973    2.1143
11.945    2.1423
11.918    2.1660
11.890    2.1963
11.863    2.2339
11.836    2.2659
11.809    2.2978
11.782    2.3393
11.756    2.3889
11.729    2.4246
11.702    2.4480
11.676    2.4641
11.650    2.4751
11.624    2.4824
11.598    2.4844
11.572    2.4910
11.546    2.5149
11.520    2.5305
11.495    2.5400
11.469    2.5464
11.444    2.5513
11.419    2.5640
11.394    2.5796
11.369    2.5915
11.344    2.6172
11.319    2.6401
11.294    2.6540
11.270    2.6577
11.246    2.6616
11.221    2.6694
11.197    2.6716
11.173    2.6704
11.149    2.6804
11.125    2.6941
11.101    2.7046
11.077    2.7117
11.054    2.7258
11.030    2.7390
11.007    2.7414
10.983    2.7339
10.960    2.7263
10.937    2.7161
10.914    2.7031
10.891    2.6916
10.868    2.6853
10.845    2.6811
10.823    2.6787
10.800    2.6770
