Name:  Brown to dark brown loamy sand
Type:  Soils
Class:  Ultisol
Subclass:  Hapludult
Particle Size:  see additional information
Sample No.:  87P707
Owner:  JHU
Wavelength range:  All
Origin:  Dorchester Co., Md. via USDA Soil Conservation service.

Description:  Parent material: alluvium from mixed material.  
Physiography: upland slope in coastal plain, cropland.  Brown to dark 
brown loamy sand (sandy, siliceous, mesic psammentic).



Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P707a.txt

14.011    2.5574
13.973    2.5566
13.936    2.6238
13.899    2.6909
13.861    2.6955
13.824    2.7244
13.788    2.7991
13.751    2.7651
13.715    2.8069
13.679    2.9153
13.643    3.0098
13.607    2.9639
13.571    2.9397
13.536    2.9668
13.500    3.0759
13.465    3.1118
13.430    3.1226
13.396    3.1457
13.361    3.1826
13.327    3.2212
13.293    3.3152
13.259    3.3635
13.225    3.4416
13.191    3.4883
13.158    3.5085
13.124    3.5466
13.091    3.6421
13.058    3.6785
13.025    3.7593
12.993    3.8830
12.960    4.1130
12.928    4.3967
12.896    4.7139
12.864    5.0320
12.832    5.2595
12.800    5.3122
12.769    5.1721
12.738    4.8242
12.706    4.3965
12.675    3.9714
12.644    3.6699
12.614    3.6811
12.583    3.9446
12.552    4.2280
12.522    4.4350
12.492    4.3874
12.462    4.1814
12.432    3.7859
12.402    3.1113
12.373    2.2322
12.343    1.5435
12.314    1.1836
12.285    1.1162
12.256    1.1648
12.227    1.2705
12.198    1.3599
12.169    1.4656
12.141    1.5618
12.113    1.6516
12.084    1.7651
12.056    1.9209
12.028    2.0215
12.000    2.0972
11.973    2.1472
11.945    2.2358
11.918    2.3179
11.890    2.3933
11.863    2.4438
11.836    2.5444
11.809    2.6186
11.782    2.6929
11.756    2.7495
11.729    2.8142
11.702    2.8608
11.676    2.9123
11.650    2.9612
11.624    3.0229
11.598    3.0749
11.572    3.1326
11.546    3.1611
11.520    3.1916
11.495    3.1650
11.469    3.1804
11.444    3.2505
11.419    3.3047
11.394    3.3210
11.369    3.3433
11.344    3.3586
11.319    3.4194
11.294    3.4236
11.270    3.4582
11.246    3.5054
11.221    3.5193
11.197    3.5305
11.173    3.5522
11.149    3.5554
11.125    3.5727
11.101    3.5810
11.077    3.6028
11.054    3.5972
11.030    3.6086
11.007    3.5901
10.983    3.5954
10.960    3.6030
10.937    3.6150
10.914    3.6272
10.891    3.6601
10.868    3.6765
10.845    3.7070
10.823    3.7783
10.800    3.7961
10.778    3.7817
10.756    3.8452
10.733    3.8994
10.711    3.9121
10.689    3.9060
10.667    3.9131
10.645    3.9443
10.623    3.9902
10.602    4.0251
10.580    4.0593
10.558    4.0791
10.537    4.1196
10.515    4.1658
10.494    4.2139
10.473    4.2451
10.452    4.2742
10.431    4.2947
10.410    4.3188
10.389    4.3254
10.368    4.3999
10.348    4.4292
10.327    4.4609
10.307    4.4641
10.286    4.4861
10.266    4.5256
10.245    4.5652
10.225    4.5906
10.205    4.6496
10.185    4.7334
10.165    4.7986
10.145    4.7939
10.125    4.8188
10.106    4.8196
10.086    4.8970
10.066    4.9988
10.047    5.0796
10.027    5.0964
10.008    5.1628
 9.989    5.2276
 9.970    5.3418
 9.950    5.4067
 9.931    5.4553
 9.912    5.5473
 9.893    5.6621
 9.875    5.7344
 9.856    5.7995
 9.837    5.8362
 9.819    5.8918
 9.800    5.9599
 9.781    6.0879
 9.763    6.1721
 9.745    6.2431
 9.726    6.3760
 9.708    6.5420
 9.690    6.7077
 9.672    6.8498
 9.654    7.0115
 9.636    7.1543
 9.618    7.2571
 9.600    7.3523
 9.582    7.5085
 9.565    7.7453
 9.547    7.9787
 9.530    8.2102
 9.512    8.4192
 9.495    8.6667
 9.477    9.0005
 9.460    9.4233
 9.443    9.8984
 9.426   10.4885
 9.409   11.2644
 9.392   12.1516
 9.375   13.0000
 9.358   13.8327
 9.341   14.5520
 9.324   15.1250
 9.307   15.6198
 9.291   15.8925
 9.274   15.9919
 9.257   16.0537
 9.241   16.1335
 9.225   16.1765
 9.208   16.1925
 9.192   16.2092
 9.175   16.1872
 9.159   16.2016
 9.143   16.1840
 9.127   16.1584
 9.111   16.1374
 9.095   16.1352
 9.079   16.1096
 9.063   16.0197
 9.047   15.9760
 9.032   15.9631
 9.016   15.8816
 9.000   15.8144
 8.985   15.7898
 8.969   15.8220
 8.954   15.8724
 8.938   15.9177
 8.923   15.9597
 8.908   16.0434
 8.892   16.0949
 8.877   16.1193
 8.862   16.0847
 8.847   16.0554
 8.832   16.0368
 8.817   15.9311
 8.802   15.7736
 8.787   15.6665
 8.772   15.5168
 8.757   15.3806
 8.742   15.2360
 8.727   15.0900
 8.713   14.9123
 8.698   14.5986
 8.684   14.1364
 8.669   13.4777
 8.655   12.4536
 8.640   11.3642
 8.626   10.9477
 8.612   11.5559
 8.597   12.7207
 8.583   13.8220
 8.569   14.5949
 8.555   15.1372
 8.541   15.4880
 8.527   15.7619
 8.513   15.9821
 8.499   16.0666
 8.485   16.1482
 8.471   16.2546
 8.457   16.3508
 8.443   16.4604
 8.430   16.5515
 8.416   16.6545
 8.402   16.7656
 8.389   16.8869
 8.375   16.9843
 8.361   17.1408
 8.348   17.3575
 8.335   17.5534
 8.321   17.7607
 8.308   18.0356
 8.295   18.2902
 8.281   18.5222
 8.268   18.7534
 8.255   18.9907
 8.242   19.2170
 8.229   19.3811
 8.216   19.4404
 8.203   19.4042
 8.190   19.2448
 8.177   18.9980
 8.164   18.5261
 8.151   17.8369
 8.138   17.0222
 8.126   16.1424
 8.113   15.2295
 8.100   14.3354
 8.088   13.4802
 8.075   12.6596
 8.062   11.8803
 8.050   11.1247
 8.037   10.4316
 8.025    9.8481
 8.013    9.3003
 8.000    8.7192
 7.988    8.1614
 7.976    7.6625
 7.963    7.1477
 7.951    6.5945
 7.939    6.0713
 7.927    5.5701
 7.915    5.1208
 7.903    4.7268
 7.891    4.3542
 7.879    4.0530
 7.867    3.7910
 7.855    3.5356
 7.843    3.3196
 7.831    3.1340
 7.819    2.9397
 7.808    2.8093
 7.796    2.7253
 7.784    2.6287
 7.772    2.5183
 7.761    2.4050
 7.749    2.2651
 7.737    2.1665
 7.726    2.0510
 7.715    1.9797
 7.703    1.9211
 7.692    1.8152
 7.680    1.7417
 7.669    1.6882
 7.657    1.5947
 7.646    1.5212
 7.635    1.4722
 7.624    1.4036
 7.613    1.3342
 7.601    1.2881
 7.590    1.2500
 7.579    1.2253
 7.568    1.2031
 7.557    1.1472
 7.546    1.1001
 7.535    1.0781
 7.524    1.0395
 7.513    1.0207
 7.502    1.0071
 7.492    1.0039
 7.481    0.9612
 7.470    0.9263
 7.459    0.9299
 7.449    0.9446
 7.438    0.9243
 7.427    0.9023
 7.417    0.9087
 7.406    0.9041
 7.395    0.8713
 7.385    0.8469
 7.374    0.8520
 7.364    0.8677
 7.353    0.8562
 7.343    0.8267
 7.333    0.8064
 7.322    0.8474
 7.312    0.8437
 7.302    0.8220
 7.291    0.8115
 7.281    0.8149
 7.271    0.7874
 7.261    0.7944
 7.251    0.8126
 7.240    0.8191
 7.230    0.8430
 7.220    0.8577
 7.210    0.8357
 7.200    0.8188
 7.190    0.8389
 7.180    0.8628
 7.170    0.8567
 7.160    0.8643
 7.151    0.8752
 7.141    0.8589
 7.131    0.8396
 7.121    0.8516
 7.111    0.8638
 7.102    0.8706
 7.092    0.8821
 7.082    0.8774
 7.072    0.9055
 7.063    0.9302
 7.053    0.8870
 7.044    0.8772
 7.034    0.9041
 7.025    0.9126
 7.015    0.9143
 7.006    0.9531
 6.996    0.9687
 6.987    0.9573
 6.977    0.9587
 6.968    0.9448
 6.959    0.9631
 6.949    1.0039
 6.940    1.0156
 6.931    1.0151
 6.921    1.0171
 6.912    1.0356
 6.903    1.0264
 6.894    1.0281
 6.885    1.0471
 6.875    1.0486
 6.866    1.0142
 6.857    1.0049
 6.848    1.0154
