Name:  Brown to dark brown clay
Type:  Soils
Class:  Vertisol
Subclass:  Chromoxerert
Particle Size:  see additional information
Sample No.:  88P475
Owner:  JHU
Wavelength range:  All
Origin:  Settat, Morocco, 7 km N of Settat on Casablanca highway, 30 m east of 
field Rd near cemetary via USDA Soil Conserviation service.
Description:  Parent material: unconsolidated sediments from mixed-
calcareous material; cropland.  Physiography: backslope crested hills.  
Brown to dark brown clay (fine, montmorillonitic, thermic palexerollic 
chromoxerert).


Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  88P475a.txt
14.983    1.8490
14.940    1.8260
14.897    1.8060
14.854    1.7980
14.812    1.8040
14.770    1.8230
14.728    1.8500
14.686    1.8770
14.645    1.8970
14.603    1.9020
14.562    1.8920
14.521    1.8660
14.481    1.8300
14.441    1.7860
14.400    1.7430
14.361    1.7030
14.321    1.6700
14.281    1.6440
14.242    1.6250
14.203    1.6130
14.164    1.6080
14.126    1.6120
14.087    1.6260
14.049    1.6520
14.011    1.6880
13.973    1.7310
13.936    1.7760
13.899    1.8190
13.861    1.8550
13.824    1.8840
13.788    1.9040
13.751    1.9140
13.715    1.9150
13.679    1.9080
13.643    1.8970
13.607    1.8850
13.571    1.8780
13.536    1.8780
13.500    1.8890
13.465    1.9080
13.430    1.9350
13.396    1.9640
13.361    1.9930
13.327    2.0200
13.293    2.0440
13.259    2.0640
13.225    2.0810
13.191    2.0950
13.158    2.1110
13.124    2.1310
13.091    2.1610
13.058    2.2030
13.026    2.2580
12.993    2.3220
12.960    2.3870
12.928    2.4450
12.896    2.4870
12.864    2.5060
12.832    2.5010
12.800    2.4710
12.769    2.4220
12.737    2.3620
12.706    2.3010
12.675    2.2520
12.644    2.2240
12.614    2.2170
12.583    2.2260
12.552    2.2370
12.522    2.2300
12.492    2.1890
12.462    2.1030
12.432    1.9800
12.402    1.8340
12.373    1.6920
12.343    1.5790
12.314    1.5110
12.285    1.4920
12.256    1.5170
12.227    1.5700
12.198    1.6310
12.169    1.6880
12.141    1.7330
12.113    1.7670
12.084    1.7960
12.056    1.8270
12.028    1.8660
12.000    1.9140
11.973    1.9690
11.945    2.0230
11.918    2.0700
11.890    2.1040
11.863    2.1240
11.836    2.1350
11.809    2.1430
11.782    2.1560
11.755    2.1780
11.729    2.2130
11.702    2.2570
11.676    2.3050
11.650    2.3500
11.624    2.3870
11.598    2.4100
11.572    2.4170
11.546    2.4090
11.520    2.3900
11.495    2.3640
11.469    2.3380
