Name:  Dolomite CaMg(CO3)2
Type:  Mineral
Class:   Carbonates
Subclass:   
Particle Size: Coarse  (74-250 Micrometers)
Sample No.:  dolomite.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Hunt and Salisbury Collection #102B;  Sample from Lee, 
Massachusetts.
Description: The sample appeared to be pure white dolomite in hand 
specimen and under the microscope.




Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: dolomi2a.txt
25.044    5.6914
24.924    5.8430
24.805    5.8828
24.686    5.6894
24.569    5.8450
24.454    5.9477
24.339    5.9787
24.225    5.9289
24.112    5.8196
24.001    5.7573
23.890    5.8486
23.781    5.9922
23.672    5.8948
23.564    5.8774
23.458    5.9888
23.352    5.9053
23.247    5.8013
23.144    5.7847
23.041    5.7832
22.939    5.5683
22.838    5.4260
22.738    5.3755
22.638    5.2317
22.540    4.9907
22.442    4.8008
22.345    4.5864
22.250    4.3262
22.154    4.1147
22.060    3.9446
21.967    3.6868
21.874    3.3984
21.782    3.0691
21.691    2.8965
21.601    2.7292
21.511    2.5225
21.422    2.3215
21.334    2.1489
21.247    2.0046
21.160    1.8535
21.074    1.7190
20.988    1.5808
20.904    1.4233
20.820    1.4119
20.737    1.4141
20.654    1.2788
20.572    1.1953
20.491    1.1672
20.410    1.1045
20.330    1.0742
20.251    1.0483
20.172    1.0686
20.094    1.0574
20.016    1.0122
19.939    1.0071
19.863    0.9702
19.787    0.9707
19.712    1.0083
19.637    0.9873
19.563    0.9700
19.489    1.0066
19.416    1.0478
19.344    1.0754
19.272    1.1184
19.201    1.1921
19.130    1.1965
19.059    1.2227
18.990    1.2957
18.920    1.3225
18.851    1.3345
18.783    1.3911
18.715    1.4353
18.648    1.4219
18.581    1.4211
18.515    1.4231
18.449    1.4224
18.384    1.4128
18.319    1.3799
18.254    1.3799
18.190    1.3638
18.126    1.3132
18.063    1.2847
18.001    1.3103
17.938    1.3286
17.876    1.3127
17.815    1.3103
17.754    1.3162
17.693    1.3000
17.633    1.2627
17.573    1.2476
17.514    1.2532
17.455    1.2429
17.396    1.2573
17.338    1.2664
17.280    1.2270
17.223    1.2451
17.166    1.2522
17.109    1.2432
17.053    1.2429
16.997    1.1995
16.942    1.1826
16.886    1.2048
16.832    1.2031
16.777    1.1790
16.723    1.1858
16.669    1.1978
16.616    1.1926
16.563    1.1560
16.510    1.1431
16.458    1.1619
16.406    1.1682
16.354    1.1470
16.302    1.1816
16.251    1.1985
16.200    1.1904
16.150    1.2095
16.100    1.2256
16.050    1.2139
16.000    1.2207
15.951    1.2329
15.902    1.1960
15.854    1.1760
15.805    1.1899
15.757    1.1956
15.710    1.1636
15.662    1.1135
15.615    1.1128
15.568    1.1055
15.521    1.0847
15.475    1.0730
15.429    1.0732
15.383    1.0991
15.338    1.1162
15.292    1.1353
15.248    1.1638
15.203    1.1682
15.158    1.1799
15.114    1.2165
15.070    1.2310
15.027    1.2498
14.983    1.2759
14.940    1.2925
14.897    1.3220
14.854    1.3520
14.812    1.3647
14.770    1.3655
14.728    1.3779
14.686    1.4016
14.645    1.4153
14.603    1.4126
14.562    1.4026
14.521    1.4019
14.481    1.4165
14.441    1.4321
14.400    1.4365
14.361    1.4370
14.321    1.4531
14.281    1.4424
14.242    1.4216
14.203    1.4102
14.164    1.3789
14.126    1.3313
14.087    1.2861
14.049    1.2441
14.011    1.2195
13.973    1.2056
13.936    1.1475
13.899    1.1174
13.861    1.1372
13.824    1.1597
13.788    1.1848
13.751    1.2393
13.715    1.2322
13.679    1.0339
13.643    0.7871
13.607    0.7087
13.571    0.7600
13.536    0.8748
13.500    1.0159
13.465    1.1387
13.430    1.2390
13.396    1.3445
13.361    1.4675
13.327    1.5696
13.293    1.6887
13.259    1.8413
13.225    1.9727
13.191    2.1089
13.158    2.2500
13.124    2.3752
13.091    2.4702
13.058    2.5618
13.026    2.6880
12.993    2.7920
12.960    2.8516
12.928    2.9075
12.896    2.9536
12.864    2.9800
12.832    2.9824
12.800    2.9875
12.769    3.0049
12.737    3.0422
12.706    3.0989
12.675    3.1467
12.644    3.2021
12.614    3.2180
12.583    3.2158
12.552    3.2341
12.522    3.2461
12.492    3.2510
12.462    3.2590
12.432    3.2642
12.402    3.2583
12.373    3.2644
12.343    3.2793
12.314    3.2634
12.285    3.2544
12.256    3.2456
12.227    3.2327
12.198    3.2014
12.169    3.1811
12.141    3.1736
12.113    3.1211
12.084    3.0788
12.056    3.0403
12.028    2.9878
12.000    2.9287
11.973    2.8762
11.945    2.8257
11.918    2.7712
11.890    2.6973
11.863    2.6240
