Name:  Calcite CaCO3
Type:  Mineral
Class:  Carbonates
Subclass:   
Particle Size: Fine  (74 -2 Micrometers)
Sample No.:  calcite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Hunt and Salisbury Collection #194B (purchased from Ward's 
Natural Science Establishment); Sample from Mexico.
Description: The sample consisted of transparent euhedral crystals.  
The largest was about 2 cm x 2 cm.  This was obviously pure optical 
quality calcite.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  calcit1a.txt
25.044    2.4160
24.924    2.2720
24.805    2.1973
24.686    2.0630
24.569    2.0884
24.454    2.1973
24.339    1.7617
24.225    1.3613
24.112    1.1523
24.001    0.9692
23.890    0.9990
23.781    0.9595
23.672    0.8599
23.564    0.7422
23.458    0.6460
23.352    0.6057
23.247    0.5979
23.144    0.7178
23.041    0.6536
22.939    0.5315
22.838    0.8589
22.738    1.6233
22.638    1.2695
22.540    0.5891
22.442    0.6777
22.345    0.7659
22.250    0.7793
22.154    0.8735
22.060    0.9062
21.967    0.9546
21.874    1.1780
21.782    1.1797
21.691    1.1904
21.601    1.2473
21.511    1.2769
21.422    1.3276
21.334    1.3799
21.247    1.4045
21.160    1.4275
21.074    1.5002
20.988    1.5605
20.904    1.5576
20.820    1.5564
20.737    1.6196
20.654    1.7690
20.572    1.8184
20.491    1.8679
20.410    1.9748
20.330    2.0403
20.251    2.1125
20.172    2.1821
20.094    2.2593
20.016    2.3643
19.939    2.4551
19.863    2.5688
19.787    2.6724
19.712    2.7417
19.637    2.7554
19.563    2.7964
19.489    2.9204
19.416    3.0530
19.344    3.1431
19.272    3.2866
19.201    3.4531
19.130    3.5283
19.059    3.5793
18.990    3.6379
18.920    3.7629
18.851    3.8537
18.783    3.9114
18.715    4.0000
18.648    4.1057
18.581    4.2231
18.515    4.4031
18.449    4.5185
18.384    4.5442
18.319    4.6601
18.254    4.8179
18.190    4.9607
18.126    5.0830
18.063    5.2207
18.001    5.3403
17.938    5.4336
17.876    5.5483
17.815    5.6243
17.754    5.6401
17.693    5.6387
17.633    5.6616
17.573    5.6326
17.514    5.5864
17.455    5.5581
17.396    5.5469
17.338    5.5122
17.280    5.4963
17.223    5.4726
17.166    5.4490
17.109    5.4824
17.053    5.5117
16.997    5.5303
16.942    5.5757
16.886    5.6806
16.832    5.7934
16.777    5.9258
16.723    6.0439
16.669    6.1694
16.616    6.3696
16.563    6.6050
16.510    6.7461
16.458    6.8874
16.406    7.0891
16.354    7.2488
16.302    7.3393
16.251    7.4492
16.200    7.5620
16.150    7.6372
16.100    7.6894
16.050    7.7949
16.000    7.9001
15.951    7.9765
15.902    8.0630
15.854    8.1467
15.805    8.2610
15.757    8.4087
15.710    8.5464
15.662    8.6526
15.615    8.7666
15.568    8.9219
15.521    9.0351
15.475    9.1206
15.429    9.2544
15.383    9.3847
15.338    9.4746
15.292    9.5703
15.248    9.6831
15.203    9.7785
15.158    9.8518
15.114    9.9392
15.070   10.0522
15.027   10.1223
14.983   10.1762
14.940   10.2546
14.897   10.2785
14.854   10.2815
14.812   10.2661
14.770   10.2302
14.728   10.1823
14.686   10.0998
14.645   10.0202
14.603    9.9809
14.562    9.8921
14.521    9.7158
14.481    9.4292
14.441    9.0193
14.400    8.6267
14.361    8.3205
14.321    7.7903
14.281    7.1860
14.242    6.5644
14.203    5.6765
14.164    4.5176
14.126    3.2388
14.087    2.0188
14.049    1.1548
14.011    0.7886
13.973    1.1436
13.936    2.3943
13.899    3.9910
13.861    5.4028
13.824    6.5532
13.788    7.5307
13.751    8.2886
13.715    8.8396
13.679    9.2346
13.643    9.5761
13.607    9.9536
13.571   10.3335
13.536   10.6198
13.500   10.8454
13.465   11.0556
13.430   11.2158
13.396   11.2605
13.361   11.2942
13.327   11.3166
13.293   11.2561
13.259   11.1372
13.225   11.0815
13.191   11.0090
13.158   10.8403
13.124   10.6247
13.091   10.4294
13.058   10.1960
13.026    9.9504
12.993    9.7363
12.960    9.5654
12.928    9.4253
12.896    9.3933
12.864    9.3813
12.832    9.3279
12.800    9.2864
12.769    9.2983
12.737    9.3210
12.706    9.3940
12.675    9.5129
12.644    9.6374
12.614    9.7614
12.583    9.8462
12.552    9.8774
12.522    9.8823
12.492    9.9170
12.462   10.0254
12.432   10.1115
12.402   10.1657
12.373   10.1809
12.343   10.1699
12.314   10.1340
12.285   10.1416
12.256   10.2258
12.227   10.3425
12.198   10.4338
12.169   10.4936
12.141   10.4975
12.113   10.4909
12.084   10.4800
12.056   10.4353
12.028   10.3449
12.000   10.2646
11.973   10.1201
11.945    9.9221
