Name: Aragonite CaCO3
Type:  Mineral  
Class:  Carbonates
Subclass:   
Particle Size:  Fine (less than 2 Micrometers)
Sample No.:  aragonite.1
Owner: JHU
Wavelength Range:  IR
Origin:  Sample from Horenec, Bilina, Cechy, Czechoslovakia, via 
Smithsonian (sample no. NMNH B10083). 
Description: The sample was composed of two transparent, colorless 
pieces: one prismatic, 1.8 cm x 1.8 cm x 2 cm, and weighing about 2 
g; the other a 5 mm x 5 mm x 5 mm cleavage fragment weighing 
0.65 g.  No impurities were detected in hand sample or 
microscopically.

Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information: aragon1a.txt
25.044   92.0076
24.924   91.8045
24.805   91.3904
24.686   91.7107
24.569   92.2224
24.454   91.4529
24.339   90.9060
24.225   91.2068
24.112   91.3162
24.001   91.5857
23.890   92.0818
23.781   92.0310
23.672   91.9529
23.564   92.3982
23.458   92.6834
23.352   92.9607
23.247   93.2888
23.144   93.4373
23.041   93.4060
22.939   93.3611
22.838   93.6794
22.738   93.9529
22.638   93.8689
22.540   93.9841
22.442   94.1658
22.345   94.2361
22.250   94.3904
22.154   94.6404
22.060   94.9080
21.967   95.0173
21.874   95.3455
21.782   95.3982
21.691   95.0701
21.601   94.7615
21.511   94.3533
21.422   94.0154
21.334   94.1033
21.247   94.4880
21.160   94.4392
21.074   94.6736
20.988   95.3220
20.904   95.2146
20.820   95.0408
20.737   95.3787
20.654   95.5935
20.572   95.8162
20.491   96.0369
20.410   96.1970
20.330   96.3220
20.251   96.4646
20.172   96.5740
20.094   96.7966
20.016   96.8259
19.939   96.6775
19.863   96.9451
19.787   97.2732
19.712   97.3044
19.637   97.4236
19.563   97.4080
19.489   97.2888
19.416   97.4705
19.344   97.7107
19.272   98.0867
19.201   98.2693
19.130   98.2585
19.059   98.3240
18.990   98.1609
18.920   98.1062
18.851   98.1882
18.783   98.1570
18.715   98.1501
18.648   98.2419
18.581   98.2712
18.515   98.2732
18.449   98.2830
18.384   98.2986
18.319   98.1091
18.254   98.0837
18.190   98.2224
18.126   98.2185
18.063   98.2966
18.001   98.2898
17.938   98.1335
17.876   98.0076
17.815   98.0749
17.754   98.0515
17.693   97.9841
17.633   98.0281
17.573   98.0642
17.514   97.8865
17.455   97.7068
17.396   97.6638
17.338   97.5242
17.280   97.5124
17.223   97.5515
17.166   97.4783
17.109   97.4099
17.053   97.4031
16.997   97.4060
16.942   97.4353
16.886   97.5017
16.832   97.6580
16.777   97.7820
16.723   97.8787
16.669   97.8474
16.616   98.0017
16.563   98.0310
16.510   97.9412
16.458   97.7322
16.406   97.6814
16.354   97.6999
16.302   97.7312
16.251   97.6531
16.200   97.6892
16.150   97.8201
16.100   97.7624
16.050   97.7615
16.000   98.0320
15.951   98.3455
15.902   98.5828
15.854   98.8552
15.805   99.1970
15.757   99.4919
15.710   99.5251
15.662   99.5154
15.615   99.5954
15.568   99.6843
15.521   99.7458
15.475   99.7419
15.429   99.6482
15.383   99.6443
15.338   99.8240
15.292   99.7781
15.248   99.7078
15.203   99.6609
15.158   99.6609
15.114   99.5027
15.070   99.3357
15.027   99.2634
14.983   99.3650
14.940   99.4890
14.897   99.6677
14.854   99.6638
14.812   99.5759
14.770   99.4333
14.728   99.3005
14.686   99.0466
14.645   98.9392
14.603   98.7478
14.562   98.4343
14.521   98.0955
14.481   97.8806
14.441   97.4988
14.400   96.8757
14.361   95.0212
14.321   88.9168
14.281   83.0750
14.242   87.5593
14.203   93.5212
14.164   94.8591
14.126   93.4021
14.087   86.8650
14.049   73.3963
14.011   69.2518
13.973   81.4265
13.936   91.6072
13.899   94.9959
13.861   96.1882
13.824   96.6443
13.788   96.7400
13.751   96.9460
13.715   97.1409
13.679   97.3494
13.643   97.5232
13.607   97.6326
13.571   97.6150
13.536   97.6150
13.500   97.5183
13.465   97.3718
13.430   97.3699
13.396   97.4060
13.361   97.4158
13.327   97.3005
13.293   97.1052
13.259   96.9705
13.225   97.0837
13.191   97.2366
13.158   97.2790
13.124   97.3494
13.091   97.4006
13.058   97.4158
13.026   97.4314
12.993   97.4299
12.960   97.4358
12.928   97.4148
12.896   97.3655
12.864   97.3533
12.832   97.1990
12.800   96.9841
12.769   96.9539
12.737   97.1018
12.706   97.1677
12.675   97.2576
12.644   97.5530
12.614   97.7288
12.583   97.7947
12.552   97.8689
12.522   97.9202
12.492   97.9841
12.462   98.1570
12.432   98.2058
12.402   98.1643
12.373   98.2087
12.343   98.3728
12.314   98.3108
12.285   98.2419
12.256   98.1897
12.227   98.1467
12.198   98.0178
12.169   97.8811
12.141   97.6638
12.113   97.4783
12.084   97.2234
12.056   96.9138
12.028   96.5237
12.000   96.1331
11.973   95.4417
11.945   94.3943
11.918   92.7673
11.890   89.5296
11.863   83.5686
11.836   82.2771
11.809   84.6839
11.782   81.0472
11.755   71.6116
11.729   56.7479
11.702   39.3436
11.676   25.3964
11.650   18.7988
11.624   18.7817
11.598   24.6391
11.572   35.9359
11.546   50.3070
11.520   63.9027
11.495   74.0994
11.469   80.0823
11.444   82.9964
11.419   84.7171
11.394   86.3894
11.369   88.5144
11.344   90.7620
11.319   92.5452
11.294   94.0466
11.270   95.2556
11.245   95.9612
11.221   96.3264
11.197   96.5569
11.173   96.8298
11.149   97.1248
11.125   97.1912
11.101   97.2268
11.077   97.1755
11.054   97.0496
11.030   96.7932
11.007   96.4197
10.983   96.5378
10.960   96.9763
10.937   97.0124
10.914   96.9138
10.891   97.0183
10.868   97.0369
10.846   97.0120
10.823   97.1135
10.800   97.2229
10.778   97.4412
10.755   97.6506
10.733   97.8230
10.711   97.9221
10.689   98.0720
10.667   98.2444
10.645   98.2659
10.623   98.0984
10.602   97.8733
10.580   97.7693
10.558   97.6716
10.537   97.6174
10.516   97.5369
10.494   97.4480
10.473   97.5115
10.452   97.4656
10.431   97.3083
10.410   97.1482
10.389   97.1018
10.368   97.1443
10.348   97.0276
10.327   96.7878
10.306   96.6873
10.286   96.6492
10.266   96.5320
10.245   96.4392
10.225   96.3835
10.205   96.2615
10.185   96.2302
10.165   96.1912
10.145   96.0359
10.125   95.9172
10.106   95.8191
10.086   95.6599
10.066   95.5457
10.047   95.4124
10.027   95.2820
10.008   95.1980
 9.989   95.1213
 9.970   95.0291
 9.950   94.9226
 9.931   94.7991
 9.912   94.5837
 9.893   94.2776
 9.875   94.0398
 9.856   93.8406
 9.837   93.6404
 9.818   93.4866
 9.800   93.3987
 9.781   93.3113
 9.763   93.1721
 9.745   93.1052
 9.726   93.0061
 9.708   92.9729
 9.690   93.0759
 9.672   93.2703
 9.654   93.4104
 9.636   93.4807
 9.618   93.4724
 9.600   93.4675
 9.583   93.4358
 9.565   93.4124
 9.547   93.3323
 9.530   93.2053
 9.512   93.1209
 9.495   93.0535
 9.477   92.9294
 9.460   92.8323
 9.443   92.7620
 9.426   92.6878
 9.409   92.4880
 9.392   92.4392
 9.375   92.4343
 9.358   92.2644
 9.341   92.0232
 9.324   92.1199
 9.307   91.9920
 9.291   91.6213
 9.274   90.7693
 9.257   87.3728
 9.241   79.9910
 9.224   78.4768
 9.208   86.0135
 9.192   91.1838
 9.175   92.5086
 9.159   92.7932
 9.143   92.8323
 9.127   92.6990
 9.111   92.8230
 9.095   92.9573
 9.079   93.0203
 9.063   93.0335
 9.047   93.0667
 9.032   93.0471
 9.016   93.1169
 9.000   93.1150
 8.985   93.1624
 8.969   93.2058
 8.954   93.1467
 8.938   93.0276
 8.923   92.8753
 8.907   92.7170
 8.892   92.6785
 8.877   92.5964
 8.862   92.4656
 8.847   92.3538
 8.832   92.2576
 8.817   92.1384
 8.802   92.0925
 8.787   92.0256
 8.772   91.9988
 8.757   91.9983
 8.742   92.0281
 8.728   91.9544
 8.713   91.9045
 8.698   91.8904
 8.684   91.8528
 8.669   91.7703
 8.655   91.7293
 8.640   91.6414
 8.626   91.5491
 8.612   91.5159
 8.597   91.4797
 8.583   91.3611
 8.569   91.3171
 8.555   91.2737
 8.541   91.1350
 8.527   90.9866
 8.513   90.9949
 8.499   91.0003
 8.485   90.9646
 8.471   90.8801
 8.457   90.8875
 8.443   90.8347
 8.430   90.7810
 8.416   90.8518
 8.402   90.9099
 8.389   90.8523
 8.375   90.8806
 8.362   90.9036
 8.348   90.8699
 8.335   90.9143
 8.321   90.9915
 8.308   90.9041
 8.295   90.8377
 8.281   90.8572
 8.268   90.8565
 8.255   90.7703
 8.242   90.6306
 8.229   90.5105
 8.216   90.3386
 8.203   90.1504
 8.190   90.0618
 8.177   89.9844
 8.164   89.8809
 8.151   89.7735
 8.138   89.6531
 8.126   89.4453
 8.113   89.2595
 8.100   89.0886
 8.088   88.8985
 8.075   88.7410
 8.062   88.5759
 8.050   88.3406
 8.037   88.1736
 8.025   88.0086
 8.013   87.8010
 8.000   87.6614
 7.988   87.5459
 7.976   87.3884
 7.963   87.2517
 7.951   87.1406
 7.939   86.9920
 7.927   86.7696
 7.915   86.5506
 7.903   86.2949
 7.891   86.0303
 7.879   85.7881
 7.867   85.5899
 7.855   85.3538
 7.843   85.0828
 7.831   84.7908
 7.819   84.5301
 7.807   84.2578
 7.796   84.0315
 7.784   83.8470
 7.772   83.6658
 7.761   83.4991
 7.749   83.2608
 7.738   82.9724
 7.726   82.7412
 7.715   82.4756
 7.703   82.1866
 7.692   81.8975
 7.680   81.6436
 7.669   81.3926
 7.658   81.1504
 7.646   80.9207
 7.635   80.6966
 7.624   80.4092
 7.613   80.0896
 7.601   79.7923
 7.590   79.5135
 7.579   79.2000
 7.568   78.8543
 7.557   78.4510
 7.546   78.0430
 7.535   77.5948
 7.524   77.1729
 7.513   76.7686
 7.502   76.3523
 7.492   75.9021
 7.481   75.4148
 7.470   74.9119
 7.459   74.3758
 7.448   73.8025
 7.438   73.2169
 7.427   72.6241
 7.417   72.0096
 7.406   71.4017
 7.395   70.7881
 7.385   70.1348
 7.374   69.4642
 7.364   68.7833
 7.353   68.0950
 7.343   67.3575
 7.333   66.5906
 7.322   65.8241
 7.312   65.0047
 7.302   64.1278
 7.291   63.2118
 7.281   62.2616
 7.271   61.3028
 7.261   60.2813
 7.251   59.2267
 7.240   58.0858
 7.230   56.8436
 7.220   55.5252
 7.210   54.1903
 7.200   52.8194
 7.190   51.4552
 7.180   50.1544
 7.170   48.8651
 7.160   47.5048
 7.151   46.1278
 7.141   44.7189
 7.131   43.2431
 7.121   41.7091
 7.111   40.0871
 7.102   38.4201
 7.092   36.8373
 7.082   35.3730
 7.073   33.8566
 7.063   32.3466
 7.053   30.9777
 7.044   29.6884
 7.034   28.4335
 7.025   27.2424
 7.015   25.9921
 7.006   24.4706
 6.996   22.8654
 6.987   21.3381
 6.977   19.7590
 6.968   18.0803
 6.959   16.3752
 6.949   14.6972
 6.940   13.0566
 6.931   11.4209
 6.921    9.8711
 6.912    8.5158
 6.903    7.3608
 6.894    6.3183
 6.885    5.4043
 6.876    4.7268
 6.866    4.2600
 6.857    3.8838
 6.848    3.4905
 6.839    3.0832
 6.830    2.6992
 6.821    2.2278
 6.812    1.7161
 6.803    1.2903
 6.794    1.0139
 6.786    0.8616
 6.777    0.7893
 6.768    0.7998
 6.759    0.8359
 6.750    0.8606
 6.741    0.9426
 6.733    1.0647
 6.724    1.1865
 6.715    1.3467
 6.707    1.5481
 6.698    1.7473
 6.689    1.9465
 6.681    2.2297
 6.672    2.5188
 6.663    2.7773
 6.655    3.1028
 6.646    3.4824
 6.638    3.8664
 6.629    4.3079
 6.621    4.7793
 6.612    5.2939
 6.604    5.9043
 6.596    6.6660
 6.587    7.5273
 6.579    8.4804
 6.571    9.5771
 6.562   10.8320
 6.554   12.2197
 6.546   13.7724
 6.537   15.4943
 6.529   17.3056
 6.521   19.2524
 6.513   21.3583
 6.505   23.4999
 6.496   25.6586
 6.488   27.8935
 6.480   30.0966
 6.472   32.1877
 6.464   34.2775
 6.456   36.3524
 6.448   38.3166
 6.440   40.2782
 6.432   42.2221
 6.424   43.9103
 6.416   45.3536
 6.408   46.8153
 6.400   48.1708
 6.392   49.3485
 6.384   50.4501
 6.377   51.5216
 6.369   52.7150
 6.361   54.2215
 6.353   55.8585
 6.345   57.4930
 6.338   59.0809
 6.330   60.5147
 6.322   61.8133
 6.314   62.9950
 6.307   64.0047
 6.299   64.8436
 6.291   65.5916
 6.284   66.2518
 6.276   66.8458
 6.269   67.3699
 6.261   67.8077
 6.254   68.1571
 6.246   68.4903
 6.238   68.7791
 6.231   69.0028
 6.223   69.1776
 6.216   69.3445
 6.209   69.5418
 6.201   69.7986
 6.194   69.9962
 6.186   70.1378
 6.179   70.3956
 6.172   70.7256
 6.164   71.0440
 6.157   71.4080
 6.150   71.8536
 6.142   72.2752
 6.135   72.7010
 6.128   73.2147
 6.121   73.7071
 6.113   74.1834
 6.106   74.7354
 6.099   75.2706
 6.092   75.7354
 6.085   76.1336
 6.078   76.4783
 6.070   76.7989
 6.063   77.0625
 6.056   77.2022
 6.049   77.2654
 6.042   77.4275
 6.035   77.5662
 6.028   77.5652
 6.021   77.4190
 6.014   77.2703
 6.007   77.2649
 6.000   77.4405
 5.993   77.7703
 5.986   78.2791
 5.979   78.8995
 5.973   79.6104
 5.966   80.3523
 5.959   81.1258
 5.952   81.8789
 5.945   82.5576
 5.938   83.1429
 5.932   83.7303
 5.925   84.3543
 5.918   84.9534
 5.911   85.4903
 5.905   85.9444
 5.898   86.3985
 5.891   86.8777
 5.884   87.2608
 5.878   87.6035
 5.871   87.9568
 5.864   88.2412
 5.858   88.4802
 5.851   88.7332
 5.845   88.9705
 5.838   89.1902
 5.831   89.3787
 5.825   89.5381
 5.818   89.6936
 5.812   89.9531
 5.805   90.1453
 5.799   90.2764
 5.792   90.4246
 5.786   90.6043
 5.779   90.8145
 5.773   90.9827
 5.767   91.1423
 5.760   91.3440
 5.754   91.5232
 5.747   91.6553
 5.741   91.7791
 5.735   91.9255
 5.728   92.0671
 5.722   92.2302
 5.716   92.3611
 5.709   92.4912
 5.703   92.6914
 5.697   92.8447
 5.691   92.9148
 5.684   93.0242
 5.678   93.1492
 5.672   93.2520
 5.666   93.3484
 5.660   93.4446
 5.653   93.4443
 5.647   93.3621
 5.641   93.0889
 5.635   92.3125
 5.629   90.6670
 5.623   88.4636
 5.617   86.5867
 5.611   85.3640
 5.604   84.3741
 5.598   83.5342
 5.592   83.2276
 5.586   84.0701
 5.580   85.9610
 5.574   87.8640
 5.568   89.0938
 5.562   89.7571
 5.556   90.6248
 5.550   91.8672
 5.545   92.9373
 5.539   93.5867
 5.533   93.9824
 5.527   94.2595
 5.521   94.4890
 5.515   94.6631
 5.509   94.7871
 5.503   94.9626
 5.498   95.1130
 5.492   95.2273
 5.486   95.3584
 5.480   95.4492
 5.474   95.5261
 5.469   95.6201
 5.463   95.7253
 5.457   95.8037
 5.451   95.9062
 5.446   96.0107
 5.440   96.0527
 5.434   96.1006
 5.428   96.1904
 5.423   96.2422
 5.417   96.3015
 5.411   96.3796
 5.406   96.4499
 5.400   96.4890
 5.395   96.5134
 5.389   96.5593
 5.383   96.6084
 5.378   96.6404
 5.372   96.6804
 5.367   96.7178
 5.361   96.7695
 5.356   96.8660
 5.350   96.9590
 5.344   97.0225
 5.339   97.0605
 5.333   97.1133
 5.328   97.1240
 5.323   97.1472
 5.317   97.2107
 5.312   97.2519
 5.306   97.2881
 5.301   97.3037
 5.295   97.3330
 5.290   97.3896
 5.285   97.4385
 5.279   97.4910
 5.274   97.4944
 5.268   97.5193
 5.263   97.5857
 5.258   97.6365
 5.252   97.6680
 5.247   97.7031
 5.242   97.7246
 5.237   97.7217
 5.231   97.7402
 5.226   97.7908
 5.221   97.8301
 5.215   97.8494
 5.210   97.8552
 5.205   97.8699
 5.200   97.8916
 5.195   97.9919
 5.189   98.0078
 5.184   97.9167
 5.179   98.0022
 5.174   98.1081
 5.169   98.1387
 5.163   98.1160
 5.158   98.1208
 5.153   98.1267
 5.148   98.1689
 5.143   98.2048
 5.138   98.1970
 5.133   98.2080
 5.128   98.2380
 5.123   98.2734
 5.118   98.3105
 5.113   98.3144
 5.108   98.3252
 5.103   98.3613
 5.097   98.3760
 5.092   98.3857
 5.087   98.3948
 5.083   98.4158
 5.078   98.4346
 5.073   98.4802
 5.068   98.4675
 5.063   98.4949
 5.058   98.5330
 5.053   98.5251
 5.048   98.5078
 5.043   98.5369
 5.038   98.5647
 5.033   98.5759
 5.028   98.6003
 5.023   98.6384
 5.019   98.6394
 5.014   98.6702
 5.009   98.7180
 5.004   98.7200
 4.999   98.7009
 4.994   98.7380
 4.990   98.7405
 4.985   98.7434
 4.980   98.8025
 4.975   98.8259
 4.970   98.8205
 4.966   98.8479
 4.961   98.8572
 4.956   98.8347
 4.951   98.8586
 4.947   98.8943
 4.942   98.9128
 4.937   98.9387
 4.933   98.9519
 4.928   98.9636
 4.923   98.9665
 4.919   98.9880
 4.914   99.0178
 4.909   99.0442
 4.905   99.0745
 4.900   99.0754
 4.895   99.0549
 4.891   99.0447
 4.886   99.0427
 4.882   99.0261
 4.877   99.0393
 4.872   99.0881
 4.868   99.0940
 4.863   99.1091
 4.859   99.1462
 4.854   99.1457
 4.850   99.1155
 4.845   99.1296
 4.840   99.2107
 4.836   99.2097
 4.831   99.1951
 4.827   99.2253
 4.822   99.2512
 4.818   99.2200
 4.814   99.2112
 4.809   99.2361
 4.805   99.2346
 4.800   99.2898
 4.796   99.3401
 4.791   99.3054
 4.787   99.2912
 4.782   99.3122
 4.778   99.3074
 4.774   99.2859
 4.769   99.3000
 4.765   99.3240
 4.760   99.3108
 4.756   99.2864
 4.752   99.3069
 4.747   99.3240
 4.743   99.2952
 4.739   99.2859
 4.734   99.3083
 4.730   99.2927
 4.726   99.2527
 4.721   99.2766
 4.717   99.2795
 4.713   99.2839
 4.709   99.2849
 4.704   99.2746
 4.700   99.2419
 4.696   99.2576
 4.692   99.2580
 4.687   99.2634
 4.683   99.2966
 4.679   99.2912
 4.675   99.2659
 4.670   99.2244
 4.666   99.2312
 4.662   99.2405
 4.658   99.2639
 4.654   99.2678
 4.649   99.1970
 4.645   99.1584
 4.641   99.1916
 4.637   99.2786
 4.633   99.2761
 4.629   99.2761
 4.625   99.3708
 4.620   99.4963
 4.616   99.4963
 4.612   99.3943
 4.608   99.4177
 4.604   99.4861
 4.600   99.5095
 4.596   99.4636
 4.592   99.4314
 4.588   99.4338
 4.584   99.4465
 4.580   99.4573
 4.576   99.4285
 4.572   99.4519
 4.568   99.4939
 4.564   99.4709
 4.560   99.4636
 4.555   99.4934
 4.551   99.5046
 4.548   99.5281
 4.544   99.5564
 4.540   99.5837
 4.536   99.5925
 4.532   99.6013
 4.528   99.6174
 4.524   99.6106
 4.520   99.6218
 4.516   99.6081
 4.512   99.5671
 4.508   99.5779
 4.504   99.6081
 4.500   99.5954
 4.496   99.6120
 4.492   99.6550
 4.488   99.6902
 4.485   99.7107
 4.481   99.7112
 4.477   99.7092
 4.473   99.7156
 4.469   99.7165
 4.465   99.6995
 4.461   99.6794
 4.458   99.6872
 4.454   99.7117
 4.450   99.6853
 4.446   99.6902
 4.442   99.7053
 4.438   99.7151
 4.435   99.7195
 4.431   99.7790
 4.427   99.7566
 4.423   99.6775
 4.420   99.7204
 4.416   99.7556
