Name:  Calcite CaCO3
Type:  Mineral
Class:  Carbonates
Subclass:   
Particle Size:  Fine  (less than 2 Micrometers)
Sample No.:  calcite.2
Owner:  JHU
Wavelength Range:  IR
Origin: Hunt and Salisbury Collection #48B; Sample from Cherokee 
Co., Kansas.
Description:  No solid sample is available for the specimen.  
Microscopic examination of the white powder fraction indicated pure 
calcite.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  calcit2a.txt
25.044   84.4842
24.924   85.0310
24.805   85.6873
24.686   85.9217
24.569   86.4060
24.454   86.7654
24.339   87.1873
24.225   87.8396
24.112   88.0388
24.001   88.2654
23.890   88.6131
23.781   89.0076
23.672   89.2752
23.564   89.5857
23.458   89.7595
23.352   89.9841
23.247   90.3513
23.144   90.4060
23.041   90.5955
22.939   90.9627
22.838   91.3142
22.738   91.5623
22.638   91.7732
22.540   92.1287
22.442   92.3064
22.345   92.4392
22.250   92.7127
22.154   93.0252
22.060   93.0623
21.967   93.3709
21.874   93.5896
21.782   93.6052
21.691   93.7146
21.601   94.0564
21.511   94.1990
21.422   94.1345
21.334   94.2439
21.247   94.4724
21.160   94.6853
21.074   94.8201
20.988   94.9255
20.904   95.1892
20.820   95.3279
20.737   95.5427
20.654   95.7126
20.572   95.9587
20.491   96.1228
20.410   96.2576
20.330   96.2859
20.251   96.3992
20.172   96.5476
20.094   96.7429
20.016   96.8015
19.939   96.9304
19.863   97.0115
19.787   97.2039
19.712   97.3757
19.637   97.4548
19.563   97.5085
19.489   97.5554
19.416   97.6765
19.344   97.6951
19.272   97.8122
19.201   97.9031
19.130   97.9724
19.059   98.1453
18.990   98.2693
18.920   98.3054
18.851   98.3601
18.783   98.4197
18.715   98.4861
18.648   98.5505
18.581   98.6853
18.515   98.7244
18.449   98.6990
18.384   98.8708
18.319   99.0076
18.254   98.9861
18.190   99.0290
18.126   99.1062
18.063   99.1687
18.001   99.2507
17.938   99.3747
17.876   99.4460
17.815   99.4822
17.754   99.5007
17.693   99.4870
17.633   99.4880
17.573   99.4441
17.514   99.4617
17.455   99.4372
17.396   99.4704
17.338   99.4870
17.280   99.4509
17.223   99.4441
17.166   99.4724
17.109   99.4412
17.053   99.4382
16.997   99.4372
16.942   99.4773
16.886   99.5203
16.832   99.5847
16.777   99.5915
16.723   99.6150
16.669   99.6482
16.616   99.7488
16.563   99.7283
16.510   99.7712
16.458   99.8044
16.406   99.8855
16.354   99.9294
16.302   99.9382
16.251   99.8718
16.200   99.8767
16.150   99.9079
16.100  100.0095
16.050   99.9744
16.000   99.9529
15.951   99.9226
15.902   99.9265
15.854   99.8230
15.805   99.8923
15.757   99.8230
15.710   99.7888
15.662   99.7888
15.615   99.8288
15.568   99.7429
15.521   99.6990
15.475   99.6853
15.429   99.6579
15.383   99.5769
15.338   99.6091
15.292   99.5847
15.248   99.5256
15.203   99.4397
15.158   99.4392
15.114   99.3552
15.070   99.2952
15.027   99.2849
14.983   99.1916
14.940   99.0759
14.897   99.0217
14.854   98.9475
14.812   98.8323
14.770   98.6780
14.728   98.5901
14.686   98.4299
14.645   98.2639
14.603   98.1155
14.562   97.9358
14.521   97.7400
14.481   97.5564
14.441   97.3005
14.400   97.0164
14.361   96.7126
14.321   96.1975
14.281   95.5037
14.242   94.6584
14.203   93.3342
14.164   91.2976
14.126   87.8889
14.087   82.0999
14.049   76.0252
14.011   76.5359
13.973   84.0310
13.936   91.7791
13.899   96.6228
13.861   98.8357
13.824   99.6565
13.788   99.9499
13.751  100.0134
13.715   99.9495
13.679   99.8225
13.643   99.6843
13.607   99.5452
13.571   99.4670
13.536   99.3518
13.500   99.2561
13.465   99.1951
13.430   99.1160
13.396   99.0281
13.361   98.9138
13.327   98.8435
13.293   98.7390
13.259   98.6389
13.225   98.5334
13.191   98.4490
13.158   98.3474
13.124   98.2405
13.091   98.0940
13.058   97.9997
13.026   97.8948
12.993   97.7795
12.960   97.6716
12.928   97.5784
12.896   97.4656
12.864   97.4392
12.832   97.3206
12.800   97.1970
12.769   97.1526
12.737   97.1233
12.706   97.0388
12.675   96.9324
12.644   96.8601
12.614   96.7937
12.583   96.6995
12.552   96.6404
12.522   96.5452
12.492   96.4314
12.462   96.3132
12.432   96.2136
12.402   96.0574
12.373   95.9597
12.343   95.8054
12.314   95.6267
12.285   95.4690
12.256   95.3416
12.227   95.1663
12.198   95.0276
12.169   94.8186
12.141   94.5671
12.113   94.3064
12.084   94.0847
12.056   93.7996
12.028   93.5061
12.000   93.1443
11.973   92.7932
11.945   92.3401
11.918   91.9099
11.890   91.3499
11.863   90.6658
