Name: Cerussite, PbCO3 
Type:  Mineral
Class:  Carbonates
Subclass:
Particle Size: Fine (Less than 2 Micrometers)
Sample No.:  cerussite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Australia; donated by Norma Vergo.  

Description: The sample was a light tan irregular mass and appeared 
to be a pure carbonate, both in hand specimen and under the 
microscope.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: ceruss1a.txt
25.044   99.1638
24.924   98.9568
24.805   98.8044
24.686   98.9724
24.569   98.7966
24.454   98.7185
24.339   98.6912
24.225   98.6326
24.112   98.7419
24.001   98.8396
23.890   98.8826
23.781   99.1052
23.672   98.8083
23.564   98.6208
23.458   98.5466
23.352   98.7341
23.247   98.6716
23.144   98.5798
23.041   98.5408
22.939   98.8767
22.838   98.8376
22.738   98.7849
22.638   98.8826
22.540   98.8611
22.442   98.9138
22.345   98.8474
22.250   98.7537
22.154   98.5642
22.060   98.4802
21.967   98.4470
21.874   98.4236
21.782   98.4099
21.691   98.1951
21.601   97.8279
21.511   97.5779
21.422   97.3767
21.334   97.4216
21.247   97.1404
21.160   97.0466
21.074   96.9021
20.988   96.9373
20.904   96.8611
20.820   96.7595
20.737   96.6169
20.654   96.5505
20.572   96.2947
20.491   96.2263
20.410   96.0251
20.330   96.0203
20.251   95.8640
20.172   95.9460
20.094   95.9177
20.016   96.0281
19.939   95.8279
19.863   95.9412
19.787   95.7273
19.712   95.9138
19.637   95.8015
19.563   96.0134
19.489   95.7068
19.416   95.7664
19.344   95.5476
19.272   95.7849
19.201   95.5525
19.130   95.7703
19.059   95.4890
18.990   95.6755
18.920   95.3728
18.851   95.5232
18.783   95.2283
18.715   95.3767
18.648   95.0896
18.581   95.2556
18.515   94.9822
18.449   95.1492
18.384   94.8962
18.319   95.0906
18.254   94.9080
18.190   95.1892
18.126   95.0115
18.063   95.2830
18.001   95.1150
17.938   95.2898
17.876   95.1150
17.815   95.2390
17.754   95.0427
17.693   95.1248
17.633   95.0037
17.573   95.0193
17.514   94.8113
17.455   94.8533
17.396   94.7966
17.338   94.9470
17.280   94.8962
17.223   94.9880
17.166   94.9861
17.109   95.0232
17.053   95.0486
16.997   95.0681
16.942   95.0896
16.886   95.1814
16.832   95.2410
16.777   95.3162
16.723   95.4099
16.669   95.4568
16.616   95.6345
16.563   95.7458
16.510   95.8640
16.458   95.7927
16.406   95.9412
16.354   95.9607
16.302   96.0974
16.251   96.0583
16.200   96.2117
16.150   96.0310
16.100   96.1462
16.050   95.9841
16.000   95.9822
15.951   95.7224
15.902   95.7771
15.854   95.5320
15.805   95.5896
15.757   95.3347
15.710   95.3542
15.662   95.0496
15.615   95.0623
15.568   94.8347
15.521   94.8552
15.475   94.6189
15.429   94.5935
15.383   94.4041
15.338   94.3152
15.292   94.0916
15.248   93.9627
15.203   93.6072
15.158   93.2976
15.114   92.8220
15.070   92.2283
15.027   91.4314
14.983   90.4226
14.940   88.9041
14.897   86.6013
14.854   82.3538
14.812   74.2757
14.770   66.4412
14.728   66.7362
14.686   75.2791
14.645   86.9007
14.603   94.1912
14.562   96.7131
14.521   97.4045
14.481   97.4451
14.441   97.2815
14.400   97.1042
14.361   96.9021
14.321   96.5374
14.281   96.4983
14.242   96.5837
14.203   96.5466
14.164   96.3826
14.126   96.2732
14.087   96.1716
14.049   96.0232
14.011   95.8455
13.973   95.6682
13.936   95.5408
13.899   95.3420
13.861   95.2029
13.824   95.1409
13.788   95.0896
13.751   95.0642
13.715   95.0042
13.679   94.9871
13.643   94.9099
13.607   94.8748
13.571   94.8630
13.536   94.8542
13.500   94.8513
13.465   94.8669
13.430   94.8772
13.396   94.8962
13.361   94.8513
13.327   94.7966
13.293   94.7209
13.259   94.7112
13.225   94.6428
13.191   94.6174
13.158   94.5134
13.124   94.4670
13.091   94.3640
13.058   94.3064
13.026   94.2205
12.993   94.2146
12.960   94.0369
12.928   93.9978
12.896   93.9275
12.864   93.9065
12.832   93.7732
12.800   93.7361
12.769   93.6345
12.737   93.6013
12.706   93.5217
12.675   93.4880
12.644   93.4631
12.614   93.4451
12.583   93.3943
12.552   93.3694
12.522   93.3127
12.492   93.2478
12.462   93.2195
12.432   93.1189
12.402   93.0276
12.373   92.8689
12.343   92.8420
12.314   92.6599
12.285   92.5554
12.256   92.2830
12.227   92.0232
12.198   91.5535
12.169   90.8777
12.141   90.1409
12.113   90.3010
12.084   90.0452
12.056   89.1311
12.028   87.4705
12.000   84.8577
11.973   80.4143
11.945   74.6482
11.918   71.2894
11.890   74.6312
11.863   81.4744
11.836   86.7019
11.809   89.4236
11.782   90.9275
11.755   91.7986
11.729   92.3552
11.702   92.7224
11.676   92.9705
11.650   93.1082
11.624   93.2214
11.598   93.3181
11.572   93.3240
11.546   93.3357
11.520   93.2361
11.495   93.1589
11.469   93.0818
11.444   93.0779
11.419   92.9968
11.394   92.9353
11.369   92.8030
11.344   92.7249
11.319   92.5681
11.294   92.4705
11.270   92.3396
11.245   92.2776
11.221   92.1541
11.197   92.1336
11.173   92.0335
11.149   91.9783
11.125   91.8772
11.101   91.8103
11.077   91.6970
11.054   91.5925
11.030   91.4695
11.007   91.3435
10.983   91.2503
10.960   91.1194
10.937   91.0632
10.914   90.9607
10.891   90.8987
10.868   90.7879
10.846   90.7185
10.823   90.6487
10.800   90.6448
10.778   90.5574
10.755   90.5281
10.733   90.4685
10.711   90.4617
10.689   90.4265
10.667   90.4539
10.645   90.3972
10.623   90.4055
10.602   90.3699
10.580   90.3792
10.558   90.3421
10.537   90.3318
10.516   90.2913
10.494   90.2576
10.473   90.2009
10.452   90.1482
10.431   90.0398
10.410   89.8943
10.389   89.7883
10.368   89.6526
10.348   89.5398
10.327   89.3635
10.306   89.2068
10.286   89.0530
10.266   88.9378
10.245   88.7556
10.225   88.6008
10.205   88.4260
10.185   88.2498
10.165   88.0315
10.145   87.8489
10.125   87.7224
10.106   87.6297
10.086   87.5496
10.066   87.4802
10.047   87.4007
10.027   87.3572
10.008   87.3401
 9.989   87.3015
 9.970   87.2639
 9.950   87.1570
 9.931   87.1409
 9.912   87.0305
 9.893   86.9422
 9.875   86.8015
 9.856   86.7464
 9.837   86.6101
 9.818   86.5520
 9.800   86.4119
 9.781   86.3460
 9.763   86.2425
 9.745   86.1468
 9.726   85.9573
 9.708   85.8045
 9.690   85.6316
 9.672   85.5379
 9.654   85.3616
 9.636   85.2278
 9.618   85.0237
 9.600   84.8416
 9.583   84.4929
 9.565   83.9910
 9.547   82.9388
 9.530   79.8694
 9.512   76.1165
 9.495   79.0838
 9.477   84.4261
 9.460   86.0071
 9.443   86.2449
 9.426   86.2249
 9.409   86.2210
 9.392   86.1062
 9.375   86.0828
 9.358   85.9949
 9.341   85.9749
 9.324   85.8518
 9.307   85.8162
 9.291   85.7312
 9.274   85.6931
 9.257   85.6380
 9.241   85.6272
 9.224   85.5535
 9.208   85.4632
 9.192   85.3714
 9.175   85.3152
 9.159   85.1970
 9.143   85.0701
 9.127   84.9676
 9.111   84.8987
 9.095   84.8260
 9.079   84.7469
 9.063   84.6697
 9.047   84.6092
 9.032   84.6673
 9.016   84.7464
 9.000   84.8230
 8.985   84.9402
 8.969   85.0183
 8.954   85.1038
 8.938   85.0940
 8.923   85.0701
 8.907   85.0574
 8.892   85.0164
 8.877   84.9793
 8.862   84.9646
 8.847   84.9070
 8.832   84.8826
 8.817   84.8865
 8.802   84.8557
 8.787   84.8274
 8.772   84.7996
 8.757   84.7776
 8.742   84.7459
 8.728   84.7268
 8.713   84.6941
 8.698   84.6302
 8.684   84.5799
 8.669   84.5313
 8.655   84.4763
 8.640   84.4463
 8.626   84.4131
 8.612   84.3797
 8.597   84.3408
 8.583   84.2810
 8.569   84.1971
 8.555   84.1131
 8.541   84.0157
 8.527   83.9236
 8.513   83.8269
 8.499   83.7566
 8.485   83.6570
 8.471   83.5799
 8.457   83.4646
 8.443   83.3838
 8.430   83.2830
 8.416   83.1980
 8.402   83.1094
 8.389   82.9925
 8.375   82.8828
 8.362   82.7781
 8.348   82.6931
 8.335   82.5801
 8.321   82.4705
 8.308   82.3379
 8.295   82.2469
 8.281   82.1075
 8.268   81.9883
 8.255   81.8399
 8.242   81.7337
 8.229   81.6033
 8.216   81.5364
 8.203   81.3780
 8.190   81.2625
 8.177   81.1006
 8.164   80.9678
 8.151   80.7852
 8.138   80.6394
 8.126   80.4534
 8.113   80.2918
 8.100   80.0916
 8.088   79.9043
 8.075   79.6951
 8.062   79.5140
 8.050   79.3265
 8.037   79.1268
 8.025   78.9109
 8.013   78.6907
 8.000   78.4705
 7.988   78.2410
 7.976   78.0247
 7.963   77.7635
 7.951   77.5342
 7.939   77.2481
 7.927   77.0193
 7.915   76.7308
 7.903   76.4773
 7.891   76.1797
 7.879   75.9056
 7.867   75.5965
 7.855   75.3265
 7.843   74.9852
 7.831   74.6990
 7.819   74.3445
 7.807   74.0411
 7.796   73.6876
 7.784   73.3631
 7.772   72.9915
 7.761   72.6348
 7.749   72.2830
 7.738   71.9354
 7.726   71.5823
 7.715   71.2283
 7.703   70.8939
 7.692   70.5472
 7.680   70.2520
 7.669   69.9373
 7.658   69.6707
 7.646   69.3680
 7.635   69.1102
 7.624   68.8172
 7.613   68.5613
 7.601   68.2510
 7.590   67.9805
 7.579   67.6258
 7.568   67.3292
 7.557   66.9481
 7.546   66.5931
 7.535   66.1651
 7.524   65.7366
 7.513   65.2608
 7.502   64.8026
 7.492   64.3009
 7.481   63.8302
 7.470   63.3294
 7.459   62.8204
 7.448   62.2706
 7.438   61.6844
 7.427   61.0477
 7.417   60.3651
 7.406   59.6837
 7.395   58.9386
 7.385   58.1700
 7.374   57.3558
 7.364   56.5086
 7.353   55.5936
 7.343   54.6866
 7.333   53.6886
 7.322   52.6827
 7.312   51.6214
 7.302   50.5673
 7.291   49.4252
 7.281   48.2665
 7.271   47.0314
 7.261   45.7589
 7.251   44.4161
 7.240   43.0580
 7.230   41.6884
 7.220   40.3761
 7.210   39.2020
 7.200   38.2226
 7.190   37.4892
 7.180   37.0343
 7.170   36.9093
 7.160   37.0800
 7.151   37.5370
 7.141   38.2423
 7.131   39.1281
 7.121   40.1190
 7.111   41.1749
 7.102   42.2306
 7.092   43.2328
 7.082   44.1527
 7.073   44.9442
 7.063   45.5597
 7.053   46.0013
 7.044   46.2618
 7.034   46.3888
 7.025   46.3827
 7.015   46.2870
 7.006   46.1766
 6.996   46.1000
 6.987   46.0975
 6.977   46.2181
 6.968   46.4835
 6.959   46.9074
 6.949   47.4833
 6.940   48.1747
 6.931   48.9542
 6.921   49.8138
 6.912   50.7328
 6.903   51.6808
 6.894   52.6669
 6.885   53.6632
 6.876   54.6791
 6.866   55.6583
 6.857   56.6986
 6.848   57.7198
 6.839   58.7660
 6.830   59.7806
 6.821   60.8372
 6.812   61.8587
 6.803   62.9034
 6.794   63.9552
 6.786   65.0196
 6.777   66.0867
 6.768   67.1815
 6.759   68.2586
 6.750   69.3519
 6.741   70.4256
 6.733   71.4864
 6.724   72.5352
 6.715   73.5586
 6.707   74.5486
 6.698   75.5020
 6.689   76.4134
 6.681   77.2774
 6.672   78.1121
 6.663   78.9324
 6.655   79.6875
 6.646   80.3894
 6.638   81.0833
 6.629   81.7598
 6.621   82.4139
 6.612   83.0218
 6.604   83.6006
 6.596   84.1424
 6.587   84.6707
 6.579   85.1416
 6.571   85.6248
 6.562   86.0801
 6.554   86.5508
 6.546   86.9805
 6.537   87.4060
 6.529   87.7971
 6.521   88.2127
 6.513   88.6028
 6.505   88.9951
 6.496   89.3430
 6.488   89.7151
 6.480   90.0457
 6.472   90.4099
 6.464   90.7207
 6.456   91.0703
 6.448   91.3596
 6.440   91.6629
 6.432   91.9456
 6.424   92.2266
 6.416   92.4924
 6.408   92.7576
 6.400   93.0408
 6.392   93.3142
 6.384   93.5850
 6.377   93.8416
 6.369   94.1260
 6.361   94.3982
 6.353   94.6824
 6.345   94.9570
 6.338   95.2656
 6.330   95.5635
 6.322   95.9343
 6.314   96.3008
 6.307   96.7559
 6.299   97.2698
 6.291   97.9451
 6.284   98.7292
 6.276   99.7517
 6.269  100.8088
 6.261  101.8279
 6.254  102.4875
 6.246  102.6396
 6.238  102.1159
 6.231  101.1946
 6.223  100.0842
 6.216   99.1179
 6.209   98.2800
 6.201   97.6716
 6.194   97.1794
 6.186   96.7957
 6.179   96.5085
 6.172   96.2803
 6.164   96.1084
 6.157   95.9363
 6.150   95.8245
 6.142   95.7385
 6.135   95.7351
 6.128   95.7383
 6.121   95.8096
 6.113   95.8254
 6.106   95.8958
 6.099   95.9111
 6.092   96.0203
 6.085   96.0535
 6.078   96.1619
 6.070   96.2048
 6.063   96.3093
 6.056   96.3467
 6.049   96.4509
 6.042   96.4973
 6.035   96.5703
 6.028   96.6165
 6.021   96.7217
 6.014   96.8186
 6.007   96.9377
 6.000   97.0166
 5.993   97.0859
 5.986   97.1328
 5.979   97.1780
 5.973   97.2148
 5.966   97.2366
 5.959   97.2432
 5.952   97.2041
 5.945   97.2002
 5.938   97.1279
 5.932   97.1370
 5.925   97.0867
 5.918   97.0862
 5.911   97.0000
 5.905   96.9509
 5.898   96.8477
 5.891   96.8171
 5.884   96.7351
 5.878   96.6951
 5.871   96.6267
 5.864   96.5937
 5.858   96.4949
 5.851   96.4072
 5.845   96.2874
 5.838   96.1931
 5.831   96.0183
 5.825   95.7810
 5.818   95.4265
 5.812   94.8420
 5.805   93.8884
 5.799   92.6619
 5.792   91.7549
 5.786   91.5752
 5.779   92.0652
 5.773   93.0139
 5.767   93.9316
 5.760   94.1599
 5.754   94.0195
 5.747   93.9583
 5.741   94.3584
 5.735   95.1045
 5.728   95.8337
 5.722   96.2773
 5.716   96.5508
 5.709   96.5684
 5.703   96.5430
 5.697   96.4573
 5.691   96.3977
 5.684   96.3005
 5.678   96.2292
 5.672   96.1611
 5.666   96.0901
 5.660   96.0176
 5.653   95.9441
 5.647   95.8721
 5.641   95.8166
 5.635   95.7637
 5.629   95.7141
 5.623   95.6680
 5.617   95.6169
 5.611   95.5579
 5.604   95.5061
 5.598   95.4592
 5.592   95.3982
 5.586   95.3523
 5.580   95.2822
 5.574   95.2607
 5.568   95.1953
 5.562   95.1475
 5.556   95.0674
 5.550   95.0088
 5.545   94.9299
 5.539   94.8772
 5.533   94.7888
 5.527   94.7527
 5.521   94.6912
 5.515   94.6563
 5.509   94.5740
 5.503   94.5293
 5.498   94.4717
 5.492   94.4248
 5.486   94.3640
 5.480   94.3123
 5.474   94.2588
 5.469   94.2217
 5.463   94.1780
 5.457   94.1311
 5.451   94.0674
 5.446   94.0107
 5.440   93.9670
 5.434   93.9102
 5.428   93.8543
 5.423   93.7949
 5.417   93.7656
 5.411   93.7139
 5.406   93.6770
 5.400   93.6316
 5.395   93.6003
 5.389   93.5325
 5.383   93.4944
 5.378   93.4297
 5.372   93.3906
 5.367   93.3377
 5.361   93.3127
 5.356   93.2510
 5.350   93.2102
 5.344   93.1455
 5.339   93.1067
 5.333   93.0642
 5.328   93.0166
 5.323   92.9717
 5.317   92.9363
 5.312   92.8936
 5.306   92.8528
 5.301   92.7981
 5.295   92.7549
 5.290   92.7239
 5.285   92.6707
 5.279   92.6221
 5.274   92.5769
 5.268   92.5469
 5.263   92.4915
 5.258   92.4629
 5.252   92.4246
 5.247   92.3975
 5.242   92.3342
 5.237   92.3084
 5.231   92.2410
 5.226   92.2175
 5.221   92.1533
 5.215   92.1160
 5.210   92.0632
 5.205   92.0501
 5.200   91.9939
 5.195   91.9631
 5.189   91.9065
 5.184   91.8877
 5.179   91.8572
 5.174   91.8203
 5.169   91.7578
 5.163   91.7383
 5.158   91.6878
 5.153   91.6521
 5.148   91.6101
 5.143   91.5791
 5.138   91.5313
 5.133   91.4900
 5.128   91.4336
 5.123   91.3914
 5.118   91.3533
 5.113   91.3191
 5.108   91.2810
 5.103   91.2295
 5.097   91.2063
 5.092   91.1629
 5.087   91.1404
 5.083   91.0750
 5.078   91.0664
 5.073   91.0339
 5.068   91.0027
 5.063   90.9404
 5.058   90.9246
 5.053   90.8689
 5.048   90.8311
 5.043   90.7793
 5.038   90.7539
 5.033   90.7295
 5.028   90.6924
 5.023   90.6494
 5.019   90.6035
 5.014   90.5899
 5.009   90.5481
 5.004   90.5134
 4.999   90.4805
 4.994   90.4483
 4.990   90.3953
 4.985   90.3848
 4.980   90.3233
 4.975   90.3008
 4.970   90.2520
 4.966   90.2263
 4.961   90.1785
 4.956   90.1611
 4.951   90.1111
 4.947   90.0928
 4.942   90.0274
 4.937   89.9981
 4.933   89.9588
 4.928   89.9395
 4.923   89.8923
 4.919   89.8672
 4.914   89.8152
 4.909   89.7859
 4.905   89.7481
 4.900   89.7100
 4.895   89.6787
 4.891   89.6619
 4.886   89.6326
 4.882   89.5918
 4.877   89.5840
 4.872   89.5498
 4.868   89.5379
 4.863   89.5029
 4.859   89.4744
 4.854   89.4490
 4.850   89.4246
 4.845   89.3826
 4.840   89.3718
 4.836   89.3369
 4.831   89.2959
 4.827   89.2793
 4.822   89.2637
 4.818   89.2468
 4.814   89.2324
 4.809   89.1912
 4.805   89.1572
 4.800   89.1192
 4.796   89.0986
 4.791   89.0696
 4.787   89.0437
 4.782   89.0205
 4.778   88.9773
 4.774   88.9568
 4.769   88.9451
 4.765   88.9033
 4.760   88.8904
 4.756   88.8631
 4.752   88.8145
 4.747   88.7891
 4.743   88.7686
 4.739   88.7227
 4.734   88.6775
 4.730   88.6756
 4.726   88.6463
 4.721   88.6309
 4.717   88.5974
 4.713   88.5811
 4.709   88.5420
 4.704   88.5379
 4.700   88.5098
 4.696   88.4964
 4.692   88.4588
 4.687   88.4297
 4.683   88.3943
 4.679   88.3721
 4.675   88.3438
 4.670   88.3145
 4.666   88.2840
 4.662   88.2569
 4.658   88.2244
 4.654   88.1953
 4.649   88.1856
 4.645   88.1746
 4.641   88.1590
 4.637   88.1260
 4.633   88.1121
 4.629   88.0803
 4.625   88.0723
 4.620   88.0466
 4.616   88.0291
 4.612   88.0108
 4.608   88.0039
 4.604   87.9754
 4.600   87.9619
 4.596   87.9480
 4.592   87.9402
 4.588   87.9148
 4.584   87.8965
 4.580   87.8660
 4.576   87.8425
 4.572   87.8184
 4.568   87.7883
 4.564   87.7793
 4.560   87.7803
 4.555   87.7429
 4.551   87.6924
 4.548   87.6756
 4.544   87.6416
 4.540   87.5935
 4.536   87.5574
 4.532   87.5352
 4.528   87.5156
 4.524   87.4861
 4.520   87.4590
 4.516   87.4207
 4.512   87.3838
 4.508   87.3631
 4.504   87.3135
 4.500   87.2722
 4.496   87.2263
 4.492   87.2100
 4.488   87.1836
 4.485   87.1677
 4.481   87.1355
 4.477   87.1135
 4.473   87.0681
 4.469   87.0364
 4.465   86.9973
 4.461   86.9710
 4.458   86.9495
 4.454   86.9153
 4.450   86.8650
 4.446   86.8513
 4.442   86.8313
 4.438   86.8045
 4.435   86.7586
 4.431   86.7239
 4.427   86.7019
 4.423   86.6634
 4.420   86.6316
 4.416   86.6170
 4.412   86.5755
 4.408   86.5550
 4.405   86.5310
 4.401   86.4837
 4.397   86.4519
 4.393   86.4280
 4.390   86.4065
 4.386   86.3596
 4.382   86.3518
 4.379   86.3098
