Name:  Dolomite CaMg(CO3)2
Type:  Mineral
Class:   Carbonates
Subclass:   
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  dolomite.3
Owner:  JHU
Wavelength Range:  IR
Origin: Donated by Norma Vergo;  sample from Corydon, Indiana. 

Description: The hand sample was massive, multicrystalline, and pink 
in color and appeared to be pure dolomite. Microscopic examination 
confirmed this.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: dolomi3a.txt
25.044   32.5234
24.924   33.1874
24.805   33.7382
24.686   34.2226
24.569   35.0976
24.454   36.1288
24.339   37.1288
24.225   38.5702
24.112   40.3163
24.001   42.3124
23.890   44.5155
23.781   47.0936
23.672   49.9530
23.564   52.8983
23.458   55.5174
23.352   58.3924
23.247   61.0155
23.144   63.4295
23.041   65.7420
22.939   67.9842
22.838   70.0330
22.738   71.7283
22.638   73.2674
22.540   74.7498
22.442   76.2439
22.345   77.7361
22.250   78.8865
22.154   80.0428
22.060   81.2361
21.967   82.2908
21.874   83.1482
21.782   84.0076
21.691   84.7849
21.601   85.4783
21.511   86.0877
21.422   86.7986
21.334   87.3845
21.247   87.9236
21.160   88.3572
21.074   88.7615
20.988   89.1404
20.904   89.5564
20.820   89.9783
20.737   90.1756
20.654   90.3513
20.572   90.5505
20.491   90.6638
20.410   90.7693
20.330   90.9588
20.251   91.1170
20.172   91.2859
20.094   91.5125
20.016   91.6873
19.939   91.8406
19.863   92.0388
19.787   92.3005
19.712   92.5662
19.637   92.9656
19.563   93.3328
19.489   93.5828
19.416   93.9919
19.344   94.4695
19.272   94.7849
19.201   95.1687
19.130   95.4236
19.059   95.6150
18.990   95.7234
18.920   95.7625
18.851   95.8787
18.783   96.0046
18.715   96.1130
18.648   96.1521
18.581   96.1970
18.515   96.2849
18.449   96.4158
18.384   96.5271
18.319   96.6218
18.254   96.7244
18.190   96.8123
18.126   96.9607
18.063   97.1208
18.001   97.2400
17.938   97.4060
17.876   97.6101
17.815   97.7517
17.754   97.9216
17.693   98.1404
17.633   98.2263
17.573   98.3415
17.514   98.4744
17.455   98.6091
17.396   98.7576
17.338   98.8435
17.280   98.9353
17.223   99.0564
17.166   99.1970
17.109   99.3630
17.053   99.4617
16.997   99.4978
16.942   99.5749
16.886   99.6345
16.832   99.7732
16.777   99.9236
16.723  100.1072
16.669  100.2624
16.616  100.3826
16.563  100.5378
16.510  100.6716
16.458  100.7663
16.406  100.8113
16.354  100.9294
16.302  100.9499
16.251  101.0242
16.200  101.1189
16.150  101.1931
16.100  101.2947
16.050  101.3767
16.000  101.3601
15.951  101.3640
15.902  101.3874
15.854  101.3288
15.805  101.3337
15.757  101.3191
15.710  101.2312
15.662  101.2146
15.615  101.1765
15.568  101.1706
15.521  101.1081
15.475  101.0935
15.429  101.0339
15.383  100.9861
15.338  100.9812
15.292  100.9763
15.248  100.8923
15.203  100.7947
15.158  100.7341
15.114  100.6345
15.070  100.5163
15.027  100.4285
14.983  100.3347
14.940  100.2068
14.897  100.1374
14.854  100.0564
14.812   99.9353
14.770   99.8005
14.728   99.7170
14.686   99.6345
14.645   99.4861
14.603   99.4333
14.562   99.3611
14.521   99.2517
14.481   99.1775
14.441   99.0349
14.400   98.8708
14.361   98.7620
14.321   98.5896
14.281   98.3733
14.242   98.1506
14.203   97.9006
14.164   97.4724
14.126   97.0466
14.087   96.6799
14.049   96.1624
14.011   95.4451
13.973   94.5310
13.936   93.2752
13.899   91.3240
13.861   88.3416
13.824   83.4900
13.788   75.8533
13.751   66.9222
13.715   63.5057
13.679   69.8851
13.643   80.2517
13.607   88.2615
13.571   93.0427
13.536   95.6267
13.500   97.0427
13.465   97.9333
13.430   98.4197
13.396   98.7327
13.361   98.9182
13.327   99.0173
13.293   99.1370
13.259   99.2097
13.225   99.2737
13.191   99.2776
13.158   99.3152
13.124   99.4099
13.091   99.3591
13.058   99.3074
13.026   99.3259
12.993   99.3288
12.960   99.2620
12.928   99.2117
12.896   99.1799
12.864   99.1135
12.832   99.0647
12.800   99.0217
12.769   98.9138
12.737   98.8440
12.706   98.8147
12.675   98.7092
12.644   98.5290
12.614   98.4709
12.583   98.3591
12.552   98.1892
12.522   98.0491
12.492   97.9734
12.462   97.8381
12.432   97.7248
12.402   97.6335
12.373   97.4651
12.343   97.3240
12.314   97.2737
12.285   97.1604
12.256   96.9832
12.227   96.8865
12.198   96.8269
12.169   96.6853
12.141   96.5471
12.113   96.4070
12.084   96.2444
12.056   96.0662
12.028   95.9182
12.000   95.6995
11.973   95.4553
11.945   95.2322
11.918   94.9822
11.890   94.5515
