Name: Aragonite CaCO3
Type:  Mineral  
Class:  Carbonates
Subclass:   
Particle Size:  Solid
Sample No.:  aragonite.1
Owner: JHU
Wavelength Range:  IR
Origin:  Sample from Horenec, Bilina, Cechy, Czechoslovakia, via 
Smithsonian (sample no. NMNH B10083). 
Description: The sample was composed of two transparent, colorless 
pieces: one prismatic, 1.8 cm x 1.8 cm x 2 cm, and weighing about 2 
g; the other a 5 mm x 5 mm x 5 mm cleavage fragment weighing 
0.65 g.  No impurities were detected in hand sample or 
microscopically.

Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  4.4055
Number of X Values:  2287
Additional Information: aragon1a.txt
25.044    2.5166
24.924    2.2461
24.805    1.9971
24.686    1.6025
24.569    1.3286
24.454    1.2603
24.339    0.9927
24.225    0.8677
24.112    0.9224
24.001    1.0146
23.890    0.9014
23.781    0.8188
23.672    0.9653
23.564    1.0601
23.458    1.2061
23.352    1.2725
23.247    1.1606
23.144    1.1743
23.041    1.2285
22.939    1.3359
22.838    1.4163
22.738    1.4228
22.638    1.4973
22.540    1.6318
22.442    1.6665
22.345    1.6321
22.250    1.6770
22.154    1.7559
22.060    1.7788
21.967    1.8235
21.874    1.8760
21.782    1.9143
21.691    2.0166
21.601    2.0940
21.511    2.0969
21.422    2.1230
21.334    2.1562
21.247    2.1816
21.160    2.2512
21.074    2.4126
20.988    2.4495
20.904    2.4182
20.820    2.4487
20.737    2.5032
20.654    2.5566
20.572    2.5930
20.491    2.6445
20.410    2.6797
20.330    2.6702
20.251    2.7363
20.172    2.7788
20.094    2.8332
20.016    2.9060
19.939    2.9541
19.863    2.9619
19.787    2.9956
19.712    3.0732
19.637    3.0727
19.563    3.0554
19.489    3.0937
19.416    3.2063
19.344    3.2317
19.272    3.1777
19.201    3.2239
19.130    3.2593
19.059    3.3003
18.990    3.3310
18.920    3.3725
18.851    3.3896
18.783    3.4189
18.715    3.4429
18.648    3.4419
18.581    3.4997
18.515    3.5620
18.449    3.5642
18.384    3.5576
18.319    3.5869
18.254    3.6299
18.190    3.6767
18.126    3.6997
18.063    3.6643
18.001    3.6807
17.938    3.7114
17.876    3.7519
17.815    3.8076
17.754    3.8181
17.693    3.8330
17.633    3.8401
17.573    3.8511
17.514    3.8782
17.455    3.9321
17.396    3.9707
17.338    3.9892
17.280    4.0005
17.223    4.0132
17.166    4.0078
17.109    3.9956
17.053    4.0098
16.997    4.0644
16.942    4.0845
16.886    4.0954
16.832    4.1394
16.777    4.1728
16.723    4.2053
16.669    4.2092
16.616    4.2092
16.563    4.2327
16.510    4.2842
16.458    4.3066
16.406    4.3020
16.354    4.3259
16.302    4.3718
16.251    4.3711
16.200    4.3943
16.150    4.4014
16.100    4.4170
16.050    4.4414
16.000    4.4619
15.951    4.4790
15.902    4.4993
15.854    4.5410
15.805    4.5749
15.757    4.5771
15.710    4.5764
15.662    4.6057
15.615    4.6431
15.568    4.6601
15.521    4.6992
15.475    4.7099
15.429    4.7009
15.383    4.7309
15.338    4.7588
15.292    4.7717
15.248    4.7854
15.203    4.8345
15.158    4.8535
15.114    4.8472
15.070    4.9138
15.027    4.9580
14.983    4.9370
14.940    4.9778
14.897    5.0124
14.854    4.9922
14.812    5.0315
14.770    5.0596
14.728    5.0669
14.686    5.1150
14.645    5.1858
14.603    5.2119
14.562    5.2295
14.521    5.2571
14.481    5.3396
14.441    5.4045
14.400    5.5393
14.361    5.8552
14.321    6.3635
14.281    6.0054
14.242    4.9114
14.203    4.7490
14.164    4.9800
14.126    5.1782
14.087    5.3962
14.049    5.5764
14.011    5.5640
13.973    5.4067
13.936    5.1899
13.899    5.0730
13.861    5.0640
13.824    5.1548
13.788    5.2351
13.751    5.2937
13.715    5.3147
13.679    5.3367
13.643    5.3660
13.607    5.3887
13.571    5.4377
13.536    5.4783
13.500    5.4975
13.465    5.5329
13.430    5.5840
13.396    5.6077
13.361    5.6123
13.327    5.6355
13.293    5.6565
13.259    5.6728
13.225    5.7043
13.191    5.7495
13.158    5.7866
13.124    5.8076
13.091    5.8179
13.058    5.8559
13.026    5.9045
12.993    5.9348
12.960    5.9648
12.928    6.0115
12.896    6.0537
12.864    6.0742
12.832    6.1081
12.800    6.1531
12.769    6.1667
12.737    6.1999
12.706    6.2597
12.675    6.2951
12.644    6.3232
12.614    6.3528
12.583    6.3928
12.552    6.4558
12.522    6.5185
12.492    6.5747
12.462    6.6423
12.432    6.7019
12.402    6.7510
12.373    6.8254
12.343    6.9211
12.314    7.0156
12.285    7.1111
12.256    7.2121
12.227    7.3076
12.198    7.4385
12.169    7.5796
12.141    7.7197
12.113    7.8703
12.084    8.0549
12.056    8.2715
12.028    8.5097
12.000    8.7759
11.973    9.1360
11.945    9.5708
11.918   10.1360
11.890   11.0383
11.863   11.7422
11.836   11.3838
11.809   11.9829
11.782   14.1901
11.755   17.8808
11.729   23.1142
11.702   26.9321
11.676   28.2287
11.650   28.5500
11.624   28.6625
11.598   28.7231
11.572   28.7555
11.546   28.7043
11.520   28.5627
11.495   28.3490
11.469   28.0358
11.444   27.4919
11.419   26.2797
11.394   23.8842
11.369   20.6889
11.344   17.2910
11.319   13.9423
11.294   10.7519
11.270    7.9743
11.245    5.8579
11.221    4.5674
11.197    4.0203
11.173    3.8547
11.149    3.7971
11.125    3.7707
11.101    3.7786
11.077    3.8235
11.054    3.8677
11.030    3.9040
11.007    3.9399
10.983    3.9785
10.960    4.0271
10.937    4.0718
10.914    4.1274
10.891    4.1775
10.868    4.2114
10.846    4.2422
10.823    4.2810
10.800    4.3198
10.778    4.3530
10.755    4.3999
10.733    4.4485
10.711    4.4580
10.689    4.4651
10.667    4.5063
10.645    4.5491
10.623    4.5867
10.602    4.6247
10.580    4.6604
10.558    4.6953
10.537    4.7244
10.516    4.7510
10.494    4.7807
10.473    4.7932
10.452    4.8066
10.431    4.8432
10.410    4.8542
10.389    4.8716
10.368    4.8974
10.348    4.9263
10.327    4.9372
10.306    4.9485
10.286    4.9765
10.266    5.0083
10.245    5.0278
10.225    5.0273
10.205    5.0459
10.185    5.0698
10.165    5.0852
10.145    5.1077
10.125    5.1223
10.106    5.1355
10.086    5.1396
10.066    5.1572
10.047    5.1743
10.027    5.1899
10.008    5.1982
 9.989    5.2143
 9.970    5.2224
 9.950    5.2397
 9.931    5.2615
 9.912    5.2695
 9.893    5.2707
 9.875    5.2778
 9.856    5.2930
 9.837    5.3137
 9.818    5.3201
 9.800    5.3318
 9.781    5.3550
 9.763    5.3765
 9.745    5.3916
 9.726    5.4079
 9.708    5.4204
 9.690    5.4355
 9.672    5.4443
 9.654    5.4565
 9.636    5.4770
 9.618    5.4834
 9.600    5.4834
 9.583    5.5017
 9.565    5.5102
 9.547    5.5168
 9.530    5.5288
 9.512    5.5483
 9.495    5.5574
 9.477    5.5827
 9.460    5.6033
 9.443    5.6150
 9.426    5.6262
 9.409    5.6599
 9.392    5.6789
 9.375    5.7056
 9.358    5.7270
 9.341    5.7637
 9.324    5.7917
 9.307    5.8584
 9.291    5.9272
 9.274    6.0471
 9.257    6.3464
 9.241    6.9451
 9.224    6.5215
 9.208    5.2475
 9.192    5.0098
 9.175    5.2309
 9.159    5.3845
 9.143    5.4509
 9.127    5.5076
 9.111    5.5425
 9.095    5.5786
 9.079    5.5879
 9.063    5.5981
 9.047    5.6096
 9.032    5.6445
 9.016    5.6550
 9.000    5.6687
 8.985    5.6748
 8.969    5.6777
 8.954    5.6704
 8.938    5.6821
 8.923    5.7053
 8.907    5.7168
 8.892    5.7202
 8.877    5.7283
 8.862    5.7353
 8.847    5.7441
 8.832    5.7576
 8.817    5.7783
 8.802    5.7688
 8.787    5.7773
 8.772    5.7905
 8.757    5.7939
 8.742    5.8056
 8.728    5.8279
 8.713    5.8374
 8.698    5.8562
 8.684    5.8703
 8.669    5.8721
 8.655    5.8791
 8.640    5.8960
 8.626    5.9192
 8.612    5.9319
 8.597    5.9375
 8.583    5.9585
 8.569    5.9690
 8.555    5.9753
 8.541    5.9775
 8.527    5.9868
 8.513    5.9914
 8.499    5.9978
 8.485    6.0078
 8.471    6.0220
 8.457    6.0295
 8.443    6.0510
 8.430    6.0615
 8.416    6.0762
 8.402    6.0908
 8.389    6.1079
 8.375    6.1164
 8.362    6.1230
 8.348    6.1460
 8.335    6.1633
 8.321    6.1689
 8.308    6.1853
 8.295    6.2009
 8.281    6.2148
 8.268    6.2319
 8.255    6.2519
 8.242    6.2673
 8.229    6.2864
 8.216    6.3161
 8.203    6.3332
 8.190    6.3418
 8.177    6.3657
 8.164    6.3833
 8.151    6.3970
 8.138    6.4158
 8.126    6.4443
 8.113    6.4568
 8.100    6.4704
 8.088    6.4902
 8.075    6.5034
 8.062    6.5110
 8.050    6.5332
 8.037    6.5574
 8.025    6.5735
 8.013    6.5962
 8.000    6.6247
 7.988    6.6387
 7.976    6.6584
 7.963    6.6990
 7.951    6.7346
 7.939    6.7524
 7.927    6.7864
 7.915    6.8142
 7.903    6.8315
 7.891    6.8552
 7.879    6.8818
 7.867    6.8906
 7.855    6.9031
 7.843    6.9267
 7.831    6.9387
 7.819    6.9407
 7.807    6.9665
 7.796    6.9951
 7.784    7.0056
 7.772    7.0276
 7.761    7.0581
 7.749    7.0703
 7.738    7.0891
 7.726    7.1086
 7.715    7.1174
 7.703    7.1286
 7.692    7.1531
 7.680    7.1765
 7.669    7.1914
 7.658    7.2158
 7.646    7.2495
 7.635    7.2678
 7.624    7.3034
 7.613    7.3540
 7.601    7.3811
 7.590    7.3982
 7.579    7.4409
 7.568    7.4680
 7.557    7.4787
 7.546    7.5061
 7.535    7.5390
 7.524    7.5603
 7.513    7.5908
 7.502    7.6304
 7.492    7.6599
 7.481    7.6809
 7.470    7.7173
 7.459    7.7556
 7.448    7.7922
 7.438    7.8454
 7.427    7.9009
 7.417    7.9267
 7.406    7.9555
 7.395    8.0137
 7.385    8.0635
 7.374    8.0898
 7.364    8.1391
 7.353    8.1963
 7.343    8.2366
 7.333    8.2859
 7.322    8.3545
 7.312    8.3982
 7.302    8.4492
 7.291    8.5200
 7.281    8.5820
 7.271    8.6418
 7.261    8.7307
 7.251    8.8178
 7.240    8.8828
 7.230    8.9555
 7.220    9.0581
 7.210    9.1399
 7.200    9.2092
 7.190    9.2854
 7.180    9.3415
 7.170    9.3872
 7.160    9.4917
 7.151    9.6179
 7.141    9.7292
 7.131    9.8633
 7.121   10.0090
 7.111   10.1457
 7.102   10.2915
 7.092   10.4731
 7.082   10.6567
 7.073   10.8283
 7.063   11.0376
 7.053   11.2417
 7.044   11.4402
 7.034   11.7160
 7.025   12.0229
 7.015   12.3254
 7.006   12.6623
 6.996   13.0630
 6.987   13.5344
 6.977   14.0595
 6.968   14.6665
 6.959   15.4079
 6.949   16.3444
 6.940   17.5127
 6.931   18.9899
 6.921   20.6059
 6.912   22.0034
 6.903   22.9897
 6.894   23.5266
 6.885   23.6481
 6.876   23.4094
 6.866   22.7084
 6.857   21.9416
 6.848   21.8742
 6.839   22.5642
 6.830   23.5268
 6.821   24.6025
 6.812   25.6528
 6.803   26.3608
 6.794   26.7360
 6.786   27.0737
 6.777   27.3791
 6.768   27.5178
 6.759   27.6371
 6.750   27.7634
 6.741   27.8146
 6.733   27.8237
 6.724   27.8781
 6.715   27.8989
 6.707   27.8940
 6.698   27.9714
 6.689   27.9821
 6.681   27.9252
 6.672   27.9716
 6.663   28.0590
 6.655   28.0610
 6.646   27.9306
 6.638   27.8346
 6.629   27.8993
 6.621   27.9423
 6.612   27.9350
 6.604   27.9262
 6.596   27.8158
 6.587   27.7441
 6.579   27.6689
 6.571   27.5356
 6.562   27.4789
 6.554   27.4284
 6.546   27.3415
 6.537   27.2128
 6.529   27.0888
 6.521   26.9245
 6.513   26.7538
 6.505   26.5348
 6.496   26.2604
 6.488   26.0876
 6.480   26.0034
 6.472   25.9123
 6.464   25.7204
 6.456   25.3891
 6.448   25.0344
 6.440   24.5895
 6.432   23.9726
 6.424   23.2729
 6.416   22.3859
 6.408   21.4038
 6.400   20.3901
 6.392   19.3254
 6.384   18.3269
 6.377   17.5205
 6.369   16.9951
 6.361   16.6928
 6.353   16.4121
 6.345   16.2197
 6.338   16.2734
 6.330   16.4670
 6.322   16.8144
 6.314   17.3745
 6.307   17.9528
 6.299   18.3635
 6.291   18.5788
 6.284   18.5598
 6.276   18.2959
 6.269   17.9011
 6.261   17.4218
 6.254   16.8359
 6.246   16.1960
 6.238   15.5537
 6.231   14.8718
 6.223   14.1606
 6.216   13.4707
 6.209   12.8269
 6.201   12.2031
 6.194   11.6045
 6.186   11.0154
 6.179   10.4743
 6.172    9.9333
 6.164    9.3681
 6.157    8.8105
 6.150    8.2431
 6.142    7.6870
 6.135    7.1687
 6.128    6.6706
 6.121    6.2031
 6.113    5.7742
 6.106    5.4026
 6.099    5.0649
 6.092    4.7778
 6.085    4.5415
 6.078    4.3415
 6.070    4.1990
 6.063    4.1140
 6.056    4.0322
 6.049    3.9514
 6.042    3.9289
 6.035    3.9209
 6.028    3.8972
 6.021    3.8796
 6.014    3.8660
 6.007    3.8562
 6.000    3.8501
 5.993    3.8476
 5.986    3.8447
 5.979    3.8498
 5.973    3.8589
 5.966    3.8682
 5.959    3.8840
 5.952    3.9043
 5.945    3.9094
 5.938    3.8945
 5.932    3.9070
 5.925    3.9407
 5.918    3.9575
 5.911    3.9751
 5.905    3.9809
 5.898    3.9785
 5.891    3.9910
 5.884    4.0007
 5.878    4.0210
 5.871    4.0530
 5.864    4.0718
 5.858    4.0964
 5.851    4.1062
 5.845    4.1269
 5.838    4.1445
 5.831    4.1472
 5.825    4.1423
 5.818    4.1638
 5.812    4.1797
 5.805    4.1846
 5.799    4.1968
 5.792    4.2073
 5.786    4.2021
 5.779    4.2053
 5.773    4.2082
 5.767    4.2043
 5.760    4.2214
 5.754    4.2422
 5.747    4.2490
 5.741    4.2529
 5.735    4.2571
 5.728    4.2678
 5.722    4.2705
 5.716    4.2820
 5.709    4.3022
 5.703    4.3137
 5.697    4.3201
 5.691    4.3367
 5.684    4.3520
 5.678    4.3557
 5.672    4.3735
 5.666    4.4026
 5.660    4.4077
 5.653    4.4170
 5.647    4.4477
 5.641    4.4800
 5.635    4.5161
 5.629    4.5576
 5.623    4.5725
 5.617    4.5510
 5.611    4.5266
 5.604    4.4993
 5.598    4.4541
 5.592    4.3906
 5.586    4.3352
 5.580    4.3208
 5.574    4.3423
 5.568    4.3701
 5.562    4.3862
 5.556    4.3945
 5.550    4.4077
 5.545    4.4341
 5.539    4.4531
 5.533    4.4680
 5.527    4.4787
 5.521    4.4912
 5.515    4.5058
 5.509    4.5222
 5.503    4.5293
 5.498    4.5327
 5.492    4.5425
 5.486    4.5503
 5.480    4.5557
 5.474    4.5693
 5.469    4.5806
 5.463    4.5823
 5.457    4.5937
 5.451    4.6108
 5.446    4.6191
 5.440    4.6196
 5.434    4.6272
 5.428    4.6401
 5.423    4.6431
 5.417    4.6533
 5.411    4.6655
 5.406    4.6704
 5.400    4.6736
 5.395    4.6775
 5.389    4.6836
 5.383    4.6907
 5.378    4.6975
 5.372    4.7021
 5.367    4.7036
 5.361    4.7073
 5.356    4.7197
 5.350    4.7297
 5.344    4.7378
 5.339    4.7461
 5.333    4.7573
 5.328    4.7615
 5.323    4.7659
 5.317    4.7793
 5.312    4.7844
 5.306    4.7908
 5.301    4.7995
 5.295    4.8032
 5.290    4.8047
 5.285    4.8193
 5.279    4.8274
 5.274    4.8271
 5.268    4.8347
 5.263    4.8389
 5.258    4.8423
 5.252    4.8489
 5.247    4.8542
 5.242    4.8638
 5.237    4.8652
 5.231    4.8630
 5.226    4.8674
 5.221    4.8708
 5.215    4.8701
 5.210    4.8750
 5.205    4.8830
 5.200    4.8904
 5.195    4.8996
 5.189    4.9040
 5.184    4.9053
 5.179    4.9180
 5.174    4.9233
 5.169    4.9324
 5.163    4.9419
 5.158    4.9392
 5.153    4.9414
 5.148    4.9436
 5.143    4.9480
 5.138    4.9558
 5.133    4.9704
 5.128    4.9773
 5.123    4.9726
 5.118    4.9746
 5.113    4.9824
 5.108    4.9831
 5.103    4.9809
 5.097    4.9861
 5.092    5.0032
 5.087    5.0061
 5.083    4.9971
 5.078    5.0105
 5.073    5.0188
 5.068    5.0127
 5.063    5.0198
 5.058    5.0303
 5.053    5.0273
 5.048    5.0261
 5.043    5.0312
 5.038    5.0344
 5.033    5.0366
 5.028    5.0439
 5.023    5.0503
 5.019    5.0510
 5.014    5.0532
 5.009    5.0625
 5.004    5.0649
 4.999    5.0625
 4.994    5.0676
 4.990    5.0754
 4.985    5.0786
 4.980    5.0820
 4.975    5.0840
 4.970    5.0854
 4.966    5.0867
 4.961    5.0886
 4.956    5.0923
 4.951    5.0959
 4.947    5.1028
 4.942    5.1135
 4.937    5.1182
 4.933    5.1169
 4.928    5.1255
 4.923    5.1260
 4.919    5.1257
 4.914    5.1279
 4.909    5.1238
 4.905    5.1228
 4.900    5.1230
 4.895    5.1299
 4.891    5.1433
 4.886    5.1465
 4.882    5.1511
 4.877    5.1499
 4.872    5.1489
 4.868    5.1555
 4.863    5.1553
 4.859    5.1514
 4.854    5.1494
 4.850    5.1487
 4.845    5.1536
 4.840    5.1609
 4.836    5.1694
 4.831    5.1738
 4.827    5.1755
 4.822    5.1728
 4.818    5.1716
 4.814    5.1782
 4.809    5.1809
 4.805    5.1814
 4.800    5.1880
 4.796    5.1885
 4.791    5.1828
 4.787    5.1799
 4.782    5.1880
 4.778    5.1916
 4.774    5.1887
 4.769    5.1943
 4.765    5.2038
 4.760    5.2051
 4.756    5.1977
 4.752    5.2012
 4.747    5.2097
 4.743    5.2087
 4.739    5.2112
 4.734    5.2163
 4.730    5.2207
 4.726    5.2187
 4.721    5.2229
 4.717    5.2244
 4.713    5.2143
 4.709    5.2170
 4.704    5.2283
 4.700    5.2258
 4.696    5.2278
 4.692    5.2361
 4.687    5.2373
 4.683    5.2405
 4.679    5.2429
 4.675    5.2441
 4.670    5.2502
 4.666    5.2593
 4.662    5.2646
 4.658    5.2576
 4.654    5.2576
 4.649    5.2607
 4.645    5.2615
 4.641    5.2637
 4.637    5.2659
 4.633    5.2651
 4.629    5.2622
 4.625    5.2649
 4.620    5.2671
 4.616    5.2659
 4.612    5.2685
 4.608    5.2715
 4.604    5.2829
 4.600    5.2930
 4.596    5.2893
 4.592    5.2851
 4.588    5.2903
 4.584    5.3020
 4.580    5.3047
 4.576    5.3035
 4.572    5.3108
 4.568    5.3147
 4.564    5.3110
 4.560    5.3103
 4.555    5.3140
 4.551    5.3086
 4.548    5.3064
 4.544    5.3149
 4.540    5.3191
 4.536    5.3193
 4.532    5.3240
 4.528    5.3352
 4.524    5.3403
 4.520    5.3367
 4.516    5.3406
 4.512    5.3469
 4.508    5.3457
 4.504    5.3506
 4.500    5.3508
 4.496    5.3513
 4.492    5.3559
 4.488    5.3645
 4.485    5.3691
 4.481    5.3664
 4.477    5.3738
 4.473    5.3786
 4.469    5.3733
 4.465    5.3801
 4.461    5.3948
 4.458    5.3884
 4.454    5.3804
 4.450    5.3909
 4.446    5.3926
 4.442    5.3874
 4.438    5.3913
 4.435    5.3952
 4.431    5.3943
 4.427    5.3992
 4.423    5.4009
 4.420    5.4077
 4.416    5.4133
