Name:  Fluorite CaF2
Type:  Mineral
Class:   Halides
Subclass:
Particle Size:  Fine  (less than 2  Micrometers)
Sample No.:  flourite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Donated by Norma Vergo; sample from Bingham, New Mexico.

Description: The sample was a large piece of a transparent single 
crystal and appeared to be pure fluorite.




Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: flouri1a.txt
25.044   54.2264
24.924   54.3006
24.805   54.5311
24.686   54.6405
24.569   54.9686
24.454   55.1913
24.339   55.3788
24.225   55.6249
24.112   56.1600
24.001   56.3006
23.890   56.6366
23.781   57.0858
23.672   57.8553
23.564   58.6014
23.458   59.4686
23.352   60.5311
23.247   61.6717
23.144   62.5975
23.041   63.8280
22.939   65.0408
22.838   66.2733
22.738   67.5096
22.638   68.8631
22.540   70.1658
22.442   71.6443
22.345   73.0877
22.250   74.4158
22.154   75.6326
22.060   76.9061
21.967   78.0486
21.874   79.2029
21.782   80.1424
21.691   81.1814
21.601   82.1053
21.511   82.9803
21.422   83.7830
21.334   84.6892
21.247   85.4041
21.160   86.1287
21.074   86.6443
20.988   87.2439
20.904   87.7888
20.820   88.3025
20.737   88.7615
20.654   89.2322
20.572   89.5154
20.491   89.7595
20.410   89.9959
20.330   90.3689
20.251   90.5320
20.172   90.7693
20.094   91.0330
20.016   91.2429
19.939   91.4304
19.863   91.6492
19.787   91.8045
19.712   92.0134
19.637   92.3025
19.563   92.5095
19.489   92.6560
19.416   92.9226
19.344   93.2107
19.272   93.3044
19.201   93.5857
19.130   93.6892
19.059   93.8005
18.990   93.8201
18.920   93.8875
18.851   93.8289
18.783   93.8484
18.715   93.8591
18.648   93.8250
18.581   93.6677
18.515   93.6931
18.449   93.5867
18.384   93.6052
18.319   93.5427
18.254   93.6892
18.190   93.6209
18.126   93.7185
18.063   93.7127
18.001   93.7625
17.938   93.7429
17.876   93.9060
17.815   93.8396
17.754   94.0398
17.693   94.0955
17.633   94.2507
17.573   94.2205
17.514   94.4978
17.455   94.5486
17.396   94.7478
17.338   94.7166
17.280   94.9587
17.223   94.9343
17.166   95.1677
17.109   95.2478
17.053   95.5740
16.997   95.5369
16.942   95.8542
16.886   95.9080
16.832   96.1101
16.777   96.2185
16.723   96.5447
16.669   96.5525
16.616   96.7644
16.563   96.8445
16.510   97.0984
16.458   97.1072
16.406   97.3113
16.354   97.3621
16.302   97.5134
16.251   97.5623
16.200   97.7703
16.150   97.7517
16.100   97.9539
16.050   98.0281
16.000   98.1726
15.951   98.1550
15.902   98.3494
15.854   98.3132
15.805   98.4294
15.757   98.4607
15.710   98.5447
15.662   98.5857
15.615   98.6492
15.568   98.7527
15.521   98.7761
15.475   98.8240
15.429   98.8132
15.383   98.8396
15.338   98.8689
15.292   98.9070
15.248   98.8572
15.203   98.8386
15.158   98.7507
15.114   98.7214
15.070   98.5798
15.027   98.5652
14.983   98.5076
14.940   98.4587
14.897   98.4109
14.854   98.4548
14.812   98.3826
14.770   98.4143
14.728   98.3669
14.686   98.3850
14.645   98.2810
14.603   98.3323
14.562   98.2717
14.521   98.3162
14.481   98.2595
14.441   98.3323
14.400   98.2522
14.361   98.2932
14.321   98.3044
14.281   98.3806
14.242   98.3010
14.203   98.3747
14.164   98.3083
14.126   98.3108
14.087   98.3318
14.049   98.3362
14.011   98.2756
13.973   98.2869
13.936   98.3069
13.899   98.2639
13.861   98.2698
13.824   98.2908
13.788   98.2976
13.751   98.2771
13.715   98.3083
13.679   98.2678
13.643   98.2683
13.607   98.1897
13.571   98.2346
13.536   98.1658
13.500   98.2190
13.465   98.2131
13.430   98.2458
13.396   98.1990
13.361   98.2248
13.327   98.1663
13.293   98.1755
13.259   98.1540
13.225   98.1819
13.191   98.0935
13.158   98.1467
13.124   98.1638
13.091   98.1267
13.058   98.0974
13.026   98.1589
12.993   98.1370
12.960   98.1033
12.928   98.1096
12.896   98.1101
12.864   98.0373
12.832   98.0251
12.800   98.0378
12.769   97.9690
12.737   97.9519
12.706   97.9099
12.675   97.8850
12.644   97.7795
12.614   97.8142
12.583   97.6990
12.552   97.6609
12.522   97.5535
12.492   97.6248
12.462   97.5232
12.432   97.5662
