Name: Goethite a-Fe+3O(OH)
Type:  Mineral
Class:   Hydroxides
Subclass:  Goethite Group)
Particle Size: Fine  (0-74 Micrometers)
Sample No.:  goethite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Montreal, Wisconsin via the Smithsonian 
(sample no. NMNH 152500).  
Description: The sample consisted of a 4 cm x 2 cm x 2 cm cluster of 
light brown radiating acicular crystals weighing 10 g.  No impurities 
were observed in hand sample or under the microscope.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  goethi1a.txt
25.044    3.3433
24.924    3.3765
24.805    3.3677
24.686    3.4289
24.569    3.3606
24.454    3.2043
24.339    3.1733
24.225    3.0293
24.112    2.9560
24.001    2.9463
23.890    2.9785
23.781    3.0745
23.672    3.0071
23.564    2.8843
23.458    2.9670
23.352    3.0237
23.247    2.9536
23.144    2.9751
23.041    3.0298
22.939    2.9521
22.838    2.8652
22.738    2.8203
22.638    2.8013
22.540    2.8613
22.442    2.8899
22.345    2.8794
22.250    2.9141
22.154    2.9863
22.060    3.0478
21.967    3.0976
21.874    3.0698
21.782    3.0381
21.691    3.1167
21.601    3.1106
21.511    3.0388
21.422    3.0037
21.334    3.0039
21.247    3.0259
21.160    3.0317
21.074    3.0415
20.988    3.0781
20.904    3.0950
20.820    3.0869
20.737    3.0405
20.654    3.0249
20.572    3.0129
20.491    2.9824
20.410    2.9443
20.330    2.9170
20.251    2.9556
20.172    3.0142
20.094    2.9768
20.016    2.9033
19.939    2.8596
19.863    2.8850
19.787    2.8281
19.712    2.7749
19.637    2.7900
19.563    2.7231
19.489    2.6350
19.416    2.6531
19.344    2.6306
19.272    2.5732
19.201    2.5527
19.130    2.5652
19.059    2.5950
18.990    2.5598
18.920    2.5266
18.851    2.5183
18.783    2.4770
18.715    2.4719
18.648    2.5166
18.581    2.5337
18.515    2.4924
18.449    2.5127
18.384    2.5251
18.319    2.4695
18.254    2.3882
18.190    2.3284
18.126    2.3140
18.063    2.3186
18.001    2.2866
17.938    2.2288
17.876    2.1924
17.815    2.1638
17.754    2.1145
17.693    2.0500
17.633    2.0266
17.573    2.0185
17.514    1.9790
17.455    1.9448
17.396    1.9087
17.338    1.8716
17.280    1.8345
17.223    1.8225
17.166    1.8120
17.109    1.7539
17.053    1.7041
16.997    1.7109
16.942    1.7034
16.886    1.6792
16.832    1.6313
16.777    1.6343
16.723    1.6206
16.669    1.5950
16.616    1.6182
16.563    1.6143
16.510    1.5832
16.458    1.5747
16.406    1.5915
16.354    1.6069
16.302    1.5791
16.251    1.5518
16.200    1.5395
16.150    1.5356
16.100    1.5576
16.050    1.5811
16.000    1.5928
15.951    1.5796
15.902    1.5935
15.854    1.5730
15.805    1.5457
15.757    1.5486
15.710    1.5544
15.662    1.5540
15.615    1.5486
15.568    1.5420
15.521    1.5334
15.475    1.4932
15.429    1.4707
15.383    1.4612
15.338    1.4434
15.292    1.4448
15.248    1.4141
15.203    1.3586
15.158    1.3279
15.114    1.2991
15.070    1.2734
15.027    1.2344
14.983    1.1841
14.940    1.1560
14.897    1.1384
14.854    1.1243
14.812    1.1384
14.770    1.1331
14.728    1.1064
14.686    1.1343
14.645    1.1431
14.603    1.1482
14.562    1.1982
14.521    1.2544
14.481    1.3035
14.441    1.3694
14.400    1.4189
14.361    1.4582
14.321    1.5354
14.281    1.6011
14.242    1.6304
14.203    1.6643
14.164    1.7248
14.126    1.7798
14.087    1.8450
14.049    1.8950
14.011    1.9109
13.973    1.9368
13.936    1.9578
13.899    1.9595
13.861    1.9719
13.824    1.9929
13.788    2.0354
13.751    2.0801
13.715    2.1057
13.679    2.1174
13.643    2.1421
13.607    2.1589
13.571    2.1753
13.536    2.1831
13.500    2.2014
13.465    2.2031
13.430    2.1948
13.396    2.2085
13.361    2.1865
13.327    2.1374
13.293    2.1355
13.259    2.1260
13.225    2.0891
13.191    2.0686
13.158    2.0522
13.124    2.0124
13.091    1.9954
13.058    1.9592
13.026    1.9221
12.993    1.9045
12.960    1.8760
12.928    1.8511
12.896    1.8286
12.864    1.7886
12.832    1.7725
12.800    1.7515
12.769    1.7202
12.737    1.6892
12.706    1.6741
