Name:  Hematite a-Fe2O3
Type:  Mineral
Class:   Oxides
Subclass:  (Hematite Group)
Particle Size:  Solid (sawn surface)
Sample No.: hematite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Frizington, Cumberland, England via the Smithsonian (sample 
no. NMNH B7373)
Description: The sample was a 2.5 cm x 2.5 cm x 1 cm sawn plate, 
deep red in color and weighing 15.3 g.  It appears clean with no 
impurities in hand sample or microscopically.



Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: hemati1a.txt
25.044   15.6162
24.924   15.2504
24.805   15.0666
24.686   15.3564
24.569   15.4438
24.454   15.5070
24.339   15.9836
24.225   16.5151
24.112   17.1201
24.001   17.6518
23.890   18.1057
23.781   18.9082
23.672   19.8198
23.564   20.6164
23.458   21.4440
23.352   22.4987
23.247   23.5322
23.144   24.5663
23.041   25.5939
22.939   26.2968
22.838   26.7231
22.738   27.0263
22.638   27.3320
22.540   27.4648
22.442   27.5336
22.345   27.5937
22.250   27.6701
22.154   27.8339
22.060   27.9858
21.967   27.9233
21.874   27.9816
21.782   28.1791
21.691   28.1801
21.601   28.2328
21.511   28.2973
21.422   28.2607
21.334   28.2353
21.247   28.2150
21.160   28.0773
21.074   27.9128
20.988   27.6142
20.904   27.1935
20.820   26.6471
20.737   25.9526
20.654   25.0993
20.572   23.8911
20.491   22.4062
20.410   20.7468
20.330   18.9614
20.251   17.0605
20.172   15.4240
20.094   14.4060
20.016   13.9839
19.939   14.1298
19.863   14.7431
19.787   15.5307
19.712   16.4489
19.637   17.6037
19.563   18.8068
19.489   19.9721
19.416   21.2558
19.344   22.6157
19.272   23.7744
19.201   24.8056
19.130   25.8847
19.059   26.8137
18.990   27.6662
18.920   28.4560
18.851   29.1066
18.783   29.7265
18.715   30.3561
18.648   30.8695
18.581   31.3698
18.515   31.8620
18.449   32.1430
18.384   32.3522
18.319   32.6977
18.254   32.9591
18.190   33.0263
18.126   33.1527
18.063   33.3568
18.001   33.3937
17.938   33.3998
17.876   33.4965
17.815   33.4767
17.754   33.3349
17.693   33.3149
17.633   33.3334
17.573   33.1794
17.514   33.0839
17.455   33.0795
17.396   32.8561
17.338   32.6349
17.280   32.6020
17.223   32.4579
17.166   32.1794
17.109   32.0119
17.053   31.8503
16.997   31.6571
16.942   31.5329
16.886   31.4850
16.832   31.3271
16.777   31.1703
16.723   31.1235
16.669   30.9411
16.616   30.6703
16.563   30.5275
16.510   30.3796
16.458   30.1186
16.406   29.8984
16.354   29.7228
16.302   29.4399
16.251   29.1886
16.200   29.0002
16.150   28.6762
16.100   28.3080
16.050   28.0532
16.000   27.7399
15.951   27.3036
15.902   27.0016
15.854   26.7477
15.805   26.4025
15.757   26.1362
15.710   25.8991
15.662   25.5514
15.615   25.1955
15.568   24.9050
15.521   24.5073
15.475   24.0202
15.429   23.5349
15.383   22.9863
15.338   22.2600
15.292   21.4768
15.248   20.6115
15.203   19.5573
15.158   18.4062
15.114   17.2150
15.070   15.9453
15.027   14.6325
14.983   13.3825
14.940   12.1194
14.897   10.8095
14.854    9.5886
14.812    8.4450
14.770    7.3286
14.728    6.3462
14.686    5.5537
14.645    4.8496
14.603    4.2436
14.562    3.7800
14.521    3.4028
14.481    3.1313
14.441    2.9490
14.400    2.8218
14.361    2.7082
14.321    2.6394
14.281    2.6208
14.242    2.5981
14.203    2.5842
14.164    2.6101
14.126    2.6287
14.087    2.6470
14.049    2.6948
14.011    2.7705
13.973    2.8398
13.936    2.9014
13.899    2.9619
13.861    3.0078
13.824    3.0810
13.788    3.1936
13.751    3.2685
13.715    3.3332
13.679    3.4062
13.643    3.4831
13.607    3.5576
13.571    3.6457
13.536    3.7212
13.500    3.8071
13.465    3.9346
13.430    4.0525
13.396    4.1172
13.361    4.1816
13.327    4.2524
13.293    4.3191
13.259    4.3950
13.225    4.4778
13.191    4.5586
13.158    4.6294
13.124    4.7124
13.091    4.8032
13.058    4.8591
13.026    4.9175
12.993    4.9912
12.960    5.0276
12.928    5.0588
12.896    5.1396
12.864    5.1975
12.832    5.2217
12.800    5.2920
12.769    5.3633
12.737    5.3611
12.706    5.3943
12.675    5.4807
12.644    5.5246
12.614    5.5549
12.583    5.6018
12.552    5.6391
12.522    5.6692
12.492    5.7341
12.462    5.7920
12.432    5.8022
12.402    5.8479
12.373    5.9155
12.343    5.9392
12.314    5.9577
12.285    5.9953
12.256    6.0329
12.227    6.0705
12.198    6.1064
12.169    6.1311
12.141    6.1594
12.113    6.1960
12.084    6.2339
12.056    6.2497
12.028    6.2822
12.000    6.3262
11.973    6.3310
11.945    6.3513
11.918    6.3899
11.890    6.4170
11.863    6.4280
11.836    6.4543
11.809    6.4988
11.782    6.4966
11.755    6.5041
11.729    6.5256
11.702    6.5307
11.676    6.5464
11.650    6.5657
11.624    6.5940
11.598    6.6152
11.572    6.6274
11.546    6.6482
11.520    6.6499
11.495    6.6706
11.469    6.7192
