Name:  Beryl Be3Al2Si6O18
Type:  Mineral
Class:  Silicates
Subclass:  Cyclosilicates (Ring Silicates)
Particle Size: Fine (Less than 74 Micrometers)
Sample No.:  beryl.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Maine via Hunt and Salisbury Collection sample 
#180B (purchased from Ward's Natural Science Establishment).
Description: The hand sample was cut and polished along an 
unknown axis.  It was pale green and appeared pure.  Microscopic 
examination showed a small amount (2% or less) of very fine, low 
birefringent material in the sample.  The contaminating grains 
occasionally have rhombic or cubic shape.  These grains were 
unidentifiable.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: beryl1a.txt
25.044    2.6221
24.924    2.7524
24.805    2.8613
24.686    2.8696
24.569    2.7266
24.454    2.6191
24.339    2.6123
24.225    2.6269
24.112    2.6123
24.001    2.5596
23.890    2.5137
23.781    2.4946
23.672    2.6279
23.564    2.8662
23.458    3.0527
23.352    3.0520
23.247    3.0022
23.144    3.1155
23.041    3.1748
22.939    3.2327
22.838    3.1719
22.738    3.0127
22.638    3.1467
22.540    3.4123
22.442    3.3704
22.345    3.2559
22.250    3.4077
22.154    3.4592
22.060    3.3528
21.967    3.2646
21.874    3.2930
21.782    3.3960
21.691    3.4419
21.601    3.3911
21.511    3.3498
21.422    3.2075
21.334    3.0635
21.247    2.9917
21.160    2.8821
21.074    2.7949
20.988    2.7458
20.904    2.7451
20.820    2.6973
20.737    2.6243
20.654    2.6816
20.572    2.8303
20.491    2.8826
20.410    2.8721
20.330    2.8162
20.251    2.7939
20.172    2.6953
20.094    2.5752
20.016    2.4160
19.939    2.0312
19.863    1.7383
19.787    1.7256
19.712    1.8271
19.637    1.9936
19.563    2.1450
19.489    2.3096
19.416    2.4272
19.344    2.4639
19.272    2.5249
19.201    2.5627
19.130    2.5874
19.059    2.5723
18.990    2.5825
18.920    2.6431
18.851    2.6514
18.783    2.6086
18.715    2.6179
18.648    2.6184
18.581    2.5813
18.515    2.5518
18.449    2.5129
18.384    2.5049
18.319    2.5459
18.254    2.5088
18.190    2.4475
18.126    2.3997
18.063    2.3039
18.001    2.1934
17.938    2.0037
17.876    1.7783
17.815    1.5674
17.754    1.3809
17.693    1.2436
17.633    1.1768
17.573    1.1628
17.514    1.2107
17.455    1.3162
17.396    1.3769
17.338    1.4199
17.280    1.4590
17.223    1.5132
17.166    1.6191
17.109    1.7029
17.053    1.7817
16.997    1.9360
16.942    2.1050
16.886    2.2080
16.832    2.3042
16.777    2.4036
16.723    2.4790
