Name: Cordierite Mg2Al4Si5O18
Type:  Mineral
Class:   Silicates 
Subclass:   Cyclosilicates (Ring Silicates)
Particle Size:  Fine  (0 - 74 Micrometers)
Sample No.:  cordier.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Orijarvi, Finland via the Smithsonian  (sample 
no. NMNH 78228). 
Description: The sample consists of three pieces, each about 2 cm x 4 
cm x 1 cm.  There are some heterogeneities in color, but the samples 
are predominantly blue-gray.  They appear fairly pure, but do have 
a few veins with discoloration along them.  Under the petrographic 
microscope all samples appear to be cordierite, but grains have a 
small amount of alteration and some microcrystalline inclusions.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: cordie2a.txt
25.044    3.6455
24.924    3.7524
24.805    3.6191
24.686    3.4458
24.569    3.6006
24.454    3.5625
24.339    3.4434
24.225    3.4971
24.112    3.5010
24.001    3.4800
23.890    3.4492
23.781    3.2432
23.672    3.1826
23.564    3.1641
23.458    2.8791
23.352    2.7012
23.247    2.5315
23.144    2.5137
23.041    2.6838
22.939    2.6689
22.838    2.5933
22.738    2.6977
22.638    2.8682
22.540    2.8030
22.442    2.7768
22.345    2.8501
22.250    2.9004
22.154    2.7913
22.060    2.6816
21.967    2.5996
21.874    2.5149
21.782    2.4321
21.691    2.4194
21.601    2.4546
21.511    2.5129
21.422    2.5491
21.334    2.5723
21.247    2.5376
21.160    2.5996
21.074    2.7414
20.988    2.7668
20.904    2.8664
20.820    2.9136
20.737    2.8967
20.654    2.8579
20.572    2.8140
20.491    2.8686
20.410    2.9072
20.330    2.8247
20.251    2.7646
20.172    2.7285
20.094    2.6348
20.016    2.5566
19.939    2.5371
19.863    2.4863
19.787    2.3696
19.712    2.2002
19.637    2.0132
19.563    1.8530
19.489    1.7090
19.416    1.5869
19.344    1.4802
19.272    1.4478
19.201    1.4932
19.130    1.5405
19.059    1.5662
18.990    1.5847
18.920    1.6548
18.851    1.7295
18.783    1.7798
18.715    1.8555
18.648    1.9563
18.581    2.0185
18.515    2.0615
18.449    2.1316
18.384    2.1921
18.319    2.2544
18.254    2.2549
18.190    2.2122
18.126    2.1977
18.063    2.1912
18.001    2.1929
17.938    2.1709
17.876    2.1079
17.815    2.1001
17.754    2.0974
17.693    2.0591
17.633    2.0312
17.573    2.0117
17.514    1.9912
17.455    1.9644
17.396    1.9304
17.338    1.9414
17.280    1.9761
17.223    2.0144
17.166    2.0474
17.109    2.0247
17.053    2.0286
16.997    2.0220
16.942    1.9597
16.886    1.9062
16.832    1.8279
16.777    1.8086
16.723    1.8015
16.669    1.8013
16.616    1.7683
16.563    1.7671
16.510    1.8196
16.458    1.8403
16.406    1.8552
16.354    1.8633
16.302    1.8652
16.251    1.8945
16.200    1.9238
16.150    1.9394
16.100    1.9429
16.050    1.9309
16.000    1.9214
15.951    1.9058
15.902    1.8931
15.854    1.9363
15.805    1.9673
15.757    1.9910
15.710    2.0293
15.662    2.0779
15.615    2.1042
15.568    2.1416
15.521    2.1641
15.475    2.1689
15.429    2.1846
15.383    2.1797
15.338    2.1826
15.292    2.1863
15.248    2.1597
15.203    2.1831
15.158    2.2422
15.114    2.2544
15.070    2.2605
15.027    2.2363
14.983    2.1914
14.940    2.1602
14.897    2.1001
14.854    2.0310
14.812    1.9956
14.770    1.9954
14.728    2.0251
14.686    2.0547
14.645    2.0918
14.603    2.1719
14.562    2.2427
14.521    2.2891
14.481    2.3523
14.441    2.4265
14.400    2.4680
14.361    2.4629
14.321    2.4390
14.281    2.4216
14.242    2.3972
14.203    2.3823
14.164    2.4182
14.126    2.4775
14.087    2.5437
14.049    2.6135
14.011    2.6665
13.973    2.7014
13.936    2.7278
13.899    2.7205
13.861    2.6953
13.824    2.6902
13.788    2.6599
13.751    2.5898
13.715    2.5347
13.679    2.5110
13.643    2.4548
13.607    2.3953
13.571    2.3403
13.536    2.2634
13.500    2.1719
13.465    2.1340
13.430    2.0984
13.396    2.0330
13.361    1.9792
13.327    1.9480
13.293    1.9468
13.259    1.9695
13.225    1.9846
13.191    1.9551
13.158    1.9707
13.124    2.0276
13.091    2.0395
13.058    2.0784
13.026    2.1201
12.993    2.1121
12.960    2.1130
12.928    2.1414
12.896    2.1228
12.864    2.0998
12.832    2.0723
12.800    2.0603
12.769    2.0586
12.737    2.0225
12.706    2.0085
12.675    2.0256
12.644    2.0225
12.614    2.0090
12.583    2.0142
12.552    2.0166
12.522    1.9822
12.492    1.9729
12.462    2.0188
12.432    2.0583
12.402    2.1162
12.373    2.1794
12.343    2.2417
12.314    2.3105
12.285    2.3779
12.256    2.4153
12.227    2.4751
12.198    2.5095
12.169    2.5124
12.141    2.5185
12.113    2.5398
12.084    2.5920
12.056    2.6658
12.028    2.7434
12.000    2.8254
11.973    2.8865
11.945    2.9324
11.918    2.9785
11.890    2.9993
11.863    3.0195
11.836    3.0278
11.809    3.0259
11.782    3.0283
11.755    3.0012
11.729    2.9929
11.702    2.9831
11.676    2.9497
11.650    2.9226
11.624    2.8935
11.598    2.8638
11.572    2.8357
11.546    2.7876
11.520    2.7380
11.495    2.6848
11.469    2.6570
11.444    2.6235
11.419    2.5635
11.394    2.5305
11.369    2.5176
11.344    2.4829
11.319    2.4258
11.294    2.3721
11.270    2.3350
11.245    2.2803
11.221    2.2305
11.197    2.1953
11.173    2.1770
11.149    2.1650
11.125    2.1697
11.101    2.1738
11.077    2.1582
11.054    2.1472
11.030    2.1201
11.007    2.0823
10.983    2.0339
10.960    1.9929
10.937    1.9810
10.914    1.9910
10.891    1.9810
10.868    1.9521
10.846    1.8992
10.823    1.8472
10.800    1.8401
10.778    1.8801
10.755    1.9302
10.733    1.9978
10.711    2.0796
10.689    2.1465
10.667    2.2180
10.645    2.2883
10.623    2.3469
10.602    2.3982
10.580    2.4512
10.558    2.5051
10.537    2.5640
10.516    2.6262
10.494    2.7019
10.473    2.7747
10.452    2.8074
10.431    2.8108
10.410    2.8406
10.389    2.8562
10.368    2.8433
10.348    2.8144
10.327    2.8018
10.306    2.7942
10.286    2.7803
10.266    2.7815
10.245    2.7688
10.225    2.7451
10.205    2.7458
10.185    2.7585
10.165    2.7353
10.145    2.7048
10.125    2.6804
10.106    2.6396
10.086    2.6003
10.066    2.5537
10.047    2.4814
10.027    2.4001
10.008    2.3083
 9.989    2.2358
 9.970    2.1760
 9.950    2.1099
 9.931    2.0464
 9.912    2.0168
 9.893    2.0107
 9.875    2.0251
 9.856    2.0420
 9.837    2.0469
 9.818    2.0564
 9.800    2.0605
 9.781    2.0559
 9.763    2.0583
 9.745    2.0623
 9.726    2.0793
 9.708    2.0845
 9.690    2.0727
 9.672    2.0627
 9.654    2.0339
 9.636    2.0017
 9.618    1.9856
 9.600    1.9890
 9.583    1.9932
 9.565    2.0127
 9.547    2.0352
 9.530    2.0564
 9.512    2.0823
 9.495    2.1060
 9.477    2.1255
 9.460    2.1450
 9.443    2.1721
 9.426    2.1951
 9.409    2.1953
 9.392    2.1914
 9.375    2.1997
 9.358    2.2136
 9.341    2.2361
 9.324    2.2378
 9.307    2.2239
 9.291    2.2217
 9.274    2.2095
 9.257    2.1846
 9.241    2.1518
 9.224    2.1243
 9.208    2.0886
 9.192    2.0542
 9.175    2.0271
 9.159    2.0039
 9.143    1.9807
 9.127    1.9680
 9.111    1.9602
 9.095    1.9717
 9.079    1.9756
 9.063    1.9746
 9.047    1.9748
 9.032    1.9685
 9.016    1.9617
 9.000    1.9329
 8.985    1.8899
 8.969    1.8630
 8.954    1.8447
 8.938    1.8262
 8.923    1.8074
 8.907    1.7969
 8.892    1.7666
 8.877    1.7375
 8.862    1.7158
 8.847    1.6965
 8.832    1.6951
 8.817    1.7231
 8.802    1.7661
 8.787    1.7832
 8.772    1.8005
 8.757    1.8223
 8.742    1.8081
 8.728    1.7554
 8.713    1.6894
 8.698    1.6340
 8.684    1.6038
 8.669    1.6074
 8.655    1.6416
 8.640    1.6836
 8.626    1.7292
 8.612    1.8020
 8.597    1.8740
 8.583    1.9119
 8.569    1.9258
 8.555    1.9646
 8.541    2.0491
 8.527    2.1538
 8.513    2.2568
 8.499    2.3594
 8.485    2.4412
 8.471    2.5078
 8.457    2.5781
 8.443    2.6330
 8.430    2.6929
 8.416    2.7637
 8.402    2.8093
 8.389    2.8552
 8.375    2.9289
 8.362    3.0007
 8.348    3.0688
 8.335    3.1472
 8.321    3.2361
 8.308    3.3271
 8.295    3.4270
 8.281    3.5327
 8.268    3.6477
 8.255    3.7783
 8.242    3.9133
 8.229    4.0476
 8.216    4.1931
 8.203    4.3674
 8.190    4.5671
 8.177    4.7820
 8.164    5.0019
 8.151    5.1831
 8.138    5.2873
 8.126    5.3310
 8.113    5.3266
 8.100    5.2759
 8.088    5.2121
 8.075    5.1186
 8.062    4.9941
 8.050    4.8684
 8.037    4.7317
 8.025    4.5845
 8.013    4.4289
 8.000    4.2717
 7.988    4.1172
 7.976    3.9451
 7.963    3.7790
 7.951    3.6160
 7.939    3.4487
 7.927    3.2861
 7.915    3.1221
 7.903    2.9697
 7.891    2.8315
 7.879    2.7100
 7.867    2.5923
 7.855    2.4866
 7.843    2.4038
 7.831    2.3235
 7.819    2.2451
 7.807    2.1931
 7.796    2.1611
 7.784    2.1301
 7.772    2.1081
 7.761    2.1028
 7.749    2.1008
 7.738    2.1028
 7.726    2.1255
 7.715    2.1528
 7.703    2.1789
 7.692    2.2168
 7.680    2.2683
 7.669    2.3240
 7.658    2.3794
 7.646    2.4426
