Name: Beryl Be3Al2Si6O18
Type:  Mineral
Class:  Silicates
Subclass:  Cyclosilicates (Ring Silicates)
Particle Size:  Fine (less than 2 Micrometers)
Sample No.:  beryl.2
Owner:  JHU
Wavelength Range:  IR
Origin:  Smithsonian NMNH 134700Sample from Palermo Mine, North 
Groton, New Hampshire.
Description:  Hand sample was pale green to white in color and 
appeared pure on the inside, with a small amount of surface 
discoloration.  The sample was roughly cubical, 2 cm on a side.  
Microscopic examination indicated it to be pure with a very small 
amount (much less than 1%) of alteration.

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  beryl2a.txt
25.044   82.5545
24.924   81.8592
24.805   80.8514
24.686   80.8123
24.569   80.7849
24.454   80.3279
24.339   80.0154
24.225   79.3357
24.112   78.3514
24.001   77.4529
23.890   76.9139
23.781   75.4217
23.672   73.8123
23.564   72.0701
23.458   70.0701
23.352   67.2420
23.247   63.8397
23.144   59.9764
23.041   55.9061
22.939   52.2518
22.838   49.1796
22.738   46.6112
22.638   45.1288
22.540   44.5018
22.442   44.5429
22.345   45.7733
22.250   47.8534
22.154   50.4335
22.060   53.4569
21.967   56.8084
21.874   60.1971
21.782   63.2596
21.691   65.9764
21.601   68.1951
21.511   69.8983
21.422   71.2342
21.334   71.9842
21.247   72.2342
21.160   72.2049
21.074   71.8299
20.988   71.1736
20.904   69.9940
20.820   68.5272
20.737   66.9862
20.654   65.1053
20.572   62.3534
20.491   59.1698
20.410   55.1014
20.330   50.0897
20.251   45.0663
20.172   40.8339
20.094   39.0272
20.016   40.7108
19.939   45.4003
19.863   51.0760
19.787   55.5135
19.712   57.4041
19.637   56.9764
19.563   54.6922
19.489   51.4657
19.416   47.5194
19.344   43.4022
19.272   39.6483
19.201   36.4960
19.130   34.2704
19.059   32.7460
18.990   31.9257
18.920   31.9101
18.851   32.5868
18.783   33.6523
18.715   35.1767
18.648   37.0429
18.581   39.1913
18.515   41.6337
18.449   44.0487
18.384   46.7157
18.319   49.6600
18.254   52.9110
18.190   56.3788
18.126   59.9100
18.063   63.1795
18.001   66.0291
17.938   68.3485
17.876   70.0076
17.815   71.2147
17.754   71.9822
17.693   72.3553
17.633   72.2615
17.573   71.9295
17.514   71.7381
17.455   71.6834
17.396   71.7820
17.338   71.9188
17.280   71.6756
17.223   70.8084
17.166   69.2401
17.109   66.4891
17.053   62.4373
16.997   57.4959
16.942   52.6962
16.886   49.2186
16.832   48.0087
16.777   49.1776
16.723   52.1796
16.669   56.1688
16.616   60.5018
16.563   64.5867
16.510   67.9891
16.458   70.4920
16.406   72.3885
16.354   73.6697
16.302   74.6619
16.251   75.4881
16.200   76.1385
16.150   76.6990
16.100   77.2186
16.050   77.5213
16.000   77.6385
15.951   77.9314
15.902   78.0408
15.854   78.1268
15.805   78.1805
15.757   78.1258
15.710   78.1023
15.662   77.9637
15.615   77.5232
15.568   76.8396
15.521   75.7996
15.475   74.1570
15.429   72.2586
15.383   70.3289
15.338   68.9149
15.292   68.5086
15.248   69.0701
15.203   69.9949
15.158   70.4822
15.114   70.2625
15.070   69.3612
15.027   67.6434
14.983   65.2000
14.940   62.2157
14.897   58.6600
14.854   54.6532
14.812   50.4960
14.770   46.5985
14.728   43.4579
14.686   41.5204
14.645   41.1200
14.603   42.0399
14.562   44.0097
14.521   46.5790
14.481   49.4481
14.441   52.5038
14.400   55.3456
14.361   57.9676
14.321   60.3358
14.281   62.3504
14.242   64.1737
14.203   65.7674
14.164   67.1033
14.126   68.1697
14.087   69.0594
14.049   69.6932
14.011   70.1863
13.973   70.3924
13.936   70.3611
13.899   70.2156
13.861   69.8309
13.824   69.1566
13.788   68.1937
13.751   66.9945
13.715   65.5955
13.679   63.8421
13.643   61.8299
13.607   59.6913
13.571   57.4261
13.536   55.3089
13.500   53.4535
13.465   52.0843
13.430   51.2679
13.396   50.9901
13.361   51.4808
13.327   52.6151
13.293   54.3168
13.259   56.4432
13.225   58.7987
13.191   61.1444
13.158   63.4574
13.124   65.5199
13.091   67.3084
13.058   68.7835
13.026   70.0101
12.993   71.0042
12.960   71.4725
12.928   71.6585
12.896   71.8807
12.864   72.1033
12.832   72.0428
12.800   71.7693
12.769   71.4568
12.737   71.0506
12.706   70.3499
12.675   69.4608
12.644   68.3030
12.614   66.8924
12.583   65.2791
12.552   63.3104
12.522   61.1800
12.492   59.0291
12.462   56.8792
12.432   54.9842
12.402   53.4452
12.373   52.2855
12.343   51.5174
12.314   51.2465
12.285   51.4745
12.256   52.0643
12.227   53.1229
12.198   54.4774
12.169   55.9945
12.141   57.6170
12.113   59.4393
12.084   61.2811
12.056   62.9198
12.028   64.6956
12.000   66.2967
11.973   67.7928
11.945   69.1912
11.918   70.4671
11.890   71.6136
11.863   72.6424
11.836   73.5389
11.809   74.2186
11.782   74.8909
11.755   75.3636
11.729   75.8343
11.702   76.1541
11.676   76.3826
11.650   76.5408
11.624   76.6019
11.598   76.5643
11.572   76.4280
11.546   76.3514
11.520   76.1814
11.495   75.9046
11.469   75.6209
11.444   75.2244
11.419   74.7801
11.394   74.2327
11.369   73.7664
11.344   73.2684
11.319   72.6434
11.294   71.9529
11.270   71.2908
11.245   70.6644
11.221   70.0237
11.197   69.2830
11.173   68.6155
11.149   67.9515
11.125   67.3504
11.101   66.5643
11.077   65.7010
11.054   64.8573
11.030   63.8709
11.007   62.7127
10.983   61.4862
10.960   60.1278
10.937   58.7313
10.914   57.2225
10.891   55.5008
10.868   53.6078
10.846   51.6957
10.823   49.6215
10.800   47.4012
10.778   45.1395
10.755   42.8226
10.733   40.5043
10.711   38.1879
10.689   35.8603
10.667   33.8280
10.645   31.7411
10.623   29.5380
10.602   27.4745
10.580   25.4672
10.558   23.5400
10.537   21.7797
10.516   20.0664
10.494   18.4497
10.473   17.1738
10.452   16.0244
10.431   15.1318
10.410   14.5517
10.389   14.4008
10.368   14.5883
10.348   15.0688
10.327   15.8300
10.306   16.7744
10.286   17.8051
10.266   18.8310
10.245   19.8427
10.225   20.8227
10.205   21.7329
10.185   22.6274
10.165   23.5219
10.145   24.4218
10.125   25.3657
10.106   26.3642
10.086   27.4003
10.066   28.5024
10.047   29.5864
10.027   30.5614
10.008   31.3559
 9.989   31.9574
 9.970   32.3583
 9.950   32.6132
 9.931   32.6508
 9.912   32.4360
 9.893   32.0922
 9.875   31.7021
 9.856   31.3456
 9.837   31.0966
 9.818   31.0649
 9.800   31.2138
 9.781   31.4950
 9.763   31.9316
 9.745   32.4980
 9.726   33.1664
 9.708   33.9023
 9.690   34.7113
 9.672   35.6024
 9.654   36.5185
 9.636   37.4901
 9.618   38.4716
 9.600   39.3798
 9.583   40.2528
 9.565   41.0448
 9.547   41.7069
 9.530   42.2968
 9.512   42.8026
 9.495   43.1610
 9.477   43.4686
 9.460   43.7308
 9.443   43.9325
 9.426   44.1229
 9.409   44.3539
 9.392   44.6688
 9.375   45.0575
 9.358   45.5409
 9.341   46.0917
 9.324   46.7020
 9.307   47.3563
 9.291   48.0262
 9.274   48.7738
 9.257   49.4242
 9.241   50.1468
 9.224   50.9105
 9.208   51.6488
 9.192   52.3973
 9.175   53.1371
 9.159   53.7972
 9.143   54.3675
 9.127   54.8495
 9.111   55.2796
 9.095   55.7118
 9.079   56.0863
 9.063   56.4671
 9.047   56.7948
 9.032   57.1312
 9.016   57.4276
 9.000   57.6258
 8.985   57.7621
 8.969   57.8636
 8.954   57.8924
 8.938   57.8319
 8.923   57.7269
 8.907   57.5648
 8.892   57.2635
 8.877   56.8827
 8.862   56.4989
 8.847   56.0458
 8.832   55.4413
 8.817   54.7128
 8.802   53.9999
 8.787   53.2230
 8.772   52.4554
 8.757   51.7660
 8.742   51.2040
 8.728   50.7714
 8.713   50.5228
 8.698   50.4613
 8.684   50.4779
 8.669   50.5277
 8.655   50.6293
 8.640   50.5433
 8.626   50.2133
 8.612   49.6810
 8.597   48.9759
 8.583   48.0555
 8.569   46.9315
 8.555   45.6869
 8.541   44.3812
 8.527   43.0331
 8.513   41.7147
 8.499   40.4657
 8.485   39.2816
 8.471   38.1698
 8.457   37.0805
 8.443   35.9779
 8.430   34.8358
 8.416   33.5766
 8.402   32.1191
 8.389   30.4696
 8.375   28.7521
 8.362   27.0868
 8.348   25.7287
 8.335   24.8605
 8.321   24.4904
 8.308   24.5995
 8.295   25.0742
 8.281   25.8137
 8.268   26.7382
 8.255   27.8056
 8.242   28.9269
 8.229   30.1095
 8.216   31.3954
 8.203   32.8027
 8.190   34.2792
 8.177   35.8559
 8.164   37.5412
 8.151   39.3295
 8.138   41.2316
 8.126   43.2374
 8.113   45.3202
 8.100   47.5206
 8.088   49.7504
 8.075   51.9601
 8.062   54.1532
 8.050   56.3036
 8.037   58.3758
 8.025   60.3477
 8.013   62.2481
 8.000   64.1104
 7.988   65.8438
 7.976   67.5057
 7.963   69.0938
 7.951   70.6153
 7.939   72.0399
 7.927   73.3731
 7.915   74.6512
 7.903   75.9227
 7.891   77.1082
 7.879   78.2395
 7.867   79.3528
 7.855   80.4649
 7.843   81.5086
 7.831   82.5020
 7.819   83.4297
 7.807   84.3050
 7.796   85.0940
 7.784   85.7383
 7.772   86.2842
 7.761   86.8181
 7.749   87.2686
 7.738   87.6846
 7.726   88.0149
 7.715   88.3025
 7.703   88.5945
 7.692   88.8955
 7.680   89.1494
 7.669   89.3877
 7.658   89.5811
 7.646   89.7957
 7.635   89.9539
 7.624   90.1257
 7.613   90.3079
 7.601   90.4502
 7.590   90.5850
