Name:  Acmite NaFe+3 Si2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size: Fine (less than 75 Micrometers)
Sample No.:  acmite.1
Owner: JHU.
Wavelength Range:  IR
Origin:  Narsarsuk, Greenland via the Smithsonian (sample no. NMNH 
95506). 
Description: The sample consisted of black radiating acicular crystals 
with some contaminating brown coating, which dissolved in dilute 
HCl.  Sample size was 2 cm x 2 cm x 1 cm.  Contamination was largely 
eliminated by hand picking and the little remaining was dissolved 
with dilute HCl.

Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  acmite1a.txt
25.044    2.0918
24.924    2.0430
24.805    1.9775
24.686    2.0332
24.569    1.9612
24.454    1.8340
24.339    1.8196
24.225    2.0322
24.112    2.1067
24.001    2.0417
23.890    2.0928
23.781    2.1343
23.672    2.0591
23.564    2.1167
23.458    2.2143
23.352    2.3447
23.247    2.3528
23.144    2.2776
23.041    2.3745
22.939    2.5869
22.838    2.6304
22.738    2.7029
22.638    2.8462
22.540    2.9805
22.442    3.0203
22.345    3.0859
22.250    3.1716
22.154    3.2693
22.060    3.3220
21.967    3.3052
21.874    3.2996
21.782    3.3027
21.691    3.3567
21.601    3.3413
21.511    3.3393
21.422    3.3330
21.334    3.2932
21.247    3.2808
21.160    3.2725
21.074    3.3120
20.988    3.2244
20.904    3.1362
20.820    3.1548
20.737    3.1872
20.654    3.2263
20.572    3.3140
20.491    3.3621
20.410    3.3948
20.330    3.4333
20.251    3.4602
20.172    3.4541
20.094    3.4841
20.016    3.4792
19.939    3.4370
19.863    3.3765
19.787    3.3743
19.712    3.3840
19.637    3.3201
19.563    3.1926
19.489    3.0774
19.416    2.9719
19.344    2.8503
19.272    2.7642
19.201    2.7768
19.130    2.8108
19.059    2.8039
18.990    2.7849
18.920    2.7747
18.851    2.7788
18.783    2.7139
18.715    2.6467
18.648    2.5796
18.581    2.5378
18.515    2.4868
18.449    2.4287
18.384    2.3381
18.319    2.2937
18.254    2.3181
18.190    2.3701
18.126    2.3904
18.063    2.4502
18.001    2.5337
17.938    2.5684
17.876    2.5991
17.815    2.6570
17.754    2.6631
17.693    2.6489
17.633    2.6821
17.573    2.7122
17.514    2.6619
17.455    2.6394
17.396    2.6238
17.338    2.5825
17.281    2.5420
17.223    2.4851
17.166    2.4231
17.109    2.3926
17.053    2.3218
16.997    2.2087
16.942    2.1006
16.886    1.9949
16.832    1.8633
16.777    1.7163
16.723    1.5935
16.669    1.4954
