Name: Acmite NaFe+3Si2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:  Fine (less than 75 Micrometers)
Sample Nol:  acmite.2
Owner: JHU
Wavelength Range:  IR
Origin:   Sample from Kangerdluarssuk, near Narssaq, Greenland via 
the Smithsonian (sample no. NMNH 133746).
Description: The sample consisted of large (up to 2 cm long and 
almost as wide), very dark green prismatic crystals of acmite 
intergrown with albite (?).  The material was crushed and hand-
picked for single crystal measurements and grinding.  The 
concentrate appeared pure under microscopic examination.  

Measurement: Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  acmite2a.txt
25.044    1.1243
24.924    1.0742
24.805    1.2649
24.686    1.3088
24.569    1.2075
24.454    1.1360
24.339    1.1978
24.225    1.3406
24.112    1.3787
24.001    1.3877
23.890    1.4543
23.781    1.5942
23.672    1.4546
23.564    1.4224
23.458    1.5019
23.352    1.4966
23.247    1.4941
23.144    1.5464
23.041    1.6611
22.939    1.7397
22.838    1.6367
22.738    1.6289
22.638    1.6675
22.540    1.7168
22.442    1.7373
22.345    1.6873
22.250    1.7471
22.154    1.8852
22.060    1.8618
21.967    1.8208
21.874    1.8411
21.782    1.8472
21.691    1.8603
21.601    1.8572
21.511    1.7852
21.422    1.7844
21.334    1.8152
21.247    1.7148
21.160    1.7436
21.074    1.7947
20.988    1.7830
20.904    1.7734
20.820    1.7717
20.737    1.7895
20.654    1.8132
20.572    1.8562
20.491    1.8757
20.410    1.8828
20.330    1.8935
20.251    1.9065
20.172    1.9392
20.094    1.9568
20.016    1.9316
19.939    1.9338
19.863    1.9373
19.787    1.8591
19.712    1.8054
19.637    1.7964
19.563    1.7478
19.489    1.7224
19.416    1.7144
19.344    1.6985
19.272    1.6440
19.201    1.5774
19.130    1.5986
19.059    1.6418
18.990    1.6318
18.920    1.5825
18.851    1.5393
18.783    1.5403
18.715    1.5393
18.648    1.4973
18.581    1.4700
18.515    1.4434
18.449    1.4026
18.384    1.3838
18.319    1.3772
18.254    1.4006
18.190    1.4280
18.126    1.4309
18.063    1.4609
18.001    1.4902
17.938    1.5007
17.876    1.4856
17.815    1.4778
17.754    1.5105
17.693    1.5376
17.633    1.5264
17.573    1.5005
17.514    1.4609
17.455    1.4336
17.396    1.4434
17.338    1.4426
17.280    1.3816
17.223    1.3516
17.166    1.3877
17.109    1.3667
17.053    1.3047
16.997    1.2812
16.942    1.2517
16.886    1.2275
16.832    1.1875
16.777    1.1243
16.723    1.0684
16.669    1.0491
16.616    1.0388
16.563    1.0227
16.510    1.0342
16.458    1.0442
16.406    1.0510
16.354    1.0652
16.302    1.1020
16.251    1.1550
16.200    1.1553
16.150    1.1516
16.100    1.1592
16.050    1.1616
16.000    1.1328
15.951    1.1167
15.902    1.0815
15.854    1.0527
15.805    1.0557
15.757    1.0544
15.710    1.0032
15.662    0.9656
15.615    0.9499
15.568    0.9602
15.521    0.9563
15.475    0.9351
15.429    0.9424
15.383    0.9539
15.338    0.9561
15.292    0.9561
15.248    0.9729
15.203    1.0122
15.158    1.0645
15.114    1.1389
15.070    1.2527
15.027    1.3584
14.983    1.4329
14.940    1.5132
14.897    1.5791
14.854    1.6460
14.812    1.7026
14.770    1.7397
14.728    1.7803
14.686    1.8079
14.645    1.8477
14.603    1.8977
14.562    1.9446
14.521    2.0019
14.481    2.0444
14.441    2.0767
14.400    2.0884
14.361    2.0994
14.321    2.1150
14.281    2.1152
14.242    2.1125
14.203    2.1143
14.164    2.1162
14.126    2.1040
14.087    2.0627
14.049    2.0281
14.011    2.0166
13.973    2.0217
13.936    1.9758
13.899    1.9333
13.861    1.9014
13.824    1.8459
13.788    1.8169
13.751    1.7844
13.715    1.7336
13.679    1.7178
13.643    1.7195
13.607    1.7534
13.571    1.8403
13.536    1.9541
13.500    2.0808
13.465    2.2256
13.430    2.3428
13.396    2.4358
13.361    2.5376
