Name: Augite (Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:  Fine (less than 75 Micrometers)
Sample No.:  augite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Monteagle Township, Hostings Co., Ontario, 
Canada via the Smithsonian (sample no. NMNH 117461). 
Description: Sample consisted of  fragments of well-formed crystal(s), 
with some surface contamination by calcite.  Small grains were deep, 
translucent green and generally clear and unaltered.  The powdered 
sample was washed in dilute HCl to remove residual calcite, but an 
extremely weak carbonate band is still seen in the spectrum of the 
75-250 micrometers size range near 4.0 micrometers.
Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: augite1a.txt
25.044    2.5498
24.924    2.4932
24.805    2.2993
24.686    2.3384
24.569    2.3359
24.454    2.3760
24.339    2.4419
24.225    2.4805
24.112    2.4458
24.001    2.6240
23.890    2.8818
23.781    2.7246
23.672    2.6055
23.564    2.6133
23.458    2.7578
23.352    2.8467
23.247    2.8965
23.144    2.7180
23.041    2.7842
22.939    2.9170
22.838    2.9709
22.738    3.0332
22.638    3.0225
22.540    3.0762
22.442    3.1797
22.345    3.1819
22.250    3.1548
22.154    3.2031
22.060    3.2627
21.967    3.3830
21.874    3.3584
21.782    3.2756
21.691    3.3286
21.601    3.3613
21.511    3.2969
21.422    3.3010
21.334    3.3205
21.247    3.2627
21.160    3.1416
21.074    3.0530
20.988    2.9853
20.904    2.9062
20.820    2.9155
20.737    2.8716
20.654    2.8164
20.572    2.8235
20.491    2.8423
20.410    2.8713
20.330    2.8887
20.251    2.8989
20.172    2.8879
20.094    2.9321
20.016    2.9929
19.939    3.0205
19.863    3.1042
19.787    3.1555
19.712    3.1445
19.637    3.1953
19.563    3.2651
19.489    3.2749
19.416    3.2798
19.344    3.3091
19.272    3.3491
19.201    3.3296
19.130    3.2710
19.059    3.2847
18.990    3.3096
18.920    3.3225
18.851    3.3320
18.783    3.3364
18.715    3.4009
18.648    3.4375
18.581    3.4387
18.515    3.4526
18.449    3.4888
18.384    3.4477
18.319    3.4131
18.254    3.4780
18.190    3.5461
18.126    3.5229
18.063    3.4651
18.001    3.4280
17.938    3.4131
17.876    3.3755
17.815    3.3393
17.754    3.3577
17.693    3.3032
17.633    3.2270
17.573    3.1675
17.514    3.0986
17.455    3.0469
17.396    2.9817
17.338    2.8901
17.280    2.8484
17.223    2.8205
17.166    2.7607
17.109    2.6650
17.053    2.6133
16.997    2.5391
16.942    2.4600
16.886    2.4209
16.832    2.3769
16.777    2.3130
16.723    2.2842
16.669    2.2039
16.616    2.1252
16.563    2.0591
16.510    1.9951
16.458    1.9265
16.406    1.9070
16.354    1.9202
16.302    1.8916
16.251    1.8120
16.200    1.7681
16.150    1.7539
16.100    1.7092
16.050    1.6418
16.000    1.5894
15.951    1.5635
15.902    1.5542
15.854    1.5276
15.805    1.5469
15.757    1.5623
15.710    1.5413
15.662    1.5305
15.615    1.5295
15.568    1.5544
15.521    1.5793
15.475    1.6282
15.429    1.6980
15.383    1.7759
15.338    1.8435
15.292    1.8926
15.248    1.9897
15.203    2.0356
15.158    2.0098
15.114    1.9856
15.070    1.9512
15.027    1.8984
14.983    1.8467
14.940    1.8154
14.897    1.7856
14.854    1.8154
14.812    1.8506
14.770    1.9204
14.728    2.0278
14.686    2.1655
14.645    2.3345
14.603    2.4810
14.562    2.6064
14.521    2.7158
14.481    2.7798
14.441    2.8765
14.400    3.0388
14.361    3.1892
14.321    3.3066
14.281    3.4407
14.242    3.5857
14.203    3.7400
14.164    3.8584
14.126    3.9214
14.087    4.0127
14.049    4.1191
14.011    4.2195
13.973    4.3188
13.936    4.4609
13.899    4.5771
13.861    4.6704
13.824    4.7534
13.788    4.8281
13.751    4.8923
13.715    4.9377
13.679    4.9297
13.643    4.8791
13.607    4.8791
13.571    4.8708
