Name:  Acmite NaFe+3 Si2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:  Fine (less than 2 Micrometers)
Sample No:  acmite.1
Owner: JHU
Wavelength Range:  IR
Origin: Narsarsuk, Greenland via the Smithsonian (sample no. NMNH 
95506). 
Description: The sample consisted of black radiating acicular crystals 
with some contaminating brown coating, which dissolved in dilute 
HCl.  Sample size was 2 cm x 2 cm x 1 cm.  Contamination was largely 
eliminated by hand picking and the little remaining was dissolved 
with dilute HCl.

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: acmite1a.txt
25.044   52.3280
24.924   53.7889
24.805   56.5467
24.686   59.8592
24.569   62.9686
24.454   65.5194
24.339   67.3436
24.225   69.0076
24.112   70.4569
24.001   70.8748
23.890   70.2537
23.781   69.3006
23.672   68.7029
23.564   67.5233
23.458   65.9686
23.352   64.6131
23.247   62.6912
23.144   60.3358
23.041   58.0467
22.939   55.5858
22.838   52.5780
22.738   49.5878
22.638   46.3671
22.540   43.0624
22.442   39.7929
22.345   36.6034
22.250   33.6874
22.154   31.1054
22.060   29.0234
21.967   27.1523
21.874   25.7109
21.782   24.5488
21.691   23.6679
21.601   23.0019
21.511   22.7753
21.422   22.9374
21.334   23.4453
21.247   24.0722
21.160   25.1679
21.074   26.7206
20.988   28.4921
20.904   30.5429
20.820   32.8769
20.737   35.4218
20.654   37.9315
20.572   40.4101
20.491   42.8319
20.410   45.1561
20.330   47.1346
20.251   48.5585
20.172   49.0116
20.094   48.5878
20.016   47.3495
19.939   45.5096
19.863   43.8983
19.787   43.4042
19.712   44.4764
19.637   47.4100
19.563   51.6298
19.489   56.3612
19.416   60.5741
19.344   63.8201
19.272   66.2596
19.201   67.9686
19.130   69.0916
19.059   69.8631
18.990   70.3944
18.920   70.6102
18.851   70.6092
18.783   70.1522
18.715   69.1776
18.648   67.5477
18.581   65.6844
18.515   63.3709
18.449   61.1600
18.384   59.5331
18.319   58.7665
18.254   58.6688
18.190   58.8416
18.126   58.6717
18.063   57.8329
18.001   56.2381
17.938   54.1561
17.876   51.7655
17.815   49.5741
17.754   47.9618
17.693   47.1219
17.633   47.3495
17.573   48.8251
17.514   51.4452
17.455   54.6258
17.396   58.1375
17.338   61.6776
17.280   65.0877
17.223   68.1844
17.166   70.9774
17.109   73.3592
17.053   75.4578
16.997   77.2674
16.942   78.7703
16.886   80.0467
16.832   81.1365
16.777   82.1424
16.723   82.8846
16.669   83.7000
16.616   84.1560
