Name:  Hornblende Ca2(Fe+2,Mg)4Al(Si7Al)O22(OH,F)2
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Amphibole Group)
Particle Size:  fine (Less than 2 micrometers)
Sample No.:  hornblen.3
Owner:  JHU
Wavelength Range:  IR
Origin:  Calumet Island, Ottowa River, Canada via the Smithsaonian 
(sample no. NMNH 78662)
Description: Sample was a cluster of several large, deep green 
crystals. A small amount of contamination was found in thin veins 
along cleavage planes. Microscopic examination revealed newr purity 
with less than 1% impurities of low index veins. An index of 
refraction of <1.64 and pleochroism (green to greenish brown) 
indicated that this is probably magnesian hornblende.
Measurement: transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  transmittance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2287
Additional Information: hornbl3a.txt
25.044   58.7850
24.924   57.8010
24.805   57.5190
24.686   57.9370
24.569   57.9370
24.454   57.1910
24.339   55.2030
24.225   53.6130
24.112   52.3590
24.001   51.2110
23.890   50.6400
23.781   50.7190
23.672   50.9390
23.564   50.8750
23.458   50.2110
23.352   49.0330
23.247   47.5250
23.144   45.7030
23.041   43.2540
22.939   41.0250
22.838   39.2890
22.738   37.4260
22.638   36.0390
22.540   35.2380
22.442   35.1660
22.345   35.1330
22.250   34.8110
22.154   34.1480
22.060   33.3930
21.967   32.3570
21.874   31.4730
21.782   31.1350
21.691   31.1330
21.601   31.4760
21.511   32.1400
21.422   33.0900
21.334   34.1370
21.247   35.1890
21.160   36.5920
21.074   38.0020
20.988   39.3930
20.904   41.0600
20.820   43.0740
20.737   45.2930
20.654   47.8240
20.572   50.2980
20.491   52.3370
20.410   53.3200
20.330   53.3980
20.251   52.6090
20.172   51.3240
20.094   49.5800
20.016   47.7640
19.939   46.0510
19.863   44.6370
19.787   43.6050
19.712   43.1310
19.637   43.2150
19.563   43.8520
19.489   44.7540
19.416   45.9610
19.344   47.3870
19.272   48.6570
19.201   49.8060
19.130   50.6020
19.059   51.2430
18.990   51.7730
18.920   52.3980
18.851   53.1610
18.783   53.7510
18.715   54.2010
18.648   54.5310
18.581   54.8010
18.515   54.9420
18.449   55.4430
18.384   56.2390
18.319   57.5410
18.254   59.0200
18.190   60.8240
18.126   62.5800
18.063   64.3840
18.001   66.1010
17.938   67.6570
17.876   69.0520
17.815   70.4300
17.754   71.6090
17.693   72.5510
17.633   73.5520
17.573   74.4700
17.514   75.2690
17.455   76.0440
17.396   76.8490
17.338   77.5610
17.280   78.2460
17.223   79.0320
17.166   79.6010
17.109   80.1450
17.053   80.7350
16.997   81.4230
16.942   81.8940
16.886   82.4060
16.832   82.9160
