Name:  Rhodonite (Mn+2,Fe+2,Mg,Ca)SiO3
Type:  Mineral
Class: Silicates 
Subclass:   Inosilicates (chain silicates); (Pyroxenoid Group)
Particle Size:  Fine (Less than 2 Micrometers)
Sample No.:  rhodon.1
Owner:  JHU
Wavelength Range:  IR
Origin: Franklin, New Jersey via the Smithsonian (sample no. NMNH 
C6148)
Description:  The hand sample was composed of two fragments, each 
about 2 cm x 2 cm x 1 cm. Pink rhodonite crystals were removed 
from host rock by sawing to free pure rhodonite. Under the 
petrographic microscope, many of the grains show a small degree of 
unidentified alteration, likely accounting for the strong hydroxyl 
bands near 2.7 micrometers. 
Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  rhodon1a.txt
25.044   84.6638
24.924   83.2654
24.805   81.9920
24.686   81.1951
24.569   79.3904
24.454   77.0037
24.339   74.7381
24.225   73.6248
24.112   73.8904
24.001   74.6443
23.890   75.3162
23.781   75.7029
23.672   75.5154
23.564   74.2225
23.458   72.0467
23.352   69.5662
23.247   66.8123
23.144   64.2909
23.041   61.8436
22.939   59.2596
22.838   56.4061
22.738   53.0077
22.638   49.5389
22.540   45.9960
22.442   43.1405
22.345   41.0018
22.250   39.4237
22.154   38.3144
22.060   37.7538
21.967   37.6425
21.874   38.1210
21.782   39.1874
21.691   41.0331
21.601   43.5097
21.511   46.4374
21.422   49.7206
21.334   53.0116
21.247   56.3924
21.160   59.5428
21.074   62.4256
20.988   64.5741
20.904   65.6951
20.820   65.5467
20.737   64.3475
20.654   62.1248
20.572   59.4081
20.491   56.9862
20.410   55.3592
20.330   54.5311
20.251   54.6014
20.172   55.0702
20.094   55.3924
20.016   55.4295
19.939   55.3924
19.863   55.3553
19.787   55.5487
19.712   56.2030
19.637   56.9706
19.563   57.1913
19.489   57.2616
19.416   57.1756
19.344   57.5819
19.272   59.3006
19.201   62.3055
19.130   65.8475
19.059   69.2459
18.990   71.9461
18.920   73.4149
18.851   73.7264
18.783   73.2127
18.715   72.2068
18.648   71.9295
18.581   73.3924
18.515   75.8055
18.449   78.1219
18.384   80.0945
18.319   81.4236
18.254   81.8514
18.190   81.4920
18.126   80.2273
18.063   78.0437
18.001   75.3211
17.938   72.9979
17.876   71.5818
17.815   71.7313
17.754   73.1375
17.693   74.7547
17.633   75.7303
17.573   75.9461
17.514   75.1561
17.455   73.3289
17.396   71.0945
17.338   69.6912
17.280   69.7440
17.223   71.7088
17.166   75.0252
17.109   78.6248
17.053   81.7849
16.997   84.2869
16.942   86.0720
