Name: Spodumene LiAlSi2O6
Type:  Mineral
Class:  Silicates 
Subclass:   Inosilicates (Framework silicates); Pyroxene Group
Particle Size:  Fine  (Less than 2 Micrometers)
Sample No.:  spodum.1
Owner:  JHU
Wavelength Range:  IR
Origin: Anita Mine, Pala Chief Hill, Pala, San Diego Co., California, USA 
via the Smithsonian (sample no. NMNH 12430-1)
Description: The hand sample was 3 cm x 1 cm x 1 cm, transparent, 
with a small amount of iron staining.  No foreign material was noted 
under the microscope.



Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  spodum1a.txt
25.044   53.8749
24.924   51.6952
24.805   54.8436
24.686   59.1873
24.569   62.8670
24.454   65.3944
24.339   66.3631
24.225   66.5975
24.112   66.7030
24.001   66.4139
23.890   65.8787
23.781   64.9998
23.672   64.0701
23.564   63.0858
23.458   61.9569
23.352   60.7616
23.247   59.0389
23.144   58.0077
23.041   57.3045
22.939   56.3124
22.838   54.6327
22.738   53.1639
22.638   51.4628
22.540   49.3300
22.442   47.1346
22.345   44.7225
22.250   42.2811
22.154   40.1972
22.060   38.6366
21.967   37.3534
21.874   36.2890
21.782   34.8769
21.691   32.9550
21.601   30.5624
21.511   28.0956
21.422   26.1327
21.334   24.7753
21.247   23.6992
21.160   22.7304
21.074   21.9316
20.988   21.1835
20.904   20.7460
20.820   20.6914
20.737   20.8515
20.654   20.8847
20.572   21.0273
20.491   21.1210
20.410   21.0019
20.330   21.0468
20.251   21.3925
20.172   21.7187
20.094   22.2187
20.016   22.8906
19.939   23.5624
19.863   24.0839
19.787   24.6406
19.712   25.3886
19.637   26.3456
19.563   27.7861
19.489   29.6337
19.416   31.6523
19.344   33.4960
19.272   35.0985
19.201   36.4491
19.130   37.4999
19.059   38.2382
18.990   38.7187
18.920   38.9345
18.851   39.0282
18.783   38.9335
18.715   38.6952
18.648   38.5604
18.581   38.5858
18.515   38.9335
18.449   39.7479
18.384   41.1142
18.319   43.0009
18.254   45.3514
18.190   47.9237
18.126   50.4188
18.063   52.3553
18.001   53.6581
17.938   54.5565
17.876   54.9237
17.815   54.9891
17.754   55.0292
17.693   54.8280
17.633   54.3807
17.573   53.7518
17.514   52.9110
17.455   51.6815
17.396   50.1483
17.338   48.3964
17.280   46.4706
17.223   44.4813
17.166   42.6210
17.109   40.8017
17.053   39.1757
16.997   38.0048
16.942   37.2050
16.886   36.9999
16.832   37.2431
16.777   38.1425
16.723   39.5985
16.669   41.4472
16.616   43.2792
16.563   45.2850
16.510   47.3436
16.458   49.1805
16.406   50.8475
16.354   52.2079
16.302   53.3690
16.251   54.2860
16.200   54.9618
16.150   55.2469
16.100   55.2860
16.050   54.8065
16.000   53.9432
15.951   52.6415
15.902   50.8924
15.854   48.7811
15.805   46.5946
15.757   44.3397
15.710   42.1884
15.662   40.2499
15.615   38.8437
15.568   38.3866
15.521   38.8202
15.475   40.2304
15.429   42.5800
15.383   45.5878
15.338   48.6962
15.292   51.8612
15.248   54.6385
15.203   57.1297
15.158   59.1756
15.114   60.8045
15.070   62.1268
15.027   63.1795
14.983   64.2479
14.940   65.3123
14.897   66.3797
14.854   67.3211
14.812   68.2713
14.770   68.9168
14.728   69.6190
14.686   70.0125
14.645   70.4061
14.603   70.7108
14.562   71.1063
14.521   71.3524
14.481   71.5399
14.441   71.6756
14.400   71.7889
14.361   71.9500
14.321   72.1346
14.281   72.2762
14.242   72.3416
14.203   72.5291
14.164   72.5399
14.126   72.6014
14.087   72.5438
14.049   72.6277
14.011   72.6609
13.973   72.8260
13.936   72.9207
13.899   73.1111
13.861   73.2527
13.824   73.4432
13.788   73.6053
13.751   73.6624
13.715   73.9026
13.679   74.0472
13.643   74.2776
13.607   74.3494
13.571   74.4495
13.536   74.4900
13.500   74.6585
13.465   74.7361
13.430   74.8885
13.396   74.9080
13.361   75.0940
13.327   75.1873
13.293   75.3787
13.259   75.6141
13.225   75.7815
13.191   75.9124
13.158   75.9842
13.124   76.1155
13.091   76.1854
13.058   76.3865
13.026   76.4725
12.993   76.6189
12.960   76.4939
12.928   76.4554
12.896   76.4822
12.864   76.7718
12.832   76.8738
12.800   76.8108
12.769   76.8714
12.737   77.0784
12.706   77.1976
12.675   77.2913
12.644   77.5061
12.614   77.5379
12.583   77.6404
12.552   77.5589
12.522   77.6546
12.492   77.6897
12.462   77.7791
12.432   77.8343
12.402   77.9983
12.373   78.0213
12.343   77.9490
12.314   77.9510
12.285   77.9021
12.256   77.7229
12.227   77.5643
12.198   77.5193
12.169   77.1912
12.141   76.8572
12.113   76.4012
12.084   75.9124
12.056   75.2147
12.028   74.6917
12.000   73.9275
11.973   73.2342
11.945   72.3441
11.918   71.3748
11.890   70.3050
11.863   69.1253
11.836   67.8089
11.809   66.1292
11.782   64.4320
11.755   62.4100
11.729   60.1883
11.702   57.7992
11.676   55.5472
11.650   53.5277
11.624   52.0917
11.598   51.3622
11.572   51.3124
11.546   51.6454
11.520   52.0780
11.495   52.4081
11.469   52.5018
11.444   52.3265
11.419   51.8402
11.394   50.9808
11.369   49.7782
11.344   48.3558
11.319   46.6097
11.294   44.7347
11.270   42.8104
11.245   41.1054
11.221   39.5155
11.197   37.9828
11.173   36.5409
11.149   35.1942
11.125   33.8617
11.101   32.4853
11.077   31.1679
11.054   29.8886
11.030   28.5864
11.007   27.3027
10.983   26.1826
10.960   25.1025
10.937   24.1567
10.914   23.4536
10.891   22.9697
10.868   22.7270
10.846   22.8505
10.823   23.2700
10.800   23.9247
10.778   24.9340
10.755   26.2353
10.733   27.6347
10.711   29.0868
10.689   30.5868
10.667   32.1664
10.645   33.5126
10.623   34.5526
10.602   35.5312
10.580   36.2504
10.558   36.7694
10.537   37.1332
10.516   37.4789
10.494   37.9794
10.473   38.5707
10.452   39.2387
10.431   39.9384
10.410   40.6005
10.389   41.2108
10.368   41.7094
10.348   42.0097
10.327   42.1742
10.306   42.1386
10.286   42.0224
10.266   41.7636
10.245   41.3368
10.225   40.7763
10.205   40.2035
10.185   39.6522
10.165   39.0106
10.145   38.3383
10.125   37.6527
10.106   36.9189
10.086   36.0351
10.066   35.0522
10.047   33.9501
10.027   32.7109
10.008   31.3036
 9.989   29.7861
 9.970   28.1425
 9.950   26.4179
 9.931   24.6230
 9.912   22.7348
 9.893   20.8330
 9.875   18.9716
 9.856   17.1406
 9.837   15.4165
 9.818   13.8857
 9.800   12.4726
 9.781   11.2466
 9.763   10.2607
 9.745    9.4853
 9.726    8.9399
 9.708    8.5791
 9.690    8.4267
 9.672    8.4668
 9.654    8.6855
 9.636    9.1333
 9.618    9.7939
 9.600   10.6509
 9.583   11.6650
 9.565   12.7568
 9.547   13.8564
 9.530   14.9716
 9.512   16.0712
 9.495   17.0224
 9.477   17.8300
 9.460   18.5239
 9.443   19.0571
 9.426   19.4257
 9.409   19.6298
 9.392   19.6782
 9.375   19.5781
 9.358   19.2929
 9.341   18.8793
 9.324   18.3945
 9.307   17.9326
 9.291   17.5410
 9.274   17.2583
 9.257   16.9633
 9.241   16.4414
 9.224   15.7021
 9.208   15.0195
 9.192   14.6367
 9.175   14.6640
 9.159   15.0219
 9.143   15.6396
 9.127   16.4326
 9.111   17.2011
 9.095   17.8598
 9.079   18.3818
 9.063   18.7959
 9.047   19.0800
 9.032   19.2099
 9.016   19.2363
 9.000   19.1240
 8.985   18.8950
 8.969   18.6450
 8.954   18.3754
 8.938   18.1113
 8.923   17.8950
 8.907   17.7402
 8.892   17.6171
 8.877   17.5551
 8.862   17.6220
 8.847   17.7890
 8.832   17.9814
 8.817   18.2719
 8.802   18.6499
 8.787   19.1328
 8.772   19.7470
 8.757   20.4697
 8.742   21.3203
 8.728   22.2934
 8.713   23.4365
 8.698   24.7480
 8.684   26.1977
 8.669   27.8085
 8.655   29.6000
 8.640   31.4540
 8.626   33.3700
 8.612   35.3192
 8.597   37.3153
 8.583   39.3305
 8.569   41.2865
 8.555   43.1854
 8.541   45.0228
 8.527   46.8080
 8.513   48.5384
 8.499   50.2513
 8.485   51.8729
 8.471   53.4242
 8.457   54.9359
 8.443   56.4256
 8.430   57.8006
 8.416   59.2113
 8.402   60.5714
 8.389   61.9102
 8.375   63.2218
 8.362   64.5174
 8.348   65.7645
 8.335   66.9571
 8.321   68.1466
 8.308   69.2383
 8.295   70.3233
 8.281   71.3594
 8.268   72.3758
 8.255   73.2684
 8.242   74.1756
 8.229   75.0008
 8.216   75.8084
 8.203   76.4981
 8.190   77.1778
 8.177   77.7930
 8.164   78.3916
 8.151   78.9480
 8.138   79.4698
 8.126   79.9454
 8.113   80.3428
 8.100   80.8135
 8.088   81.1971
 8.075   81.5979
 8.062   81.9043
 8.050   82.2666
 8.037   82.5105
 8.025   82.7996
 8.013   83.0410
