Name:  Acmite NaFe+3 Si2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:  Solid
Sample No.:  acmite.1
Owner: JHU
Wavelength Range:  IR
Origin:  Narsarsuk, Greenland via the Smithsonian (sample no. NMNH 
95506). 
Description: The sample consisted of black radiating acicular crystals 
with some contaminating brown coating, which dissolved in dilute 
HCl.  Sample size was 2 cm x 2 cm x 1 cm.  Contamination was largely 
eliminated by hand picking and the little remaining was dissolved 
with dilute HCl.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  acmite1a.txt
25.044    3.1133
24.924   17.4003
24.805   16.9785
24.686   16.8632
24.569   16.5087
24.454   16.2959
24.339   16.4555
24.225   16.8027
24.112   17.0922
24.001   17.3085
23.890   17.8056
23.781   18.3046
23.672   18.5478
23.564   19.0869
23.458   19.7050
23.352   20.2499
23.247   20.8359
23.144   21.5273
23.041   22.0634
22.939   22.6923
22.838   23.4306
22.738   24.0497
22.638   24.6874
22.540   25.2031
22.442   25.5453
22.345   26.1386
22.250   26.6271
22.154   26.9374
22.060   27.2739
21.967   27.7236
21.874   28.0922
21.782   28.5278
21.691   28.8898
21.601   29.2631
21.511   29.5343
21.422   29.9758
21.334   30.2675
21.247   30.5031
21.160   30.8027
21.074   31.1681
20.988   31.2138
20.904   31.2929
20.820   31.4982
20.737   31.7978
20.654   32.0656
20.572   32.3683
20.491   32.7362
20.410   33.1645
20.330   33.6259
20.251   34.1066
20.172   34.4552
20.094   34.8427
20.016   35.2980
19.939   35.7357
19.863   36.0893
19.787   36.4445
19.712   36.4413
19.637   36.0922
19.563   35.1991
19.489   33.8437
19.416   32.2143
19.344   30.9115
19.272   30.2775
19.201   30.3598
19.130   30.7167
19.059   31.0575
18.990   31.2585
18.920   31.4682
18.851   31.4884
18.783   31.4277
18.715   31.2602
18.648   30.9916
18.581   30.4975
18.515   29.9208
18.449   29.2524
18.384   28.4374
18.319   27.5492
18.254   26.9799
18.190   26.6552
18.126   26.5805
18.063   26.8530
18.001   27.3559
17.938   27.6962
17.876   28.0727
17.815   28.4042
17.754   28.5688
17.693   28.5800
17.633   28.5556
17.573   28.3764
17.514   28.0302
17.455   27.5666
17.396   27.0746
17.338   26.3068
17.280   25.4999
17.223   24.6093
17.166   23.7263
17.109   22.8862
17.053   22.0102
16.997   21.0854
16.942   20.1213
16.886   19.0869
16.832   18.0170
16.777   16.8503
16.723   15.6826
16.669   14.4707
16.616   13.2985
