Name: Acmite NaFe+3Si2O6
Type:  Mineral
Class:  Silicates
Subclass:  Inosilicates (Pyroxene Group - single chain)
Particle Size:  Solid
Sample No.:  acmite.2
Owner: JHU
Wavelength Range:  IR
Origin:  Sample from Kangerdluarssuk, near Narssaq, Greenland via 
the Smithsonian (sample no. NMNH 133746).
Description: The sample consisted of large (up to 2 cm long and 
almost as wide), very dark green prismatic crystals of acmite 
intergrown with albite (?).  The material was crushed and hand-
picked for single crystal measurements and grinding.  The 
concentrate appeared pure under microscopic examination.  

Measurement: Bidirectional reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  acmite2a.txt
25.044   16.6337
24.924   15.9887
24.805   15.5254
24.686   15.3247
24.569   15.2832
24.454   15.1547
24.339   14.6963
24.225   14.4609
24.112   14.5595
24.001   14.6464
23.890   14.8711
23.781   15.0796
23.672   15.2124
23.564   15.3588
23.458   15.8286
23.352   16.3466
23.247   16.7678
23.144   16.9650
23.041   17.2197
22.939   17.7531
22.838   18.2443
22.738   18.5683
22.638   18.9741
22.540   19.3937
22.442   19.8713
22.345   20.2324
22.250   20.6308
22.154   20.8994
22.060   20.9931
21.967   21.3349
21.874   21.7329
21.782   21.9457
21.691   22.1538
21.601   22.5034
21.511   22.7053
21.422   22.8408
21.334   23.1396
21.247   23.4287
21.160   23.5561
21.074   23.6765
20.988   23.7404
20.904   23.6596
20.820   23.5060
20.737   23.5305
20.654   23.5756
20.572   23.6169
20.491   23.7651
20.410   23.9294
20.330   24.1071
20.251   24.3679
20.172   24.5593
20.094   24.8127
20.016   25.1454
19.939   25.4970
19.863   25.8510
19.787   26.1913
19.712   26.5004
19.637   26.4858
19.563   26.0087
19.489   25.1454
19.416   23.9868
19.344   22.8491
19.272   22.1430
19.201   21.7521
19.130   21.5327
19.059   21.4604
18.990   21.4272
18.920   21.3046
18.851   21.1227
18.783   20.9736
18.715   20.7619
18.648   20.4833
18.581   20.2543
18.515   20.1166
18.449   20.0231
18.384   20.0461
18.319   20.1887
18.254   20.3559
18.190   20.6069
18.126   20.8998
18.063   21.1347
18.001   21.4052
17.938   21.7446
17.876   22.0322
17.815   22.2553
17.754   22.4924
17.693   22.7114
17.633   22.7795
17.573   22.7617
17.514   22.6271
17.455   22.2006
17.396   21.5895
17.338   20.8417
17.280   19.8610
17.223   18.6835
17.166   17.4040
17.109   16.0415
17.053   14.5981
16.997   13.1579
16.942   11.7060
16.886   10.3110
16.832    8.9819
16.777    7.6450
16.723    6.3901
16.669    5.3186
16.616    4.5234
16.563    4.0510
16.510    3.8960
16.458    3.9668
16.406    4.0898
16.354    4.2607
16.302    4.4582
16.251    4.6318
16.200    4.8125
16.150    4.9751
16.100    5.1841
16.050    5.3933
16.000    5.5437
15.951    5.7297
15.902    5.9419
15.854    6.0996
15.805    6.2732
15.757    6.5014
15.710    6.7295
15.662    6.9570
15.615    7.2126
15.568    7.4592
15.521    7.6665
15.475    7.8242
15.429    7.8804
15.383    7.7878
15.338    7.5300
15.292    7.2170
15.248    6.9411
15.203    6.7759
15.158    6.7175
15.114    6.7217
15.070    6.7248
15.027    6.7624
14.983    6.8508
14.940    6.9341
14.897    7.0017
14.854    7.0847
14.812    7.1433
14.770    7.1992
14.728    7.2409
14.686    7.2771
14.645    7.3454
14.603    7.4253
14.562    7.4934
14.521    7.5381
14.481    7.5791
14.441    7.6181
14.400    7.6833
14.361    7.7400
14.321    7.7832
14.281    7.8083
14.242    7.8406
14.203    7.9153
14.164    7.9514
14.126    7.9648
14.087    8.0315
14.049    8.0967
14.011    8.1277
13.973    8.1413
13.936    8.1877
13.899    8.2363
13.861    8.2617
13.824    8.3220
13.788    8.3733
13.751    8.3879
13.715    8.4092
13.679    8.4516
13.643    8.5129
13.607    8.5532
13.571    8.5593
13.536    8.5783
13.500    8.5942
13.465    8.6335
13.430    8.7004
13.396    8.7334
13.361    8.7590
13.327    8.8032
13.293    8.8467
