Name: Almandine Fe3+2Al2(SiO4)3
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated Tetrahedra) (Garnet Group)
Particle Size:  Coarse (74-250 Micrometers)
Sample No.:  almandine.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Stikine River, Fort Wrangell, Alaska, USA via the 
Smithsonian (sample no. NMNH 104490-7).
Description: The sample was a single deep maroon crystal about 2 cm 
in diameter with good crystal faces, except for one fractured edge.  
Weight was 17 g.  A thin, soft, almost transparent film was buffed off 
crystal faces.  Microscopic examination showed contamination by 
about 1% opaques and 1% quartz.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: almand1a.txt
25.044    2.3457
24.924    2.4590
24.805    2.5498
24.686    2.7588
24.569    2.9504
24.454    3.0117
24.339    3.2151
24.225    3.4570
24.112    3.6255
24.001    3.7754
23.890    3.9116
23.781    4.1155
23.672    4.2239
23.564    4.3435
23.458    4.5793
23.352    4.8657
23.247    5.1255
23.144    5.4443
23.041    5.7119
22.939    5.9809
22.838    6.3691
22.738    6.9863
22.638    7.5884
22.540    8.1387
22.442    8.9101
22.345    9.5935
22.250   10.0898
22.154   10.4004
22.060   10.3923
21.967   10.1172
21.874    9.5656
21.782    8.6870
21.691    7.7417
21.601    7.2803
21.511    7.5464
21.422    8.2253
21.334    9.2080
21.247   10.2407
21.160   10.9028
21.074   11.4446
20.988   11.9248
20.904   12.1235
20.820   12.2028
20.737   12.3332
20.654   12.2629
20.572   12.1814
20.491   12.3178
20.410   12.3532
20.330   12.1440
20.251   12.1172
20.172   12.1330
20.094   11.9675
20.016   11.8388
19.939   11.8076
19.863   11.6220
19.787   11.3803
19.712   11.2248
19.637   10.8684
19.563   10.3550
19.489    9.9067
19.416    9.1618
19.344    8.1916
19.272    7.2431
19.201    6.3247
19.130    5.6780
19.059    5.4634
18.990    5.6601
18.920    6.0603
18.851    6.3428
18.783    6.3972
18.715    6.1108
18.648    5.5005
18.581    4.6416
18.515    3.6011
18.449    2.6274
18.384    1.9033
18.319    1.4746
18.254    1.3061
18.190    1.3652
18.126    1.5637
18.063    1.7861
18.001    2.1594
17.938    2.6230
17.876    3.0940
17.815    3.6672
17.754    4.3528
17.693    5.0832
17.633    5.7964
17.573    6.4360
17.514    6.9282
17.455    7.2366
17.396    7.5537
17.338    7.8105
17.280    7.8933
17.223    7.9138
17.166    7.9326
17.109    7.8598
17.053    7.7033
16.997    7.5796
16.942    7.4363
16.886    7.1648
16.832    6.8535
16.777    6.5100
16.723    6.0134
16.669    5.4936
16.616    4.9731
16.563    4.3533
16.510    3.7485
16.458    3.1614
16.406    2.5581
16.354    2.0303
16.302    1.5662
16.251    1.1274
16.200    0.8245
16.150    0.6587
16.100    0.5520
16.050    0.5022
16.000    0.5076
15.951    0.5544
15.902    0.5930
15.854    0.6372
15.805    0.6782
15.757    0.7168
15.710    0.7710
15.662    0.7913
15.615    0.7656
15.568    0.7056
15.521    0.6150
15.475    0.5952
15.429    0.5803
15.383    0.5957
15.338    0.6418
15.292    0.6655
15.248    0.6824
15.203    0.7224
15.158    0.7781
15.114    0.8394
15.070    0.8896
15.027    0.9216
14.983    0.9497
14.940    0.9819
14.897    1.0330
14.854    1.0847
14.812    1.1267
14.770    1.1501
14.728    1.1902
14.686    1.2280
14.645    1.2488
14.603    1.2808
14.562    1.3074
14.521    1.3269
14.481    1.3535
14.441    1.3757
14.400    1.4199
14.361    1.4636
14.321    1.4912
14.281    1.5051
14.242    1.5327
14.203    1.5596
14.164    1.5681
14.126    1.5874
14.087    1.6238
14.049    1.6492
14.011    1.6484
13.973    1.6653
13.936    1.6721
13.899    1.6807
13.861    1.7039
13.824    1.7310
13.788    1.7566
13.751    1.7817
13.715    1.8047
13.679    1.8227
13.643    1.8418
13.607    1.8801
13.571    1.9233
13.536    1.9497
13.500    1.9485
13.465    1.9678
13.430    1.9802
13.396    2.0002
13.361    2.0283
13.327    2.0381
13.293    2.0288
13.259    2.0491
13.225    2.0735
13.191    2.0847
13.158    2.1309
13.124    2.1599
13.091    2.1719
13.058    2.2070
13.026    2.2427
12.993    2.2693
12.960    2.2676
12.928    2.2915
12.896    2.3330
12.864    2.3569
12.832    2.3938
12.800    2.4216
12.769    2.4397
12.737    2.4490
12.706    2.4580
12.675    2.4993
12.644    2.5610
12.614    2.5854
12.583    2.6125
12.552    2.6514
12.522    2.6912
12.492    2.7258
12.462    2.7502
12.432    2.7900
12.402    2.8293
12.373    2.8523
12.343    2.8845
12.314    2.9368
12.285    2.9739
12.256    3.0010
12.227    3.0486
12.198    3.0964
12.169    3.1394
12.141    3.2300
12.113    3.3105
12.084    3.3484
12.056    3.4145
12.028    3.5268
12.000    3.6106
11.973    3.6641
11.945    3.7717
11.918    3.8784
11.890    3.9726
11.863    4.0928
11.836    4.2158
11.809    4.3359
11.782    4.4683
11.755    4.5991
11.729    4.7541
11.702    4.9502
11.676    5.1689
11.650    5.3913
11.624    5.6531
11.598    5.9878
11.572    6.3308
11.546    6.7134
11.520    7.1582
11.495    7.5805
11.469    7.9304
11.444    8.1858
11.419    8.3296
11.394    8.2383
11.369    7.9675
11.344    7.5591
11.319    7.0044
11.294    6.4253
11.270    5.9927
11.245    5.8301
11.221    6.0229
11.197    6.5202
11.173    7.1948
11.149    7.8511
11.125    8.4138
11.101    8.8801
11.077    9.1460
11.054    9.2790
11.030    9.3664
11.007    9.3183
10.983    9.1780
10.960    9.0249
10.937    8.7844
10.914    8.4204
10.891    8.0022
10.868    7.4985
10.846    6.8305
10.823    6.0410
10.800    5.1802
10.778    4.2722
10.755    3.4128
10.733    2.6890
10.711    2.1560
10.689    1.8320
10.667    1.7068
10.645    1.7524
10.623    1.9084
10.602    2.1350
10.580    2.4170
10.558    2.7512
10.537    3.1477
10.516    3.6228
10.494    4.1914
10.473    4.8672
10.452    5.6736
10.431    6.6047
10.410    7.5498
10.389    8.4187
10.368    9.2029
10.348    9.8244
10.327   10.3047
10.306   10.7143
10.286   11.0351
10.266   11.2466
10.245   11.4309
10.225   11.5908
10.205   11.6902
10.185   11.7812
10.165   11.8750
10.145   11.8972
10.125   11.9135
10.106   11.9658
10.086   11.9626
10.066   11.9172
10.047   11.9243
10.027   11.9211
10.008   11.8528
 9.989   11.8210
 9.970   11.8078
 9.950   11.7380
 9.931   11.6526
 9.912   11.5940
 9.893   11.5027
 9.875   11.3747
 9.856   11.2771
 9.837   11.1740
 9.818   11.0110
 9.800   10.8523
 9.781   10.7136
 9.763   10.4997
 9.745   10.2553
 9.726   10.0329
 9.708    9.7595
 9.690    9.4460
 9.672    9.1555
 9.654    8.8418
 9.636    8.4880
 9.618    8.1618
 9.600    7.8584
 9.583    7.5339
 9.565    7.2366
 9.547    6.9734
 9.530    6.7009
 9.512    6.4094
 9.495    6.1145
 9.477    5.7917
 9.460    5.4504
 9.443    5.1057
 9.426    4.7661
 9.409    4.4228
 9.392    4.0813
 9.375    3.7429
 9.358    3.4131
 9.341    3.0969
 9.324    2.7930
 9.307    2.5063
 9.291    2.2090
 9.274    1.9148
 9.257    1.6475
 9.241    1.3887
 9.224    1.1575
 9.208    0.9424
 9.192    0.7361
 9.175    0.5696
 9.159    0.4426
 9.143    0.3342
 9.127    0.2612
 9.111    0.2249
 9.095    0.2087
 9.079    0.1897
 9.063    0.1685
 9.047    0.1602
 9.032    0.1707
 9.016    0.1882
 9.000    0.2141
 8.985    0.2268
 8.969    0.2292
 8.954    0.2551
 8.938    0.2788
 8.923    0.2983
 8.907    0.3145
 8.892    0.3179
 8.877    0.3394
 8.862    0.3467
 8.847    0.3489
 8.832    0.3643
 8.817    0.3855
 8.802    0.4194
 8.787    0.4363
 8.772    0.4534
 8.757    0.4658
 8.742    0.4714
 8.728    0.4836
 8.713    0.5071
 8.698    0.5261
 8.684    0.5259
 8.669    0.5381
 8.655    0.5581
 8.640    0.5662
 8.626    0.5713
 8.612    0.5808
 8.597    0.6033
 8.583    0.6228
 8.569    0.6357
 8.555    0.6572
 8.541    0.6731
 8.527    0.6790
 8.513    0.6919
 8.499    0.7051
 8.485    0.7283
 8.471    0.7520
 8.457    0.7488
 8.443    0.7610
 8.430    0.7932
 8.416    0.8152
 8.402    0.8198
 8.389    0.8279
 8.375    0.8508
