Name: Almandine Fe3+2Al2(SiO4)3
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated Tetrahedra) (Garnet Group)
Particle Size:  Fine (less than 75 Micrometer)
Sample No.:  almandine.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from Stikine River, Fort Wrangell, Alaska, USA via the 
Smithsonian (sample no. NMNH 104490-7).
Description: The sample was a single deep maroon crystal about 2 cm 
in diameter with good crystal faces, except for one fractured edge.  
Weight was 17 g.  A thin, soft, almost transparent film was buffed off 
crystal faces.  Microscopic examination showed contamination by 
about 1% opaques and 1% quartz.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: almand1a.txt
25.044    1.9028
24.924    1.9800
24.805    1.7544
24.686    1.5969
24.569    1.6965
24.454    1.9299
24.339    1.9932
24.225    2.0998
24.112    2.2981
24.001    2.3118
23.890    2.3774
23.781    2.4233
23.672    2.3791
23.564    2.5552
23.458    2.7717
23.352    2.6641
23.247    2.6125
23.144    2.6619
23.041    2.6924
22.939    2.8345
22.838    2.9995
22.738    3.0825
22.638    3.0923
22.540    3.1164
22.442    3.3513
22.345    3.4917
22.250    3.5644
22.154    3.5720
22.060    3.5347
21.967    3.4429
21.874    3.3428
21.782    3.1001
21.691    2.8765
21.601    2.8052
21.511    2.9109
21.422    3.0620
21.334    3.1968
21.247    3.3140
21.160    3.4560
21.074    3.6172
20.988    3.7251
20.904    3.6941
20.820    3.7024
20.737    3.7261
20.654    3.7441
20.572    3.7742
20.491    3.7734
20.410    3.7944
20.330    3.7881
20.251    3.7353
20.172    3.7444
20.094    3.7468
20.016    3.7439
19.939    3.6904
19.863    3.6435
19.787    3.6421
19.712    3.5859
19.637    3.4629
19.563    3.3310
19.489    3.1826
19.416    3.0513
19.344    2.8269
19.272    2.5759
19.201    2.3933
19.130    2.2053
19.059    2.1409
18.990    2.1768
18.920    2.2754
18.851    2.3630
18.783    2.3879
18.715    2.3777
18.648    2.2502
18.581    2.0098
18.515    1.7441
18.449    1.4187
18.384    1.1665
18.319    1.0383
18.254    1.0076
18.190    1.0564
18.126    1.0984
18.063    1.2082
18.001    1.3354
17.938    1.4597
17.876    1.6077
17.815    1.7371
17.754    1.8562
17.693    2.0107
17.633    2.1675
17.573    2.2942
17.514    2.3940
17.455    2.5041
17.396    2.6182
17.338    2.6953
17.280    2.7231
17.223    2.7207
17.166    2.7246
17.109    2.7165
17.053    2.7153
16.997    2.7075
16.942    2.6660
16.886    2.6392
16.832    2.6309
16.777    2.5969
16.723    2.5486
16.669    2.4775
16.616    2.3601
16.563    2.2214
16.510    2.0356
16.458    1.8149
16.406    1.6143
16.354    1.4092
16.302    1.1963
16.251    1.0098
16.200    0.8779
16.150    0.7998
16.100    0.7732
16.050    0.7771
16.000    0.7732
15.951    0.7671
15.902    0.7678
15.854    0.7930
15.805    0.8298
15.757    0.8599
15.710    0.8494
15.662    0.8398
15.615    0.8142
15.568    0.8008
15.521    0.8501
15.475    0.9055
15.429    0.9470
15.383    1.0408
15.338    1.1379
15.292    1.2659
15.248    1.4263
15.203    1.5662
15.158    1.6892
15.114    1.8035
15.070    1.9477
15.027    2.0879
14.983    2.1699
14.940    2.2583
14.897    2.3435
14.854    2.4219
14.812    2.5098
14.770    2.6042
14.728    2.6753
14.686    2.7290
14.645    2.7771
14.603    2.8264
14.562    2.8867
14.521    2.9153
14.481    2.8892
14.441    2.8455
14.400    2.8491
14.361    2.8989
14.321    2.9741
14.281    3.0525
14.242    3.1345
14.203    3.1860
14.164    3.2483
14.126    3.2954
14.087    3.3003
14.049    3.3210
14.011    3.3191
13.973    3.2881
13.936    3.3118
13.899    3.3276
13.861    3.3286
13.824    3.3164
13.788    3.3359
13.751    3.3342
13.715    3.3288
13.679    3.3440
13.643    3.3650
13.607    3.3652
13.571    3.3562
13.536    3.3308
13.500    3.2778
13.465    3.2244
13.430    3.1948
13.396    3.1736
13.361    3.1479
13.327    3.1177
13.293    3.1111
13.259    3.0998
13.225    3.0955
13.191    3.0701
13.158    3.0557
13.124    3.0422
13.091    3.0413
13.058    3.0281
13.026    2.9929
12.993    2.9817
12.960    2.9712
12.928    2.9524
12.896    2.9365
12.864    2.9062
12.832    2.8828
12.800    2.8848
12.769    2.8701
12.737    2.8455
12.706    2.8303
12.675    2.8013
12.644    2.7524
12.614    2.7288
12.583    2.6880
12.552    2.6533
12.522    2.6304
12.492    2.6057
12.462    2.5654
12.432    2.5425
12.402    2.5325
12.373    2.4988
12.343    2.4626
12.314    2.4258
12.285    2.3699
12.256    2.3176
12.227    2.2720
12.198    2.2622
12.169    2.2358
12.141    2.1963
12.113    2.1755
12.084    2.1348
12.056    2.0952
12.028    2.0601
12.000    2.0442
11.973    2.0229
11.945    2.0015
11.918    1.9744
11.890    1.9587
11.863    1.9509
11.836    1.9514
11.809    1.9473
11.782    1.9329
11.755    1.9182
11.729    1.9517
11.702    1.9744
11.676    2.0022
11.650    2.0559
11.624    2.1160
11.598    2.1855
11.572    2.2642
11.546    2.3596
11.520    2.4548
11.495    2.5427
11.469    2.6023
11.444    2.6335
11.419    2.6111
11.394    2.5317
11.369    2.4321
11.344    2.3169
11.319    2.1811
11.294    2.0466
11.270    1.9578
11.245    1.9641
11.221    2.0344
11.197    2.1460
11.173    2.3103
11.149    2.4509
11.125    2.5669
11.101    2.6521
11.077    2.6980
11.054    2.7334
11.030    2.7395
11.007    2.7185
10.983    2.6853
10.960    2.6431
10.937    2.5769
10.914    2.5029
10.891    2.3926
10.868    2.2651
10.846    2.1350
10.823    1.9658
10.800    1.7593
10.778    1.5530
10.755    1.3552
10.733    1.1626
10.711    1.0305
10.689    0.9658
10.667    0.9617
10.645    0.9897
10.623    1.0413
10.602    1.1172
10.580    1.1982
10.558    1.2871
10.537    1.3914
10.516    1.5105
10.494    1.6516
10.473    1.8076
10.452    1.9990
10.431    2.2090
10.410    2.4111
10.389    2.5937
10.368    2.7446
10.348    2.8635
10.327    2.9673
10.306    3.0525
10.286    3.1108
10.266    3.1709
10.245    3.2200
10.225    3.2356
10.205    3.2678
10.185    3.2978
10.165    3.3054
10.145    3.3320
10.125    3.3430
10.106    3.3389
10.086    3.3430
10.066    3.3525
10.047    3.3435
10.027    3.3310
10.008    3.3376
 9.989    3.3347
 9.970    3.3152
 9.950    3.3164
 9.931    3.3169
 9.912    3.3020
 9.893    3.3137
 9.875    3.3508
 9.856    3.3796
 9.837    3.4077
 9.818    3.4680
 9.800    3.5232
 9.781    3.5698
 9.763    3.6128
 9.745    3.6526
 9.726    3.6675
 9.708    3.6811
 9.690    3.6890
 9.672    3.6626
 9.654    3.6059
 9.636    3.5478
 9.618    3.4834
 9.600    3.4250
 9.583    3.3791
 9.565    3.3249
 9.547    3.2732
 9.530    3.2344
 9.512    3.1931
 9.495    3.1226
 9.477    3.0400
 9.460    2.9626
 9.443    2.8713
 9.426    2.7976
 9.409    2.7483
 9.392    2.6819
 9.375    2.6084
 9.358    2.5544
 9.341    2.5000
 9.324    2.4270
 9.307    2.3423
 9.291    2.2561
 9.274    2.1699
 9.257    2.0791
 9.241    1.9941
 9.224    1.9219
 9.208    1.8418
 9.192    1.7590
 9.175    1.7026
 9.159    1.6482
 9.143    1.6113
 9.127    1.5798
 9.111    1.5491
 9.095    1.5305
 9.079    1.5124
 9.063    1.5059
 9.047    1.5159
 9.032    1.5178
 9.016    1.5081
 9.000    1.5161
 8.985    1.5508
 8.969    1.5803
 8.954    1.5935
 8.938    1.6067
 8.923    1.6279
 8.907    1.6548
 8.892    1.6853
 8.877    1.7148
 8.862    1.7471
 8.847    1.7644
 8.832    1.7844
 8.817    1.8144
 8.802    1.8486
 8.787    1.8794
 8.772    1.9053
 8.757    1.9397
 8.742    1.9758
 8.728    2.0024
 8.713    2.0269
 8.698    2.0539
 8.684    2.0847
 8.669    2.0989
 8.655    2.0854
 8.640    2.0789
 8.626    2.0962
 8.612    2.1440
 8.597    2.2329
 8.583    2.3298
 8.569    2.4128
 8.555    2.4900
 8.541    2.5539
 8.527    2.6208
 8.513    2.6763
 8.499    2.7114
 8.485    2.7649
 8.471    2.8147
 8.457    2.8457
 8.443    2.8955
 8.430    2.9487
 8.416    2.9983
 8.402    3.0513
 8.389    3.1099
 8.375    3.1614
