Name: Andalusite Al2SiO5
Type:  Mineral 
Class: Silicates
Subclass: Nesosilicates  (Isolated tetrahedra) (Al2SiO5 Group)
Particle Size:  Fine (0 - 75 Micrometers)
Sample No:  andalusite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from St. Theresa, Espirito Santo, Brazil via Smithsonian 
(sample no. NMNH R17898). 
Description:  Sample was composed of two crystals, one clear and one 
pale pink. Both appeared pure, both 1 cm x 1 cm x 5 cm. Examination 
under a petrographic microscope indicated pure and clean samples. 
Sample grains chosen for microprobe analysis were clear, but with 
poor polish in part.

Measurement:  Bidirectional Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  andalu1a.txt
25.044    3.4487
24.924    3.2656
24.805    3.1731
24.686    3.2939
24.569    3.3682
24.454    3.2490
24.339    3.5220
24.225    3.6711
24.112    3.8000
24.001    3.8418
23.890    4.0041
23.781    4.1323
23.672    4.3818
23.564    4.6423
23.458    4.6807
23.352    4.8205
23.247    5.1155
23.144    5.2822
23.041    5.0659
22.939    4.9136
22.838    4.8823
22.738    4.6899
22.638    4.7300
22.540    5.1763
22.442    5.3110
22.345    5.3193
22.250    5.4038
22.154    5.6035
22.060    5.9028
21.967    6.1741
21.874    6.2283
21.782    6.2441
21.691    6.1025
21.601    5.5889
21.511    4.7729
21.422    4.0942
21.334    3.8765
21.247    3.8408
21.160    3.7580
21.074    3.5493
20.988    3.3337
20.904    3.1475
20.820    3.0552
20.737    3.0478
20.654    3.0359
20.572    3.1157
20.491    3.2195
20.410    3.2913
20.330    3.3987
20.251    3.5264
20.172    3.6035
20.094    3.6411
20.016    3.7358
19.939    3.7822
19.863    3.6987
19.787    3.5251
19.712    3.1863
19.637    2.8335
19.563    2.5859
19.489    2.5256
19.416    2.7075
19.344    3.0720
19.272    3.4543
19.201    3.6289
19.130    3.5954
19.059    3.4219
18.990    3.2092
18.920    3.1767
18.851    3.2617
18.783    3.3625
18.715    3.4885
18.648    3.6330
18.581    3.7759
18.515    3.8557
18.449    3.9560
18.384    4.0481
18.319    4.0295
18.254    3.9687
18.190    3.9170
18.126    3.8989
18.063    3.8874
18.001    3.8428
17.938    3.8044
17.876    3.7275
17.815    3.5759
17.754    3.4236
17.693    3.3335
17.633    3.2595
17.573    3.2290
17.514    3.2070
17.455    3.1809
17.396    3.1892
17.338    3.1851
17.280    3.1572
17.223    3.1457
17.166    3.1809
17.109    3.2705
17.053    3.3169
16.997    3.3362
16.942    3.3994
16.886    3.4573
16.832    3.4966
16.777    3.5461
16.723    3.5737
16.669    3.5361
16.616    3.5198
16.563    3.5801
16.510    3.6643
16.458    3.7131
16.406    3.7761
16.354    3.8437
16.302    3.8594
16.251    3.8628
16.200    3.9045
16.150    3.9568
16.100    3.9990
16.050    4.0259
16.000    4.0481
15.951    4.0950
15.902    4.1211
15.854    4.1531
15.805    4.2095
15.757    4.2390
15.710    4.3039
15.662    4.3240
15.615    4.3039
15.568    4.3528
15.521    4.4314
15.475    4.4712
15.429    4.4775
15.383    4.4946
15.338    4.5210
15.292    4.5630
15.248    4.5554
15.203    4.5220
15.158    4.4990
15.114    4.4504
15.070    4.4209
15.027    4.3911
14.983    4.3103
14.940    4.2063
14.897    4.1370
14.854    4.2766
14.812    4.5613
14.770    4.8318
14.728    5.0493
14.686    5.1658
14.645    5.2004
14.603    5.2402
14.562    5.2783
14.521    5.2622
14.481    5.2700
14.441    5.2915
14.400    5.2676
14.361    5.2353
14.321    5.2449
14.281    5.2168
14.242    5.1238
14.203    5.0566
14.164    5.0022
14.126    4.9126
14.087    4.8059
14.049    4.7390
14.011    4.6697
13.973    4.5876
13.936    4.5161
13.899    4.4272
13.861    4.3325
13.824    4.2493
13.788    4.1829
13.751    4.1150
13.715    4.0618
13.679    4.0012
13.643    3.9407
13.607    3.8701
13.571    3.8232
13.536    3.7895
13.500    3.7434
13.465    3.6877
13.430    3.5974
13.396    3.4670
13.361    3.3320
13.327    3.1885
13.293    3.0549
13.259    2.9473
13.225    2.8830
13.191    2.7998
13.158    2.6980
13.124    2.5906
13.091    2.4731
13.058    2.3574
13.026    2.2292
12.993    2.1028
12.960    1.9827
12.928    1.8823
12.896    1.7939
12.864    1.6973
12.832    1.5586
12.800    1.4023
12.769    1.2344
12.737    1.1384
12.706    1.1174
12.675    1.1431
12.644    1.1714
12.614    1.2051
12.583    1.2417
12.552    1.2693
12.522    1.2983
12.492    1.3237
12.462    1.3586
12.432    1.4016
12.402    1.4394
12.373    1.4683
12.343    1.5063
12.314    1.5415
12.285    1.5725
12.256    1.5850
12.227    1.6272
12.198    1.6765
12.169    1.7107
12.141    1.7288
12.113    1.7471
12.084    1.7759
12.056    1.7891
12.028    1.8069
12.000    1.8335
11.973    1.8418
11.945    1.8315
11.918    1.8396
11.890    1.8696
11.863    1.8823
11.836    1.8889
11.809    1.9214
11.782    1.9592
11.755    1.9797
11.729    2.0007
11.702    2.0303
11.676    2.0532
11.650    2.0859
11.624    2.1321
11.598    2.1743
11.572    2.2173
11.546    2.2444
11.520    2.2700
11.495    2.3122
11.469    2.3252
11.444    2.3684
11.419    2.4495
11.394    2.5344
11.369    2.5976
11.344    2.6457
11.319    2.7039
11.294    2.7563
11.270    2.8020
11.245    2.8662
11.221    2.9192
11.197    2.9668
11.173    3.0247
11.149    3.0664
11.125    3.1140
11.101    3.1753
11.077    3.2234
11.054    3.2703
11.030    3.3035
11.007    3.3330
10.983    3.3445
10.960    3.2969
10.937    3.2253
10.914    3.1370
10.891    3.0168
10.868    2.9060
10.846    2.8931
10.823    2.9863
10.800    3.1763
10.778    3.4575
10.755    3.7529
10.733    4.0154
10.711    4.2546
10.689    4.4639
10.667    4.6257
10.645    4.7720
10.623    4.8987
10.602    4.9890
10.580    5.0605
10.558    5.1374
10.537    5.1943
10.516    5.2012
10.494    5.1953
10.473    5.1597
10.452    5.0554
10.431    4.8476
10.410    4.5520
10.389    4.2537
10.368    4.0759
10.348    4.1040
10.327    4.3433
10.306    4.7224
10.286    5.1208
10.266    5.4431
10.245    5.6653
10.225    5.8247
10.205    5.9568
10.185    6.0442
10.165    6.0935
10.145    6.1474
10.125    6.1916
10.106    6.2190
10.086    6.2536
10.066    6.2739
10.047    6.2800
10.027    6.2937
10.008    6.3159
 9.989    6.3398
 9.970    6.3584
 9.950    6.3862
 9.931    6.3974
 9.912    6.3928
 9.893    6.4009
 9.875    6.4026
 9.856    6.3845
 9.837    6.3733
 9.818    6.3711
 9.800    6.3315
 9.781    6.2688
 9.763    6.2246
 9.745    6.1743
 9.726    6.1311
 9.708    6.1013
 9.690    6.0705
 9.672    6.0373
 9.654    6.0124
 9.636    5.9890
 9.618    5.9626
 9.600    5.9514
 9.583    5.9485
 9.565    5.9431
 9.547    5.9363
 9.530    5.9426
 9.512    5.9602
 9.495    5.9734
 9.477    5.9956
 9.460    6.0364
 9.443    6.0683
 9.426    6.1030
 9.409    6.1553
 9.392    6.1902
 9.375    6.2390
 9.358    6.2947
 9.341    6.3310
 9.324    6.3511
 9.307    6.3860
 9.291    6.4314
 9.274    6.4331
 9.257    6.4077
 9.241    6.3838
 9.224    6.3562
 9.208    6.3005
 9.192    6.2192
 9.175    6.1179
 9.159    5.9934
 9.143    5.8579
 9.127    5.7217
 9.111    5.5630
 9.095    5.3977
 9.079    5.2356
 9.063    5.0620
 9.047    4.8850
 9.032    4.7212
 9.016    4.5754
 9.000    4.4248
 8.985    4.2974
 8.969    4.1863
 8.954    4.0881
 8.938    3.9885
 8.923    3.8642
 8.907    3.7527
 8.892    3.6428
 8.877    3.5066
 8.862    3.3608
 8.847    3.2248
 8.832    3.0801
 8.817    2.9287
 8.802    2.7808
 8.787    2.6409
 8.772    2.5010
 8.757    2.3467
 8.742    2.1826
 8.728    2.0398
 8.713    1.8957
 8.698    1.7410
 8.684    1.5998
 8.669    1.4751
 8.655    1.3489
 8.640    1.2219
 8.626    1.1089
 8.612    1.0024
 8.597    0.9114
 8.583    0.8296
