Name: Almandine Fe3+2Al2(SiO4)3
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated Tetrahedra) (Garnet Group)
Particle Size:  Fine (less than 2 Micrometer)
Sample No.:  almandine.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Stikine River, Fort Wrangell, Alaska, USA via the 
Smithsonian (sample no. NMNH 104490-7).
Description: The sample was a single deep maroon crystal about 2 cm 
in diameter with good crystal faces, except for one fractured edge.  
Weight was 17 g.  A thin, soft, almost transparent film was buffed off 
crystal faces.  Microscopic examination showed contamination by 
about 1% opaques and 1% quartz.

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: almand1a.txt
25.044   68.5311
24.924   70.1092
24.805   70.6014
24.686   70.2342
24.569   69.0936
24.454   67.0233
24.339   65.1131
24.225   63.6014
24.112   62.4881
24.001   61.4608
23.890   60.1131
23.781   58.7381
23.672   57.3045
23.564   55.6092
23.458   53.9725
23.352   52.1952
23.247   50.0936
23.144   47.9022
23.041   45.6874
22.939   43.4843
22.838   41.5643
22.738   39.5897
22.638   37.4062
22.540   35.1640
22.442   32.7734
22.345   30.2577
22.250   28.1093
22.154   26.4238
22.060   25.5663
21.967   25.9218
21.874   27.3906
21.782   29.6366
21.691   31.6972
21.601   32.6112
21.511   31.8280
21.422   29.7050
21.334   27.5077
21.247   25.7617
21.160   24.4374
21.074   23.9238
20.988   24.1035
20.904   24.7734
20.820   25.9159
20.737   27.3222
20.654   28.7421
20.572   30.1405
20.491   31.5019
20.410   32.8710
20.330   34.3378
20.251   35.8612
20.172   37.3261
20.094   38.9999
20.016   40.6952
19.939   42.3593
19.863   43.8397
19.787   45.0487
19.712   46.0858
19.637   46.9042
19.563   47.5565
19.489   48.3397
19.416   49.2342
19.344   50.3046
19.272   51.6561
19.201   52.8407
19.130   53.3319
19.059   53.1727
18.990   52.8280
18.920   52.7772
18.851   53.3524
18.783   54.7167
18.715   56.8241
18.648   59.5936
18.581   62.8172
18.515   66.0194
18.449   68.8563
18.384   71.1522
18.319   72.8279
18.254   73.6365
18.190   73.4109
18.126   72.0838
18.063   69.4080
18.001   65.5018
17.938   60.8641
17.876   55.7733
17.815   50.6249
17.754   46.2011
17.693   42.9384
17.633   41.2274
17.573   40.9501
17.514   41.7313
17.455   43.2391
17.396   44.9657
17.338   46.5243
17.280   47.8827
17.223   49.0585
17.166   50.0829
17.109   51.0663
17.053   52.3046
16.997   53.9217
16.942   55.8290
16.887   58.0487
16.832   60.4530
16.777   62.9452
16.723   65.3563
16.669   67.6131
16.616   69.7313
16.563   71.5193
16.510   72.9354
16.458   74.2469
16.406   75.4471
16.354   76.4812
16.302   77.4422
16.251   78.4158
16.200   79.2850
16.150   80.1287
16.100   80.9744
16.050   81.6111
16.000   82.0203
15.951   82.2517
15.902   82.2478
15.854   81.8758
15.805   81.2947
15.757   80.6521
15.710   79.9578
15.662   79.7430
15.615   80.2625
15.568   81.2117
15.521   82.5818
15.475   84.1853
15.429   85.6365
15.383   86.9578
15.338   88.2117
15.292   89.2713
15.248   90.1384
15.203   90.8435
15.158   91.5535
15.114   92.1130
15.070   92.4529
15.027   92.8582
14.983   93.2195
14.940   93.4880
14.897   93.7156
14.854   93.8230
14.812   93.8552
14.770   93.9275
14.728   93.8416
14.686   93.6609
14.645   93.5544
14.603   93.4050
14.562   93.0447
14.521   92.6775
14.481   92.3230
14.441   91.8660
14.400   91.4080
14.361   91.2859
14.321   91.4275
14.281   91.5056
14.242   91.5828
14.203   91.5564
14.164   91.3220
14.126   90.9187
14.087   90.5271
14.049   90.1218
14.011   89.5916
13.973   89.0799
13.936   88.6521
13.899   88.1482
13.861   87.7488
13.824   87.4597
13.788   87.1668
13.751   86.8523
13.715   86.5491
13.679   86.1858
13.643   85.6931
13.607   85.1502
13.571   84.5603
13.536   83.9451
13.500   83.3523
13.465   82.7879
13.430   82.2693
13.396   81.7537
13.361   81.3250
13.327   80.8221
13.293   80.2918
13.259   79.7967
13.225   79.3016
13.191   78.7537
13.158   78.2249
13.124   77.6561
13.091   76.9959
13.058   76.4002
13.026   75.8123
12.993   75.0525
12.960   74.2444
12.928   73.4139
12.896   72.5530
12.864   71.7205
12.832   71.0042
12.800   70.4520
12.769   70.1409
12.737   69.9222
12.706   69.5257
12.675   68.9593
12.644   68.3480
12.614   67.6370
12.583   66.7576
12.552   65.9744
12.522   65.3875
12.492   65.0125
12.462   64.8201
12.432   64.7034
12.402   64.5726
12.373   64.3656
12.343   64.0916
12.314   63.5828
12.285   63.0160
12.256   62.4334
12.227   61.8011
12.198   61.0643
12.169   60.3206
12.141   59.5804
12.113   58.7635
12.084   57.8734
12.056   56.9066
12.028   55.9281
12.000   54.9242
11.973   53.8988
11.945   52.7386
11.918   51.4842
11.890   50.2562
11.863   48.9647
11.836   47.5844
11.809   46.1679
11.782   44.6937
11.755   43.2894
11.729   41.8534
11.702   40.4379
11.676   38.9647
11.650   37.4750
11.624   35.9091
11.598   34.2758
11.572   32.6073
11.546   30.9628
11.520   29.3515
11.495   27.8027
11.469   26.5351
11.444   25.7138
11.419   25.5082
11.394   25.9926
11.369   27.1347
11.344   28.7382
11.319   30.5551
11.294   32.1864
11.270   33.1371
11.245   33.0395
11.221   31.9267
11.197   30.1703
11.173   28.3417
11.149   26.9472
11.125   26.2509
11.101   26.3066
11.077   27.0536
11.054   28.3344
11.030   29.9067
11.007   31.5800
10.983   33.2773
10.960   34.9438
10.937   36.5434
10.914   38.0780
10.891   39.6391
10.868   41.2929
10.846   43.1649
10.823   45.3368
10.800   47.7655
10.778   50.3578
10.756   52.9354
10.733   55.3993
10.711   57.5389
10.689   59.2577
10.667   60.4842
10.645   60.9891
10.623   60.2406
10.602   58.2777
10.580   55.5116
10.558   51.9364
10.537   47.8202
10.516   43.4227
10.494   38.9989
10.473   34.8358
10.452   31.1132
10.431   27.9345
10.410   25.5317
10.389   24.0624
10.368   23.5610
10.348   23.9028
10.327   24.9013
10.306   26.3066
10.286   27.8779
10.266   29.5107
10.245   31.0321
10.225   32.4169
10.205   33.6059
10.185   34.5458
10.165   35.2118
10.145   35.6430
10.125   35.8564
10.106   35.9535
10.086   36.0316
10.066   36.1249
10.047   36.2509
10.027   36.5063
10.008   36.9589
 9.989   37.5785
 9.970   38.3007
 9.950   39.1322
 9.931   40.1488
 9.912   41.2728
 9.893   42.4633
 9.875   43.7382
 9.856   45.0204
 9.837   46.2743
 9.818   47.5287
 9.800   48.7694
 9.781   49.9183
 9.763   50.9813
 9.745   51.9847
 9.726   52.9100
 9.708   53.7645
 9.690   54.5438
 9.672   55.2914
 9.654   55.9608
 9.636   56.5292
 9.618   57.0394
 9.600   57.5360
 9.583   57.9793
 9.565   58.4110
 9.547   58.7791
 9.530   59.0936
 9.512   59.4168
 9.495   59.7152
 9.477   59.9432
 9.460   60.0941
 9.443   60.2694
 9.426   60.4461
 9.409   60.5379
 9.392   60.6327
 9.375   60.7264
 9.358   60.6971
 9.341   60.6200
 9.324   60.6156
 9.307   60.5916
 9.291   60.5741
 9.274   60.6546
 9.257   60.8299
 9.241   61.0262
 9.224   61.2752
 9.208   61.6209
 9.192   61.9852
 9.175   62.3905
 9.159   62.8172
 9.143   63.2992
 9.127   63.8524
 9.111   64.4227
 9.095   65.0218
 9.079   65.6639
 9.063   66.3631
 9.047   67.0623
 9.032   67.6864
 9.016   68.3065
 9.000   68.9197
 8.985   69.5096
 8.969   70.0789
 8.954   70.6151
 8.938   71.1834
 8.923   71.7469
 8.907   72.2425
 8.892   72.7342
 8.877   73.2039
 8.862   73.6033
 8.847   73.9275
 8.832   74.1922
 8.817   74.4246
 8.802   74.6932
 8.787   74.8973
 8.772   75.0550
 8.757   75.2776
 8.742   75.5438
 8.728   75.7723
 8.713   76.0076
 8.698   76.2967
 8.684   76.5843
 8.669   76.8938
 8.655   77.2561
 8.640   77.5921
 8.626   77.8089
 8.612   77.9632
 8.597   78.0955
 8.583   78.2161
 8.569   78.3680
 8.555   78.5745
 8.541   78.7522
 8.527   78.9353
 8.513   79.1873
 8.499   79.4309
 8.485   79.6941
 8.471   80.0257
 8.457   80.4124
 8.443   80.7508
 8.430   81.0984
 8.416   81.5413
 8.402   81.9710
 8.389   82.3597
 8.375   82.7898
