Name: Andradite Ca3Fe2+3 (SiO4)3
Type:  Mineral 
Class: Silicates
Subclass: Nesosilicates  (Isolated tetrahedra) (Garnet Group)
Particle Size:  Fine (less than 2 micrometers)
Sample No.:  andradite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rimpfischwange, Zermatt, Valais, Switzerland, 
via the Smithsonian (sample no. NMNH 113829).  
Description: A cluster of subhedral green crystals, some coated with a 
soft, white contaminant which did not dissolve when treated with 
HCl. Sample was lightly crushed to free individual 3mm crystals, then 
hand-picked to assemble only clean, bright green crystals. Under the 
petrographic microscope, the sample appeared pure, clean and 
unaltered. A few grains had a light brownish tinge on some edges. 
Measurement:  Transmission
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  andrad1a.txt 
25.044   42.4374
24.924   44.8124
24.805   47.4843
24.686   50.3905
24.569   53.2264
24.454   55.9530
24.339   58.5389
24.225   62.1717
24.112   66.6131
24.001   70.8006
23.890   73.0858
23.781   74.3787
23.672   74.9998
23.564   73.5389
23.458   70.2928
23.352   65.0936
23.247   58.4217
23.144   50.1561
23.041   42.7108
22.939   38.9628
22.838   38.7655
22.738   40.8515
22.638   43.9940
22.540   47.0038
22.442   49.8846
22.345   52.6913
22.250   55.6756
22.154   58.8534
22.060   62.7518
21.967   66.1795
21.874   69.1717
21.782   70.7361
21.691   72.0936
21.601   72.5076
21.511   72.9998
21.422   72.6795
21.334   72.2518
21.247   70.5897
21.160   68.1405
21.074   64.0936
20.988   59.5545
20.904   55.8104
20.820   55.9315
20.737   59.5799
20.654   64.5643
20.572   68.8846
20.491   71.7693
20.410   73.3299
20.330   73.6561
20.251   73.0389
20.172   71.5721
20.094   69.5076
20.016   66.6698
19.939   62.6922
19.863   57.2118
19.787   51.2118
19.712   45.6522
19.637   42.1347
19.563   41.1698
19.489   42.6249
19.416   44.9921
19.344   47.8798
19.272   50.6346
19.201   53.9667
19.130   57.6795
19.059   61.8758
18.990   65.4500
18.920   68.9510
18.851   71.4959
18.783   73.6014
18.715   74.9725
18.648   76.1521
18.581   76.7498
18.515   77.2859
18.449   77.6307
18.384   77.9148
18.319   78.2537
18.254   78.5721
18.190   79.1180
18.126   79.6814
18.063   80.3767
18.001   80.6297
17.938   80.9969
17.876   80.8474
17.815   80.8201
17.754   80.4617
17.693   80.3953
17.633   80.0779
17.573   79.9412
17.514   79.7771
17.455   79.8670
17.396   79.4705
17.338   79.3807
17.280   79.0857
17.223   78.8162
17.166   78.3162
17.109   77.7674
17.053   76.7557
16.997   75.8025
16.942   75.3064
16.886   75.8055
16.832   76.8982
16.777   77.9021
16.723   78.5955
16.669   78.7830
16.616   78.8162
16.563   78.6482
16.510   78.5760
16.458   78.3084
16.406   78.3475
16.354   78.1033
16.302   78.0564
16.251   77.7498
16.200   77.6365
16.150   77.3240
16.100   77.2928
16.050   77.2342
16.000   77.3973
15.951   77.4695
15.902   77.7029
15.854   77.7478
15.805   77.7303
15.757   77.5799
15.710   77.4148
15.662   77.2859
15.615   77.2469
15.568   77.4559
15.521   77.6297
15.475   77.8143
15.429   77.8748
15.383   78.2088
15.338   78.4314
15.292   78.8680
15.248   79.0447
15.203   79.3455
15.158   79.3182
15.114   79.4207
15.070   79.3143
15.027   79.2518
14.983   79.0652
14.940   79.0174
14.897   78.8172
14.854   78.6375
14.812   78.6482
14.770   78.6424
14.728   78.5428
14.686   78.4764
14.645   78.5086
14.603   78.4656
14.562   78.5262
14.521   78.5613
14.481   78.6531
14.441   78.6961
14.400   78.7185
14.361   78.6082
14.321   78.6678
14.281   78.6365
14.242   78.7078
14.203   78.6600
14.164   78.7264
14.126   78.6463
14.087   78.6521
14.049   78.5105
14.011   78.4734
13.973   78.3670
13.936   78.3621
13.899   78.3650
13.861   78.3851
13.824   78.3943
13.788   78.4554
13.751   78.5018
13.715   78.3641
13.679   78.3318
13.643   78.3245
13.607   78.5042
13.571   78.5569
13.536   78.6795
13.500   78.7674
13.465   79.0486
13.430   79.2244
13.396   79.2952
13.361   79.2503
13.327   79.1853
13.293   79.0271
13.259   78.9217
13.225   78.7620
13.191   78.5525
13.158   78.3694
13.124   78.1585
13.091   77.7703
13.058   77.3592
13.026   76.9549
12.993   76.3812
12.960   75.7347
12.928   74.9866
12.896   74.2327
12.864   73.3650
12.832   72.4705
12.800   71.3812
12.769   70.1776
12.737   68.8519
12.706   67.3104
12.675   65.6073
12.644   63.7323
12.614   61.6580
12.583   59.3792
12.552   57.0311
12.522   54.5765
12.492   52.0399
12.462   49.3309
12.432   46.3554
12.402   43.0663
12.373   39.5019
12.343   35.9462
12.314   32.8671
12.285   31.0590
12.256   30.9374
12.227   32.2538
12.198   33.8476
12.169   34.2714
12.141   32.9257
12.113   30.2655
12.084   27.1313
12.056   24.2231
12.028   21.9355
12.000   20.5654
11.973   20.1508
11.945   20.6142
11.918   21.6894
11.890   23.1918
11.863   25.0610
11.836   27.3515
11.809   29.9921
11.782   32.9047
11.755   36.1288
11.729   39.6718
11.702   43.4501
11.676   47.1605
11.650   50.4730
11.624   53.0799
11.598   54.7836
11.572   55.4413
11.546   55.1683
11.520   53.7606
11.495   51.2367
11.469   47.6254
11.444   43.2308
11.419   38.2870
11.394   33.1249
11.369   28.1396
11.344   23.5810
11.319   19.8867
11.294   17.4609
11.270   16.2627
11.245   15.9555
11.221   16.3750
11.197   17.2055
11.173   18.2617
11.149   19.4731
11.125   20.8320
11.101   22.2451
11.077   23.7304
11.054   25.2031
11.030   26.5707
11.007   27.7324
10.983   28.7392
10.960   29.5898
10.937   30.3681
10.914   31.1254
10.891   31.7890
10.868   32.2758
10.846   32.6200
10.823   32.8300
10.800   32.9672
10.778   33.1020
10.755   33.4550
10.733   33.8500
10.711   34.3847
10.689   35.2138
10.667   36.3212
10.645   37.7089
10.623   39.3476
10.602   41.1249
10.580   43.0604
10.558   45.0336
10.537   47.0433
10.516   48.9501
10.494   50.8090
10.473   52.5423
10.452   54.1678
10.431   55.6175
10.410   56.8856
10.389   57.9124
10.368   58.8167
10.348   59.6527
10.327   60.3763
10.306   61.0296
10.286   61.5570
10.266   62.0496
10.245   62.3968
10.225   62.7640
10.205   62.9915
10.185   63.2479
10.165   63.4139
10.145   63.6258
10.125   63.7113
10.106   63.7801
10.086   63.8016
10.066   63.9066
10.047   64.0301
10.027   64.1317
10.008   64.2581
 9.989   64.3700
 9.970   64.4759
 9.950   64.5526
 9.931   64.7557
 9.912   64.9261
 9.893   65.1610
 9.875   65.3304
 9.856   65.5574
 9.837   65.6551
 9.818   65.7933
 9.800   65.8416
 9.781   65.9115
 9.763   65.8851
 9.745   65.9276
 9.726   65.9803
 9.708   66.0804
 9.690   66.2772
 9.672   66.5194
 9.654   66.7972
 9.636   67.1033
 9.618   67.4705
 9.600   67.8177
 9.583   68.2537
 9.565   68.6444
 9.547   69.0843
 9.530   69.4510
 9.512   69.8953
 9.495   70.2386
 9.477   70.6551
 9.460   70.9686
 9.443   71.3670
 9.426   71.7186
 9.409   72.0980
 9.392   72.4085
 9.375   72.6819
 9.358   73.0003
 9.341   73.3065
 9.324   73.6395
 9.307   73.8406
 9.291   74.1414
 9.274   74.3416
 9.257   74.7225
 9.241   74.9402
 9.224   75.2483
 9.208   75.4549
 9.192   75.7361
 9.175   75.9378
 9.159   76.2361
 9.143   76.5281
 9.127   76.8279
 9.111   77.0823
 9.095   77.2933
 9.079   77.6082
 9.063   77.8797
 9.047   78.2478
 9.032   78.5594
 9.016   78.9031
 9.000   79.1170
 8.985   79.4949
 8.969   79.7112
 8.954   80.0086
 8.938   80.2366
 8.923   80.6248
 8.907   80.8406
 8.892   81.1370
 8.877   81.3597
 8.862   81.6311
 8.847   81.8313
 8.832   82.0662
 8.817   82.3240
 8.802   82.5931
 8.787   82.8577
 8.772   83.1311
 8.757   83.4886
 8.742   83.7122
 8.728   84.0388
 8.713   84.2586
 8.698   84.6629
 8.684   84.8924
 8.669   85.2771
 8.655   85.5764
 8.640   85.9895
 8.626   86.2595
 8.612   86.5857
 8.597   86.8303
 8.583   87.1433
 8.569   87.4778
 8.555   87.7937
 8.541   88.1687
 8.527   88.4666
 8.513   88.9011
 8.499   89.1858
 8.485   89.5515
 8.471   89.7888
 8.457   90.2068
 8.443   90.4793
 8.430   90.8972
 8.416   91.0938
