Name: Olivine (Fo11) (Fe+2,Mg)2SiO4
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated tetrahedra); (Olivine Group)
Particle Size:  Fine  (Less than 2  Micrometers)
Sample No.:  olivine.10
Owner:  JHU
Wavelength Range:  IR
Origin: Twin Sisters Peak, Washington via Trude King #TSD

Description: Olivine from the Twin Sisters intrusive was optically 
examined using a petrographic icroscope prior to spectral 
measurements to insure purity of the olivine.  The sample was >98% 
pure olivine.  It was hand ground and wet sieved into <60 �m size 
range.  Sample preparation was by Trude King, USGS, Denver.

Measurement:  Transmission 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Transmittance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  olivi10a.txt

25.044    6.8281
24.924    6.2695
24.805    5.3437
24.686    4.9062
24.569    4.4766
24.454    4.0625
24.339    3.1562
24.225    2.5078
24.112    2.2734
24.001    2.3516
23.890    2.4844
23.781    2.2578
23.672    2.2422
23.564    2.6406
23.458    3.0664
23.352    3.6660
23.247    4.4551
23.144    4.9765
23.041    5.7344
22.939    6.7207
22.838    7.7304
22.738    8.8515
22.638   10.1426
22.540   11.5781
22.442   13.1953
22.345   14.8457
22.250   16.2675
22.154   17.4082
22.060   18.1406
21.967   18.1718
21.874   17.8554
21.782   17.6347
21.691   17.5468
21.601   17.7128
21.511   17.8867
21.422   18.0351
21.334   18.1582
21.247   18.2656
21.160   18.6835
21.074   19.3769
20.988   20.3457
20.904   21.8789
20.820   24.0624
20.737   25.9199
20.654   26.6757
20.572   25.8827
20.491   23.6933
20.410   20.4921
20.330   16.9609
20.251   13.5644
20.172   10.6845
20.094    8.3252
20.016    6.4648
19.939    5.2705
19.863    4.7549
19.787    4.7158
19.712    4.8672
19.637    5.1035
19.563    5.3359
19.489    5.6152
19.416    5.8828
19.344    6.0898
19.272    6.3125
19.201    6.5517
19.130    6.7051
19.059    6.9306
18.990    7.1523
18.920    7.4971
18.851    8.0527
18.783    8.6064
18.715    9.0918
18.648    9.4316
18.581    9.8203
18.515   10.1728
18.449   10.5205
18.384   10.9541
18.319   11.6660
18.254   12.6777
18.190   14.0742
18.126   15.8955
18.063   18.2304
18.001   20.8398
17.938   23.6699
17.876   26.6503
17.815   29.6562
17.754   32.5282
