Name: Almandine Fe3+2Al2(SiO4)3
Type:  Mineral
Class:  Silicates
Subclass:  Nesosilicates (Isolated Tetrahedra) (Garnet Group)
Particle Size:  Solids
Sample No.:  almandine.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Stikine River, Fort Wrangell, Alaska, USA via the 
Smithsonian (sample no. NMNH 104490-7).
Description: The sample was a single deep maroon crystal about 2 cm 
in diameter with good crystal faces, except for one fractured edge.  
Weight was 17 g.  A thin, soft, almost transparent film was buffed off 
crystal faces.  Microscopic examination showed contamination by 
about 1% opaques and 1% quartz.

Measurement:  Bidirectional reflectance 
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information: almand1a.txt
25.044   18.9707
24.924   18.7265
24.805   18.8046
24.686   19.7499
24.569   20.6718
24.454   21.4814
24.339   22.5009
24.225   22.9941
24.112   23.3915
24.001   24.1425
23.890   24.6952
23.781   25.5810
23.672   26.6913
23.564   27.5585
23.458   28.6034
23.352   29.9345
23.247   31.2016
23.144   32.4198
23.041   33.9340
22.939   35.6737
22.838   37.4711
22.738   39.9745
22.638   42.9418
22.540   45.9677
22.442   49.3500
22.345   52.6971
22.250   54.9183
22.154   56.1180
22.060   56.8163
21.967   56.1571
21.874   53.7147
21.782   50.0096
21.691   45.7421
21.601   43.0556
21.511   44.0712
21.422   47.9276
21.334   52.3441
21.247   56.3934
21.160   59.6976
21.074   61.9354
20.988   63.4412
20.904   64.8231
20.820   65.4788
20.737   65.7616
20.654   66.2679
20.572   66.3714
20.491   66.2034
20.410   66.4271
20.330   66.5721
20.251   66.2230
20.172   66.1610
20.094   66.2298
20.016   65.5726
19.939   64.9154
19.863   64.6417
19.787   63.7352
19.712   62.3914
19.637   61.1827
19.563   59.2904
19.489   56.4767
19.416   53.2608
19.344   49.2865
19.272   44.4100
19.201   39.7929
19.130   36.8808
19.059   35.9423
18.990   36.8312
18.920   38.7455
18.851   40.0253
18.783   39.8910
18.715   38.4298
18.648   35.3661
18.581   30.8368
18.515   25.4433
18.449   19.9514
18.384   15.3935
18.319   12.5937
18.254   11.6926
18.190   12.0757
18.126   13.1909
18.063   14.8330
18.001   16.7358
17.938   18.9428
17.876   21.7482
17.815   25.0510
17.754   28.8290
17.693   33.0634
17.633   37.1173
17.573   40.4594
17.514   43.3519
17.455   45.6742
17.396   47.0321
17.338   47.9598
17.280   48.7521
17.223   48.8954
17.166   48.5978
17.109   48.5072
17.053   48.1556
16.997   47.2296
16.942   46.2767
16.886   45.2216
16.832   43.4774
16.777   41.4904
16.723   39.5604
16.669   37.1147
16.616   34.2199
16.563   31.3197
16.510   28.2453
16.458   24.7802
16.406   21.2968
16.354   17.9184
16.302   14.4594
16.251   11.2622
16.200    8.7766
16.150    7.0566
16.100    6.0657
16.050    5.7073
16.000    5.7532
15.951    5.9468
15.902    6.2685
15.854    6.7102
15.805    7.1709
15.757    7.5947
15.710    7.8916
15.662    7.8860
15.615    7.5796
15.568    7.0676
15.521    6.5259
15.475    6.1506
15.429    6.0293
15.383    6.0556
15.338    6.1860
15.292    6.4385
15.248    6.7480
15.203    7.0156
15.158    7.3052
15.114    7.6404
15.070    7.8923
15.027    8.1220
14.983    8.4223
14.940    8.6372
14.897    8.7812
14.854    9.0298
14.812    9.2700
14.770    9.3967
14.728    9.5644
14.686    9.7981
14.645    9.9272
14.603   10.0068
14.562   10.1985
14.521   10.3945
14.481   10.5180
14.441   10.6780
14.400   10.8672
14.361   11.0105
14.321   11.1279
14.281   11.2778
14.242   11.4052
14.203   11.5305
14.164   11.6799
14.126   11.7778
14.087   11.8979
14.049   12.0688
14.011   12.1894
13.973   12.2685
13.936   12.3918
13.899   12.5090
13.861   12.6142
13.824   12.7312
13.788   12.8408
13.751   12.9399
13.715   13.0683
13.679   13.1953
13.643   13.2841
13.607   13.4048
13.571   13.5898
13.536   13.7175
13.500   13.7780
13.465   13.9260
13.430   14.0805
13.396   14.1482
13.361   14.2578
13.327   14.4348
13.293   14.5024
13.259   14.5442
13.225   14.7046
13.191   14.8496
13.158   14.9228
13.124   15.0415
13.091   15.2050
13.058   15.3061
13.026   15.4052
12.993   15.5839
12.960   15.7470
12.928   15.8515
12.896   15.9882
12.864   16.1157
12.832   16.2343
12.800   16.3818
12.769   16.5517
12.737   16.6958
12.706   16.8378
12.675   17.0039
12.644   17.1469
12.614   17.3310
12.583   17.5224
12.552   17.6796
12.522   17.8618
12.492   18.0859
12.462   18.2680
12.432   18.4355
12.402   18.6701
12.373   18.8906
12.343   19.0319
12.314   19.2407
12.285   19.5058
12.256   19.7163
12.227   19.9506
12.198   20.2602
12.169   20.5292
12.141   20.7661
12.113   21.1064
12.084   21.4892
12.056   21.7748
12.028   22.1191
12.000   22.5746
11.973   22.9550
11.945   23.3779
11.918   23.9340
11.890   24.4877
11.863   25.0014
11.836   25.6513
11.809   26.3647
11.782   27.0263
11.755   27.7714
11.729   28.6254
11.702   29.5180
11.676   30.5473
11.650   31.7895
11.624   33.1410
11.598   34.6566
11.572   36.4794
11.546   38.5048
11.520   40.6281
11.495   42.8456
11.469   44.7955
11.444   46.1093
11.419   46.8329
11.394   46.8558
11.369   45.9088
11.344   44.1188
11.319   41.7372
11.294   39.0192
11.270   36.7787
11.245   36.0810
11.221   37.1313
11.197   39.5614
11.173   42.9476
11.149   46.4799
11.125   49.3036
11.101   51.4486
11.077   53.1297
11.054   54.0172
11.030   54.2433
11.007   54.2674
10.983   53.9325
10.960   52.9852
10.937   51.7972
10.914   50.3802
10.891   48.2709
10.868   45.6073
10.846   42.5473
10.823   38.7274
10.800   34.2040
10.778   29.4748
10.755   24.8774
10.733   20.7133
10.711   17.4702
10.689   15.4047
10.667   14.4572
10.645   14.4680
10.623   15.2226
10.602   16.3940
10.580   17.8715
10.558   19.7160
10.537   21.8793
10.516   24.3774
10.494   27.4303
10.473   31.0722
10.452   35.2604
10.431   40.1122
10.410   45.2426
10.389   49.8163
10.368   53.6014
10.348   56.7882
10.327   59.2098
10.306   60.9093
10.286   62.3580
10.266   63.5584
10.245   64.2679
10.225   64.8297
10.205   65.4415
10.185   65.7584
10.165   65.8961
10.145   66.1785
10.125   66.3499
10.106   66.2574
10.086   66.2547
10.066   66.3219
10.047   66.1358
10.027   65.9534
10.008   65.9312
 9.989   65.6878
 9.970   65.2999
 9.950   65.0516
 9.931   64.6800
 9.912   64.1102
 9.893   63.6490
 9.875   63.2064
 9.856   62.5362
 9.837   61.8773
 9.818   61.2992
 9.800   60.5228
 9.781   59.6329
 9.763   58.8604
 9.745   57.9466
 9.726   56.8395
 9.708   55.8548
 9.690   54.8316
 9.672   53.5465
 9.654   52.2679
 9.636   51.0897
 9.618   49.7572
 9.600   48.4193
 9.583   47.3507
 9.565   46.2916
 9.547   45.1473
 9.530   44.1513
 9.512   43.1408
 9.495   41.8417
 9.477   40.4674
 9.460   39.1232
 9.443   37.5541
 9.426   35.8559
 9.409   34.2465
 9.392   32.5151
 9.375   30.5761
 9.358   28.6879
 9.341   26.8051
 9.324   24.7548
 9.307   22.7062
 9.291   20.6901
 9.274   18.5649
 9.257   16.3754
 9.241   14.2387
 9.224   12.1196
 9.208   10.0053
 9.192    8.0205
 9.175    6.2519
 9.159    4.7451
 9.143    3.5376
 9.127    2.6279
 9.111    1.9893
 9.095    1.5942
 9.079    1.4023
 9.063    1.3594
 9.047    1.4133
 9.032    1.5146
 9.016    1.6553
 9.000    1.8079
 8.985    1.9565
 8.969    2.1252
 8.954    2.3015
 8.938    2.4805
 8.923    2.6616
 8.907    2.8389
 8.892    2.9971
 8.877    3.1296
 8.862    3.2681
 8.847    3.4109
 8.832    3.5361
 8.817    3.6540
 8.802    3.7749
 8.787    3.8848
 8.772    4.0029
 8.757    4.1167
 8.742    4.2200
 8.728    4.3223
 8.713    4.4294
 8.698    4.5278
 8.684    4.6216
 8.669    4.7131
 8.655    4.7864
 8.640    4.8589
 8.626    4.9482
 8.612    5.0305
 8.597    5.1128
 8.583    5.2021
 8.569    5.2844
 8.555    5.3611
 8.541    5.4426
 8.527    5.5171
 8.513    5.5674
 8.499    5.6286
 8.485    5.7034
 8.471    5.7678
 8.457    5.8257
 8.443    5.8967
 8.430    5.9626
 8.416    6.0154
 8.402    6.0803
 8.389    6.1535
 8.375    6.2051
 8.362    6.2576
