Name: Andalusite Al2SiO5
Type:  Mineral 
Class: Silicates
Subclass: Nesosilicates  (Isolated tetrahedra) (Al2SiO5 Group)
Particle Size:  solid
Sample No:  andalusite.1
Owner:  JHU
Wavelength Range:  IR
Origin: Sample from St. Theresa, Espirito Santo, Brazil via Smithsonian 
(sample no. NMNH R17898). 
Description:  Sample was composed of two crystals, one clear and one 
pale pink. Both appeared pure, both 1 cm x 1 cm x 5 cm. Examination 
under a petrographic microscope indicated pure and clean samples. 
Sample grains chosen for microprobe analysis were clear, but with 
poor polish in part.

Measurement:  Bidirectional Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  andalu1a.txt
25.044   27.5390
24.924   28.6874
24.805   28.8144
24.686   29.2988
24.569   29.7851
24.454   30.3124
24.339   30.8632
24.225   31.6327
24.112   32.1366
24.001   32.1796
23.890   32.8124
23.781   34.8944
23.672   35.6757
23.564   37.0800
23.458   38.2655
23.352   39.1181
23.247   39.3886
23.144   39.9315
23.041   40.2352
22.939   40.5253
22.838   40.5663
22.738   41.0282
22.638   41.3602
22.540   41.5517
22.442   41.6757
22.345   42.4140
22.250   43.5897
22.154   46.4003
22.060   52.3846
21.967   58.6532
21.874   62.4998
21.782   64.8309
21.691   62.6468
21.601   57.1996
21.511   49.6776
21.422   43.9686
21.334   40.5995
21.247   38.5082
21.160   35.9120
21.074   32.9120
20.988   30.1044
20.904   26.7992
20.820   24.5976
20.737   23.5165
20.654   24.0361
20.572   25.1679
20.491   26.6957
20.410   28.2646
20.330   30.1484
20.251   32.0077
20.172   33.9071
20.094   35.4345
20.016   36.4926
19.939   36.8612
19.863   36.5551
19.787   35.7499
19.712   33.3202
19.637   29.8837
19.563   27.1435
19.489   26.6337
19.416   28.2284
19.344   30.8754
19.272   33.5473
19.201   34.6317
19.130   33.8749
19.059   31.1796
18.990   27.9457
18.920   27.1347
18.851   28.6376
18.783   30.9074
18.715   33.1418
18.648   35.0275
18.581   36.4425
18.515   37.4179
18.449   38.3056
18.384   38.8908
18.319   39.2030
18.254   39.3146
18.190   39.3566
18.126   39.2748
18.063   39.3146
18.001   39.2960
17.938   39.1952
17.876   38.7958
17.815   38.1376
17.754   37.4647
17.693   37.1779
17.633   37.2697
17.573   37.3788
17.514   37.1815
17.455   36.9359
17.396   36.7658
17.338   36.6486
17.280   36.4240
17.223   36.4640
17.166   36.6552
17.109   37.1281
17.053   37.9271
16.997   38.8488
16.942   39.7580
16.886   40.7365
16.832   41.5773
16.777   42.2811
16.723   42.6808
16.669   42.8449
16.616   43.3195
16.563   44.3527
16.510   45.3724
16.458   46.2147
16.406   47.0233
16.354   47.7570
16.302   48.2616
16.251   48.7538
16.200   49.1595
16.150   49.6239
16.100   50.1056
16.050   50.6444
16.000   51.1268
15.951   51.4183
15.902   51.8837
15.854   52.4623
15.805   52.7567
15.757   53.0477
15.710   53.3575
15.662   53.5453
15.615   53.7425
15.568   54.1114
15.521   54.5138
15.475   54.6849
15.429   54.7384
15.383   55.1065
15.338   55.5128
15.292   55.6756
15.248   55.8380
15.203   56.1231
15.158   56.3417
15.114   56.3099
15.070   56.1114
15.027   55.7523
14.983   53.7508
14.940   51.0218
14.897   51.9171
14.854   53.2110
14.812   55.8038
14.770   58.7218
14.728   61.0965
14.686   62.5843
14.645   63.4642
14.603   64.3360
14.562   65.1790
14.521   65.8546
14.481   66.4969
14.441   67.2708
14.400   67.6934
14.361   67.7435
14.321   67.6214
14.281   67.2813
14.242   66.4217
14.203   65.2557
14.164   63.9659
14.126   62.3214
14.087   60.6925
14.049   59.2943
14.011   57.9679
13.973   56.7523
13.936   55.7992
13.899   54.9515
13.861   54.2235
13.824   53.7254
13.788   53.2521
13.751   52.7025
13.715   52.1427
13.679   51.6742
13.643   51.2740
13.607   50.8441
13.571   50.3761
13.536   49.9669
13.500   49.4960
13.465   48.8651
13.430   48.1561
13.396   47.1957
13.361   45.8099
13.327   44.2304
13.293   42.7094
13.259   41.5919
13.225   41.0443
13.191   40.7489
13.158   40.4130
13.124   39.8749
13.091   39.1066
13.058   38.0148
13.026   36.6815
12.993   35.1361
12.960   33.3322
12.928   31.3757
12.896   29.4057
12.864   27.1786
12.832   24.6083
12.800   21.7934
12.769   19.0090
12.737   16.9328
12.706   16.1633
12.675   16.3559
12.644   16.7512
12.614   17.0246
12.583   16.9311
12.552   16.4475
12.522   15.9487
12.492   15.7722
12.462   15.9878
12.432   16.4104
12.402   16.9375
12.373   17.4694
12.343   17.9445
12.314   18.4123
12.285   18.9209
12.256   19.3596
12.227   19.7326
12.198   20.1303
12.169   20.5515
12.141   20.9101
12.113   21.2397
12.084   21.5754
12.056   21.8959
12.028   22.1982
12.000   22.5307
11.973   22.8618
11.945   23.1574
11.918   23.5053
11.890   23.8281
11.863   24.1308
11.836   24.4763
11.809   24.7536
11.782   25.0112
11.755   25.3769
11.729   25.7463
11.702   26.0229
11.676   26.3464
11.650   26.7421
11.624   27.0580
11.598   27.3793
11.572   27.8107
11.546   28.2233
11.520   28.4897
11.495   28.7814
11.469   29.0517
11.444   29.2272
11.419   29.5383
11.394   30.0466
11.369   30.6005
11.344   31.1557
11.319   31.7748
11.294   32.4035
11.270   33.0360
11.245   33.7563
11.221   34.5605
11.197   35.3944
11.173   36.2343
11.149   37.1107
11.125   37.9672
11.101   38.7118
11.077   39.3837
11.054   39.9457
11.030   40.3065
11.007   40.5680
10.983   40.6962
10.960   40.6439
10.937   40.4157
10.914   39.9682
10.891   39.2655
10.868   38.6601
10.846   38.5932
10.823   39.4706
10.800   41.4516
10.778   44.4530
10.755   48.1171
10.733   51.9393
10.711   55.5587
10.689   58.7682
10.667   61.4071
10.645   63.5384
10.623   65.3424
10.602   66.8031
10.580   67.8538
10.558   68.7005
10.537   69.3248
10.516   69.5814
10.494   69.6048
10.473   69.3951
10.452   68.6439
10.431   67.1680
10.410   64.6939
10.389   61.2835
10.368   58.0521
10.348   56.9854
10.327   58.5836
10.306   61.6519
10.286   64.8739
10.266   67.5516
10.245   69.3846
10.225   70.5150
10.205   71.2296
10.185   71.6497
10.165   71.8519
10.145   72.0115
10.125   72.1119
10.106   72.0289
10.086   71.9383
10.066   71.9466
10.047   71.8558
10.027   71.7230
10.008   71.6854
 9.989   71.6756
 9.970   71.6224
 9.950   71.7005
 9.931   71.8538
 9.912   71.9666
 9.893   72.0474
 9.875   72.1334
 9.856   72.0911
 9.837   71.9817
 9.818   71.8065
 9.800   71.5252
 9.781   71.0936
 9.763   70.6336
 9.745   70.0985
 9.726   69.4935
 9.708   68.9095
 9.690   68.3758
 9.672   67.7103
 9.654   67.0208
 9.636   66.3143
 9.618   65.4539
 9.600   64.4757
 9.583   63.5252
 9.565   62.5015
 9.547   61.4007
 9.530   60.3607
 9.512   59.3700
 9.495   58.2918
 9.477   57.3675
 9.460   56.7997
 9.443   56.5399
 9.426   56.6373
 9.409   57.1556
 9.392   57.8419
 9.375   58.5790
 9.358   59.3123
 9.341   59.9198
 9.324   60.2425
 9.307   60.3910
 9.291   60.3177
 9.274   59.9886
 9.257   59.4474
 9.241   58.8148
 9.224   58.0091
 9.208   57.0926
 9.192   56.1092
 9.175   55.0687
 9.159   53.8465
 9.143   52.6024
 9.127   51.3285
 9.111   49.9398
 9.095   48.4667
 9.079   46.9506
 9.063   45.3617
 9.047   43.7719
 9.032   42.1747
 9.016   40.5297
 9.000   38.8676
 8.985   37.3607
 8.969   36.0036
 8.954   34.7157
 8.938   33.5429
 8.923   32.5107
 8.907   31.4941
 8.892   30.6244
 8.877   29.9960
 8.862   29.4684
 8.847   29.0156
 8.832   28.6828
 8.817   28.3508
 8.802   27.9286
 8.787   27.5341
 8.772   27.1589
 8.757   26.6645
 8.742   26.1132
 8.728   25.5468
 8.713   24.8937
 8.698   24.1357
 8.684   23.3701
 8.669   22.5322
 8.655   21.5820
 8.640   20.6213
 8.626   19.6528
 8.612   18.5964
 8.597   17.5127
 8.583   16.4780
 8.569   15.4250
 8.555   14.3723
