Name: Andradite Ca3Fe2+3 (SiO4)3
Type:  Mineral 
Class: Silicates
Subclass: Nesosilicates  (Isolated tetrahedra) (Garnet Group)
Particle Size:  Solid
Sample No.:  andradite.1
Owner:  JHU
Wavelength Range:  IR
Origin:  Sample from Rimpfischwange, Zermatt, Valais, Switzerland, 
via the Smithsonian (sample no. NMNH 113829).  
Description: A cluster of subhedral green crystals, some coated with a 
soft, white contaminant which did not dissolve when treated with 
HCl. Sample was lightly crushed to free individual 3mm crystals, then 
hand-picked to assemble only clean, bright green crystals. Under the 
petrographic microscope, the sample appeared pure, clean and 
unaltered. A few grains had a light brownish tinge on some edges. 
Measurement:  Bidirectional Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.0442
Last X Value:  2.079
Number of X Values:  2287
Additional Information:  andrad1a.txt 
25.044   42.2655
24.924   42.5878
24.805   42.0194
24.686   41.0761
24.569   39.6210
24.454   37.7890
24.339   34.6234
24.225   30.0375
24.112   23.6098
24.001   16.7636
23.890    9.3720
23.781    6.0488
23.672    7.4570
23.564    9.7954
23.458   12.4306
23.352   16.0009
23.247   20.6645
23.144   26.0317
23.041   30.0746
22.939   33.2528
22.838   35.0683
22.738   35.9740
22.638   36.0966
22.540   35.6737
22.442   34.9062
22.345   34.0229
22.250   32.8295
22.154   31.1225
22.060   28.1059
21.967   24.6313
21.874   19.3374
21.782   11.7168
21.691    7.5390
21.601    5.3008
21.511    5.0962
21.422    5.7510
21.334    6.8496
21.247    8.0361
21.160    9.8510
21.074   12.1377
20.988   14.8491
20.904   17.5957
20.820   18.6330
20.737   17.0998
20.654   13.0898
20.572    8.8100
20.491    6.6553
20.410    6.3782
20.330    7.2622
20.251    8.3850
20.172    9.5940
20.094   10.9238
20.016   12.5551
19.939   14.6086
19.863   17.4563
19.787   20.3476
19.712   23.6000
19.637   26.3056
19.563   28.1874
19.489   29.4191
19.416   30.0949
19.344   30.5900
19.272   30.8188
19.201   30.6996
19.130   30.3471
19.059   29.6933
18.990   28.2228
18.920   26.3686
18.851   23.8288
18.783   20.3837
18.715   16.3418
18.648   12.0752
18.581    8.0039
18.515    4.8491
18.449    2.8696
18.384    2.0337
18.319    1.8723
18.254    2.0842
18.190    2.3603
18.126    2.5928
18.063    2.8660
18.001    3.1914
17.938    3.4487
17.876    3.6982
17.815    3.9717
17.754    4.1836
17.693    4.3594
17.633    4.5762
17.573    4.8130
17.514    5.0351
17.455    5.2334
17.396    5.4326
17.338    5.5630
17.280    5.7187
17.223    5.9258
17.166    6.1098
17.109    6.2446
17.053    6.4082
16.997    6.4394
16.942    6.2095
16.886    5.8379
16.832    5.6440
16.777    5.7178
16.723    5.9092
16.669    6.0815
16.616    6.2114
16.563    6.3325
16.510    6.4687
16.458    6.5805
16.406    6.6982
16.354    6.8511
16.302    6.9912
16.251    7.0371
16.200    7.0971
16.150    7.2251
16.100    7.3027
16.050    7.3574
16.000    7.4768
15.951    7.5737
15.902    7.6162
15.854    7.6704
15.805    7.7605
15.757    7.8413
15.710    7.8977
15.662    7.9595
15.615    8.0044
15.568    8.0879
15.521    8.2060
15.475    8.2900
15.429    8.3178
15.383    8.3742
15.338    8.4516
15.292    8.5271
15.248    8.5928
15.203    8.6660
15.158    8.7661
15.114    8.8613
15.070    8.9665
15.027    9.0166
14.983    8.8398
14.940    8.8418
14.897    9.1469
14.854    9.2763
14.812    9.3393
14.770    9.3972
14.728    9.4970
14.686    9.6037
14.645    9.6938
14.603    9.7690
14.562    9.8530
14.521    9.9570
14.481   10.0581
14.441   10.1648
14.400   10.2771
14.361   10.3708
14.321   10.4719
14.281   10.6115
14.242   10.6958
14.203   10.7583
14.164   10.9043
14.126   11.0185
14.087   11.0884
14.049   11.1836
14.011   11.3188
13.973   11.4399
13.936   11.5437
13.899   11.6357
13.861   11.7580
13.824   11.8781
13.788   11.9931
13.751   12.1181
13.715   12.2448
13.679   12.3513
13.643   12.4682
13.607   12.6028
13.571   12.7524
13.536   12.9453
13.500   13.1103
13.465   13.2465
13.430   13.3737
13.396   13.5183
13.361   13.6753
13.327   13.8713
13.293   14.0483
13.259   14.1706
13.225   14.3537
13.191   14.5835
13.158   14.7812
13.124   14.9712
13.091   15.1865
13.058   15.4389
13.026   15.6987
12.993   15.9648
12.960   16.2375
12.928   16.5297
12.896   16.8403
12.864   17.2336
12.832   17.6203
12.800   17.9809
12.769   18.4038
12.737   18.8891
12.706   19.4143
12.675   20.0112
12.644   20.6684
12.614   21.3764
12.583   22.1733
12.552   23.1013
12.522   24.1796
12.492   25.4169
12.462   26.8339
12.432   28.4550
12.402   30.0976
12.373   31.5497
12.343   32.5387
12.314   32.8249
12.285   32.2177
12.256   30.6860
12.227   28.4838
12.198   26.7114
12.169   26.5314
12.141   27.9999
12.113   30.2973
12.084   32.5815
12.056   34.3568
12.028   35.6195
12.000   36.4608
11.973   36.8898
11.945   36.9709
11.918   36.8161
11.890   36.4110
11.863   35.7301
11.836   34.8012
11.809   33.6510
11.782   32.0976
11.755   30.0358
11.729   27.3110
11.702   23.8080
11.676   19.7292
11.650   15.8674
11.624   13.1140
11.598   11.8498
11.572   11.8564
11.546   12.6765
11.520   13.9846
11.495   15.6516
11.469   17.6723
11.444   20.0441
11.419   22.7831
11.394   25.9028
11.369   29.1735
11.344   32.2116
11.319   34.8061
11.294   36.9162
11.270   38.5368
11.245   39.8192
11.221   40.8056
11.197   41.5646
11.173   42.0956
11.149   42.5465
11.125   42.9191
11.101   43.1447
11.077   43.2826
11.054   43.3832
11.030   43.3788
11.007   43.3124
10.983   43.2555
10.960   43.3280
10.937   43.4608
10.914   43.6144
10.891   43.6815
10.868   43.7067
10.846   43.7316
10.823   43.7806
10.800   43.8417
10.778   43.9711
10.755   44.1195
10.733   44.2702
10.711   44.4281
10.689   44.6710
10.667   44.9122
10.645   45.1132
10.623   45.3305
10.602   45.5404
10.580   45.6686
10.558   45.8412
10.537   46.0411
10.516   46.1532
10.494   46.2194
10.473   46.2975
10.452   46.2636
10.431   46.1735
10.410   46.0719
10.389   45.9486
10.368   45.7096
10.348   45.4933
10.327   45.2836
10.306   44.9872
10.286   44.6513
10.266   44.3959
10.245   44.0819
10.225   43.6766
10.205   43.2909
10.185   42.9398
10.165   42.5028
10.145   42.0031
10.125   41.4254
10.106   40.7074
10.086   39.8893
10.066   39.0109
10.047   38.0221
10.027   36.8744
10.008   35.4879
 9.989   33.8012
 9.970   31.8129
 9.950   29.7778
 9.931   27.7485
 9.912   25.5410
 9.893   23.1699
 9.875   20.7453
 9.856   18.2727
 9.837   15.8462
 9.818   13.5527
 9.800   11.3696
 9.781    9.3220
 9.763    7.4604
 9.745    5.7583
 9.726    4.2268
 9.708    2.9656
 9.690    2.0029
 9.672    1.2996
 9.654    0.8213
 9.636    0.5659
 9.618    0.4836
 9.600    0.4961
 9.583    0.5623
 9.565    0.6677
 9.547    0.7764
 9.530    0.8943
 9.512    1.0071
 9.495    1.1374
 9.477    1.2483
 9.460    1.3350
 9.443    1.4407
 9.426    1.5527
 9.409    1.6736
 9.392    1.7678
 9.375    1.8430
 9.358    1.9331
 9.341    2.0276
 9.324    2.1194
 9.307    2.2046
 9.291    2.2878
 9.274    2.3520
 9.257    2.4224
 9.241    2.4939
 9.224    2.5708
 9.208    2.6326
 9.192    2.6899
 9.175    2.7539
 9.159    2.8252
 9.143    2.8787
 9.127    2.9531
 9.111    3.0102
 9.095    3.0574
 9.079    3.1311
 9.063    3.2104
 9.047    3.2566
 9.032    3.2978
 9.016    3.3557
 9.000    3.4084
 8.985    3.4497
 8.969    3.5046
 8.954    3.5713
 8.938    3.6291
 8.923    3.6919
 8.907    3.7373
 8.892    3.7468
 8.877    3.7746
 8.862    3.8152
 8.847    3.8462
 8.832    3.8928
 8.817    3.9319
 8.802    3.9541
 8.787    3.9907
 8.772    4.0342
 8.757    4.0549
 8.742    4.0972
 8.728    4.1423
 8.713    4.1697
 8.698    4.1936
 8.684    4.2204
 8.669    4.2571
 8.655    4.2817
 8.640    4.3132
 8.626    4.3462
 8.612    4.3833
 8.597    4.4106
 8.583    4.4377
 8.569    4.4553
 8.555    4.4836
 8.541    4.5151
 8.527    4.5415
 8.513    4.5754
 8.499    4.6059
 8.485    4.6130
 8.471    4.6355
 8.457    4.6745
 8.443    4.6992
 8.430    4.7156
 8.416    4.7366
